,note,step,duration,channel,velocity
0,61.0,0.0,1020.0,2.0,0.0
1,65.0,0.0,1020.0,1.0,0.0
2,58.0,1024.0,1020.0,3.0,0.0
3,70.0,0.0,1020.0,0.0,0.0
4,65.0,0.0,1020.0,1.0,0.0
5,56.0,0.0,1020.0,3.0,0.0
6,65.0,1024.0,1020.0,0.0,0.0
7,60.0,0.0,1020.0,2.0,0.0
8,54.0,0.0,1020.0,3.0,0.0
9,61.0,1024.0,1020.0,2.0,0.0
10,70.0,0.0,1020.0,0.0,0.0
11,66.0,0.0,15.0,1.0,0.0
12,72.0,0.0,1020.0,0.0,0.0
13,63.0,1024.0,1020.0,2.0,0.0
14,51.0,0.0,1020.0,3.0,0.0
15,65.0,0.0,1020.0,1.0,0.0
16,53.0,1024.0,1020.0,3.0,0.0
17,56.0,0.0,1020.0,2.0,0.0
18,73.0,0.0,1020.0,0.0,0.0
19,55.0,2048.0,1020.0,3.0,0.0
20,70.0,0.0,1020.0,0.0,0.0
21,63.0,0.0,1020.0,1.0,0.0
22,58.0,0.0,1020.0,2.0,0.0
23,72.0,0.0,2040.0,0.0,0.0
24,63.0,0.0,2040.0,1.0,0.0
25,56.0,512.0,2040.0,2.0,0.0
26,56.0,0.0,2040.0,3.0,0.0
27,60.0,0.0,1020.0,2.0,0.0
28,53.0,512.0,510.0,3.0,0.0
29,65.0,512.0,1020.0,1.0,0.0
30,68.0,0.0,1020.0,0.0,0.0
31,51.0,0.0,510.0,3.0,0.0
32,49.0,0.0,510.0,3.0,0.0
33,61.0,0.0,1020.0,2.0,0.0
34,68.0,0.0,1020.0,0.0,0.0
35,65.0,512.0,510.0,1.0,0.0
36,63.0,512.0,510.0,1.0,0.0
37,48.0,0.0,510.0,3.0,0.0
38,61.0,0.0,1020.0,1.0,0.0
39,53.0,512.0,510.0,2.0,0.0
40,46.0,0.0,1530.0,3.0,0.0
41,68.0,0.0,1020.0,0.0,0.0
42,51.0,512.0,510.0,2.0,0.0
43,61.0,0.0,510.0,1.0,0.0
44,49.0,0.0,1020.0,2.0,0.0
45,66.0,512.0,510.0,0.0,0.0
46,65.0,0.0,510.0,0.0,0.0
47,60.0,0.0,510.0,1.0,0.0
48,44.0,512.0,510.0,3.0,0.0
49,42.0,2048.0,2040.0,3.0,0.0
50,58.0,512.0,510.0,1.0,0.0
51,63.0,0.0,2040.0,0.0,0.0
52,49.0,512.0,1020.0,2.0,0.0
53,57.0,0.0,510.0,1.0,0.0
54,58.0,0.0,1020.0,1.0,0.0
55,48.0,512.0,510.0,2.0,0.0
56,46.0,0.0,510.0,2.0,0.0
57,48.0,0.0,2040.0,2.0,0.0
58,57.0,0.0,2040.0,1.0,0.0
59,65.0,1024.0,2040.0,0.0,0.0
60,41.0,0.0,2040.0,3.0,0.0
61,53.0,512.0,1020.0,2.0,0.0
62,49.0,0.0,1020.0,3.0,0.0
63,70.0,0.0,1020.0,0.0,0.0
64,65.0,0.0,1020.0,0.0,0.0
65,65.0,0.0,15.0,1.0,0.0
66,50.0,512.0,1020.0,3.0,0.0
67,58.0,512.0,510.0,2.0,0.0
68,56.0,0.0,510.0,2.0,0.0
69,51.0,0.0,1020.0,3.0,0.0
70,54.0,0.0,1020.0,2.0,0.0
71,70.0,0.0,1020.0,0.0,0.0
72,63.0,512.0,510.0,1.0,0.0
73,61.0,1024.0,510.0,1.0,0.0
74,72.0,0.0,1020.0,0.0,0.0
75,55.0,512.0,1020.0,2.0,0.0
76,60.0,0.0,1020.0,1.0,0.0
77,52.0,0.0,1020.0,3.0,0.0
78,65.0,512.0,510.0,1.0,0.0
79,53.0,0.0,1020.0,3.0,0.0
80,73.0,0.0,1020.0,0.0,0.0
81,57.0,0.0,1020.0,2.0,0.0
82,63.0,512.0,510.0,1.0,0.0
83,54.0,512.0,510.0,3.0,0.0
84,70.0,2048.0,1020.0,0.0,0.0
85,58.0,0.0,510.0,2.0,0.0
86,61.0,0.0,1020.0,1.0,0.0
87,56.0,0.0,510.0,2.0,0.0
88,53.0,0.0,510.0,3.0,0.0
89,60.0,0.0,2040.0,1.0,0.0
90,55.0,0.0,2040.0,2.0,0.0
91,52.0,0.0,2040.0,3.0,0.0
92,72.0,512.0,2040.0,0.0,0.0
93,60.0,1024.0,1020.0,1.0,0.0
94,56.0,512.0,510.0,2.0,0.0
95,53.0,0.0,1020.0,3.0,0.0
96,58.0,0.0,510.0,2.0,0.0
97,68.0,0.0,15.0,0.0,0.0
98,51.0,0.0,1020.0,3.0,0.0
99,59.0,0.0,1020.0,2.0,0.0
100,65.0,1024.0,15.0,1.0,0.0
101,68.0,0.0,15.0,0.0,0.0
102,50.0,512.0,1020.0,3.0,0.0
103,51.0,0.0,510.0,3.0,0.0
104,63.0,0.0,510.0,1.0,0.0
105,66.0,512.0,510.0,0.0,0.0
106,58.0,0.0,15.0,2.0,0.0
107,65.0,0.0,510.0,0.0,0.0
108,49.0,0.0,510.0,3.0,0.0
109,65.0,0.0,510.0,1.0,0.0
110,58.0,512.0,15.0,2.0,0.0
111,66.0,512.0,1020.0,1.0,0.0
112,63.0,0.0,2040.0,0.0,0.0
113,47.0,2048.0,2040.0,3.0,0.0
114,54.0,0.0,510.0,2.0,0.0
115,53.0,512.0,510.0,2.0,0.0
116,68.0,0.0,1020.0,1.0,0.0
117,51.0,0.0,510.0,2.0,0.0
118,58.0,0.0,2040.0,2.0,0.0
119,65.0,0.0,2040.0,0.0,0.0
120,46.0,512.0,2040.0,3.0,0.0
121,62.0,0.0,2040.0,1.0,0.0
122,65.0,512.0,1020.0,1.0,0.0
123,73.0,0.0,1020.0,0.0,0.0
124,58.0,0.0,1020.0,2.0,0.0
125,58.0,512.0,510.0,3.0,0.0
126,56.0,0.0,510.0,3.0,0.0
127,55.0,512.0,510.0,3.0,0.0
128,73.0,0.0,1020.0,0.0,0.0
129,63.0,0.0,1020.0,1.0,0.0
130,58.0,512.0,1020.0,2.0,0.0
131,51.0,0.0,510.0,3.0,0.0
132,56.0,512.0,510.0,3.0,0.0
133,56.0,0.0,1020.0,2.0,0.0
134,63.0,0.0,1020.0,1.0,0.0
135,54.0,512.0,510.0,3.0,0.0
136,65.0,0.0,1020.0,1.0,0.0
137,72.0,0.0,15.0,0.0,0.0
138,53.0,512.0,510.0,3.0,0.0
139,51.0,512.0,510.0,3.0,0.0
140,56.0,0.0,15.0,2.0,0.0
141,70.0,1024.0,1020.0,0.0,0.0
142,65.0,0.0,1020.0,1.0,0.0
143,50.0,0.0,1020.0,3.0,0.0
144,55.0,256.0,270.0,2.0,0.0
145,53.0,0.0,270.0,2.0,0.0
146,55.0,2048.0,1020.0,2.0,0.0
147,72.0,0.0,1020.0,0.0,0.0
148,60.0,0.0,1020.0,1.0,0.0
149,52.0,0.0,1020.0,3.0,0.0
150,65.0,1024.0,2040.0,1.0,0.0
151,69.0,0.0,2040.0,0.0,0.0
152,60.0,0.0,2040.0,2.0,0.0
153,53.0,0.0,2040.0,3.0,0.0
154,65.0,0.0,1020.0,0.0,0.0
155,57.0,1024.0,1020.0,2.0,0.0
156,51.0,0.0,1020.0,3.0,0.0
157,60.0,0.0,1020.0,1.0,0.0
158,49.0,0.0,1020.0,3.0,0.0
159,65.0,0.0,1020.0,1.0,0.0
160,66.0,0.0,1020.0,0.0,0.0
161,58.0,1024.0,1020.0,2.0,0.0
162,69.0,0.0,1020.0,0.0,0.0
163,48.0,1024.0,1020.0,3.0,0.0
164,63.0,0.0,1020.0,1.0,0.0
165,60.0,0.0,1020.0,2.0,0.0
166,46.0,0.0,1020.0,3.0,0.0
167,61.0,1024.0,1020.0,2.0,0.0
168,70.0,0.0,15.0,0.0,0.0
169,53.0,512.0,1020.0,3.0,0.0
170,65.0,0.0,15.0,1.0,0.0
171,60.0,0.0,2040.0,2.0,0.0
172,69.0,2048.0,1020.0,0.0,0.0
173,41.0,0.0,1020.0,3.0,0.0
174,63.0,0.0,510.0,1.0,0.0
175,70.0,0.0,2040.0,0.0,0.0
176,42.0,1024.0,2040.0,3.0,0.0
177,61.0,0.0,2040.0,1.0,0.0
178,58.0,0.0,2040.0,2.0,0.0
179,56.0,1024.0,1020.0,2.0,0.0
180,41.0,0.0,1020.0,3.0,0.0
181,65.0,0.0,1020.0,1.0,0.0
182,43.0,0.0,1020.0,3.0,0.0
183,73.0,0.0,15.0,0.0,0.0
184,63.0,0.0,1020.0,1.0,0.0
185,58.0,512.0,1020.0,2.0,0.0
186,44.0,1024.0,1020.0,3.0,0.0
187,56.0,512.0,510.0,2.0,0.0
188,54.0,0.0,510.0,2.0,0.0
189,63.0,0.0,15.0,1.0,0.0
190,72.0,0.0,15.0,0.0,0.0
191,45.0,0.0,1020.0,3.0,0.0
192,46.0,0.0,1020.0,3.0,0.0
193,70.0,0.0,1020.0,0.0,0.0
194,53.0,0.0,15.0,2.0,0.0
195,61.0,1024.0,1020.0,1.0,0.0
196,63.0,0.0,1020.0,1.0,0.0
197,54.0,0.0,1020.0,2.0,0.0
198,39.0,2048.0,1020.0,3.0,0.0
199,72.0,0.0,1020.0,0.0,0.0
200,53.0,1024.0,2040.0,2.0,0.0
201,51.0,0.0,2040.0,3.0,0.0
202,60.0,0.0,2040.0,1.0,0.0
203,69.0,0.0,2040.0,0.0,0.0
204,65.0,0.0,1020.0,0.0,0.0
205,49.0,0.0,1020.0,3.0,0.0
206,61.0,512.0,1020.0,1.0,0.0
207,58.0,0.0,1020.0,2.0,0.0
