,note,step,duration,channel,velocity
0,70.0,1024.0,1020.0,0.0,0.0
1,51.0,0.0,1020.0,3.0,0.0
2,51.0,0.0,1020.0,4.0,0.0
3,55.0,0.0,1020.0,2.0,0.0
4,63.0,0.0,1020.0,1.0,0.0
5,50.0,0.0,1020.0,4.0,0.0
6,50.0,0.0,1020.0,3.0,0.0
7,65.0,0.0,1020.0,1.0,0.0
8,53.0,512.0,1020.0,2.0,0.0
9,55.0,0.0,510.0,2.0,0.0
10,46.0,512.0,1020.0,3.0,0.0
11,63.0,512.0,510.0,1.0,0.0
12,70.0,0.0,15.0,0.0,0.0
13,46.0,0.0,1020.0,4.0,0.0
14,56.0,0.0,510.0,2.0,0.0
15,62.0,0.0,510.0,1.0,0.0
16,63.0,512.0,1020.0,1.0,0.0
17,70.0,512.0,510.0,0.0,0.0
18,55.0,0.0,1020.0,2.0,0.0
19,39.0,0.0,1020.0,3.0,0.0
20,39.0,0.0,1020.0,4.0,0.0
21,72.0,0.0,510.0,0.0,0.0
22,41.0,512.0,510.0,3.0,0.0
23,56.0,0.0,510.0,1.0,0.0
24,73.0,0.0,1020.0,0.0,0.0
25,53.0,0.0,1020.0,2.0,0.0
26,41.0,0.0,510.0,4.0,0.0
27,58.0,0.0,510.0,1.0,0.0
28,43.0,512.0,510.0,3.0,0.0
29,43.0,0.0,510.0,4.0,0.0
30,44.0,512.0,1020.0,4.0,0.0
31,60.0,0.0,510.0,1.0,0.0
32,51.0,512.0,510.0,2.0,0.0
33,44.0,0.0,1020.0,3.0,0.0
34,72.0,0.0,1020.0,0.0,0.0
35,61.0,0.0,510.0,1.0,0.0
36,56.0,0.0,15.0,2.0,0.0
37,39.0,0.0,1020.0,4.0,0.0
38,63.0,0.0,1020.0,1.0,0.0
39,70.0,1024.0,1020.0,0.0,0.0
40,39.0,0.0,1020.0,3.0,0.0
41,55.0,0.0,510.0,2.0,0.0
42,44.0,0.0,1020.0,4.0,0.0
43,60.0,0.0,1020.0,2.0,0.0
44,63.0,1024.0,1020.0,1.0,0.0
45,68.0,0.0,1020.0,0.0,0.0
46,44.0,0.0,1020.0,3.0,0.0
47,70.0,0.0,1020.0,0.0,0.0
48,50.0,0.0,1020.0,3.0,0.0
49,65.0,512.0,1020.0,1.0,0.0
50,38.0,0.0,1020.0,4.0,0.0
51,58.0,0.0,1020.0,2.0,0.0
52,58.0,0.0,510.0,2.0,0.0
53,51.0,0.0,1530.0,3.0,0.0
54,39.0,0.0,1530.0,4.0,0.0
55,63.0,0.0,1020.0,1.0,0.0
56,67.0,512.0,510.0,0.0,0.0
57,56.0,0.0,510.0,2.0,0.0
58,65.0,512.0,510.0,0.0,0.0
59,58.0,0.0,1020.0,1.0,0.0
60,55.0,512.0,510.0,2.0,0.0
61,63.0,0.0,510.0,0.0,0.0
62,65.0,0.0,510.0,0.0,0.0
63,38.0,0.0,510.0,4.0,0.0
64,50.0,0.0,510.0,3.0,0.0
65,53.0,512.0,510.0,2.0,0.0
66,67.0,0.0,1020.0,0.0,0.0
67,36.0,0.0,510.0,4.0,0.0
68,63.0,0.0,510.0,1.0,0.0
69,48.0,512.0,510.0,3.0,0.0
70,51.0,0.0,1020.0,2.0,0.0
71,38.0,0.0,510.0,4.0,0.0
72,50.0,0.0,510.0,3.0,0.0
73,62.0,512.0,510.0,1.0,0.0
74,39.0,512.0,510.0,4.0,0.0
75,60.0,0.0,1020.0,1.0,0.0
76,69.0,0.0,1020.0,0.0,0.0
77,51.0,0.0,510.0,3.0,0.0
78,53.0,0.0,1020.0,2.0,0.0
79,53.0,0.0,510.0,3.0,0.0
80,41.0,512.0,510.0,4.0,0.0
81,53.0,0.0,510.0,2.0,0.0
82,70.0,0.0,1020.0,0.0,0.0
83,38.0,0.0,510.0,4.0,0.0
84,65.0,0.0,510.0,1.0,0.0
85,50.0,512.0,510.0,3.0,0.0
86,62.0,0.0,510.0,1.0,0.0
87,34.0,0.0,510.0,4.0,0.0
88,58.0,512.0,1020.0,2.0,0.0
89,46.0,512.0,510.0,3.0,0.0
90,41.0,0.0,1020.0,4.0,0.0
91,53.0,1024.0,1020.0,3.0,0.0
92,63.0,0.0,1020.0,1.0,0.0
93,72.0,0.0,1020.0,0.0,0.0
94,57.0,0.0,510.0,2.0,0.0
95,34.0,0.0,1020.0,4.0,0.0
96,58.0,0.0,1020.0,2.0,0.0
97,70.0,0.0,1020.0,0.0,0.0
98,46.0,1024.0,1020.0,3.0,0.0
99,62.0,0.0,1020.0,1.0,0.0
100,63.0,0.0,1020.0,1.0,0.0
101,51.0,0.0,1020.0,4.0,0.0
102,55.0,1024.0,1020.0,3.0,0.0
103,55.0,0.0,1020.0,2.0,0.0
104,65.0,512.0,1020.0,1.0,0.0
105,70.0,0.0,15.0,0.0,0.0
106,50.0,0.0,1020.0,4.0,0.0
107,53.0,0.0,1020.0,2.0,0.0
108,50.0,0.0,1020.0,3.0,0.0
109,46.0,512.0,1020.0,3.0,0.0
110,63.0,512.0,510.0,1.0,0.0
111,55.0,0.0,510.0,2.0,0.0
112,46.0,0.0,1020.0,4.0,0.0
113,70.0,0.0,15.0,0.0,0.0
114,56.0,0.0,510.0,2.0,0.0
115,62.0,0.0,510.0,1.0,0.0
116,39.0,512.0,1020.0,4.0,0.0
117,39.0,0.0,1020.0,3.0,0.0
118,70.0,512.0,510.0,0.0,0.0
119,63.0,0.0,1020.0,1.0,0.0
120,55.0,0.0,1020.0,2.0,0.0
121,72.0,0.0,510.0,0.0,0.0
122,41.0,512.0,510.0,3.0,0.0
123,41.0,0.0,510.0,4.0,0.0
124,53.0,0.0,1020.0,2.0,0.0
125,73.0,512.0,1020.0,0.0,0.0
126,56.0,0.0,510.0,1.0,0.0
127,58.0,0.0,510.0,1.0,0.0
128,43.0,0.0,510.0,4.0,0.0
129,43.0,0.0,510.0,3.0,0.0
130,44.0,0.0,1020.0,3.0,0.0
131,51.0,512.0,510.0,2.0,0.0
132,72.0,512.0,1020.0,0.0,0.0
133,44.0,0.0,1020.0,4.0,0.0
134,60.0,0.0,510.0,1.0,0.0
135,61.0,0.0,510.0,1.0,0.0
136,56.0,0.0,15.0,2.0,0.0
137,39.0,0.0,1020.0,3.0,0.0
138,70.0,0.0,1020.0,0.0,0.0
139,39.0,0.0,1020.0,4.0,0.0
140,55.0,0.0,510.0,2.0,0.0
141,60.0,0.0,1020.0,2.0,0.0
142,63.0,1024.0,15.0,1.0,0.0
143,44.0,1024.0,1020.0,3.0,0.0
144,68.0,0.0,1020.0,0.0,0.0
145,44.0,0.0,1020.0,4.0,0.0
146,70.0,0.0,1020.0,0.0,0.0
147,58.0,0.0,1020.0,2.0,0.0
148,38.0,0.0,1020.0,4.0,0.0
149,65.0,0.0,1020.0,1.0,0.0
150,50.0,512.0,1020.0,3.0,0.0
151,39.0,512.0,1530.0,4.0,0.0
152,58.0,512.0,510.0,2.0,0.0
153,63.0,512.0,1020.0,1.0,0.0
154,67.0,0.0,510.0,0.0,0.0
155,51.0,0.0,1530.0,3.0,0.0
156,56.0,0.0,510.0,2.0,0.0
157,65.0,0.0,510.0,0.0,0.0
158,63.0,0.0,510.0,0.0,0.0
159,55.0,0.0,510.0,2.0,0.0
160,58.0,512.0,1020.0,1.0,0.0
161,53.0,0.0,510.0,2.0,0.0
162,65.0,0.0,510.0,0.0,0.0
163,50.0,0.0,510.0,3.0,0.0
164,38.0,0.0,510.0,4.0,0.0
165,67.0,0.0,1020.0,0.0,0.0
166,36.0,512.0,510.0,4.0,0.0
167,63.0,0.0,510.0,1.0,0.0
168,48.0,0.0,510.0,3.0,0.0
169,51.0,0.0,1020.0,2.0,0.0
170,62.0,0.0,510.0,1.0,0.0
171,50.0,512.0,510.0,3.0,0.0
172,38.0,0.0,510.0,4.0,0.0
173,69.0,0.0,1020.0,0.0,0.0
174,60.0,512.0,1020.0,1.0,0.0
175,51.0,0.0,510.0,3.0,0.0
