,note,step,duration,channel,velocity
0,51.0,0.0,240.0,1.0,0.0
1,63.0,60.0,60.0,0.0,0.0
2,67.0,60.0,60.0,0.0,0.0
3,70.0,60.0,60.0,0.0,0.0
4,75.0,60.0,60.0,0.0,0.0
5,65.0,60.0,60.0,0.0,0.0
6,46.0,0.0,120.0,1.0,0.0
7,74.0,60.0,60.0,0.0,0.0
8,75.0,0.0,120.0,0.0,0.0
9,39.0,60.0,60.0,1.0,0.0
10,43.0,51.0,60.0,1.0,0.0
11,63.0,9.0,60.0,0.0,0.0
12,46.0,60.0,60.0,1.0,0.0
13,51.0,51.0,60.0,1.0,0.0
14,63.0,9.0,60.0,0.0,0.0
15,46.0,60.0,60.0,1.0,0.0
16,43.0,60.0,60.0,1.0,0.0
17,39.0,0.0,240.0,1.0,0.0
18,63.0,60.0,60.0,0.0,0.0
19,67.0,60.0,60.0,0.0,0.0
20,70.0,60.0,60.0,0.0,0.0
21,75.0,60.0,60.0,0.0,0.0
22,65.0,60.0,60.0,0.0,0.0
23,46.0,60.0,120.0,1.0,0.0
24,74.0,0.0,60.0,0.0,0.0
25,39.0,60.0,60.0,1.0,0.0
26,75.0,0.0,120.0,0.0,0.0
27,43.0,51.0,60.0,1.0,0.0
28,46.0,60.0,60.0,1.0,0.0
29,63.0,9.0,60.0,0.0,0.0
30,51.0,51.0,60.0,1.0,0.0
31,46.0,60.0,60.0,1.0,0.0
32,63.0,9.0,60.0,0.0,0.0
33,43.0,51.0,60.0,1.0,0.0
34,72.0,0.0,60.0,0.0,0.0
35,44.0,120.0,60.0,1.0,0.0
36,72.0,129.0,60.0,0.0,0.0
37,51.0,0.0,60.0,1.0,0.0
38,44.0,0.0,120.0,1.0,0.0
39,72.0,60.0,60.0,0.0,0.0
40,75.0,51.0,60.0,0.0,0.0
41,70.0,120.0,60.0,0.0,0.0
42,43.0,0.0,60.0,1.0,0.0
43,51.0,0.0,60.0,1.0,0.0
44,70.0,129.0,60.0,0.0,0.0
45,43.0,51.0,120.0,1.0,0.0
46,70.0,60.0,60.0,0.0,0.0
47,75.0,0.0,60.0,0.0,0.0
48,68.0,0.0,60.0,0.0,0.0
49,41.0,129.0,60.0,1.0,0.0
50,70.0,60.0,60.0,0.0,0.0
51,50.0,0.0,120.0,1.0,0.0
52,68.0,60.0,60.0,0.0,0.0
53,51.0,60.0,120.0,1.0,0.0
54,67.0,60.0,60.0,0.0,0.0
55,68.0,0.0,60.0,0.0,0.0
56,65.0,0.0,360.0,0.0,0.0
57,46.0,60.0,60.0,1.0,0.0
58,48.0,60.0,60.0,1.0,0.0
59,50.0,60.0,60.0,1.0,0.0
60,46.0,60.0,60.0,1.0,0.0
61,48.0,60.0,60.0,1.0,0.0
62,50.0,60.0,60.0,1.0,0.0
63,63.0,60.0,60.0,0.0,0.0
64,51.0,60.0,240.0,1.0,0.0
65,67.0,60.0,60.0,0.0,0.0
66,70.0,60.0,60.0,0.0,0.0
67,75.0,0.0,60.0,0.0,0.0
68,46.0,60.0,120.0,1.0,0.0
69,65.0,60.0,60.0,0.0,0.0
70,74.0,0.0,60.0,0.0,0.0
71,39.0,60.0,60.0,1.0,0.0
72,75.0,51.0,120.0,0.0,0.0
73,43.0,0.0,60.0,1.0,0.0
74,46.0,60.0,60.0,1.0,0.0
75,63.0,9.0,60.0,0.0,0.0
76,51.0,51.0,60.0,1.0,0.0
77,63.0,9.0,60.0,0.0,0.0
78,46.0,60.0,60.0,1.0,0.0
79,43.0,60.0,60.0,1.0,0.0
80,39.0,0.0,240.0,1.0,0.0
81,63.0,60.0,60.0,0.0,0.0
82,67.0,60.0,60.0,0.0,0.0
83,70.0,60.0,60.0,0.0,0.0
84,75.0,60.0,60.0,0.0,0.0
85,65.0,60.0,60.0,0.0,0.0
86,46.0,60.0,120.0,1.0,0.0
87,74.0,0.0,60.0,0.0,0.0
88,75.0,51.0,120.0,0.0,0.0
89,39.0,60.0,60.0,1.0,0.0
90,43.0,0.0,60.0,1.0,0.0
91,46.0,60.0,60.0,1.0,0.0
92,63.0,9.0,60.0,0.0,0.0
93,51.0,51.0,60.0,1.0,0.0
94,46.0,60.0,60.0,1.0,0.0
95,63.0,9.0,60.0,0.0,0.0
96,43.0,51.0,60.0,1.0,0.0
97,44.0,0.0,60.0,1.0,0.0
98,72.0,120.0,60.0,0.0,0.0
99,70.0,60.0,60.0,0.0,0.0
100,48.0,9.0,60.0,1.0,0.0
101,68.0,51.0,60.0,0.0,0.0
102,51.0,9.0,60.0,1.0,0.0
103,67.0,60.0,60.0,0.0,0.0
104,65.0,51.0,60.0,0.0,0.0
105,70.0,120.0,60.0,0.0,0.0
106,43.0,0.0,60.0,1.0,0.0
107,46.0,9.0,60.0,1.0,0.0
108,68.0,60.0,60.0,0.0,0.0
109,67.0,51.0,60.0,0.0,0.0
110,65.0,60.0,60.0,0.0,0.0
111,51.0,9.0,60.0,1.0,0.0
112,63.0,40.0,60.0,0.0,0.0
113,44.0,29.0,60.0,1.0,0.0
114,65.0,11.0,30.0,0.0,0.0
115,67.0,40.0,30.0,0.0,0.0
116,68.0,51.0,30.0,0.0,0.0
117,58.0,0.0,60.0,0.0,0.0
118,44.0,120.0,60.0,1.0,0.0
119,46.0,0.0,60.0,1.0,0.0
120,62.0,189.0,60.0,0.0,0.0
121,51.0,120.0,120.0,1.0,0.0
122,63.0,60.0,360.0,0.0,0.0
123,46.0,120.0,120.0,1.0,0.0
124,39.0,0.0,120.0,1.0,0.0
125,63.0,60.0,60.0,0.0,0.0
126,51.0,0.0,240.0,1.0,0.0
127,67.0,60.0,60.0,0.0,0.0
128,70.0,60.0,60.0,0.0,0.0
129,75.0,60.0,60.0,0.0,0.0
