,note,step,duration,channel,velocity
0,46.0,0.0,240.0,8.0,0.0
1,46.0,240.0,240.0,14.0,0.0
2,46.0,0.0,240.0,13.0,0.0
3,46.0,0.0,240.0,4.0,0.0
4,48.0,0.0,240.0,8.0,0.0
5,48.0,0.0,240.0,14.0,0.0
6,48.0,0.0,240.0,4.0,0.0
7,48.0,240.0,240.0,13.0,0.0
8,50.0,0.0,240.0,14.0,0.0
9,50.0,0.0,240.0,4.0,0.0
10,50.0,0.0,240.0,8.0,0.0
11,53.0,0.0,240.0,7.0,0.0
12,50.0,0.0,240.0,13.0,0.0
13,53.0,240.0,240.0,12.0,0.0
14,51.0,0.0,240.0,4.0,0.0
15,51.0,0.0,240.0,14.0,0.0
16,51.0,0.0,240.0,13.0,0.0
17,51.0,120.0,240.0,8.0,0.0
18,55.0,0.0,240.0,7.0,0.0
19,55.0,0.0,240.0,12.0,0.0
20,57.0,0.0,240.0,12.0,0.0
21,57.0,0.0,240.0,7.0,0.0
22,50.0,120.0,120.0,14.0,0.0
23,50.0,0.0,120.0,4.0,0.0
24,50.0,0.0,120.0,13.0,0.0
25,50.0,0.0,120.0,8.0,0.0
26,48.0,0.0,120.0,14.0,0.0
27,48.0,120.0,120.0,13.0,0.0
28,48.0,0.0,120.0,4.0,0.0
29,48.0,0.0,120.0,8.0,0.0
30,50.0,0.0,120.0,14.0,0.0
31,58.0,0.0,240.0,12.0,0.0
32,50.0,0.0,120.0,13.0,0.0
33,50.0,0.0,120.0,4.0,0.0
34,50.0,120.0,120.0,8.0,0.0
35,58.0,0.0,240.0,7.0,0.0
36,46.0,120.0,120.0,4.0,0.0
37,46.0,0.0,120.0,13.0,0.0
38,46.0,0.0,120.0,14.0,0.0
39,46.0,0.0,120.0,8.0,0.0
40,51.0,0.0,480.0,13.0,0.0
41,51.0,0.0,480.0,8.0,0.0
42,57.0,120.0,120.0,7.0,0.0
43,58.0,0.0,240.0,11.0,0.0
44,51.0,0.0,480.0,14.0,0.0
45,57.0,0.0,120.0,12.0,0.0
46,58.0,0.0,240.0,3.0,0.0
47,51.0,0.0,480.0,4.0,0.0
48,58.0,120.0,240.0,6.0,0.0
49,55.0,0.0,120.0,12.0,0.0
50,55.0,0.0,120.0,7.0,0.0
51,60.0,0.0,240.0,3.0,0.0
52,57.0,0.0,120.0,12.0,0.0
53,60.0,0.0,240.0,6.0,0.0
54,60.0,120.0,240.0,11.0,0.0
55,57.0,120.0,120.0,7.0,0.0
56,53.0,0.0,120.0,12.0,0.0
57,53.0,0.0,120.0,7.0,0.0
58,58.0,0.0,480.0,12.0,0.0
59,65.0,0.0,240.0,5.0,0.0
60,50.0,0.0,240.0,14.0,0.0
61,65.0,0.0,240.0,10.0,0.0
62,50.0,120.0,120.0,13.0,0.0
63,62.0,0.0,240.0,11.0,0.0
64,62.0,0.0,240.0,3.0,0.0
65,50.0,0.0,240.0,4.0,0.0
66,58.0,120.0,480.0,7.0,0.0
67,65.0,0.0,240.0,2.0,0.0
68,62.0,240.0,240.0,6.0,0.0
69,50.0,0.0,240.0,8.0,0.0
70,65.0,0.0,240.0,3.0,0.0
71,50.0,0.0,120.0,13.0,0.0
72,63.0,0.0,240.0,3.0,0.0
73,48.0,120.0,480.0,8.0,0.0
74,48.0,0.0,480.0,4.0,0.0
75,48.0,0.0,480.0,13.0,0.0
76,67.0,0.0,240.0,10.0,0.0
77,67.0,0.0,240.0,5.0,0.0
78,63.0,0.0,240.0,11.0,0.0
79,67.0,0.0,240.0,2.0,0.0
80,48.0,0.0,480.0,14.0,0.0
81,67.0,0.0,240.0,3.0,0.0
82,63.0,0.0,240.0,6.0,0.0
83,69.0,0.0,240.0,10.0,0.0
84,62.0,0.0,120.0,11.0,0.0
85,62.0,0.0,120.0,3.0,0.0
