,note,step,duration,channel,velocity
0,53.0,0.0,240.0,8.0,0.0
1,53.0,0.0,240.0,13.0,0.0
2,53.0,0.0,240.0,3.0,0.0
3,53.0,0.0,240.0,7.0,0.0
4,65.0,0.0,60.0,6.0,0.0
5,72.0,0.0,60.0,2.0,0.0
6,72.0,0.0,60.0,4.0,0.0
7,69.0,0.0,60.0,2.0,0.0
8,69.0,49.0,60.0,5.0,0.0
9,72.0,0.0,15.0,10.0,0.0
10,57.0,0.0,15.0,12.0,0.0
11,65.0,0.0,60.0,5.0,0.0
12,60.0,0.0,60.0,6.0,0.0
13,65.0,49.0,60.0,2.0,0.0
14,69.0,0.0,60.0,2.0,0.0
15,69.0,0.0,60.0,4.0,0.0
16,53.0,0.0,60.0,13.0,0.0
17,65.0,71.0,15.0,11.0,0.0
18,41.0,0.0,60.0,8.0,0.0
19,41.0,0.0,60.0,7.0,0.0
20,41.0,60.0,60.0,3.0,0.0
21,60.0,0.0,60.0,2.0,0.0
22,60.0,0.0,60.0,5.0,0.0
23,57.0,0.0,60.0,6.0,0.0
24,53.0,0.0,60.0,13.0,0.0
25,65.0,49.0,60.0,4.0,0.0
26,43.0,0.0,60.0,8.0,0.0
27,43.0,0.0,60.0,7.0,0.0
28,65.0,0.0,60.0,2.0,0.0
29,43.0,11.0,60.0,3.0,0.0
30,45.0,0.0,60.0,7.0,0.0
31,45.0,0.0,60.0,8.0,0.0
32,45.0,0.0,60.0,3.0,0.0
33,50.0,49.0,60.0,13.0,0.0
34,46.0,11.0,60.0,7.0,0.0
35,46.0,0.0,60.0,3.0,0.0
36,46.0,0.0,60.0,8.0,0.0
37,48.0,60.0,60.0,8.0,0.0
38,48.0,0.0,60.0,3.0,0.0
39,48.0,0.0,60.0,7.0,0.0
40,50.0,0.0,60.0,3.0,0.0
41,74.0,0.0,60.0,2.0,0.0
42,50.0,0.0,60.0,7.0,0.0
43,65.0,0.0,60.0,11.0,0.0
44,58.0,0.0,60.0,6.0,0.0
45,65.0,0.0,60.0,2.0,0.0
46,53.0,0.0,60.0,13.0,0.0
47,74.0,0.0,60.0,10.0,0.0
48,74.0,0.0,60.0,4.0,0.0
49,58.0,0.0,60.0,12.0,0.0
50,50.0,11.0,60.0,8.0,0.0
51,65.0,49.0,60.0,5.0,0.0
52,51.0,71.0,60.0,3.0,0.0
53,51.0,0.0,60.0,7.0,0.0
54,51.0,0.0,60.0,8.0,0.0
55,72.0,0.0,60.0,4.0,0.0
56,72.0,0.0,60.0,2.0,0.0
57,65.0,0.0,60.0,2.0,0.0
58,57.0,0.0,60.0,6.0,0.0
