,note,step,duration,channel,velocity
0,43.0,48.0,180.0,5.0,61.0
1,31.0,0.0,180.0,6.0,61.0
2,62.0,0.0,180.0,1.0,65.0
3,31.0,0.0,180.0,12.0,53.0
4,43.0,0.0,180.0,12.0,53.0
5,31.0,0.0,180.0,8.0,64.0
6,43.0,0.0,180.0,8.0,64.0
7,62.0,0.0,180.0,10.0,57.0
8,67.0,0.0,1740.0,7.0,64.0
9,67.0,48.0,40.0,1.0,65.0
10,43.0,0.0,180.0,6.0,61.0
11,62.0,0.0,1140.0,3.0,59.0
12,62.0,0.0,1140.0,7.0,64.0
13,67.0,0.0,1740.0,2.0,61.0
14,55.0,0.0,180.0,8.0,64.0
15,43.0,0.0,180.0,8.0,64.0
16,43.0,0.0,180.0,12.0,53.0
17,55.0,0.0,180.0,12.0,53.0
18,58.0,2.0,1710.0,7.0,64.0
19,58.0,0.0,1710.0,4.0,61.0
20,67.0,0.0,40.0,10.0,57.0
21,62.0,192.0,1140.0,11.0,53.0
22,67.0,0.0,1740.0,11.0,53.0
23,58.0,0.0,1710.0,11.0,53.0
24,55.0,96.0,180.0,5.0,61.0
25,69.0,96.0,40.0,10.0,57.0
26,69.0,0.0,40.0,1.0,65.0
27,70.0,96.0,180.0,1.0,65.0
28,70.0,0.0,180.0,10.0,57.0
29,55.0,0.0,180.0,5.0,61.0
30,43.0,0.0,180.0,8.0,64.0
31,55.0,0.0,180.0,8.0,64.0
32,43.0,192.0,180.0,12.0,53.0
33,55.0,0.0,180.0,12.0,53.0
34,43.0,0.0,180.0,6.0,61.0
35,69.0,0.0,90.0,10.0,57.0
36,69.0,0.0,90.0,1.0,65.0
37,55.0,0.0,180.0,12.0,53.0
38,43.0,0.0,180.0,12.0,53.0
39,55.0,96.0,180.0,5.0,61.0
40,67.0,0.0,180.0,10.0,57.0
41,67.0,0.0,180.0,1.0,65.0
42,43.0,0.0,180.0,6.0,61.0
43,43.0,0.0,180.0,8.0,64.0
44,55.0,0.0,180.0,8.0,64.0
45,53.0,96.0,180.0,5.0,61.0
46,41.0,0.0,180.0,6.0,61.0
47,41.0,0.0,180.0,8.0,64.0
48,53.0,0.0,180.0,12.0,53.0
49,53.0,0.0,180.0,8.0,64.0
50,69.0,0.0,90.0,1.0,65.0
51,41.0,0.0,180.0,12.0,53.0
52,69.0,96.0,90.0,10.0,57.0
53,67.0,96.0,180.0,10.0,57.0
54,67.0,0.0,180.0,1.0,65.0
55,53.0,0.0,180.0,12.0,53.0
56,41.0,0.0,180.0,12.0,53.0
