,note,step,duration,channel,velocity
0,63.0,0.0,510.0,0.0,0.0
1,54.0,512.0,510.0,2.0,0.0
2,39.0,0.0,1020.0,3.0,0.0
3,58.0,0.0,1020.0,1.0,0.0
4,65.0,512.0,510.0,0.0,0.0
5,56.0,0.0,510.0,2.0,0.0
6,63.0,0.0,1020.0,1.0,0.0
7,58.0,0.0,1020.0,2.0,0.0
8,51.0,512.0,510.0,3.0,0.0
9,66.0,0.0,1020.0,0.0,0.0
10,52.0,512.0,510.0,3.0,0.0
11,63.0,0.0,1020.0,1.0,0.0
12,67.0,0.0,1020.0,0.0,0.0
13,58.0,512.0,1020.0,2.0,0.0
14,51.0,512.0,510.0,3.0,0.0
15,49.0,0.0,510.0,3.0,0.0
16,47.0,512.0,510.0,3.0,0.0
17,59.0,0.0,1020.0,2.0,0.0
18,68.0,512.0,1020.0,0.0,0.0
19,46.0,0.0,510.0,3.0,0.0
20,44.0,512.0,510.0,3.0,0.0
21,70.0,512.0,1020.0,0.0,0.0
22,63.0,0.0,15.0,1.0,0.0
23,58.0,0.0,1020.0,2.0,0.0
24,43.0,0.0,510.0,3.0,0.0
25,59.0,0.0,1020.0,1.0,0.0
26,51.0,512.0,510.0,2.0,0.0
27,44.0,0.0,510.0,3.0,0.0
28,68.0,0.0,1020.0,0.0,0.0
29,47.0,512.0,510.0,3.0,0.0
30,63.0,512.0,1020.0,2.0,0.0
31,58.0,1024.0,1020.0,1.0,0.0
32,51.0,0.0,510.0,3.0,0.0
33,67.0,0.0,1020.0,0.0,0.0
34,39.0,0.0,510.0,3.0,0.0
35,61.0,0.0,510.0,2.0,0.0
36,59.0,512.0,1020.0,2.0,0.0
37,44.0,0.0,1020.0,3.0,0.0
38,56.0,0.0,1020.0,1.0,0.0
39,68.0,0.0,15.0,0.0,0.0
40,44.0,0.0,1020.0,3.0,0.0
41,63.0,512.0,510.0,1.0,0.0
42,59.0,0.0,1020.0,2.0,0.0
43,65.0,512.0,510.0,1.0,0.0
44,61.0,512.0,1020.0,2.0,0.0
45,66.0,512.0,510.0,0.0,0.0
46,46.0,0.0,1020.0,3.0,0.0
47,66.0,0.0,510.0,1.0,0.0
48,54.0,0.0,1020.0,1.0,0.0
49,65.0,0.0,510.0,0.0,0.0
50,63.0,512.0,510.0,0.0,0.0
51,47.0,512.0,1020.0,3.0,0.0
52,63.0,0.0,1020.0,2.0,0.0
53,56.0,0.0,510.0,1.0,0.0
54,65.0,0.0,510.0,0.0,0.0
55,66.0,512.0,510.0,0.0,0.0
56,61.0,0.0,510.0,2.0,0.0
57,46.0,0.0,510.0,3.0,0.0
58,58.0,0.0,510.0,1.0,0.0
59,59.0,0.0,510.0,1.0,0.0
60,59.0,0.0,510.0,2.0,0.0
61,68.0,0.0,510.0,0.0,0.0
62,44.0,512.0,510.0,3.0,0.0
63,42.0,0.0,510.0,3.0,0.0
64,58.0,0.0,510.0,2.0,0.0
65,61.0,512.0,510.0,1.0,0.0
66,70.0,0.0,1020.0,0.0,0.0
67,63.0,0.0,510.0,1.0,0.0
68,47.0,0.0,1020.0,3.0,0.0
69,54.0,512.0,510.0,2.0,0.0
70,68.0,0.0,510.0,0.0,0.0
71,65.0,512.0,510.0,1.0,0.0
72,61.0,0.0,1020.0,2.0,0.0
73,46.0,0.0,510.0,3.0,0.0
74,66.0,512.0,510.0,0.0,0.0
75,66.0,0.0,1020.0,1.0,0.0
76,47.0,256.0,510.0,3.0,0.0
77,63.0,0.0,510.0,2.0,0.0
78,68.0,0.0,1020.0,0.0,0.0
79,65.0,1024.0,510.0,1.0,0.0
80,49.0,0.0,510.0,3.0,0.0
81,61.0,256.0,270.0,2.0,0.0
82,59.0,0.0,270.0,2.0,0.0
83,66.0,512.0,1020.0,0.0,0.0
84,58.0,0.0,1020.0,2.0,0.0
85,61.0,0.0,1020.0,1.0,0.0
86,42.0,0.0,1020.0,3.0,0.0
87,58.0,0.0,1020.0,1.0,0.0
88,63.0,512.0,510.0,0.0,0.0
89,54.0,0.0,510.0,2.0,0.0
90,39.0,512.0,1020.0,3.0,0.0
91,65.0,0.0,510.0,0.0,0.0
92,56.0,0.0,510.0,2.0,0.0
93,51.0,512.0,510.0,3.0,0.0
94,58.0,0.0,1020.0,2.0,0.0
95,66.0,0.0,1020.0,0.0,0.0
96,52.0,0.0,510.0,3.0,0.0
97,67.0,0.0,1020.0,0.0,0.0
98,51.0,512.0,510.0,3.0,0.0
99,58.0,0.0,1020.0,2.0,0.0
100,63.0,512.0,15.0,1.0,0.0
101,49.0,0.0,510.0,3.0,0.0
102,47.0,512.0,510.0,3.0,0.0
103,68.0,0.0,1020.0,0.0,0.0
104,59.0,512.0,1020.0,2.0,0.0
105,63.0,0.0,1020.0,1.0,0.0
106,46.0,0.0,510.0,3.0,0.0
107,44.0,512.0,510.0,3.0,0.0
108,70.0,0.0,1020.0,0.0,0.0
109,58.0,512.0,1020.0,2.0,0.0
110,63.0,0.0,1020.0,1.0,0.0
111,43.0,0.0,510.0,3.0,0.0
112,44.0,512.0,510.0,3.0,0.0
113,59.0,512.0,1020.0,1.0,0.0
114,51.0,0.0,510.0,2.0,0.0
115,68.0,0.0,1020.0,0.0,0.0
116,63.0,512.0,1020.0,2.0,0.0
117,47.0,0.0,510.0,3.0,0.0
118,51.0,0.0,510.0,3.0,0.0
119,67.0,0.0,1020.0,0.0,0.0
120,58.0,0.0,1020.0,1.0,0.0
121,61.0,0.0,510.0,2.0,0.0
122,39.0,1024.0,510.0,3.0,0.0
123,59.0,0.0,1020.0,2.0,0.0
124,56.0,0.0,1020.0,1.0,0.0
125,68.0,0.0,15.0,0.0,0.0
126,44.0,512.0,15.0,3.0,0.0
127,59.0,0.0,1020.0,2.0,0.0
128,63.0,512.0,510.0,1.0,0.0
129,65.0,0.0,510.0,1.0,0.0
130,46.0,0.0,1020.0,3.0,0.0
131,61.0,0.0,1020.0,2.0,0.0
132,66.0,512.0,510.0,1.0,0.0
133,66.0,0.0,510.0,0.0,0.0
134,65.0,512.0,510.0,0.0,0.0
135,54.0,512.0,1020.0,1.0,0.0
136,47.0,0.0,1020.0,3.0,0.0
137,63.0,0.0,510.0,0.0,0.0
138,63.0,512.0,1020.0,2.0,0.0
139,65.0,0.0,510.0,0.0,0.0
140,56.0,0.0,510.0,1.0,0.0
141,58.0,0.0,510.0,1.0,0.0
142,46.0,0.0,510.0,3.0,0.0
143,66.0,512.0,510.0,0.0,0.0
144,61.0,0.0,510.0,2.0,0.0
145,59.0,0.0,510.0,1.0,0.0
146,59.0,512.0,510.0,2.0,0.0
147,44.0,0.0,510.0,3.0,0.0
148,68.0,0.0,510.0,0.0,0.0
149,58.0,512.0,510.0,2.0,0.0
150,42.0,0.0,510.0,3.0,0.0
151,70.0,512.0,1020.0,0.0,0.0
152,61.0,0.0,510.0,1.0,0.0
153,47.0,512.0,1020.0,3.0,0.0
154,63.0,0.0,510.0,1.0,0.0
155,54.0,0.0,510.0,2.0,0.0
156,65.0,0.0,510.0,1.0,0.0
157,61.0,0.0,1020.0,2.0,0.0
158,68.0,0.0,510.0,0.0,0.0
159,46.0,512.0,510.0,3.0,0.0
160,66.0,0.0,510.0,0.0,0.0
161,66.0,256.0,1020.0,1.0,0.0
162,47.0,0.0,510.0,3.0,0.0
163,63.0,0.0,510.0,2.0,0.0
164,68.0,0.0,1020.0,0.0,0.0
165,61.0,256.0,270.0,2.0,0.0
166,49.0,1024.0,510.0,3.0,0.0
167,65.0,0.0,510.0,1.0,0.0
168,59.0,0.0,270.0,2.0,0.0
169,58.0,512.0,1020.0,2.0,0.0
170,42.0,0.0,1020.0,3.0,0.0
171,61.0,0.0,1020.0,1.0,0.0
172,66.0,0.0,1020.0,0.0,0.0
173,41.0,0.0,1020.0,3.0,0.0
174,56.0,0.0,1530.0,2.0,0.0
175,68.0,0.0,1020.0,0.0,0.0
176,61.0,512.0,510.0,1.0,0.0
177,59.0,512.0,510.0,1.0,0.0
178,58.0,512.0,510.0,1.0,0.0
179,70.0,512.0,1020.0,0.0,0.0
180,42.0,0.0,510.0,3.0,0.0
181,44.0,0.0,510.0,3.0,0.0
182,60.0,0.0,510.0,1.0,0.0
183,54.0,0.0,510.0,2.0,0.0
184,53.0,0.0,510.0,2.0,0.0
185,46.0,0.0,510.0,3.0,0.0
186,61.0,0.0,510.0,1.0,0.0
187,68.0,512.0,510.0,0.0,0.0
188,63.0,0.0,510.0,1.0,0.0
189,51.0,0.0,510.0,2.0,0.0
190,48.0,0.0,510.0,3.0,0.0
191,66.0,512.0,510.0,0.0,0.0
192,49.0,512.0,510.0,3.0,0.0
193,56.0,512.0,1020.0,1.0,0.0
194,65.0,0.0,1020.0,0.0,0.0
195,49.0,512.0,1530.0,2.0,0.0
196,47.0,0.0,510.0,3.0,0.0
197,46.0,0.0,1020.0,3.0,0.0
198,66.0,512.0,1020.0,0.0,0.0
199,61.0,0.0,1020.0,1.0,0.0
200,51.0,0.0,510.0,2.0,0.0
201,59.0,0.0,1020.0,1.0,0.0
202,44.0,512.0,1020.0,3.0,0.0
203,53.0,0.0,510.0,2.0,0.0
204,68.0,512.0,510.0,0.0,0.0
205,51.0,512.0,1020.0,2.0,0.0
206,66.0,0.0,510.0,0.0,0.0
207,65.0,0.0,1020.0,0.0,0.0
208,46.0,0.0,1020.0,3.0,0.0
209,53.0,0.0,510.0,1.0,0.0
210,50.0,0.0,510.0,2.0,0.0
211,54.0,0.0,1020.0,2.0,0.0
212,58.0,1024.0,15.0,1.0,0.0
213,39.0,0.0,1020.0,3.0,0.0
214,63.0,0.0,15.0,0.0,0.0
215,51.0,512.0,510.0,3.0,0.0
