,note,step,duration,channel,velocity
0,46.0,240.0,240.0,0.0,64.0
1,73.0,120.0,120.0,0.0,64.0
2,72.0,0.0,120.0,0.0,64.0
3,70.0,60.0,240.0,0.0,64.0
4,48.0,360.0,240.0,0.0,64.0
5,69.0,60.0,60.0,0.0,64.0
6,70.0,120.0,60.0,0.0,64.0
7,69.0,0.0,120.0,0.0,64.0
8,70.0,120.0,360.0,0.0,64.0
9,49.0,0.0,240.0,0.0,64.0
10,72.0,120.0,120.0,0.0,64.0
11,70.0,120.0,120.0,0.0,64.0
12,69.0,120.0,120.0,0.0,64.0
13,70.0,120.0,120.0,0.0,64.0
14,72.0,120.0,120.0,0.0,64.0
15,73.0,120.0,120.0,0.0,64.0
16,75.0,240.0,120.0,0.0,64.0
17,37.0,120.0,240.0,0.0,64.0
18,77.0,0.0,240.0,0.0,64.0
19,78.0,120.0,120.0,0.0,64.0
20,77.0,120.0,120.0,0.0,64.0
21,39.0,120.0,240.0,0.0,64.0
22,75.0,120.0,120.0,0.0,64.0
23,73.0,0.0,120.0,0.0,64.0
24,72.0,120.0,120.0,0.0,64.0
25,70.0,240.0,120.0,0.0,64.0
26,41.0,240.0,240.0,0.0,64.0
27,69.0,0.0,240.0,0.0,64.0
28,72.0,240.0,240.0,0.0,64.0
29,65.0,360.0,240.0,0.0,64.0
30,45.0,0.0,240.0,0.0,64.0
31,75.0,120.0,360.0,0.0,64.0
32,46.0,0.0,240.0,0.0,64.0
33,73.0,120.0,120.0,0.0,64.0
34,72.0,120.0,120.0,0.0,64.0
35,70.0,120.0,120.0,0.0,64.0
36,73.0,120.0,120.0,0.0,64.0
37,34.0,120.0,240.0,0.0,64.0
38,72.0,0.0,120.0,0.0,64.0
39,70.0,120.0,120.0,0.0,64.0
40,68.0,240.0,120.0,0.0,64.0
41,67.0,240.0,240.0,0.0,64.0
42,39.0,0.0,240.0,0.0,64.0
43,70.0,240.0,240.0,0.0,64.0
44,43.0,0.0,240.0,0.0,64.0
45,63.0,360.0,240.0,0.0,64.0
46,73.0,120.0,360.0,0.0,64.0
47,44.0,120.0,240.0,0.0,64.0
48,72.0,0.0,120.0,0.0,64.0
49,70.0,120.0,120.0,0.0,64.0
50,68.0,120.0,120.0,0.0,64.0
51,32.0,0.0,240.0,0.0,64.0
52,72.0,120.0,120.0,0.0,64.0
53,70.0,120.0,120.0,0.0,64.0
54,68.0,120.0,120.0,0.0,64.0
55,67.0,120.0,120.0,0.0,64.0
56,37.0,120.0,240.0,0.0,64.0
57,65.0,120.0,120.0,0.0,64.0
58,67.0,0.0,120.0,0.0,64.0
59,65.0,120.0,120.0,0.0,64.0
60,49.0,120.0,240.0,0.0,64.0
61,64.0,0.0,120.0,0.0,64.0
62,65.0,120.0,120.0,0.0,64.0
63,48.0,120.0,240.0,0.0,64.0
64,67.0,0.0,120.0,0.0,64.0
65,46.0,0.0,240.0,0.0,64.0
66,68.0,120.0,120.0,0.0,64.0
67,70.0,120.0,120.0,0.0,64.0
68,68.0,120.0,120.0,0.0,64.0
69,72.0,240.0,240.0,0.0,64.0
70,53.0,0.0,240.0,0.0,64.0
71,67.0,0.0,120.0,0.0,64.0
72,58.0,0.0,240.0,0.0,64.0
73,73.0,60.0,240.0,0.0,64.0
74,65.0,0.0,240.0,0.0,64.0
75,72.0,0.0,240.0,0.0,64.0
76,56.0,0.0,240.0,0.0,64.0
77,67.0,60.0,60.0,0.0,64.0
78,65.0,120.0,60.0,0.0,64.0
79,64.0,240.0,120.0,0.0,64.0
80,55.0,0.0,240.0,0.0,64.0
81,70.0,120.0,240.0,0.0,64.0
82,65.0,120.0,360.0,0.0,64.0
83,53.0,0.0,240.0,0.0,64.0
84,68.0,120.0,240.0,0.0,64.0
85,67.0,0.0,120.0,0.0,64.0
86,49.0,0.0,240.0,0.0,64.0
87,65.0,120.0,120.0,0.0,64.0
88,70.0,0.0,240.0,0.0,64.0
89,64.0,120.0,120.0,0.0,64.0
90,65.0,120.0,120.0,0.0,64.0
91,68.0,0.0,240.0,0.0,64.0
92,48.0,120.0,240.0,0.0,64.0
93,67.0,0.0,120.0,0.0,64.0
94,67.0,240.0,240.0,0.0,64.0
95,46.0,0.0,240.0,0.0,64.0
96,68.0,120.0,120.0,0.0,64.0
97,70.0,0.0,120.0,0.0,64.0
98,72.0,0.0,240.0,0.0,64.0
99,44.0,120.0,240.0,0.0,64.0
100,65.0,120.0,480.0,0.0,64.0
101,73.0,120.0,120.0,0.0,64.0
102,72.0,0.0,120.0,0.0,64.0
103,37.0,120.0,240.0,0.0,64.0
104,70.0,120.0,120.0,0.0,64.0
105,68.0,0.0,120.0,0.0,64.0
106,70.0,120.0,360.0,0.0,64.0
107,67.0,120.0,120.0,0.0,64.0
108,65.0,120.0,120.0,0.0,64.0
109,64.0,0.0,240.0,0.0,64.0
110,36.0,0.0,240.0,0.0,64.0
111,72.0,120.0,120.0,0.0,64.0
112,67.0,120.0,240.0,0.0,64.0
113,70.0,120.0,120.0,0.0,64.0
114,68.0,0.0,120.0,0.0,64.0
115,70.0,120.0,120.0,0.0,64.0
116,60.0,120.0,240.0,0.0,64.0
117,72.0,0.0,120.0,0.0,64.0
118,74.0,120.0,120.0,0.0,64.0
119,70.0,120.0,360.0,0.0,64.0
120,76.0,120.0,120.0,0.0,64.0
121,77.0,120.0,240.0,0.0,64.0
122,41.0,0.0,240.0,0.0,64.0
123,68.0,0.0,120.0,0.0,64.0
124,67.0,120.0,120.0,0.0,64.0
125,72.0,0.0,240.0,0.0,64.0
126,65.0,120.0,120.0,0.0,64.0
127,68.0,120.0,120.0,0.0,64.0
128,53.0,0.0,240.0,0.0,64.0
129,65.0,0.0,240.0,0.0,64.0
130,67.0,120.0,120.0,0.0,64.0
131,68.0,120.0,360.0,0.0,64.0
132,65.0,120.0,120.0,0.0,64.0
133,63.0,120.0,120.0,0.0,64.0
134,46.0,0.0,240.0,0.0,64.0
135,62.0,120.0,240.0,0.0,64.0
136,70.0,0.0,120.0,0.0,64.0
137,65.0,120.0,240.0,0.0,64.0
138,68.0,120.0,120.0,0.0,64.0
139,67.0,0.0,120.0,0.0,64.0
140,68.0,120.0,120.0,0.0,64.0
141,58.0,120.0,240.0,0.0,64.0
142,70.0,0.0,120.0,0.0,64.0
143,72.0,120.0,120.0,0.0,64.0
144,68.0,120.0,360.0,0.0,64.0
145,74.0,120.0,120.0,0.0,64.0
146,75.0,120.0,240.0,0.0,64.0
147,39.0,0.0,240.0,0.0,64.0
148,67.0,0.0,120.0,0.0,64.0
149,65.0,120.0,120.0,0.0,64.0
150,70.0,0.0,240.0,0.0,64.0
151,63.0,120.0,120.0,0.0,64.0
152,51.0,120.0,240.0,0.0,64.0
153,67.0,120.0,120.0,0.0,64.0
154,63.0,0.0,240.0,0.0,64.0
155,65.0,0.0,120.0,0.0,64.0
156,67.0,120.0,360.0,0.0,64.0
157,63.0,120.0,120.0,0.0,64.0
158,61.0,120.0,120.0,0.0,64.0
159,60.0,0.0,600.0,0.0,64.0
160,44.0,0.0,240.0,0.0,64.0
161,72.0,120.0,120.0,0.0,64.0
162,43.0,0.0,240.0,0.0,64.0
163,70.0,120.0,120.0,0.0,64.0
164,72.0,60.0,120.0,0.0,64.0
165,45.0,120.0,240.0,0.0,64.0
166,65.0,60.0,60.0,0.0,64.0
167,67.0,120.0,60.0,0.0,64.0
168,58.0,0.0,120.0,0.0,64.0
169,65.0,0.0,840.0,0.0,64.0
170,41.0,0.0,240.0,0.0,64.0
171,60.0,120.0,120.0,0.0,64.0
172,63.0,120.0,120.0,0.0,64.0
173,46.0,120.0,240.0,0.0,64.0
174,62.0,120.0,120.0,0.0,64.0
175,60.0,0.0,120.0,0.0,64.0
176,62.0,120.0,120.0,0.0,64.0
177,45.0,60.0,240.0,0.0,64.0
178,63.0,0.0,120.0,0.0,64.0
179,62.0,120.0,120.0,0.0,64.0
180,47.0,120.0,240.0,0.0,64.0
181,67.0,60.0,60.0,0.0,64.0
182,68.0,0.0,60.0,0.0,64.0
183,60.0,0.0,120.0,0.0,64.0
184,67.0,0.0,840.0,0.0,64.0
185,62.0,120.0,120.0,0.0,64.0
186,43.0,120.0,240.0,0.0,64.0
187,65.0,0.0,120.0,0.0,64.0
188,64.0,120.0,120.0,0.0,64.0
189,48.0,0.0,240.0,0.0,64.0
190,62.0,120.0,120.0,0.0,64.0
191,46.0,60.0,240.0,0.0,64.0
192,64.0,120.0,120.0,0.0,64.0
193,65.0,0.0,120.0,0.0,64.0
194,64.0,0.0,120.0,0.0,64.0
195,68.0,60.0,60.0,0.0,64.0
196,48.0,0.0,240.0,0.0,64.0
197,70.0,120.0,60.0,0.0,64.0
198,68.0,0.0,480.0,0.0,64.0
199,62.0,120.0,120.0,0.0,64.0
200,44.0,0.0,240.0,0.0,64.0
201,64.0,120.0,120.0,0.0,64.0
202,67.0,60.0,120.0,0.0,64.0
203,65.0,60.0,60.0,0.0,64.0
204,49.0,0.0,240.0,0.0,64.0
205,67.0,120.0,15.0,0.0,64.0
206,65.0,60.0,840.0,0.0,64.0
