,note,step,duration,channel,velocity
0,56.0,192.0,180.0,0.0,64.0
1,58.0,192.0,180.0,0.0,64.0
2,60.0,192.0,180.0,0.0,64.0
3,60.0,192.0,180.0,0.0,64.0
4,61.0,192.0,180.0,0.0,64.0
5,63.0,192.0,15.0,0.0,64.0
6,65.0,192.0,180.0,0.0,64.0
7,67.0,48.0,180.0,0.0,64.0
8,68.0,48.0,40.0,0.0,64.0
9,44.0,192.0,180.0,0.0,64.0
10,67.0,96.0,40.0,0.0,64.0
11,68.0,192.0,300.0,0.0,64.0
12,46.0,0.0,180.0,0.0,64.0
13,63.0,48.0,180.0,0.0,64.0
14,48.0,0.0,15.0,0.0,64.0
15,68.0,48.0,40.0,0.0,64.0
16,67.0,96.0,40.0,0.0,64.0
17,68.0,192.0,300.0,0.0,64.0
18,49.0,0.0,180.0,0.0,64.0
19,51.0,48.0,180.0,0.0,64.0
20,63.0,0.0,180.0,0.0,64.0
21,51.0,192.0,180.0,0.0,64.0
22,70.0,48.0,40.0,0.0,64.0
23,68.0,96.0,40.0,0.0,64.0
24,70.0,0.0,300.0,0.0,64.0
25,53.0,192.0,180.0,0.0,64.0
26,63.0,192.0,180.0,0.0,64.0
27,55.0,0.0,180.0,0.0,64.0
28,72.0,96.0,180.0,0.0,64.0
29,56.0,96.0,390.0,0.0,64.0
30,68.0,96.0,90.0,0.0,64.0
31,70.0,0.0,90.0,0.0,64.0
32,72.0,96.0,90.0,0.0,64.0
33,51.0,192.0,180.0,0.0,64.0
34,73.0,0.0,90.0,0.0,64.0
35,75.0,96.0,180.0,0.0,64.0
36,56.0,0.0,390.0,0.0,64.0
37,77.0,96.0,90.0,0.0,64.0
38,75.0,96.0,90.0,0.0,64.0
39,51.0,192.0,180.0,0.0,64.0
40,73.0,96.0,90.0,0.0,64.0
41,72.0,0.0,90.0,0.0,64.0
42,58.0,96.0,390.0,0.0,64.0
43,73.0,96.0,180.0,0.0,64.0
44,75.0,96.0,90.0,0.0,64.0
45,73.0,0.0,90.0,0.0,64.0
46,72.0,96.0,90.0,0.0,64.0
47,51.0,192.0,180.0,0.0,64.0
48,70.0,0.0,90.0,0.0,64.0
49,68.0,96.0,180.0,0.0,64.0
50,60.0,0.0,180.0,0.0,64.0
51,63.0,0.0,180.0,0.0,64.0
52,56.0,96.0,90.0,0.0,64.0
53,58.0,96.0,90.0,0.0,64.0
54,60.0,96.0,90.0,0.0,64.0
55,68.0,192.0,180.0,0.0,64.0
56,61.0,0.0,90.0,0.0,64.0
57,72.0,0.0,180.0,0.0,64.0
58,63.0,96.0,180.0,0.0,64.0
59,68.0,96.0,180.0,0.0,64.0
60,65.0,96.0,90.0,0.0,64.0
61,63.0,0.0,90.0,0.0,64.0
62,72.0,0.0,180.0,0.0,64.0
63,61.0,96.0,90.0,0.0,64.0
64,60.0,192.0,90.0,0.0,64.0
65,75.0,96.0,180.0,0.0,64.0
66,61.0,0.0,180.0,0.0,64.0
67,72.0,96.0,180.0,0.0,64.0
68,63.0,96.0,90.0,0.0,64.0
69,61.0,0.0,90.0,0.0,64.0
70,75.0,192.0,180.0,0.0,64.0
71,60.0,96.0,90.0,0.0,64.0
72,58.0,0.0,90.0,0.0,64.0
73,60.0,192.0,180.0,0.0,64.0
74,80.0,0.0,180.0,0.0,64.0
75,55.0,192.0,180.0,0.0,64.0
76,70.0,0.0,180.0,0.0,64.0
77,72.0,96.0,390.0,0.0,64.0
78,56.0,192.0,180.0,0.0,64.0
79,51.0,96.0,390.0,0.0,64.0
80,60.0,96.0,90.0,0.0,64.0
81,75.0,0.0,90.0,0.0,64.0
82,58.0,0.0,90.0,0.0,64.0
83,73.0,0.0,90.0,0.0,64.0
84,72.0,0.0,90.0,0.0,64.0
85,56.0,96.0,90.0,0.0,64.0
86,55.0,0.0,90.0,0.0,64.0
87,70.0,0.0,90.0,0.0,64.0
88,72.0,96.0,180.0,0.0,64.0
89,48.0,0.0,390.0,0.0,64.0
90,56.0,0.0,180.0,0.0,64.0
91,60.0,96.0,90.0,0.0,64.0
92,75.0,0.0,90.0,0.0,64.0
93,58.0,96.0,90.0,0.0,64.0
94,73.0,0.0,90.0,0.0,64.0
95,56.0,0.0,90.0,0.0,64.0
96,72.0,96.0,90.0,0.0,64.0
97,51.0,96.0,180.0,0.0,64.0
98,70.0,0.0,90.0,0.0,64.0
99,55.0,0.0,90.0,0.0,64.0
100,44.0,96.0,390.0,0.0,64.0
101,56.0,0.0,180.0,0.0,64.0
102,72.0,96.0,90.0,0.0,64.0
103,73.0,96.0,90.0,0.0,64.0
104,72.0,96.0,90.0,0.0,64.0
105,51.0,0.0,180.0,0.0,64.0
106,70.0,0.0,90.0,0.0,64.0
107,56.0,96.0,180.0,0.0,64.0
108,68.0,96.0,90.0,0.0,64.0
109,67.0,0.0,90.0,0.0,64.0
110,60.0,0.0,180.0,0.0,64.0
111,68.0,96.0,90.0,0.0,64.0
112,77.0,96.0,90.0,0.0,64.0
113,75.0,96.0,90.0,0.0,64.0
114,56.0,96.0,180.0,0.0,64.0
115,73.0,0.0,90.0,0.0,64.0
116,72.0,96.0,90.0,0.0,64.0
117,60.0,96.0,180.0,0.0,64.0
118,70.0,0.0,90.0,0.0,64.0
119,63.0,0.0,180.0,0.0,64.0
120,72.0,96.0,90.0,0.0,64.0
121,80.0,96.0,90.0,0.0,64.0
122,60.0,0.0,180.0,0.0,64.0
123,79.0,96.0,90.0,0.0,64.0
124,77.0,96.0,90.0,0.0,64.0
125,63.0,192.0,180.0,0.0,64.0
126,75.0,96.0,90.0,0.0,64.0
127,73.0,0.0,90.0,0.0,64.0
128,72.0,0.0,180.0,0.0,64.0
129,68.0,192.0,180.0,0.0,64.0
130,58.0,0.0,180.0,0.0,64.0
131,67.0,192.0,180.0,0.0,64.0
132,68.0,96.0,390.0,0.0,64.0
133,60.0,0.0,390.0,0.0,64.0
134,56.0,192.0,180.0,0.0,64.0
135,51.0,0.0,390.0,0.0,64.0
136,72.0,96.0,90.0,0.0,64.0
137,63.0,0.0,90.0,0.0,64.0
138,70.0,96.0,90.0,0.0,64.0
139,61.0,0.0,90.0,0.0,64.0
140,60.0,0.0,90.0,0.0,64.0
141,56.0,0.0,180.0,0.0,64.0
142,68.0,96.0,90.0,0.0,64.0
143,67.0,192.0,90.0,0.0,64.0
144,58.0,0.0,90.0,0.0,64.0
145,48.0,96.0,390.0,0.0,64.0
146,68.0,96.0,180.0,0.0,64.0
147,60.0,0.0,180.0,0.0,64.0
148,63.0,96.0,90.0,0.0,64.0
149,72.0,0.0,90.0,0.0,64.0
150,61.0,0.0,90.0,0.0,64.0
151,70.0,0.0,90.0,0.0,64.0
152,60.0,96.0,90.0,0.0,64.0
153,68.0,0.0,90.0,0.0,64.0
154,51.0,192.0,180.0,0.0,64.0
155,58.0,0.0,90.0,0.0,64.0
156,67.0,0.0,90.0,0.0,64.0
157,68.0,192.0,180.0,0.0,64.0
158,60.0,0.0,390.0,0.0,64.0
159,44.0,192.0,390.0,0.0,64.0
160,70.0,0.0,180.0,0.0,64.0
161,72.0,192.0,180.0,0.0,64.0
162,56.0,0.0,390.0,0.0,64.0
163,72.0,192.0,180.0,0.0,64.0
164,73.0,192.0,180.0,0.0,64.0
165,75.0,192.0,180.0,0.0,64.0
166,55.0,192.0,390.0,0.0,64.0
167,75.0,192.0,180.0,0.0,64.0
168,77.0,0.0,180.0,0.0,64.0
169,79.0,192.0,180.0,0.0,64.0
170,65.0,192.0,180.0,0.0,64.0
171,80.0,192.0,390.0,0.0,64.0
172,53.0,0.0,390.0,0.0,64.0
173,67.0,0.0,180.0,0.0,64.0
174,72.0,192.0,180.0,0.0,64.0
175,68.0,0.0,180.0,0.0,64.0
176,41.0,192.0,390.0,0.0,64.0
177,68.0,192.0,180.0,0.0,64.0
178,77.0,0.0,180.0,0.0,64.0
179,79.0,0.0,180.0,0.0,64.0
180,70.0,0.0,180.0,0.0,64.0
181,80.0,192.0,180.0,0.0,64.0
182,72.0,0.0,180.0,0.0,64.0
183,39.0,0.0,390.0,0.0,64.0
184,72.0,192.0,180.0,0.0,64.0
185,74.0,192.0,180.0,0.0,64.0
186,75.0,192.0,180.0,0.0,64.0
187,77.0,192.0,390.0,0.0,64.0
188,58.0,192.0,180.0,0.0,64.0
189,38.0,0.0,390.0,0.0,64.0
190,60.0,0.0,180.0,0.0,64.0
191,70.0,0.0,180.0,0.0,64.0
192,46.0,0.0,390.0,0.0,64.0
193,62.0,192.0,15.0,0.0,64.0
194,77.0,0.0,390.0,0.0,64.0
195,63.0,192.0,180.0,0.0,64.0
196,65.0,0.0,180.0,0.0,64.0
197,80.0,0.0,15.0,0.0,64.0
198,44.0,0.0,390.0,0.0,64.0
199,65.0,192.0,180.0,0.0,64.0
200,74.0,0.0,390.0,0.0,64.0
201,67.0,192.0,180.0,0.0,64.0
202,77.0,192.0,180.0,0.0,64.0
203,68.0,0.0,180.0,0.0,64.0
204,70.0,0.0,180.0,0.0,64.0
205,43.0,192.0,390.0,0.0,64.0
206,72.0,0.0,180.0,0.0,64.0
207,68.0,0.0,180.0,0.0,64.0
208,67.0,0.0,180.0,0.0,64.0
209,74.0,192.0,180.0,0.0,64.0
210,75.0,96.0,1920.0,0.0,64.0
211,48.0,192.0,390.0,0.0,64.0
212,67.0,192.0,180.0,0.0,64.0
213,65.0,0.0,180.0,0.0,64.0
214,67.0,0.0,180.0,0.0,64.0
215,63.0,192.0,15.0,0.0,64.0
216,72.0,0.0,180.0,0.0,64.0
217,36.0,192.0,390.0,0.0,64.0
218,70.0,0.0,180.0,0.0,64.0
219,62.0,0.0,180.0,0.0,64.0
220,68.0,0.0,180.0,0.0,64.0
221,60.0,192.0,15.0,0.0,64.0
222,68.0,192.0,180.0,0.0,64.0
223,41.0,0.0,390.0,0.0,64.0
224,58.0,192.0,180.0,0.0,64.0
225,67.0,0.0,180.0,0.0,64.0
226,65.0,0.0,180.0,0.0,64.0
227,56.0,192.0,180.0,0.0,64.0
228,46.0,96.0,390.0,0.0,64.0
229,56.0,0.0,180.0,0.0,64.0
230,65.0,0.0,390.0,0.0,64.0
231,77.0,96.0,90.0,0.0,64.0
232,55.0,0.0,180.0,0.0,64.0
233,75.0,0.0,90.0,0.0,64.0
234,74.0,96.0,90.0,0.0,64.0
235,72.0,0.0,90.0,0.0,64.0
236,70.0,96.0,90.0,0.0,64.0
237,53.0,96.0,15.0,0.0,64.0
238,34.0,0.0,390.0,0.0,64.0
239,72.0,96.0,90.0,0.0,64.0
240,74.0,96.0,90.0,0.0,64.0
241,51.0,0.0,180.0,0.0,64.0
242,62.0,0.0,390.0,0.0,64.0
243,75.0,96.0,90.0,0.0,64.0
244,50.0,0.0,180.0,0.0,64.0
245,77.0,96.0,90.0,0.0,64.0
246,68.0,192.0,90.0,0.0,64.0
247,51.0,192.0,180.0,0.0,64.0
248,39.0,0.0,390.0,0.0,64.0
249,67.0,0.0,390.0,0.0,64.0
250,58.0,192.0,390.0,0.0,64.0
251,53.0,0.0,180.0,0.0,64.0
252,55.0,192.0,15.0,0.0,64.0
253,56.0,192.0,180.0,0.0,64.0
254,58.0,192.0,15.0,0.0,64.0
255,60.0,192.0,180.0,0.0,64.0
256,62.0,384.0,180.0,0.0,64.0
257,63.0,192.0,390.0,0.0,64.0
258,65.0,0.0,180.0,0.0,64.0
259,58.0,0.0,180.0,0.0,64.0
260,67.0,192.0,15.0,0.0,64.0
261,63.0,192.0,390.0,0.0,64.0
262,68.0,0.0,180.0,0.0,64.0
263,70.0,0.0,180.0,0.0,64.0
264,58.0,192.0,180.0,0.0,64.0
265,65.0,0.0,390.0,0.0,64.0
266,56.0,0.0,390.0,0.0,64.0
267,70.0,192.0,180.0,0.0,64.0
268,72.0,192.0,180.0,0.0,64.0
269,74.0,192.0,180.0,0.0,64.0
270,58.0,0.0,180.0,0.0,64.0
271,75.0,0.0,390.0,0.0,64.0
272,70.0,96.0,390.0,0.0,64.0
273,55.0,96.0,180.0,0.0,64.0
274,51.0,96.0,90.0,0.0,64.0
275,53.0,0.0,90.0,0.0,64.0
276,55.0,96.0,90.0,0.0,64.0
277,70.0,192.0,180.0,0.0,64.0
278,56.0,0.0,90.0,0.0,64.0
279,79.0,0.0,390.0,0.0,64.0
280,58.0,96.0,180.0,0.0,64.0
