,note,step,duration,channel,velocity
0,48.0,48.0,60.0,1.0,0.0
1,60.0,34.0,60.0,1.0,0.0
2,67.0,14.0,30.0,0.0,0.0
3,59.0,48.0,60.0,1.0,0.0
4,60.0,34.0,60.0,1.0,0.0
5,52.0,48.0,60.0,1.0,0.0
6,72.0,14.0,30.0,0.0,0.0
7,60.0,34.0,60.0,1.0,0.0
8,59.0,48.0,60.0,1.0,0.0
9,67.0,14.0,30.0,0.0,0.0
10,60.0,48.0,60.0,1.0,0.0
11,69.0,46.0,90.0,0.0,0.0
12,53.0,48.0,60.0,1.0,0.0
13,60.0,2.0,60.0,1.0,0.0
14,62.0,48.0,60.0,1.0,0.0
15,65.0,34.0,90.0,0.0,0.0
16,60.0,0.0,60.0,1.0,0.0
17,62.0,14.0,30.0,0.0,0.0
18,59.0,48.0,60.0,1.0,0.0
19,57.0,34.0,60.0,1.0,0.0
20,67.0,14.0,30.0,0.0,0.0
21,55.0,48.0,60.0,1.0,0.0
22,53.0,34.0,60.0,1.0,0.0
23,60.0,14.0,30.0,0.0,0.0
24,52.0,48.0,60.0,1.0,0.0
25,60.0,48.0,60.0,1.0,0.0
26,59.0,2.0,60.0,1.0,0.0
27,62.0,46.0,60.0,0.0,0.0
28,60.0,2.0,60.0,1.0,0.0
29,64.0,32.0,60.0,0.0,0.0
30,57.0,48.0,60.0,1.0,0.0
31,65.0,14.0,30.0,0.0,0.0
32,60.0,34.0,60.0,1.0,0.0
33,64.0,14.0,30.0,0.0,0.0
34,55.0,48.0,60.0,1.0,0.0
35,60.0,48.0,60.0,1.0,0.0
36,62.0,0.0,90.0,0.0,0.0
37,53.0,48.0,60.0,1.0,0.0
38,60.0,48.0,60.0,1.0,0.0
39,67.0,0.0,90.0,0.0,0.0
40,52.0,48.0,60.0,1.0,0.0
41,60.0,34.0,60.0,1.0,0.0
42,50.0,48.0,60.0,1.0,0.0
43,65.0,14.0,30.0,0.0,0.0
44,60.0,34.0,60.0,1.0,0.0
45,48.0,48.0,60.0,1.0,0.0
46,64.0,14.0,30.0,0.0,0.0
47,60.0,34.0,60.0,1.0,0.0
48,59.0,14.0,30.0,1.0,0.0
49,62.0,48.0,60.0,0.0,0.0
50,67.0,34.0,60.0,0.0,0.0
51,66.0,48.0,60.0,0.0,0.0
52,50.0,14.0,30.0,1.0,0.0
53,67.0,34.0,60.0,0.0,0.0
54,55.0,14.0,30.0,1.0,0.0
55,59.0,48.0,60.0,0.0,0.0
56,67.0,34.0,60.0,0.0,0.0
57,50.0,14.0,30.0,1.0,0.0
58,66.0,48.0,60.0,0.0,0.0
59,67.0,48.0,60.0,0.0,0.0
60,60.0,48.0,60.0,0.0,0.0
61,52.0,46.0,90.0,1.0,0.0
62,67.0,2.0,60.0,0.0,0.0
63,69.0,48.0,60.0,0.0,0.0
64,48.0,0.0,90.0,1.0,0.0
65,67.0,34.0,60.0,0.0,0.0
66,45.0,14.0,30.0,1.0,0.0
67,66.0,48.0,60.0,0.0,0.0
68,64.0,34.0,60.0,0.0,0.0
69,50.0,14.0,30.0,1.0,0.0
70,62.0,48.0,60.0,0.0,0.0
71,60.0,48.0,60.0,0.0,0.0
72,43.0,0.0,90.0,1.0,0.0
73,59.0,48.0,60.0,0.0,0.0
74,67.0,48.0,60.0,0.0,0.0
75,45.0,46.0,60.0,1.0,0.0
76,66.0,2.0,60.0,0.0,0.0
77,47.0,32.0,60.0,1.0,0.0
78,67.0,2.0,60.0,0.0,0.0
79,48.0,14.0,30.0,1.0,0.0
80,64.0,48.0,60.0,0.0,0.0
81,67.0,34.0,60.0,0.0,0.0
82,62.0,48.0,60.0,0.0,0.0
83,47.0,14.0,30.0,1.0,0.0
84,67.0,48.0,60.0,0.0,0.0
85,45.0,46.0,90.0,1.0,0.0
86,60.0,48.0,60.0,0.0,0.0
87,67.0,2.0,60.0,0.0,0.0
88,50.0,34.0,90.0,1.0,0.0
89,59.0,48.0,60.0,0.0,0.0
90,67.0,0.0,60.0,0.0,0.0
91,57.0,48.0,60.0,0.0,0.0
92,48.0,14.0,30.0,1.0,0.0
93,67.0,34.0,60.0,0.0,0.0
94,47.0,14.0,30.0,1.0,0.0
95,55.0,48.0,60.0,0.0,0.0
96,67.0,34.0,60.0,0.0,0.0
97,45.0,0.0,30.0,1.0,0.0
98,66.0,62.0,30.0,0.0,0.0
99,50.0,34.0,60.0,1.0,0.0
100,48.0,48.0,60.0,1.0,0.0
101,69.0,14.0,30.0,0.0,0.0
102,50.0,34.0,60.0,1.0,0.0
103,74.0,14.0,30.0,0.0,0.0
104,47.0,48.0,60.0,1.0,0.0
105,50.0,34.0,60.0,1.0,0.0
106,48.0,48.0,60.0,1.0,0.0
107,69.0,14.0,30.0,0.0,0.0
108,50.0,48.0,60.0,1.0,0.0
109,44.0,48.0,60.0,1.0,0.0
110,71.0,46.0,90.0,0.0,0.0
111,50.0,2.0,60.0,1.0,0.0
112,68.0,0.0,90.0,0.0,0.0
113,52.0,48.0,60.0,1.0,0.0
114,50.0,34.0,60.0,1.0,0.0
115,64.0,14.0,30.0,0.0,0.0
116,48.0,48.0,60.0,1.0,0.0
117,47.0,34.0,60.0,1.0,0.0
118,45.0,48.0,60.0,1.0,0.0
119,74.0,14.0,30.0,0.0,0.0
120,44.0,34.0,60.0,1.0,0.0
121,72.0,48.0,60.0,0.0,0.0
122,45.0,14.0,30.0,1.0,0.0
123,77.0,34.0,60.0,0.0,0.0
124,76.0,48.0,60.0,0.0,0.0
125,48.0,14.0,30.0,1.0,0.0
126,77.0,34.0,60.0,0.0,0.0
127,53.0,14.0,30.0,1.0,0.0
128,74.0,48.0,60.0,0.0,0.0
129,77.0,34.0,60.0,0.0,0.0
130,76.0,48.0,60.0,0.0,0.0
131,48.0,14.0,30.0,1.0,0.0
132,77.0,48.0,60.0,0.0,0.0
133,71.0,48.0,60.0,0.0,0.0
134,50.0,46.0,90.0,1.0,0.0
135,77.0,2.0,60.0,0.0,0.0
136,47.0,34.0,90.0,1.0,0.0
137,79.0,48.0,60.0,0.0,0.0
138,77.0,0.0,60.0,0.0,0.0
139,76.0,48.0,60.0,0.0,0.0
140,43.0,14.0,30.0,1.0,0.0
141,74.0,34.0,60.0,0.0,0.0
142,53.0,14.0,30.0,1.0,0.0
143,72.0,48.0,60.0,0.0,0.0
144,71.0,34.0,60.0,0.0,0.0
145,52.0,62.0,30.0,1.0,0.0
146,72.0,0.0,30.0,0.0,0.0
147,48.0,34.0,60.0,1.0,0.0
148,67.0,14.0,30.0,0.0,0.0
149,47.0,48.0,60.0,1.0,0.0
150,48.0,34.0,60.0,1.0,0.0
151,72.0,14.0,30.0,0.0,0.0
152,45.0,48.0,60.0,1.0,0.0
153,48.0,34.0,60.0,1.0,0.0
154,67.0,14.0,30.0,0.0,0.0
155,47.0,48.0,60.0,1.0,0.0
156,48.0,48.0,60.0,1.0,0.0
157,41.0,48.0,60.0,1.0,0.0
158,69.0,46.0,90.0,0.0,0.0
159,48.0,2.0,60.0,1.0,0.0
160,65.0,0.0,90.0,0.0,0.0
161,50.0,48.0,60.0,1.0,0.0
162,48.0,34.0,60.0,1.0,0.0
163,47.0,48.0,60.0,1.0,0.0
164,62.0,14.0,30.0,0.0,0.0
165,45.0,34.0,60.0,1.0,0.0
166,67.0,14.0,30.0,0.0,0.0
167,43.0,48.0,60.0,1.0,0.0
168,41.0,34.0,60.0,1.0,0.0
169,60.0,14.0,30.0,0.0,0.0
170,40.0,48.0,60.0,1.0,0.0
171,48.0,48.0,60.0,1.0,0.0
172,62.0,46.0,60.0,0.0,0.0
173,47.0,2.0,60.0,1.0,0.0
174,48.0,2.0,60.0,1.0,0.0
175,64.0,32.0,60.0,0.0,0.0
176,45.0,48.0,60.0,1.0,0.0
177,65.0,14.0,30.0,0.0,0.0
178,48.0,34.0,60.0,1.0,0.0
179,64.0,14.0,30.0,0.0,0.0
180,43.0,48.0,60.0,1.0,0.0
181,48.0,48.0,60.0,1.0,0.0
182,62.0,46.0,90.0,0.0,0.0
183,41.0,48.0,60.0,1.0,0.0
184,48.0,2.0,60.0,1.0,0.0
185,40.0,48.0,60.0,1.0,0.0
186,67.0,34.0,90.0,0.0,0.0
187,48.0,0.0,60.0,1.0,0.0
188,65.0,14.0,30.0,0.0,0.0
189,38.0,48.0,60.0,1.0,0.0
190,48.0,34.0,60.0,1.0,0.0
191,64.0,14.0,30.0,0.0,0.0
192,36.0,48.0,60.0,1.0,0.0
193,48.0,34.0,60.0,1.0,0.0
194,62.0,14.0,30.0,0.0,0.0
195,43.0,48.0,60.0,1.0,0.0
196,47.0,48.0,60.0,1.0,0.0
197,45.0,2.0,60.0,1.0,0.0
198,60.0,46.0,60.0,0.0,0.0
199,47.0,2.0,60.0,1.0,0.0
200,62.0,32.0,60.0,0.0,0.0
201,64.0,14.0,30.0,0.0,0.0
202,48.0,48.0,60.0,1.0,0.0
203,43.0,34.0,60.0,1.0,0.0
204,50.0,48.0,60.0,1.0,0.0
205,62.0,14.0,30.0,0.0,0.0
206,43.0,48.0,60.0,1.0,0.0
207,52.0,48.0,60.0,1.0,0.0
208,60.0,46.0,90.0,0.0,0.0
209,43.0,2.0,60.0,1.0,0.0
210,54.0,48.0,60.0,1.0,0.0
211,72.0,0.0,90.0,0.0,0.0
212,43.0,34.0,60.0,1.0,0.0
213,55.0,14.0,30.0,1.0,0.0
214,71.0,48.0,60.0,0.0,0.0
215,69.0,34.0,60.0,0.0,0.0
216,52.0,14.0,30.0,1.0,0.0
