,note,step,duration,channel,velocity
0,77.0,24.0,1650.0,0.0,64.0
1,46.0,60.0,120.0,1.0,100.0
2,70.0,96.0,90.0,1.0,100.0
3,72.0,96.0,90.0,1.0,100.0
4,58.0,0.0,180.0,1.0,100.0
5,74.0,96.0,90.0,1.0,100.0
6,63.0,96.0,90.0,1.0,100.0
7,57.0,96.0,180.0,1.0,100.0
8,72.0,0.0,90.0,1.0,100.0
9,58.0,0.0,180.0,1.0,100.0
10,62.0,96.0,90.0,1.0,100.0
11,70.0,96.0,90.0,1.0,100.0
12,53.0,0.0,180.0,1.0,100.0
13,69.0,96.0,90.0,1.0,100.0
14,65.0,96.0,90.0,1.0,100.0
15,69.0,96.0,90.0,1.0,100.0
16,51.0,96.0,180.0,1.0,100.0
17,72.0,0.0,90.0,1.0,100.0
18,50.0,0.0,180.0,1.0,100.0
19,77.0,96.0,90.0,1.0,100.0
20,70.0,96.0,90.0,1.0,100.0
21,48.0,96.0,180.0,1.0,100.0
22,69.0,96.0,90.0,1.0,100.0
23,75.0,0.0,90.0,1.0,100.0
24,74.0,12.0,90.0,1.0,100.0
25,46.0,48.0,120.0,1.0,100.0
26,72.0,96.0,90.0,1.0,100.0
27,75.0,12.0,90.0,0.0,100.0
28,58.0,0.0,180.0,1.0,100.0
29,75.0,96.0,90.0,1.0,100.0
30,79.0,0.0,90.0,0.0,100.0
31,74.0,0.0,90.0,1.0,100.0
32,77.0,68.0,90.0,0.0,100.0
33,72.0,28.0,60.0,1.0,100.0
34,57.0,0.0,180.0,1.0,100.0
35,75.0,96.0,90.0,0.0,100.0
36,74.0,0.0,90.0,0.0,100.0
37,65.0,96.0,90.0,1.0,100.0
38,72.0,96.0,90.0,0.0,100.0
39,58.0,0.0,180.0,1.0,100.0
40,63.0,0.0,90.0,1.0,100.0
41,70.0,68.0,90.0,0.0,100.0
42,62.0,0.0,90.0,1.0,100.0
43,60.0,124.0,60.0,1.0,100.0
44,53.0,0.0,180.0,1.0,100.0
45,69.0,0.0,180.0,0.0,100.0
46,69.0,96.0,90.0,1.0,100.0
47,51.0,0.0,180.0,1.0,100.0
48,70.0,96.0,90.0,1.0,100.0
49,67.0,0.0,90.0,0.0,100.0
50,72.0,0.0,90.0,1.0,100.0
51,65.0,96.0,90.0,0.0,100.0
52,65.0,96.0,90.0,1.0,100.0
53,50.0,96.0,180.0,1.0,100.0
54,70.0,0.0,90.0,1.0,100.0
55,72.0,60.0,120.0,0.0,100.0
56,63.0,36.0,90.0,1.0,100.0
57,48.0,0.0,180.0,1.0,100.0
58,69.0,96.0,90.0,1.0,100.0
59,46.0,32.0,120.0,1.0,100.0
60,70.0,0.0,90.0,1.0,100.0
61,74.0,36.0,90.0,0.0,100.0
62,72.0,28.0,60.0,0.0,100.0
63,74.0,96.0,90.0,1.0,100.0
64,75.0,68.0,90.0,0.0,100.0
65,79.0,4.0,180.0,1.0,100.0
66,58.0,96.0,180.0,1.0,100.0
67,77.0,0.0,90.0,1.0,100.0
68,74.0,24.0,60.0,0.0,100.0
69,75.0,96.0,90.0,1.0,100.0
70,57.0,96.0,180.0,1.0,100.0
71,74.0,0.0,90.0,1.0,100.0
72,77.0,0.0,90.0,0.0,100.0
73,75.0,96.0,90.0,0.0,100.0
74,72.0,0.0,90.0,1.0,100.0
75,58.0,16.0,180.0,1.0,100.0
76,74.0,0.0,90.0,0.0,100.0
77,70.0,0.0,15.0,1.0,100.0
78,69.0,16.0,15.0,1.0,100.0
79,53.0,96.0,180.0,1.0,100.0
80,75.0,0.0,90.0,0.0,100.0
81,70.0,16.0,15.0,1.0,100.0
82,69.0,16.0,15.0,1.0,100.0
83,70.0,16.0,15.0,1.0,100.0
84,69.0,16.0,15.0,1.0,100.0
85,70.0,68.0,15.0,1.0,100.0
86,74.0,28.0,60.0,0.0,100.0
87,69.0,0.0,90.0,1.0,100.0
88,51.0,0.0,180.0,1.0,100.0
89,79.0,0.0,90.0,0.0,100.0
90,70.0,68.0,90.0,1.0,100.0
91,69.0,96.0,90.0,1.0,100.0
92,77.0,28.0,60.0,0.0,100.0
93,50.0,0.0,180.0,1.0,100.0
94,72.0,96.0,90.0,1.0,100.0
95,77.0,0.0,90.0,0.0,100.0
96,70.0,96.0,90.0,1.0,100.0
97,48.0,0.0,180.0,1.0,100.0
98,82.0,0.0,90.0,0.0,100.0
99,74.0,96.0,90.0,1.0,100.0
100,72.0,96.0,90.0,1.0,100.0
101,81.0,0.0,90.0,0.0,100.0
102,46.0,12.0,120.0,1.0,100.0
103,74.0,68.0,270.0,1.0,100.0
104,82.0,36.0,90.0,0.0,100.0
105,81.0,48.0,30.0,0.0,100.0
106,79.0,68.0,30.0,0.0,100.0
107,51.0,0.0,180.0,1.0,100.0
108,77.0,28.0,60.0,0.0,100.0
109,75.0,28.0,60.0,0.0,100.0
110,79.0,96.0,90.0,1.0,100.0
111,74.0,60.0,120.0,0.0,100.0
112,53.0,0.0,180.0,1.0,100.0
113,77.0,36.0,90.0,1.0,100.0
114,70.0,16.0,90.0,1.0,100.0
115,74.0,0.0,15.0,0.0,100.0
116,72.0,16.0,15.0,0.0,100.0
117,69.0,68.0,90.0,1.0,100.0
118,41.0,96.0,180.0,1.0,100.0
119,74.0,60.0,15.0,0.0,100.0
120,72.0,4.0,60.0,0.0,100.0
121,70.0,28.0,60.0,0.0,100.0
122,75.0,0.0,90.0,1.0,100.0
123,70.0,36.0,90.0,0.0,100.0
124,74.0,96.0,390.0,1.0,100.0
125,34.0,60.0,120.0,1.0,100.0
126,72.0,96.0,90.0,0.0,100.0
127,74.0,96.0,90.0,0.0,100.0
128,46.0,0.0,180.0,1.0,100.0
129,76.0,0.0,90.0,0.0,100.0
130,77.0,96.0,90.0,0.0,100.0
131,45.0,96.0,180.0,1.0,100.0
132,76.0,0.0,90.0,0.0,100.0
133,77.0,96.0,90.0,0.0,100.0
134,43.0,132.0,180.0,1.0,100.0
135,79.0,0.0,90.0,0.0,100.0
136,41.0,156.0,120.0,1.0,100.0
137,69.0,96.0,270.0,0.0,100.0
138,72.0,100.0,870.0,1.0,100.0
139,53.0,0.0,180.0,1.0,100.0
