,note,step,duration,channel,velocity
0,72.0,0.0,180.0,1.0,0.0
1,72.0,192.0,180.0,0.0,0.0
2,77.0,0.0,180.0,1.0,0.0
3,77.0,192.0,180.0,0.0,0.0
4,75.0,192.0,180.0,0.0,0.0
5,75.0,0.0,180.0,1.0,0.0
6,73.0,192.0,180.0,0.0,0.0
7,73.0,0.0,180.0,1.0,0.0
8,53.0,0.0,570.0,6.0,0.0
9,53.0,0.0,570.0,4.0,0.0
10,72.0,0.0,180.0,1.0,0.0
11,56.0,192.0,180.0,3.0,0.0
12,41.0,0.0,570.0,5.0,0.0
13,72.0,0.0,180.0,0.0,0.0
14,55.0,0.0,180.0,3.0,0.0
15,70.0,0.0,180.0,0.0,0.0
16,70.0,192.0,180.0,1.0,0.0
17,53.0,0.0,180.0,3.0,0.0
18,68.0,192.0,180.0,1.0,0.0
19,68.0,0.0,180.0,0.0,0.0
20,52.0,192.0,570.0,6.0,0.0
21,67.0,192.0,180.0,1.0,0.0
22,60.0,0.0,390.0,3.0,0.0
23,67.0,0.0,180.0,0.0,0.0
24,52.0,0.0,570.0,4.0,0.0
25,40.0,0.0,570.0,5.0,0.0
26,68.0,0.0,180.0,1.0,0.0
27,68.0,192.0,180.0,0.0,0.0
28,70.0,0.0,180.0,1.0,0.0
29,60.0,0.0,180.0,3.0,0.0
30,70.0,0.0,180.0,0.0,0.0
31,68.0,0.0,180.0,1.0,0.0
32,53.0,0.0,570.0,4.0,0.0
33,68.0,192.0,180.0,0.0,0.0
34,60.0,0.0,180.0,3.0,0.0
35,53.0,0.0,570.0,6.0,0.0
36,41.0,0.0,570.0,5.0,0.0
37,67.0,192.0,180.0,0.0,0.0
38,58.0,0.0,180.0,3.0,0.0
39,67.0,0.0,180.0,1.0,0.0
40,60.0,192.0,180.0,3.0,0.0
41,68.0,0.0,180.0,0.0,0.0
42,68.0,0.0,180.0,1.0,0.0
43,29.0,0.0,570.0,5.0,0.0
44,65.0,192.0,180.0,0.0,0.0
45,41.0,192.0,570.0,4.0,0.0
46,65.0,0.0,180.0,1.0,0.0
47,41.0,0.0,570.0,6.0,0.0
48,56.0,0.0,180.0,3.0,0.0
49,55.0,192.0,180.0,3.0,0.0
50,67.0,0.0,180.0,0.0,0.0
51,67.0,0.0,180.0,1.0,0.0
52,68.0,0.0,180.0,1.0,0.0
53,68.0,0.0,180.0,0.0,0.0
54,53.0,0.0,180.0,3.0,0.0
55,53.0,0.0,570.0,4.0,0.0
56,53.0,192.0,570.0,6.0,0.0
57,60.0,192.0,180.0,0.0,0.0
58,60.0,0.0,180.0,1.0,0.0
59,41.0,0.0,570.0,5.0,0.0
60,65.0,0.0,180.0,1.0,0.0
61,65.0,192.0,180.0,0.0,0.0
62,60.0,0.0,15.0,3.0,0.0
63,68.0,0.0,180.0,0.0,0.0
64,68.0,0.0,180.0,1.0,0.0
65,52.0,0.0,570.0,4.0,0.0
66,40.0,0.0,570.0,5.0,0.0
67,52.0,0.0,570.0,6.0,0.0
68,67.0,0.0,180.0,0.0,0.0
69,67.0,192.0,180.0,1.0,0.0
70,65.0,0.0,180.0,1.0,0.0
71,65.0,0.0,180.0,0.0,0.0
72,67.0,192.0,180.0,1.0,0.0
73,67.0,0.0,180.0,0.0,0.0
74,60.0,192.0,15.0,3.0,0.0
75,60.0,0.0,15.0,3.0,0.0
76,64.0,192.0,180.0,1.0,0.0
77,48.0,0.0,570.0,4.0,0.0
78,36.0,0.0,570.0,5.0,0.0
79,48.0,0.0,570.0,6.0,0.0
80,64.0,0.0,180.0,0.0,0.0
81,65.0,192.0,180.0,0.0,0.0
82,65.0,0.0,180.0,1.0,0.0
83,67.0,0.0,180.0,1.0,0.0
84,67.0,0.0,180.0,0.0,0.0
85,52.0,0.0,570.0,4.0,0.0
86,60.0,0.0,180.0,0.0,0.0
87,60.0,192.0,180.0,1.0,0.0
88,52.0,0.0,570.0,6.0,0.0
89,40.0,0.0,570.0,5.0,0.0
90,60.0,192.0,15.0,3.0,0.0
