,note,step,duration,channel,velocity
0,46.0,120.0,90.0,3.0,64.0
1,53.0,120.0,90.0,3.0,64.0
2,49.0,120.0,90.0,3.0,64.0
3,53.0,120.0,90.0,3.0,64.0
4,65.0,24.0,180.0,2.0,64.0
5,46.0,96.0,90.0,3.0,64.0
6,53.0,120.0,90.0,3.0,64.0
7,66.0,48.0,300.0,2.0,64.0
8,51.0,120.0,90.0,3.0,64.0
9,54.0,72.0,90.0,3.0,64.0
10,48.0,120.0,90.0,3.0,64.0
11,51.0,0.0,90.0,3.0,64.0
12,65.0,72.0,90.0,2.0,64.0
13,63.0,48.0,40.0,2.0,64.0
14,45.0,12.0,90.0,3.0,64.0
15,66.0,108.0,40.0,2.0,64.0
16,48.0,48.0,90.0,3.0,64.0
17,65.0,0.0,90.0,2.0,64.0
18,46.0,18.0,90.0,3.0,64.0
19,61.0,30.0,20.0,2.0,64.0
20,63.0,30.0,20.0,2.0,64.0
21,61.0,12.0,20.0,2.0,64.0
22,63.0,30.0,20.0,2.0,64.0
23,53.0,18.0,90.0,3.0,64.0
24,61.0,30.0,20.0,2.0,64.0
25,63.0,30.0,20.0,2.0,64.0
26,61.0,12.0,20.0,2.0,64.0
27,63.0,102.0,20.0,2.0,64.0
28,60.0,120.0,90.0,2.0,64.0
29,49.0,0.0,90.0,3.0,64.0
30,58.0,120.0,90.0,2.0,64.0
31,53.0,0.0,90.0,3.0,64.0
32,73.0,0.0,180.0,2.0,64.0
33,65.0,24.0,180.0,1.0,64.0
34,46.0,96.0,90.0,3.0,64.0
35,49.0,120.0,90.0,3.0,64.0
36,66.0,48.0,300.0,1.0,64.0
37,73.0,0.0,90.0,2.0,64.0
38,51.0,120.0,90.0,3.0,64.0
39,72.0,0.0,90.0,2.0,64.0
40,48.0,72.0,90.0,3.0,64.0
41,45.0,120.0,90.0,3.0,64.0
42,48.0,72.0,90.0,3.0,64.0
43,65.0,0.0,90.0,1.0,64.0
44,41.0,0.0,90.0,3.0,64.0
45,72.0,12.0,90.0,2.0,64.0
46,63.0,48.0,40.0,1.0,64.0
47,66.0,60.0,40.0,1.0,64.0
48,45.0,12.0,90.0,3.0,64.0
49,73.0,48.0,40.0,2.0,64.0
50,65.0,0.0,90.0,1.0,64.0
51,75.0,36.0,40.0,2.0,64.0
52,46.0,18.0,90.0,3.0,64.0
53,72.0,30.0,20.0,2.0,64.0
54,61.0,0.0,20.0,1.0,64.0
55,73.0,0.0,20.0,2.0,64.0
56,63.0,30.0,20.0,1.0,64.0
57,72.0,12.0,20.0,2.0,64.0
58,61.0,0.0,20.0,1.0,64.0
59,63.0,30.0,20.0,1.0,64.0
60,73.0,0.0,20.0,2.0,64.0
61,41.0,18.0,90.0,3.0,64.0
62,61.0,30.0,20.0,1.0,64.0
63,70.0,0.0,90.0,2.0,64.0
64,63.0,30.0,20.0,1.0,64.0
65,61.0,12.0,20.0,1.0,64.0
66,63.0,102.0,20.0,1.0,64.0
67,37.0,120.0,90.0,3.0,64.0
68,60.0,0.0,90.0,1.0,64.0
69,58.0,0.0,90.0,1.0,64.0
70,41.0,120.0,90.0,3.0,64.0
71,34.0,96.0,90.0,3.0,64.0
72,77.0,24.0,180.0,0.0,64.0
73,73.0,0.0,180.0,1.0,64.0
74,73.0,0.0,180.0,2.0,64.0
75,37.0,120.0,90.0,3.0,64.0
76,39.0,0.0,90.0,3.0,64.0
77,70.0,0.0,90.0,2.0,64.0
78,73.0,120.0,90.0,1.0,64.0
79,78.0,48.0,300.0,0.0,64.0
80,72.0,72.0,90.0,1.0,64.0
81,69.0,0.0,90.0,2.0,64.0
82,42.0,0.0,90.0,3.0,64.0
83,36.0,120.0,90.0,3.0,64.0
84,77.0,72.0,90.0,0.0,64.0
85,39.0,0.0,90.0,3.0,64.0
86,72.0,0.0,90.0,1.0,64.0
87,41.0,12.0,90.0,3.0,64.0
88,75.0,48.0,40.0,0.0,64.0
89,69.0,24.0,180.0,2.0,64.0
90,78.0,60.0,40.0,0.0,64.0
91,73.0,24.0,40.0,1.0,64.0
92,77.0,0.0,90.0,0.0,64.0
93,53.0,12.0,90.0,3.0,64.0
94,75.0,36.0,40.0,1.0,64.0
95,69.0,0.0,90.0,2.0,64.0
96,72.0,0.0,20.0,1.0,64.0
97,73.0,30.0,20.0,0.0,64.0
98,46.0,18.0,90.0,3.0,64.0
99,73.0,0.0,20.0,1.0,64.0
100,75.0,30.0,20.0,0.0,64.0
101,73.0,12.0,20.0,0.0,64.0
102,72.0,0.0,20.0,1.0,64.0
103,73.0,0.0,20.0,1.0,64.0
104,75.0,30.0,20.0,0.0,64.0
105,53.0,0.0,90.0,3.0,64.0
106,70.0,0.0,90.0,2.0,64.0
107,70.0,18.0,90.0,1.0,64.0
108,73.0,30.0,20.0,0.0,64.0
109,75.0,30.0,20.0,0.0,64.0
110,73.0,12.0,20.0,0.0,64.0
111,75.0,102.0,20.0,0.0,64.0
112,72.0,0.0,90.0,0.0,64.0
113,49.0,120.0,90.0,3.0,64.0
114,53.0,120.0,90.0,3.0,64.0
115,70.0,0.0,90.0,0.0,64.0
116,77.0,0.0,180.0,0.0,64.0
117,61.0,24.0,180.0,1.0,64.0
118,46.0,96.0,90.0,3.0,64.0
119,49.0,120.0,90.0,3.0,64.0
120,79.0,48.0,300.0,0.0,64.0
121,61.0,0.0,90.0,1.0,64.0
122,40.0,120.0,90.0,3.0,64.0
123,43.0,0.0,90.0,3.0,64.0
124,60.0,72.0,90.0,1.0,64.0
125,36.0,72.0,90.0,3.0,64.0
126,40.0,12.0,90.0,3.0,64.0
127,80.0,48.0,40.0,0.0,64.0
128,82.0,60.0,40.0,0.0,64.0
129,80.0,48.0,40.0,0.0,64.0
130,41.0,12.0,90.0,3.0,64.0
131,61.0,24.0,180.0,2.0,64.0
132,79.0,84.0,40.0,0.0,64.0
133,80.0,0.0,90.0,0.0,64.0
134,46.0,48.0,90.0,3.0,64.0
135,76.0,30.0,20.0,0.0,64.0
136,48.0,0.0,90.0,3.0,64.0
137,61.0,18.0,90.0,2.0,64.0
138,77.0,30.0,20.0,0.0,64.0
139,76.0,12.0,20.0,0.0,64.0
140,77.0,30.0,20.0,0.0,64.0
141,55.0,18.0,90.0,3.0,64.0
142,60.0,0.0,90.0,2.0,64.0
143,76.0,30.0,20.0,0.0,64.0
144,77.0,30.0,20.0,0.0,64.0
145,76.0,12.0,20.0,0.0,64.0
146,77.0,102.0,20.0,0.0,64.0
147,52.0,120.0,90.0,3.0,64.0
148,74.0,0.0,90.0,0.0,64.0
149,72.0,0.0,90.0,0.0,64.0
150,55.0,120.0,90.0,3.0,64.0
151,53.0,96.0,90.0,3.0,64.0
152,72.0,0.0,180.0,1.0,64.0
153,80.0,24.0,180.0,0.0,64.0
154,56.0,120.0,90.0,3.0,64.0
155,73.0,48.0,300.0,1.0,64.0
156,58.0,120.0,90.0,3.0,64.0
157,80.0,0.0,90.0,0.0,64.0
158,61.0,72.0,90.0,3.0,64.0
159,79.0,0.0,90.0,0.0,64.0
160,55.0,120.0,90.0,3.0,64.0
161,58.0,0.0,90.0,3.0,64.0
162,72.0,72.0,90.0,1.0,64.0
163,51.0,0.0,90.0,3.0,64.0
164,70.0,48.0,40.0,1.0,64.0
165,79.0,12.0,90.0,0.0,64.0
166,77.0,60.0,40.0,1.0,64.0
167,75.0,0.0,90.0,1.0,64.0
168,55.0,12.0,90.0,3.0,64.0
169,80.0,48.0,40.0,0.0,64.0
170,82.0,108.0,40.0,0.0,64.0
171,56.0,0.0,90.0,3.0,64.0
172,73.0,120.0,90.0,1.0,64.0
173,79.0,0.0,90.0,0.0,64.0
174,72.0,0.0,90.0,1.0,64.0
175,60.0,120.0,90.0,3.0,64.0
176,77.0,0.0,90.0,0.0,64.0
177,70.0,0.0,90.0,1.0,64.0
178,53.0,120.0,90.0,3.0,64.0
179,68.0,0.0,90.0,1.0,64.0
180,56.0,48.0,90.0,3.0,64.0
181,67.0,30.0,20.0,1.0,64.0
182,77.0,24.0,180.0,0.0,64.0
183,49.0,18.0,90.0,3.0,64.0
184,77.0,0.0,180.0,2.0,64.0
185,68.0,30.0,20.0,1.0,64.0
186,67.0,12.0,20.0,1.0,64.0
187,68.0,78.0,20.0,1.0,64.0
188,65.0,120.0,90.0,1.0,64.0
189,53.0,0.0,90.0,3.0,64.0
190,77.0,120.0,90.0,0.0,64.0
191,55.0,0.0,90.0,3.0,64.0
192,70.0,0.0,300.0,1.0,64.0
193,73.0,48.0,300.0,2.0,64.0
194,76.0,72.0,90.0,0.0,64.0
195,58.0,0.0,90.0,3.0,64.0
196,52.0,120.0,90.0,3.0,64.0
197,72.0,0.0,90.0,2.0,64.0
198,68.0,72.0,90.0,1.0,64.0
199,55.0,0.0,90.0,3.0,64.0
200,67.0,0.0,40.0,1.0,64.0
201,70.0,48.0,40.0,2.0,64.0
202,76.0,24.0,180.0,0.0,64.0
203,48.0,12.0,90.0,3.0,64.0
204,70.0,0.0,40.0,1.0,64.0
205,73.0,84.0,40.0,2.0,64.0
206,68.0,0.0,90.0,1.0,64.0
207,60.0,120.0,90.0,3.0,64.0
208,72.0,0.0,90.0,2.0,64.0
209,76.0,120.0,90.0,0.0,64.0
210,70.0,0.0,90.0,2.0,64.0
211,53.0,0.0,90.0,3.0,64.0
212,67.0,0.0,90.0,1.0,64.0
213,68.0,0.0,90.0,2.0,64.0
214,77.0,120.0,90.0,0.0,64.0
215,56.0,0.0,90.0,3.0,64.0
216,65.0,0.0,90.0,1.0,64.0
217,67.0,0.0,90.0,2.0,64.0
218,49.0,120.0,90.0,3.0,64.0
219,65.0,0.0,90.0,2.0,64.0
220,53.0,120.0,90.0,3.0,64.0
221,67.0,0.0,90.0,2.0,64.0
222,73.0,24.0,180.0,1.0,64.0
223,46.0,72.0,90.0,3.0,64.0
224,77.0,0.0,180.0,0.0,64.0
225,43.0,12.0,90.0,3.0,64.0
226,68.0,24.0,40.0,2.0,64.0
227,70.0,36.0,40.0,2.0,64.0
228,48.0,0.0,90.0,3.0,64.0
229,68.0,30.0,20.0,2.0,64.0
230,77.0,6.0,300.0,0.0,64.0
231,73.0,18.0,90.0,1.0,64.0
232,70.0,30.0,20.0,2.0,64.0
233,68.0,12.0,20.0,2.0,64.0
234,70.0,30.0,20.0,2.0,64.0
