,note,step,duration,channel,velocity
0,70.0,0.0,20.0,0.0,0.0
1,66.0,0.0,20.0,1.0,0.0
2,63.0,0.0,20.0,2.0,0.0
3,70.0,0.0,20.0,5.0,0.0
4,66.0,0.0,20.0,5.0,0.0
5,63.0,45.0,20.0,5.0,0.0
6,75.0,0.0,40.0,0.0,0.0
7,70.0,0.0,40.0,1.0,0.0
8,66.0,0.0,40.0,2.0,0.0
9,75.0,0.0,40.0,5.0,0.0
10,70.0,0.0,40.0,5.0,0.0
11,66.0,3.0,40.0,5.0,0.0
12,39.0,0.0,20.0,3.0,0.0
13,27.0,0.0,20.0,4.0,0.0
14,39.0,45.0,20.0,6.0,0.0
15,51.0,0.0,40.0,3.0,0.0
16,39.0,0.0,40.0,4.0,0.0
17,51.0,3.0,40.0,6.0,0.0
18,70.0,0.0,20.0,0.0,0.0
19,66.0,0.0,20.0,1.0,0.0
20,63.0,0.0,20.0,2.0,0.0
21,70.0,0.0,20.0,5.0,0.0
22,66.0,0.0,20.0,5.0,0.0
23,63.0,45.0,20.0,5.0,0.0
24,71.0,0.0,40.0,0.0,0.0
25,68.0,0.0,40.0,1.0,0.0
26,56.0,0.0,40.0,2.0,0.0
27,71.0,0.0,40.0,5.0,0.0
28,68.0,0.0,40.0,5.0,0.0
29,63.0,3.0,40.0,5.0,0.0
30,39.0,0.0,20.0,3.0,0.0
31,27.0,0.0,20.0,4.0,0.0
32,39.0,45.0,20.0,6.0,0.0
33,51.0,0.0,40.0,3.0,0.0
34,39.0,0.0,40.0,4.0,0.0
35,51.0,3.0,40.0,6.0,0.0
36,68.0,0.0,20.0,0.0,0.0
37,65.0,0.0,20.0,1.0,0.0
38,56.0,0.0,20.0,2.0,0.0
39,68.0,0.0,20.0,5.0,0.0
40,65.0,13.0,20.0,5.0,0.0
41,70.0,0.0,15.0,0.0,0.0
42,66.0,0.0,15.0,1.0,0.0
43,51.0,0.0,20.0,2.0,0.0
44,70.0,11.0,15.0,5.0,0.0
45,66.0,1.0,20.0,5.0,0.0
46,68.0,0.0,15.0,0.0,0.0
47,65.0,0.0,15.0,1.0,0.0
48,68.0,12.0,15.0,5.0,0.0
49,66.0,0.0,15.0,0.0,0.0
50,63.0,0.0,15.0,1.0,0.0
51,58.0,0.0,20.0,2.0,0.0
52,39.0,0.0,20.0,3.0,0.0
53,27.0,0.0,20.0,4.0,0.0
54,66.0,11.0,15.0,5.0,0.0
55,39.0,1.0,20.0,6.0,0.0
56,70.0,0.0,15.0,0.0,0.0
57,66.0,0.0,15.0,1.0,0.0
58,70.0,12.0,15.0,5.0,0.0
59,68.0,0.0,15.0,0.0,0.0
60,65.0,0.0,15.0,1.0,0.0
61,50.0,0.0,20.0,2.0,0.0
62,46.0,0.0,20.0,3.0,0.0
