,note,step,duration,channel,velocity
0,68.0,0.0,120.0,4.0,0.0
1,56.0,0.0,120.0,3.0,0.0
2,68.0,0.0,120.0,2.0,0.0
3,56.0,0.0,120.0,1.0,0.0
4,56.0,0.0,120.0,5.0,0.0
5,44.0,0.0,120.0,10.0,0.0
6,56.0,0.0,120.0,10.0,0.0
7,63.0,0.0,120.0,8.0,0.0
8,68.0,0.0,120.0,7.0,0.0
9,72.0,120.0,120.0,6.0,0.0
10,68.0,0.0,120.0,0.0,0.0
11,68.0,0.0,210.0,7.0,0.0
12,51.0,0.0,120.0,5.0,0.0
13,63.0,0.0,120.0,0.0,0.0
14,63.0,12.0,210.0,8.0,0.0
15,51.0,0.0,120.0,3.0,0.0
16,63.0,108.0,120.0,2.0,0.0
17,51.0,0.0,120.0,1.0,0.0
18,63.0,0.0,120.0,4.0,0.0
19,72.0,0.0,210.0,6.0,0.0
20,56.0,0.0,120.0,5.0,0.0
21,68.0,120.0,120.0,2.0,0.0
22,43.0,0.0,120.0,10.0,0.0
23,68.0,0.0,120.0,4.0,0.0
24,68.0,0.0,120.0,0.0,0.0
25,56.0,0.0,120.0,1.0,0.0
26,56.0,0.0,120.0,3.0,0.0
27,55.0,0.0,120.0,10.0,0.0
28,51.0,0.0,120.0,3.0,0.0
29,51.0,0.0,120.0,5.0,0.0
30,72.0,54.0,180.0,6.0,0.0
31,63.0,0.0,120.0,2.0,0.0
32,51.0,0.0,120.0,1.0,0.0
33,63.0,0.0,120.0,4.0,0.0
34,63.0,66.0,120.0,0.0,0.0
35,68.0,0.0,180.0,7.0,0.0
36,63.0,0.0,120.0,8.0,0.0
37,65.0,0.0,120.0,8.0,0.0
38,56.0,0.0,120.0,3.0,0.0
39,68.0,6.0,120.0,4.0,0.0
40,53.0,0.0,120.0,10.0,0.0
41,68.0,0.0,120.0,0.0,0.0
42,56.0,0.0,120.0,5.0,0.0
43,68.0,0.0,120.0,2.0,0.0
44,56.0,0.0,120.0,1.0,0.0
45,41.0,0.0,120.0,10.0,0.0
46,70.0,60.0,60.0,6.0,0.0
47,67.0,0.0,60.0,7.0,0.0
48,72.0,60.0,60.0,6.0,0.0
49,55.0,0.0,60.0,1.0,0.0
50,63.0,0.0,60.0,8.0,0.0
51,67.0,0.0,60.0,2.0,0.0
52,55.0,0.0,60.0,5.0,0.0
53,55.0,0.0,60.0,3.0,0.0
54,67.0,0.0,60.0,4.0,0.0
55,67.0,0.0,60.0,0.0,0.0
56,68.0,0.0,60.0,7.0,0.0
57,53.0,0.0,60.0,3.0,0.0
58,73.0,0.0,60.0,6.0,0.0
59,53.0,42.0,60.0,5.0,0.0
60,70.0,0.0,60.0,7.0,0.0
61,53.0,0.0,60.0,1.0,0.0
62,65.0,0.0,60.0,0.0,0.0
63,65.0,0.0,60.0,2.0,0.0
64,65.0,0.0,60.0,4.0,0.0
65,61.0,0.0,60.0,8.0,0.0
66,72.0,0.0,120.0,7.0,0.0
67,51.0,0.0,120.0,1.0,0.0
68,51.0,0.0,120.0,3.0,0.0
69,48.0,0.0,120.0,10.0,0.0
70,63.0,0.0,120.0,2.0,0.0
71,68.0,0.0,120.0,8.0,0.0
72,51.0,0.0,120.0,5.0,0.0
73,36.0,0.0,120.0,10.0,0.0
74,63.0,0.0,120.0,0.0,0.0
75,63.0,8.0,120.0,4.0,0.0
76,75.0,40.0,40.0,6.0,0.0
77,73.0,32.0,40.0,6.0,0.0
78,72.0,40.0,40.0,6.0,0.0
79,53.0,0.0,60.0,5.0,0.0
80,73.0,18.0,40.0,6.0,0.0
81,53.0,0.0,60.0,1.0,0.0
82,65.0,0.0,60.0,2.0,0.0
83,65.0,0.0,60.0,0.0,0.0
84,53.0,22.0,60.0,3.0,0.0
85,65.0,0.0,60.0,4.0,0.0
86,72.0,38.0,40.0,6.0,0.0
87,55.0,0.0,60.0,5.0,0.0
88,67.0,0.0,60.0,0.0,0.0
89,67.0,2.0,60.0,2.0,0.0
90,67.0,0.0,60.0,4.0,0.0
91,55.0,0.0,60.0,1.0,0.0
92,55.0,0.0,60.0,3.0,0.0
93,70.0,40.0,40.0,6.0,0.0
94,72.0,40.0,40.0,6.0,0.0
95,68.0,0.0,120.0,4.0,0.0
96,56.0,0.0,120.0,5.0,0.0
97,68.0,0.0,120.0,0.0,0.0
98,56.0,8.0,120.0,1.0,0.0
99,56.0,0.0,120.0,3.0,0.0
100,68.0,0.0,120.0,2.0,0.0
101,70.0,32.0,40.0,6.0,0.0
102,68.0,58.0,40.0,6.0,0.0
103,67.0,0.0,60.0,2.0,0.0
104,49.0,0.0,120.0,10.0,0.0
105,56.0,0.0,120.0,8.0,0.0
106,70.0,0.0,120.0,6.0,0.0
107,67.0,0.0,60.0,0.0,0.0
108,61.0,0.0,120.0,7.0,0.0
109,55.0,0.0,60.0,3.0,0.0
110,37.0,6.0,120.0,10.0,0.0
111,55.0,0.0,60.0,1.0,0.0
112,55.0,54.0,60.0,5.0,0.0
113,67.0,0.0,60.0,4.0,0.0
114,53.0,0.0,60.0,3.0,0.0
115,65.0,0.0,60.0,4.0,0.0
116,65.0,0.0,60.0,2.0,0.0
117,65.0,0.0,60.0,0.0,0.0
118,53.0,114.0,60.0,1.0,0.0
119,53.0,0.0,60.0,5.0,0.0
120,63.0,0.0,120.0,6.0,0.0
121,63.0,0.0,120.0,2.0,0.0
122,51.0,0.0,120.0,3.0,0.0
123,51.0,0.0,120.0,10.0,0.0
124,56.0,0.0,120.0,8.0,0.0
125,39.0,0.0,120.0,10.0,0.0
126,51.0,0.0,120.0,1.0,0.0
127,51.0,0.0,120.0,5.0,0.0
128,63.0,0.0,120.0,0.0,0.0
129,60.0,0.0,120.0,7.0,0.0
130,63.0,120.0,120.0,4.0,0.0
131,67.0,0.0,120.0,6.0,0.0
132,27.0,0.0,120.0,10.0,0.0
133,61.0,66.0,120.0,0.0,0.0
134,58.0,0.0,120.0,7.0,0.0
135,49.0,0.0,120.0,1.0,0.0
136,49.0,0.0,120.0,3.0,0.0
137,61.0,0.0,120.0,2.0,0.0
138,61.0,0.0,120.0,4.0,0.0
139,55.0,0.0,120.0,8.0,0.0
140,49.0,0.0,120.0,5.0,0.0
141,39.0,0.0,120.0,10.0,0.0
142,48.0,0.0,60.0,5.0,0.0
143,56.0,12.0,210.0,7.0,0.0
144,32.0,0.0,120.0,10.0,0.0
145,51.0,0.0,210.0,8.0,0.0
146,48.0,0.0,60.0,1.0,0.0
147,44.0,0.0,120.0,10.0,0.0
148,60.0,54.0,60.0,2.0,0.0
149,68.0,6.0,120.0,6.0,0.0
150,48.0,0.0,60.0,3.0,0.0
151,60.0,0.0,60.0,0.0,0.0
152,60.0,0.0,60.0,4.0,0.0
153,61.0,0.0,60.0,0.0,0.0
154,49.0,0.0,60.0,3.0,0.0
155,61.0,0.0,60.0,4.0,0.0
156,49.0,60.0,60.0,1.0,0.0
157,49.0,0.0,60.0,5.0,0.0
158,61.0,0.0,60.0,2.0,0.0
159,63.0,0.0,60.0,0.0,0.0
160,56.0,0.0,120.0,10.0,0.0
161,51.0,0.0,60.0,5.0,0.0
162,51.0,42.0,60.0,1.0,0.0
163,63.0,0.0,60.0,4.0,0.0
164,56.0,6.0,120.0,6.0,0.0
165,44.0,0.0,120.0,10.0,0.0
166,63.0,0.0,60.0,2.0,0.0
167,51.0,0.0,60.0,3.0,0.0
168,60.0,0.0,60.0,0.0,0.0
169,48.0,0.0,60.0,3.0,0.0
170,60.0,0.0,60.0,4.0,0.0
171,48.0,0.0,60.0,1.0,0.0
172,60.0,0.0,60.0,2.0,0.0
173,48.0,60.0,60.0,5.0,0.0
174,44.0,54.0,60.0,1.0,0.0
175,56.0,0.0,60.0,0.0,0.0
176,44.0,0.0,60.0,3.0,0.0
177,56.0,0.0,60.0,2.0,0.0
178,44.0,0.0,60.0,5.0,0.0
179,43.0,0.0,120.0,10.0,0.0
180,55.0,6.0,120.0,10.0,0.0
181,56.0,0.0,60.0,4.0,0.0
182,58.0,0.0,60.0,4.0,0.0
183,46.0,0.0,60.0,5.0,0.0
184,58.0,0.0,60.0,0.0,0.0
185,46.0,0.0,60.0,3.0,0.0
186,58.0,0.0,60.0,2.0,0.0
187,46.0,60.0,60.0,1.0,0.0
188,53.0,6.0,120.0,10.0,0.0
189,60.0,0.0,60.0,2.0,0.0
190,48.0,54.0,60.0,1.0,0.0
191,48.0,0.0,60.0,3.0,0.0
192,60.0,0.0,60.0,4.0,0.0
193,48.0,0.0,60.0,5.0,0.0
194,41.0,0.0,120.0,10.0,0.0
195,60.0,0.0,60.0,0.0,0.0
196,50.0,0.0,60.0,3.0,0.0
197,62.0,0.0,60.0,0.0,0.0
198,62.0,0.0,60.0,4.0,0.0
199,50.0,0.0,60.0,5.0,0.0
200,50.0,60.0,60.0,1.0,0.0
201,62.0,0.0,60.0,2.0,0.0
202,63.0,0.0,120.0,2.0,0.0
203,70.0,54.0,60.0,6.0,0.0
204,63.0,0.0,120.0,4.0,0.0
205,51.0,0.0,120.0,1.0,0.0
206,63.0,6.0,120.0,8.0,0.0
207,51.0,0.0,120.0,10.0,0.0
208,51.0,0.0,120.0,3.0,0.0
209,67.0,0.0,120.0,7.0,0.0
210,51.0,0.0,120.0,5.0,0.0
211,39.0,0.0,120.0,10.0,0.0
212,63.0,0.0,120.0,0.0,0.0
213,75.0,60.0,60.0,6.0,0.0
214,74.0,54.0,60.0,6.0,0.0
215,46.0,0.0,120.0,1.0,0.0
216,67.0,0.0,210.0,7.0,0.0
217,63.0,12.0,210.0,8.0,0.0
218,58.0,0.0,120.0,4.0,0.0
219,58.0,0.0,120.0,0.0,0.0
