,note,step,duration,channel,velocity
0,56.0,7.0,90.0,3.0,64.0
1,72.0,3.0,60.0,5.0,64.0
2,72.0,1.0,90.0,0.0,64.0
3,63.0,9.0,90.0,2.0,64.0
4,72.0,2.0,90.0,4.0,64.0
5,56.0,210.0,90.0,6.0,64.0
6,68.0,6.0,60.0,1.0,64.0
7,53.0,1.0,90.0,3.0,64.0
8,65.0,315.0,90.0,2.0,64.0
9,73.0,1.0,90.0,0.0,64.0
10,73.0,10.0,90.0,5.0,64.0
11,53.0,2.0,90.0,6.0,64.0
12,68.0,6.0,60.0,1.0,64.0
13,73.0,2.0,60.0,4.0,64.0
14,63.0,14.0,180.0,2.0,64.0
15,75.0,3.0,180.0,0.0,64.0
16,75.0,3.0,180.0,5.0,64.0
17,75.0,97.0,180.0,4.0,64.0
18,68.0,2.0,180.0,1.0,64.0
19,48.0,6.0,180.0,3.0,64.0
20,48.0,2.0,180.0,6.0,64.0
21,67.0,8.0,90.0,1.0,64.0
22,77.0,14.0,60.0,5.0,64.0
23,77.0,5.0,60.0,4.0,64.0
24,61.0,17.0,90.0,2.0,64.0
25,77.0,2.0,60.0,0.0,64.0
26,46.0,60.0,90.0,6.0,64.0
27,46.0,3.0,90.0,3.0,64.0
28,73.0,7.0,60.0,5.0,64.0
29,73.0,16.0,60.0,4.0,64.0
30,73.0,120.0,60.0,0.0,64.0
31,68.0,3.0,90.0,1.0,64.0
32,60.0,2.0,90.0,2.0,64.0
33,48.0,4.0,90.0,6.0,64.0
34,75.0,4.0,90.0,5.0,64.0
35,48.0,210.0,90.0,3.0,64.0
36,75.0,5.0,60.0,4.0,64.0
37,75.0,9.0,90.0,0.0,64.0
38,60.0,9.0,60.0,2.0,64.0
39,68.0,3.0,90.0,5.0,64.0
40,68.0,2.0,60.0,4.0,64.0
41,53.0,3.0,60.0,3.0,64.0
42,68.0,86.0,90.0,0.0,64.0
43,68.0,1.0,60.0,1.0,64.0
44,53.0,0.0,60.0,6.0,64.0
45,51.0,3.0,60.0,3.0,64.0
46,51.0,256.0,60.0,6.0,64.0
47,61.0,14.0,210.0,2.0,64.0
48,77.0,0.0,180.0,0.0,64.0
49,49.0,5.0,180.0,3.0,64.0
50,49.0,9.0,180.0,6.0,64.0
51,77.0,3.0,180.0,5.0,64.0
52,77.0,3.0,180.0,4.0,64.0
53,68.0,103.0,210.0,1.0,64.0
54,46.0,3.0,90.0,3.0,64.0
55,65.0,3.0,90.0,2.0,64.0
56,46.0,1.0,90.0,6.0,64.0
57,70.0,2.0,90.0,1.0,64.0
58,73.0,1.0,90.0,0.0,64.0
59,73.0,8.0,90.0,4.0,64.0
60,73.0,207.0,90.0,5.0,64.0
61,67.0,1.0,90.0,1.0,64.0
62,70.0,10.0,60.0,0.0,64.0
63,63.0,0.0,60.0,2.0,64.0
64,51.0,55.0,120.0,3.0,64.0
65,51.0,128.0,180.0,6.0,64.0
66,70.0,5.0,60.0,5.0,64.0
67,70.0,31.0,60.0,4.0,64.0
68,68.0,8.0,60.0,1.0,64.0
69,49.0,12.0,60.0,6.0,64.0
70,72.0,71.0,90.0,0.0,64.0
71,72.0,5.0,90.0,5.0,64.0
72,63.0,4.0,90.0,2.0,64.0
73,49.0,6.0,60.0,3.0,64.0
74,72.0,8.0,90.0,4.0,64.0
75,48.0,21.0,60.0,6.0,64.0
76,48.0,139.0,90.0,3.0,64.0
77,46.0,96.0,90.0,3.0,64.0
78,70.0,1.0,210.0,1.0,64.0
79,65.0,5.0,90.0,2.0,64.0
80,73.0,112.0,210.0,0.0,64.0
81,73.0,3.0,210.0,5.0,64.0
82,46.0,0.0,90.0,6.0,64.0
83,73.0,10.0,180.0,4.0,64.0
84,75.0,4.0,90.0,0.0,64.0
85,44.0,4.0,90.0,3.0,64.0
86,65.0,82.0,90.0,2.0,64.0
87,44.0,6.0,90.0,6.0,64.0
88,75.0,4.0,60.0,4.0,64.0
89,75.0,2.0,90.0,5.0,64.0
90,72.0,0.0,90.0,1.0,64.0
91,72.0,6.0,90.0,0.0,64.0
92,72.0,119.0,90.0,5.0,64.0
93,72.0,2.0,60.0,4.0,64.0
94,68.0,4.0,60.0,1.0,64.0
95,73.0,1.0,90.0,0.0,64.0
96,70.0,5.0,90.0,1.0,64.0
97,73.0,10.0,90.0,4.0,64.0
98,73.0,2.0,90.0,5.0,64.0
99,43.0,4.0,90.0,6.0,64.0
100,43.0,0.0,90.0,3.0,64.0
101,63.0,89.0,90.0,2.0,64.0
102,70.0,10.0,90.0,0.0,64.0
103,70.0,116.0,90.0,5.0,64.0
104,70.0,2.0,60.0,4.0,64.0
105,75.0,172.0,120.0,0.0,64.0
