,note,step,duration,channel,velocity
0,63.0,60.0,60.0,0.0,0.0
1,67.0,60.0,60.0,0.0,0.0
2,70.0,60.0,60.0,0.0,0.0
3,67.0,60.0,60.0,0.0,0.0
4,63.0,60.0,60.0,0.0,0.0
5,70.0,60.0,60.0,0.0,0.0
6,67.0,60.0,60.0,0.0,0.0
7,63.0,60.0,60.0,0.0,0.0
8,75.0,15.0,60.0,0.0,0.0
9,74.0,15.0,15.0,0.0,0.0
10,34.0,60.0,60.0,2.0,0.0
11,75.0,30.0,15.0,0.0,0.0
12,74.0,0.0,90.0,0.0,0.0
13,38.0,60.0,60.0,2.0,0.0
14,41.0,0.0,60.0,2.0,0.0
15,70.0,60.0,60.0,0.0,0.0
16,38.0,0.0,60.0,2.0,0.0
17,77.0,60.0,60.0,0.0,0.0
18,34.0,60.0,60.0,2.0,0.0
19,74.0,0.0,60.0,0.0,0.0
20,70.0,0.0,60.0,0.0,0.0
21,41.0,60.0,60.0,2.0,0.0
22,77.0,0.0,60.0,0.0,0.0
23,38.0,60.0,60.0,2.0,0.0
24,74.0,60.0,60.0,0.0,0.0
25,34.0,0.0,60.0,2.0,0.0
26,44.0,30.0,60.0,2.0,0.0
27,70.0,0.0,60.0,0.0,0.0
28,75.0,60.0,60.0,0.0,0.0
29,43.0,30.0,30.0,2.0,0.0
30,44.0,0.0,30.0,2.0,0.0
31,70.0,0.0,60.0,0.0,0.0
32,43.0,58.0,60.0,2.0,0.0
33,39.0,2.0,60.0,2.0,0.0
34,67.0,60.0,60.0,0.0,0.0
35,46.0,60.0,60.0,2.0,0.0
36,73.0,0.0,60.0,0.0,0.0
37,70.0,0.0,60.0,0.0,0.0
38,43.0,60.0,60.0,2.0,0.0
39,39.0,60.0,60.0,2.0,0.0
40,67.0,0.0,60.0,0.0,0.0
41,46.0,60.0,60.0,2.0,0.0
42,73.0,0.0,60.0,0.0,0.0
43,43.0,60.0,60.0,2.0,0.0
44,70.0,0.0,60.0,0.0,0.0
45,39.0,60.0,60.0,2.0,0.0
46,67.0,0.0,60.0,0.0,0.0
47,44.0,60.0,60.0,2.0,0.0
48,72.0,0.0,60.0,0.0,0.0
49,48.0,60.0,60.0,2.0,0.0
50,68.0,0.0,60.0,0.0,0.0
51,65.0,60.0,60.0,0.0,0.0
52,44.0,0.0,60.0,2.0,0.0
53,41.0,0.0,60.0,2.0,0.0
54,62.0,60.0,60.0,0.0,0.0
55,65.0,0.0,60.0,0.0,0.0
56,44.0,60.0,60.0,2.0,0.0
57,68.0,60.0,60.0,0.0,0.0
58,41.0,0.0,60.0,2.0,0.0
59,38.0,0.0,60.0,2.0,0.0
60,72.0,60.0,60.0,0.0,0.0
61,70.0,0.0,60.0,0.0,0.0
62,39.0,60.0,60.0,2.0,0.0
63,68.0,60.0,60.0,0.0,0.0
64,41.0,0.0,60.0,2.0,0.0
65,43.0,0.0,60.0,2.0,0.0
66,70.0,60.0,60.0,0.0,0.0
67,46.0,60.0,60.0,2.0,0.0
68,67.0,0.0,60.0,0.0,0.0
69,63.0,60.0,60.0,0.0,0.0
70,43.0,0.0,60.0,2.0,0.0
71,60.0,0.0,60.0,0.0,0.0
72,39.0,60.0,60.0,2.0,0.0
73,63.0,60.0,60.0,0.0,0.0
74,43.0,0.0,60.0,2.0,0.0
75,67.0,0.0,60.0,0.0,0.0
76,39.0,60.0,60.0,2.0,0.0
77,70.0,60.0,60.0,0.0,0.0
78,36.0,0.0,60.0,2.0,0.0
79,38.0,0.0,60.0,2.0,0.0
80,68.0,60.0,60.0,0.0,0.0
81,67.0,60.0,60.0,0.0,0.0
82,39.0,0.0,60.0,2.0,0.0
83,68.0,60.0,60.0,0.0,0.0
84,41.0,0.0,60.0,2.0,0.0
85,44.0,0.0,60.0,2.0,0.0
86,65.0,60.0,60.0,0.0,0.0
87,41.0,0.0,60.0,2.0,0.0
88,62.0,60.0,60.0,0.0,0.0
89,38.0,0.0,60.0,2.0,0.0
90,58.0,60.0,60.0,0.0,0.0
91,62.0,60.0,60.0,0.0,0.0
92,41.0,0.0,60.0,2.0,0.0
93,38.0,60.0,60.0,2.0,0.0
94,65.0,0.0,60.0,0.0,0.0
95,68.0,60.0,60.0,0.0,0.0
96,34.0,0.0,60.0,2.0,0.0
97,67.0,60.0,60.0,0.0,0.0
98,36.0,0.0,60.0,2.0,0.0
99,38.0,30.0,60.0,2.0,0.0
100,65.0,0.0,60.0,0.0,0.0
101,39.0,30.0,30.0,2.0,0.0
102,67.0,0.0,60.0,0.0,0.0
103,41.0,60.0,30.0,2.0,0.0
104,39.0,0.0,120.0,2.0,0.0
105,68.0,60.0,60.0,0.0,0.0
106,70.0,60.0,60.0,0.0,0.0
107,39.0,60.0,60.0,2.0,0.0
108,72.0,0.0,60.0,0.0,0.0
109,51.0,60.0,60.0,2.0,0.0
110,67.0,0.0,60.0,0.0,0.0
111,48.0,60.0,60.0,2.0,0.0
112,75.0,0.0,60.0,0.0,0.0
113,46.0,60.0,60.0,2.0,0.0
114,72.0,0.0,60.0,0.0,0.0
115,48.0,0.0,60.0,2.0,0.0
116,67.0,60.0,60.0,0.0,0.0
117,45.0,30.0,60.0,2.0,0.0
118,75.0,0.0,60.0,0.0,0.0
119,50.0,30.0,30.0,2.0,0.0
120,65.0,0.0,60.0,0.0,0.0
121,49.0,60.0,30.0,2.0,0.0
122,67.0,60.0,60.0,0.0,0.0
123,69.0,0.0,60.0,0.0,0.0
124,50.0,60.0,15.0,2.0,0.0
125,70.0,0.0,60.0,0.0,0.0
126,65.0,0.0,60.0,0.0,0.0
127,48.0,60.0,60.0,2.0,0.0
128,46.0,60.0,60.0,2.0,0.0
129,74.0,0.0,60.0,0.0,0.0
130,45.0,0.0,60.0,2.0,0.0
131,70.0,60.0,60.0,0.0,0.0
132,46.0,0.0,60.0,2.0,0.0
133,65.0,60.0,60.0,0.0,0.0
134,43.0,15.0,60.0,2.0,0.0
135,75.0,0.0,60.0,0.0,0.0
136,63.0,17.0,15.0,0.0,0.0
137,48.0,60.0,60.0,2.0,0.0
138,62.0,28.0,15.0,0.0,0.0
139,63.0,0.0,210.0,0.0,0.0
140,50.0,60.0,60.0,2.0,0.0
141,51.0,60.0,60.0,2.0,0.0
142,53.0,60.0,60.0,2.0,0.0
143,48.0,0.0,60.0,2.0,0.0
144,65.0,60.0,60.0,0.0,0.0
145,57.0,0.0,60.0,2.0,0.0
146,63.0,60.0,60.0,0.0,0.0
147,62.0,0.0,60.0,0.0,0.0
148,53.0,60.0,60.0,2.0,0.0
149,48.0,1.0,60.0,2.0,0.0
150,63.0,59.0,60.0,0.0,0.0
151,57.0,30.0,60.0,2.0,0.0
152,60.0,0.0,60.0,0.0,0.0
153,58.0,30.0,30.0,2.0,0.0
154,62.0,60.0,60.0,0.0,0.0
155,57.0,0.0,30.0,2.0,0.0
156,63.0,60.0,60.0,0.0,0.0
157,62.0,0.0,60.0,0.0,0.0
158,58.0,60.0,15.0,2.0,0.0
159,60.0,60.0,60.0,0.0,0.0
160,62.0,0.0,60.0,0.0,0.0
161,46.0,60.0,60.0,2.0,0.0
162,58.0,0.0,60.0,0.0,0.0
163,48.0,60.0,60.0,2.0,0.0
164,50.0,60.0,60.0,2.0,0.0
165,65.0,0.0,60.0,0.0,0.0
166,48.0,0.0,60.0,2.0,0.0
167,67.0,60.0,60.0,0.0,0.0
168,46.0,30.0,60.0,2.0,0.0
169,68.0,0.0,60.0,0.0,0.0
170,67.0,60.0,60.0,0.0,0.0
171,51.0,30.0,30.0,2.0,0.0
172,53.0,0.0,30.0,2.0,0.0
173,51.0,0.0,120.0,2.0,0.0
174,68.0,60.0,60.0,0.0,0.0
175,67.0,60.0,60.0,0.0,0.0
176,51.0,60.0,60.0,2.0,0.0
177,65.0,0.0,60.0,0.0,0.0
178,67.0,60.0,60.0,0.0,0.0
179,48.0,0.0,60.0,2.0,0.0
180,63.0,0.0,60.0,0.0,0.0
181,50.0,60.0,60.0,2.0,0.0
182,72.0,0.0,60.0,0.0,0.0
183,51.0,60.0,60.0,2.0,0.0
184,50.0,60.0,60.0,2.0,0.0
185,74.0,0.0,60.0,0.0,0.0
186,75.0,0.0,60.0,0.0,0.0
187,48.0,30.0,60.0,2.0,0.0
188,69.0,0.0,60.0,0.0,0.0
189,53.0,30.0,30.0,2.0,0.0
190,55.0,60.0,30.0,2.0,0.0
191,70.0,60.0,60.0,0.0,0.0
192,69.0,0.0,60.0,0.0,0.0
193,53.0,60.0,15.0,2.0,0.0
194,67.0,0.0,60.0,0.0,0.0
195,51.0,0.0,60.0,2.0,0.0
196,69.0,60.0,60.0,0.0,0.0
197,65.0,0.0,60.0,0.0,0.0
198,50.0,60.0,60.0,2.0,0.0
199,75.0,60.0,60.0,0.0,0.0
200,48.0,0.0,60.0,2.0,0.0
201,46.0,60.0,60.0,2.0,0.0
202,77.0,0.0,60.0,0.0,0.0
203,45.0,0.0,60.0,2.0,0.0
204,79.0,60.0,60.0,0.0,0.0
205,77.0,0.0,60.0,0.0,0.0
206,46.0,60.0,60.0,2.0,0.0
207,75.0,60.0,60.0,0.0,0.0
208,48.0,0.0,60.0,2.0,0.0
209,50.0,0.0,60.0,2.0,0.0
210,74.0,60.0,60.0,0.0,0.0
211,51.0,60.0,60.0,2.0,0.0
212,72.0,0.0,60.0,0.0,0.0
213,53.0,60.0,60.0,2.0,0.0
214,74.0,0.0,60.0,0.0,0.0
215,55.0,60.0,60.0,2.0,0.0
216,70.0,0.0,60.0,0.0,0.0
217,65.0,60.0,60.0,0.0,0.0
