,note,step,duration,channel,velocity
0,68.0,240.0,240.0,0.0,64.0
1,70.0,480.0,240.0,0.0,64.0
2,71.0,240.0,480.0,0.0,64.0
3,68.0,240.0,480.0,0.0,64.0
4,44.0,240.0,240.0,0.0,64.0
5,46.0,0.0,240.0,0.0,64.0
6,75.0,120.0,720.0,0.0,64.0
7,47.0,240.0,240.0,0.0,64.0
8,44.0,240.0,240.0,0.0,64.0
9,46.0,0.0,240.0,0.0,64.0
10,73.0,120.0,120.0,0.0,64.0
11,47.0,240.0,240.0,0.0,64.0
12,75.0,0.0,120.0,0.0,64.0
13,76.0,240.0,480.0,0.0,64.0
14,49.0,240.0,240.0,0.0,64.0
15,51.0,0.0,240.0,0.0,64.0
16,68.0,0.0,480.0,0.0,64.0
17,52.0,240.0,240.0,0.0,64.0
18,49.0,240.0,240.0,0.0,64.0
19,51.0,240.0,240.0,0.0,64.0
20,67.0,0.0,240.0,0.0,64.0
21,65.0,0.0,240.0,0.0,64.0
22,50.0,240.0,240.0,0.0,64.0
23,51.0,240.0,240.0,0.0,64.0
24,63.0,240.0,480.0,0.0,64.0
25,75.0,0.0,240.0,0.0,64.0
26,73.0,0.0,240.0,0.0,64.0
27,53.0,0.0,240.0,0.0,64.0
28,54.0,240.0,240.0,0.0,64.0
29,72.0,240.0,480.0,0.0,64.0
30,53.0,0.0,240.0,0.0,64.0
31,54.0,240.0,240.0,0.0,64.0
32,75.0,480.0,480.0,0.0,64.0
33,51.0,0.0,240.0,0.0,64.0
34,53.0,0.0,480.0,0.0,64.0
35,68.0,120.0,720.0,0.0,64.0
36,46.0,0.0,480.0,0.0,64.0
37,74.0,0.0,480.0,0.0,64.0
38,70.0,120.0,120.0,0.0,64.0
39,68.0,240.0,120.0,0.0,64.0
40,51.0,240.0,240.0,0.0,64.0
41,73.0,240.0,1440.0,0.0,64.0
42,67.0,240.0,480.0,0.0,64.0
43,53.0,0.0,240.0,0.0,64.0
44,55.0,240.0,240.0,0.0,64.0
45,75.0,240.0,480.0,0.0,64.0
46,51.0,0.0,240.0,0.0,64.0
47,56.0,0.0,480.0,0.0,64.0
48,76.0,240.0,240.0,0.0,64.0
49,78.0,0.0,240.0,0.0,64.0
50,44.0,480.0,480.0,0.0,64.0
51,72.0,240.0,240.0,0.0,64.0
52,80.0,0.0,480.0,0.0,64.0
53,70.0,0.0,240.0,0.0,64.0
54,72.0,0.0,480.0,0.0,64.0
55,57.0,240.0,240.0,0.0,64.0
56,56.0,240.0,240.0,0.0,64.0
57,68.0,0.0,960.0,0.0,64.0
58,71.0,240.0,960.0,0.0,64.0
59,54.0,240.0,240.0,0.0,64.0
60,52.0,240.0,240.0,0.0,64.0
61,51.0,0.0,240.0,0.0,64.0
62,73.0,240.0,240.0,0.0,64.0
63,49.0,240.0,720.0,0.0,64.0
64,69.0,0.0,480.0,0.0,64.0
65,71.0,240.0,240.0,0.0,64.0
66,70.0,0.0,240.0,0.0,64.0
67,47.0,240.0,240.0,0.0,64.0
