,note,step,duration,channel,velocity
0,68.0,60.0,60.0,1.0,0.0
1,67.0,120.0,60.0,1.0,0.0
2,68.0,120.0,120.0,1.0,0.0
3,63.0,120.0,120.0,1.0,0.0
4,64.0,63.0,120.0,1.0,0.0
5,68.0,57.0,60.0,1.0,0.0
6,67.0,120.0,60.0,1.0,0.0
7,68.0,120.0,120.0,1.0,0.0
8,70.0,120.0,120.0,1.0,0.0
9,63.0,60.0,120.0,1.0,0.0
10,68.0,60.0,60.0,1.0,0.0
11,67.0,120.0,60.0,1.0,0.0
12,68.0,120.0,120.0,1.0,0.0
13,70.0,60.0,120.0,1.0,0.0
14,61.0,60.0,60.0,1.0,0.0
15,63.0,249.0,60.0,1.0,0.0
16,64.0,51.0,240.0,1.0,0.0
17,63.0,60.0,60.0,1.0,0.0
18,61.0,60.0,60.0,1.0,0.0
19,59.0,60.0,60.0,1.0,0.0
20,68.0,60.0,60.0,1.0,0.0
21,75.0,60.0,60.0,0.0,0.0
22,67.0,0.0,60.0,1.0,0.0
23,65.0,60.0,60.0,1.0,0.0
24,74.0,0.0,60.0,0.0,0.0
25,63.0,60.0,60.0,1.0,0.0
26,75.0,60.0,120.0,0.0,0.0
27,61.0,0.0,60.0,1.0,0.0
28,59.0,60.0,60.0,1.0,0.0
29,68.0,0.0,120.0,0.0,0.0
30,58.0,120.0,60.0,1.0,0.0
31,71.0,0.0,120.0,0.0,0.0
32,56.0,60.0,120.0,1.0,0.0
33,75.0,60.0,60.0,0.0,0.0
34,71.0,0.0,120.0,1.0,0.0
35,74.0,120.0,60.0,0.0,0.0
36,70.0,120.0,120.0,1.0,0.0
37,75.0,0.0,120.0,0.0,0.0
38,68.0,120.0,120.0,1.0,0.0
39,77.0,0.0,120.0,0.0,0.0
40,70.0,0.0,120.0,0.0,0.0
41,66.0,60.0,120.0,1.0,0.0
42,65.0,120.0,120.0,1.0,0.0
43,75.0,45.0,60.0,0.0,0.0
44,74.0,15.0,40.0,0.0,0.0
45,75.0,120.0,120.0,0.0,0.0
46,66.0,0.0,120.0,1.0,0.0
47,68.0,0.0,120.0,1.0,0.0
48,77.0,60.0,120.0,0.0,0.0
49,62.0,0.0,120.0,1.0,0.0
50,68.0,60.0,60.0,0.0,0.0
51,70.0,120.0,60.0,0.0,0.0
52,63.0,120.0,120.0,1.0,0.0
53,71.0,60.0,240.0,0.0,0.0
54,65.0,0.0,120.0,1.0,0.0
55,62.0,0.0,120.0,1.0,0.0
56,70.0,60.0,60.0,0.0,0.0
57,68.0,120.0,60.0,0.0,0.0
58,63.0,12.0,240.0,1.0,0.0
59,66.0,60.0,120.0,0.0,0.0
60,71.0,48.0,60.0,0.0,0.0
61,70.0,120.0,60.0,0.0,0.0
62,71.0,60.0,120.0,0.0,0.0
63,56.0,0.0,60.0,1.0,0.0
64,58.0,60.0,60.0,1.0,0.0
65,63.0,0.0,120.0,0.0,0.0
66,59.0,60.0,60.0,1.0,0.0
67,64.0,60.0,120.0,0.0,0.0
