,note,step,duration,channel,velocity
0,50.0,0.0,960.0,1.0,0.0
1,53.0,120.0,120.0,1.0,0.0
2,69.0,60.0,120.0,0.0,0.0
3,70.0,60.0,60.0,0.0,0.0
4,55.0,0.0,120.0,1.0,0.0
5,69.0,60.0,60.0,0.0,0.0
6,67.0,60.0,60.0,0.0,0.0
7,70.0,60.0,60.0,0.0,0.0
8,69.0,60.0,60.0,0.0,0.0
9,53.0,60.0,120.0,1.0,0.0
10,67.0,0.0,60.0,0.0,0.0
11,65.0,60.0,60.0,0.0,0.0
12,69.0,60.0,60.0,0.0,0.0
13,67.0,60.0,60.0,0.0,0.0
14,52.0,60.0,120.0,1.0,0.0
15,65.0,0.0,60.0,0.0,0.0
16,64.0,60.0,60.0,0.0,0.0
17,67.0,60.0,60.0,0.0,0.0
18,38.0,0.0,120.0,1.0,0.0
19,65.0,60.0,60.0,0.0,0.0
20,64.0,60.0,60.0,0.0,0.0
21,50.0,0.0,15.0,1.0,0.0
22,62.0,60.0,60.0,0.0,0.0
23,65.0,60.0,60.0,0.0,0.0
24,69.0,60.0,120.0,0.0,0.0
25,53.0,60.0,60.0,1.0,0.0
26,52.0,0.0,60.0,1.0,0.0
27,50.0,60.0,60.0,1.0,0.0
28,77.0,0.0,120.0,0.0,0.0
29,53.0,60.0,60.0,1.0,0.0
30,52.0,60.0,60.0,1.0,0.0
31,68.0,0.0,120.0,0.0,0.0
32,50.0,60.0,60.0,1.0,0.0
33,76.0,60.0,120.0,0.0,0.0
34,48.0,60.0,60.0,1.0,0.0
35,52.0,0.0,60.0,1.0,0.0
36,64.0,0.0,120.0,0.0,0.0
37,50.0,60.0,60.0,1.0,0.0
38,48.0,60.0,60.0,1.0,0.0
39,47.0,60.0,60.0,1.0,0.0
40,74.0,60.0,120.0,0.0,0.0
41,50.0,0.0,60.0,1.0,0.0
42,69.0,0.0,120.0,0.0,0.0
43,48.0,60.0,60.0,1.0,0.0
44,47.0,60.0,60.0,1.0,0.0
45,72.0,60.0,120.0,0.0,0.0
46,45.0,60.0,60.0,1.0,0.0
47,48.0,0.0,60.0,1.0,0.0
48,50.0,0.0,120.0,1.0,0.0
49,65.0,60.0,60.0,0.0,0.0
50,64.0,60.0,60.0,0.0,0.0
51,53.0,0.0,120.0,1.0,0.0
52,62.0,60.0,60.0,0.0,0.0
53,65.0,60.0,60.0,0.0,0.0
54,67.0,0.0,120.0,0.0,0.0
55,46.0,60.0,60.0,1.0,0.0
56,45.0,60.0,60.0,1.0,0.0
57,70.0,60.0,120.0,0.0,0.0
58,43.0,60.0,60.0,1.0,0.0
59,46.0,0.0,60.0,1.0,0.0
60,48.0,0.0,120.0,1.0,0.0
61,64.0,60.0,60.0,0.0,0.0
62,62.0,60.0,60.0,0.0,0.0
63,52.0,60.0,120.0,1.0,0.0
64,60.0,60.0,60.0,0.0,0.0
65,64.0,0.0,60.0,0.0,0.0
66,45.0,60.0,60.0,1.0,0.0
67,65.0,0.0,120.0,0.0,0.0
68,43.0,60.0,60.0,1.0,0.0
69,69.0,0.0,120.0,0.0,0.0
70,41.0,60.0,60.0,1.0,0.0
71,45.0,60.0,60.0,1.0,0.0
72,67.0,0.0,60.0,0.0,0.0
73,46.0,60.0,60.0,1.0,0.0
74,69.0,0.0,60.0,0.0,0.0
75,45.0,60.0,60.0,1.0,0.0
76,70.0,0.0,60.0,0.0,0.0
77,43.0,60.0,60.0,1.0,0.0
78,74.0,60.0,60.0,0.0,0.0
79,46.0,0.0,60.0,1.0,0.0
80,45.0,60.0,60.0,1.0,0.0
81,65.0,0.0,60.0,0.0,0.0
82,43.0,60.0,60.0,1.0,0.0
83,67.0,0.0,60.0,0.0,0.0
84,41.0,60.0,60.0,1.0,0.0
85,69.0,0.0,60.0,0.0,0.0
86,74.0,0.0,60.0,0.0,0.0
87,45.0,60.0,60.0,1.0,0.0
88,43.0,60.0,60.0,1.0,0.0
89,64.0,0.0,60.0,0.0,0.0
90,65.0,0.0,60.0,0.0,0.0
91,41.0,60.0,60.0,1.0,0.0
92,67.0,60.0,60.0,0.0,0.0
93,40.0,0.0,60.0,1.0,0.0
94,73.0,0.0,60.0,0.0,0.0
95,43.0,60.0,60.0,1.0,0.0
96,41.0,60.0,60.0,1.0,0.0
97,62.0,60.0,120.0,0.0,0.0
98,40.0,0.0,60.0,1.0,0.0
99,38.0,60.0,60.0,1.0,0.0
100,65.0,0.0,120.0,0.0,0.0
101,41.0,60.0,60.0,1.0,0.0
102,67.0,60.0,60.0,0.0,0.0
103,46.0,0.0,120.0,1.0,0.0
104,69.0,60.0,60.0,0.0,0.0
105,70.0,60.0,60.0,0.0,0.0
106,50.0,60.0,120.0,1.0,0.0
107,67.0,0.0,60.0,0.0,0.0
108,64.0,60.0,120.0,0.0,0.0
109,43.0,60.0,60.0,1.0,0.0
110,41.0,0.0,60.0,1.0,0.0
111,67.0,60.0,120.0,0.0,0.0
112,40.0,60.0,60.0,1.0,0.0
113,43.0,0.0,60.0,1.0,0.0
114,48.0,0.0,120.0,1.0,0.0
115,69.0,60.0,60.0,0.0,0.0
116,70.0,60.0,60.0,0.0,0.0
117,72.0,60.0,60.0,0.0,0.0
118,52.0,0.0,120.0,1.0,0.0
119,69.0,60.0,60.0,0.0,0.0
120,65.0,0.0,120.0,0.0,0.0
121,45.0,60.0,60.0,1.0,0.0
122,43.0,60.0,60.0,1.0,0.0
123,41.0,60.0,60.0,1.0,0.0
124,69.0,60.0,120.0,0.0,0.0
125,45.0,0.0,60.0,1.0,0.0
126,46.0,0.0,60.0,1.0,0.0
127,74.0,60.0,60.0,0.0,0.0
128,48.0,0.0,60.0,1.0,0.0
129,72.0,60.0,60.0,0.0,0.0
130,70.0,0.0,60.0,0.0,0.0
131,50.0,60.0,60.0,1.0,0.0
132,53.0,60.0,60.0,1.0,0.0
133,74.0,0.0,60.0,0.0,0.0
134,45.0,0.0,60.0,1.0,0.0
135,72.0,60.0,60.0,0.0,0.0
136,46.0,60.0,60.0,1.0,0.0
137,70.0,0.0,60.0,0.0,0.0
138,69.0,0.0,60.0,0.0,0.0
139,48.0,60.0,60.0,1.0,0.0
140,72.0,0.0,60.0,0.0,0.0
141,53.0,60.0,60.0,1.0,0.0
142,43.0,0.0,60.0,1.0,0.0
143,70.0,60.0,60.0,0.0,0.0
144,69.0,0.0,60.0,0.0,0.0
145,45.0,60.0,60.0,1.0,0.0
146,46.0,60.0,60.0,1.0,0.0
147,67.0,0.0,60.0,0.0,0.0
148,52.0,60.0,60.0,1.0,0.0
149,70.0,0.0,60.0,0.0,0.0
150,41.0,0.0,120.0,1.0,0.0
151,69.0,60.0,60.0,0.0,0.0
152,67.0,60.0,60.0,0.0,0.0
153,65.0,60.0,60.0,0.0,0.0
154,53.0,0.0,60.0,1.0,0.0
155,55.0,60.0,60.0,1.0,0.0
156,64.0,0.0,60.0,0.0,0.0
157,65.0,0.0,60.0,0.0,0.0
158,57.0,60.0,60.0,1.0,0.0
159,55.0,0.0,60.0,1.0,0.0
160,67.0,60.0,60.0,0.0,0.0
161,53.0,0.0,60.0,1.0,0.0
162,69.0,60.0,60.0,0.0,0.0
163,72.0,60.0,60.0,0.0,0.0
164,57.0,0.0,60.0,1.0,0.0
165,64.0,60.0,60.0,0.0,0.0
166,55.0,0.0,60.0,1.0,0.0
167,65.0,60.0,60.0,0.0,0.0
168,53.0,0.0,60.0,1.0,0.0
169,67.0,0.0,60.0,0.0,0.0
170,52.0,60.0,60.0,1.0,0.0
171,72.0,60.0,60.0,0.0,0.0
172,55.0,0.0,60.0,1.0,0.0
173,53.0,0.0,60.0,1.0,0.0
174,62.0,60.0,60.0,0.0,0.0
175,64.0,60.0,60.0,0.0,0.0
176,52.0,0.0,60.0,1.0,0.0
177,50.0,0.0,60.0,1.0,0.0
178,65.0,60.0,60.0,0.0,0.0
179,53.0,0.0,60.0,1.0,0.0
180,71.0,60.0,60.0,0.0,0.0
181,52.0,60.0,60.0,1.0,0.0
182,60.0,60.0,120.0,0.0,0.0
183,50.0,0.0,60.0,1.0,0.0
184,48.0,60.0,60.0,1.0,0.0
185,76.0,60.0,180.0,0.0,0.0
186,52.0,60.0,60.0,1.0,0.0
187,57.0,0.0,120.0,1.0,0.0
188,72.0,60.0,60.0,0.0,0.0
189,60.0,60.0,120.0,1.0,0.0
190,69.0,60.0,60.0,0.0,0.0
191,68.0,0.0,60.0,0.0,0.0
192,53.0,60.0,60.0,1.0,0.0
193,69.0,0.0,120.0,0.0,0.0
194,52.0,60.0,60.0,1.0,0.0
195,50.0,60.0,60.0,1.0,0.0
196,77.0,60.0,180.0,0.0,0.0
197,53.0,60.0,60.0,1.0,0.0
198,59.0,0.0,120.0,1.0,0.0
199,74.0,60.0,60.0,0.0,0.0
200,62.0,0.0,120.0,1.0,0.0
201,71.0,60.0,60.0,0.0,0.0
202,69.0,60.0,60.0,0.0,0.0
203,52.0,60.0,120.0,1.0,0.0
204,68.0,60.0,60.0,0.0,0.0
205,71.0,0.0,60.0,0.0,0.0
206,76.0,60.0,60.0,0.0,0.0
207,60.0,60.0,120.0,1.0,0.0
208,69.0,0.0,60.0,0.0,0.0
209,50.0,0.0,120.0,1.0,0.0
210,77.0,60.0,60.0,0.0,0.0
211,76.0,60.0,60.0,0.0,0.0
212,74.0,60.0,60.0,0.0,0.0
213,59.0,0.0,120.0,1.0,0.0
214,77.0,60.0,60.0,0.0,0.0
215,76.0,60.0,60.0,0.0,0.0
216,48.0,60.0,120.0,1.0,0.0
217,74.0,0.0,60.0,0.0,0.0
218,57.0,60.0,120.0,1.0,0.0
219,72.0,60.0,60.0,0.0,0.0
220,76.0,0.0,60.0,0.0,0.0
221,74.0,60.0,60.0,0.0,0.0
222,47.0,60.0,120.0,1.0,0.0
223,72.0,0.0,60.0,0.0,0.0
224,71.0,60.0,60.0,0.0,0.0
225,56.0,60.0,120.0,1.0,0.0
226,74.0,0.0,60.0,0.0,0.0
227,45.0,0.0,120.0,1.0,0.0
228,72.0,60.0,60.0,0.0,0.0
229,71.0,60.0,60.0,0.0,0.0
230,69.0,60.0,60.0,0.0,0.0
231,57.0,0.0,120.0,1.0,0.0
232,72.0,60.0,60.0,0.0,0.0
233,49.0,60.0,60.0,1.0,0.0
234,76.0,60.0,120.0,0.0,0.0
