,note,step,duration,channel,velocity
0,54.0,26.0,390.0,2.0,0.0
1,78.0,30.0,30.0,0.0,0.0
2,77.0,30.0,30.0,0.0,0.0
3,75.0,30.0,30.0,0.0,0.0
4,73.0,30.0,30.0,0.0,0.0
5,71.0,60.0,30.0,0.0,0.0
6,70.0,8.0,90.0,0.0,0.0
7,66.0,22.0,30.0,1.0,0.0
8,65.0,30.0,30.0,1.0,0.0
9,71.0,8.0,90.0,0.0,0.0
10,63.0,30.0,30.0,1.0,0.0
11,61.0,22.0,30.0,1.0,0.0
12,59.0,30.0,30.0,1.0,0.0
13,73.0,0.0,60.0,0.0,0.0
14,58.0,4.0,60.0,1.0,0.0
15,54.0,30.0,30.0,2.0,0.0
16,61.0,0.0,30.0,1.0,0.0
17,52.0,0.0,30.0,2.0,0.0
18,70.0,30.0,30.0,0.0,0.0
19,51.0,26.0,30.0,2.0,0.0
20,66.0,0.0,60.0,1.0,0.0
21,71.0,4.0,60.0,0.0,0.0
22,49.0,30.0,30.0,2.0,0.0
23,71.0,30.0,30.0,1.0,0.0
24,47.0,0.0,30.0,2.0,0.0
25,75.0,0.0,30.0,0.0,0.0
26,54.0,0.0,30.0,2.0,0.0
27,75.0,30.0,30.0,0.0,0.0
28,71.0,30.0,120.0,1.0,0.0
29,53.0,0.0,30.0,2.0,0.0
30,73.0,30.0,30.0,0.0,0.0
31,54.0,0.0,30.0,2.0,0.0
32,75.0,30.0,30.0,0.0,0.0
33,73.0,4.0,150.0,0.0,0.0
34,42.0,26.0,120.0,2.0,0.0
35,70.0,30.0,30.0,1.0,0.0
36,68.0,30.0,30.0,1.0,0.0
37,70.0,8.0,90.0,1.0,0.0
38,46.0,22.0,30.0,2.0,0.0
39,66.0,0.0,30.0,0.0,0.0
40,47.0,30.0,30.0,2.0,0.0
41,49.0,26.0,30.0,2.0,0.0
42,68.0,8.0,90.0,1.0,0.0
43,65.0,4.0,60.0,0.0,0.0
44,51.0,22.0,30.0,2.0,0.0
45,53.0,30.0,30.0,2.0,0.0
46,71.0,0.0,30.0,0.0,0.0
47,70.0,0.0,90.0,0.0,0.0
48,54.0,8.0,90.0,2.0,0.0
49,66.0,30.0,30.0,1.0,0.0
50,58.0,22.0,30.0,1.0,0.0
51,59.0,30.0,30.0,1.0,0.0
52,53.0,0.0,90.0,2.0,0.0
53,68.0,8.0,90.0,0.0,0.0
54,61.0,30.0,30.0,1.0,0.0
55,63.0,22.0,30.0,1.0,0.0
56,65.0,30.0,30.0,1.0,0.0
57,66.0,30.0,210.0,1.0,0.0
58,66.0,26.0,30.0,0.0,0.0
59,51.0,4.0,60.0,2.0,0.0
60,68.0,30.0,30.0,0.0,0.0
61,49.0,30.0,30.0,2.0,0.0
62,70.0,0.0,30.0,0.0,0.0
63,71.0,26.0,30.0,0.0,0.0
64,51.0,4.0,60.0,2.0,0.0
65,73.0,30.0,30.0,0.0,0.0
66,47.0,0.0,30.0,2.0,0.0
67,75.0,30.0,30.0,0.0,0.0
68,68.0,30.0,210.0,0.0,0.0
69,49.0,30.0,120.0,2.0,0.0
70,65.0,30.0,30.0,1.0,0.0
71,63.0,30.0,30.0,1.0,0.0
72,65.0,0.0,120.0,1.0,0.0
73,53.0,30.0,30.0,2.0,0.0
74,56.0,30.0,30.0,2.0,0.0
75,61.0,8.0,90.0,2.0,0.0
76,65.0,22.0,30.0,0.0,0.0
77,66.0,30.0,30.0,0.0,0.0
78,68.0,30.0,30.0,0.0,0.0
79,59.0,8.0,90.0,2.0,0.0
80,70.0,22.0,30.0,0.0,0.0
81,71.0,60.0,30.0,0.0,0.0
82,73.0,8.0,90.0,0.0,0.0
83,58.0,0.0,90.0,2.0,0.0
84,61.0,22.0,30.0,1.0,0.0
85,63.0,30.0,30.0,1.0,0.0
86,56.0,0.0,90.0,2.0,0.0
87,71.0,8.0,90.0,0.0,0.0
88,65.0,30.0,30.0,1.0,0.0
89,66.0,22.0,30.0,1.0,0.0
90,68.0,30.0,30.0,1.0,0.0
91,54.0,26.0,30.0,2.0,0.0
92,70.0,4.0,150.0,0.0,0.0
93,70.0,4.0,60.0,1.0,0.0
94,42.0,30.0,30.0,2.0,0.0
95,63.0,30.0,30.0,1.0,0.0
96,44.0,0.0,30.0,2.0,0.0
97,46.0,26.0,30.0,2.0,0.0
98,62.0,0.0,60.0,1.0,0.0
99,48.0,30.0,30.0,2.0,0.0
100,68.0,0.0,30.0,0.0,0.0
101,65.0,30.0,60.0,1.0,0.0
102,50.0,30.0,30.0,2.0,0.0
103,51.0,30.0,120.0,2.0,0.0
104,66.0,30.0,210.0,0.0,0.0
105,58.0,30.0,30.0,1.0,0.0
106,62.0,30.0,30.0,1.0,0.0
107,63.0,30.0,210.0,1.0,0.0
108,54.0,30.0,30.0,2.0,0.0
109,46.0,30.0,30.0,2.0,0.0
110,48.0,8.0,90.0,2.0,0.0
111,68.0,22.0,30.0,0.0,0.0
112,63.0,30.0,30.0,0.0,0.0
113,65.0,8.0,180.0,0.0,0.0
114,49.0,30.0,120.0,2.0,0.0
115,56.0,30.0,30.0,1.0,0.0
116,60.0,30.0,30.0,1.0,0.0
117,61.0,8.0,450.0,1.0,0.0
118,49.0,22.0,30.0,2.0,0.0
119,48.0,30.0,30.0,2.0,0.0
120,46.0,30.0,30.0,2.0,0.0
121,66.0,8.0,60.0,0.0,0.0
122,44.0,17.0,30.0,2.0,0.0
123,42.0,3.0,30.0,2.0,0.0
124,65.0,5.0,15.0,0.0,0.0
125,66.0,27.0,15.0,0.0,0.0
126,41.0,8.0,90.0,2.0,0.0
127,68.0,30.0,30.0,0.0,0.0
128,73.0,22.0,30.0,0.0,0.0
129,72.0,30.0,30.0,0.0,0.0
130,70.0,30.0,30.0,0.0,0.0
131,42.0,8.0,90.0,2.0,0.0
132,68.0,22.0,30.0,0.0,0.0
133,66.0,30.0,30.0,0.0,0.0
134,44.0,30.0,120.0,2.0,0.0
135,65.0,30.0,30.0,0.0,0.0
136,63.0,22.0,30.0,0.0,0.0
137,65.0,30.0,30.0,0.0,0.0
138,60.0,0.0,90.0,1.0,0.0
139,63.0,8.0,90.0,0.0,0.0
140,48.0,22.0,30.0,2.0,0.0
141,51.0,30.0,30.0,2.0,0.0
142,56.0,0.0,30.0,0.0,0.0
143,54.0,30.0,30.0,2.0,0.0
144,53.0,0.0,30.0,2.0,0.0
145,60.0,30.0,30.0,0.0,0.0
146,54.0,0.0,30.0,2.0,0.0
147,63.0,30.0,30.0,0.0,0.0
148,66.0,0.0,30.0,0.0,0.0
149,44.0,30.0,30.0,2.0,0.0
150,48.0,30.0,30.0,2.0,0.0
151,65.0,0.0,30.0,0.0,0.0
152,51.0,30.0,30.0,2.0,0.0
153,66.0,0.0,30.0,0.0,0.0
154,56.0,0.0,30.0,0.0,0.0
155,53.0,30.0,30.0,2.0,0.0
156,60.0,0.0,30.0,0.0,0.0
157,51.0,30.0,30.0,2.0,0.0
158,61.0,30.0,30.0,0.0,0.0
159,53.0,0.0,30.0,2.0,0.0
160,44.0,0.0,30.0,2.0,0.0
161,65.0,30.0,30.0,0.0,0.0
162,48.0,30.0,30.0,2.0,0.0
163,63.0,0.0,30.0,0.0,0.0
164,65.0,0.0,30.0,0.0,0.0
165,49.0,30.0,30.0,2.0,0.0
166,54.0,0.0,30.0,0.0,0.0
167,51.0,30.0,30.0,2.0,0.0
168,58.0,30.0,30.0,0.0,0.0
169,49.0,0.0,30.0,2.0,0.0
170,51.0,30.0,30.0,2.0,0.0
171,60.0,0.0,30.0,0.0,0.0
172,44.0,0.0,30.0,2.0,0.0
173,63.0,30.0,30.0,0.0,0.0
174,46.0,0.0,30.0,2.0,0.0
175,61.0,30.0,30.0,0.0,0.0
176,63.0,0.0,30.0,0.0,0.0
177,48.0,30.0,30.0,2.0,0.0
178,49.0,0.0,120.0,2.0,0.0
179,54.0,30.0,30.0,0.0,0.0
180,53.0,30.0,30.0,0.0,0.0
181,56.0,30.0,30.0,0.0,0.0
182,61.0,30.0,30.0,0.0,0.0
183,44.0,0.0,30.0,2.0,0.0
184,65.0,30.0,30.0,0.0,0.0
185,41.0,0.0,30.0,2.0,0.0
186,68.0,30.0,30.0,0.0,0.0
187,71.0,0.0,30.0,0.0,0.0
188,37.0,30.0,30.0,2.0,0.0
189,70.0,0.0,30.0,0.0,0.0
190,41.0,30.0,30.0,2.0,0.0
191,44.0,30.0,30.0,2.0,0.0
192,71.0,0.0,30.0,0.0,0.0
193,61.0,0.0,30.0,0.0,0.0
194,47.0,30.0,30.0,2.0,0.0
195,65.0,30.0,30.0,0.0,0.0
196,46.0,0.0,30.0,2.0,0.0
197,68.0,30.0,30.0,0.0,0.0
198,47.0,0.0,30.0,2.0,0.0
199,37.0,0.0,30.0,2.0,0.0
200,70.0,30.0,30.0,0.0,0.0
201,68.0,0.0,30.0,0.0,0.0
202,41.0,30.0,30.0,2.0,0.0
203,42.0,0.0,30.0,2.0,0.0
204,70.0,30.0,30.0,0.0,0.0
205,61.0,0.0,30.0,0.0,0.0
206,46.0,30.0,30.0,2.0,0.0
207,44.0,0.0,30.0,2.0,0.0
208,65.0,30.0,30.0,0.0,0.0
209,46.0,0.0,30.0,2.0,0.0
210,66.0,30.0,30.0,0.0,0.0
211,68.0,30.0,30.0,0.0,0.0
212,35.0,0.0,30.0,2.0,0.0
213,66.0,30.0,30.0,0.0,0.0
214,39.0,0.0,30.0,2.0,0.0
215,41.0,0.0,30.0,2.0,0.0
216,68.0,30.0,30.0,0.0,0.0
217,44.0,0.0,30.0,2.0,0.0
218,59.0,30.0,30.0,0.0,0.0
219,63.0,30.0,30.0,0.0,0.0
220,42.0,0.0,30.0,2.0,0.0
221,65.0,0.0,30.0,0.0,0.0
222,44.0,30.0,30.0,2.0,0.0
223,65.0,0.0,30.0,0.0,0.0
224,35.0,30.0,30.0,2.0,0.0
225,34.0,30.0,30.0,2.0,0.0
226,66.0,0.0,30.0,0.0,0.0
227,61.0,0.0,30.0,0.0,0.0
228,37.0,30.0,30.0,2.0,0.0
229,58.0,30.0,120.0,0.0,0.0
230,42.0,30.0,30.0,2.0,0.0
231,46.0,30.0,30.0,2.0,0.0
232,49.0,30.0,30.0,2.0,0.0
233,54.0,8.0,90.0,2.0,0.0
234,56.0,22.0,30.0,0.0,0.0
235,58.0,30.0,30.0,0.0,0.0
236,53.0,30.0,30.0,0.0,0.0
237,61.0,8.0,90.0,2.0,0.0
238,58.0,22.0,30.0,0.0,0.0
239,54.0,30.0,30.0,0.0,0.0
240,51.0,30.0,30.0,0.0,0.0
241,66.0,8.0,90.0,2.0,0.0
242,58.0,22.0,30.0,0.0,0.0
243,54.0,30.0,30.0,0.0,0.0
244,51.0,30.0,30.0,0.0,0.0
245,47.0,8.0,90.0,2.0,0.0
246,58.0,22.0,30.0,0.0,0.0
247,66.0,30.0,30.0,0.0,0.0
248,41.0,8.0,90.0,2.0,0.0
249,56.0,30.0,30.0,0.0,0.0
250,54.0,22.0,30.0,0.0,0.0
251,56.0,30.0,30.0,0.0,0.0
252,59.0,8.0,90.0,2.0,0.0
253,51.0,30.0,30.0,0.0,0.0
254,56.0,22.0,30.0,0.0,0.0
255,53.0,30.0,30.0,0.0,0.0
256,65.0,8.0,90.0,2.0,0.0
257,50.0,30.0,30.0,0.0,0.0
258,56.0,22.0,30.0,0.0,0.0
259,53.0,30.0,30.0,0.0,0.0
260,50.0,30.0,30.0,0.0,0.0
261,46.0,8.0,90.0,2.0,0.0
262,56.0,22.0,30.0,0.0,0.0
263,65.0,30.0,30.0,0.0,0.0
264,39.0,8.0,90.0,2.0,0.0
265,54.0,30.0,30.0,0.0,0.0
266,53.0,22.0,30.0,0.0,0.0
267,54.0,30.0,30.0,0.0,0.0
268,49.0,30.0,30.0,2.0,0.0
269,58.0,8.0,90.0,0.0,0.0
270,54.0,22.0,30.0,2.0,0.0
271,51.0,30.0,30.0,2.0,0.0
272,63.0,8.0,90.0,0.0,0.0
273,48.0,30.0,30.0,2.0,0.0
274,54.0,22.0,30.0,2.0,0.0
275,51.0,30.0,30.0,2.0,0.0
276,44.0,8.0,90.0,0.0,0.0
277,48.0,30.0,30.0,2.0,0.0
278,54.0,22.0,30.0,2.0,0.0
279,63.0,30.0,30.0,2.0,0.0
