,note,step,duration,channel,velocity
0,57.0,60.0,60.0,0.0,0.0
1,53.0,60.0,60.0,0.0,0.0
2,50.0,180.0,60.0,0.0,0.0
3,58.0,34.0,180.0,0.0,0.0
4,57.0,30.0,30.0,0.0,0.0
5,55.0,176.0,30.0,0.0,0.0
6,57.0,60.0,180.0,0.0,0.0
7,62.0,180.0,60.0,0.0,0.0
8,55.0,34.0,180.0,0.0,0.0
9,53.0,30.0,30.0,0.0,0.0
10,52.0,56.0,30.0,0.0,0.0
11,53.0,60.0,60.0,0.0,0.0
12,50.0,49.0,60.0,0.0,0.0
13,53.0,14.0,40.0,0.0,0.0
14,52.0,10.0,20.0,0.0,0.0
15,53.0,10.0,20.0,0.0,0.0
16,52.0,10.0,20.0,0.0,0.0
17,53.0,10.0,20.0,0.0,0.0
18,52.0,10.0,20.0,0.0,0.0
19,53.0,10.0,20.0,0.0,0.0
20,52.0,10.0,20.0,0.0,0.0
21,53.0,10.0,20.0,0.0,0.0
22,52.0,10.0,20.0,0.0,0.0
23,53.0,10.0,20.0,0.0,0.0
24,52.0,10.0,20.0,0.0,0.0
25,53.0,15.0,20.0,0.0,0.0
26,53.0,10.0,20.0,0.0,0.0
27,52.0,5.0,15.0,0.0,0.0
28,53.0,10.0,20.0,0.0,0.0
29,52.0,10.0,20.0,0.0,0.0
30,50.0,20.0,20.0,0.0,0.0
31,52.0,47.0,20.0,0.0,0.0
32,50.0,60.0,60.0,0.0,0.0
33,52.0,60.0,60.0,0.0,0.0
34,53.0,60.0,60.0,0.0,0.0
35,62.0,0.0,60.0,0.0,0.0
36,55.0,60.0,60.0,0.0,0.0
37,60.0,53.0,60.0,0.0,0.0
38,57.0,7.0,40.0,0.0,0.0
39,65.0,34.0,180.0,0.0,0.0
40,59.0,60.0,60.0,0.0,0.0
41,60.0,11.0,120.0,0.0,0.0
42,64.0,19.0,30.0,0.0,0.0
43,62.0,116.0,30.0,0.0,0.0
44,64.0,53.0,180.0,0.0,0.0
45,60.0,60.0,60.0,0.0,0.0
46,54.0,7.0,120.0,0.0,0.0
47,69.0,120.0,60.0,0.0,0.0
48,62.0,34.0,180.0,0.0,0.0
49,56.0,60.0,60.0,0.0,0.0
50,57.0,11.0,120.0,0.0,0.0
51,60.0,19.0,30.0,0.0,0.0
52,59.0,56.0,30.0,0.0,0.0
53,60.0,60.0,60.0,0.0,0.0
54,57.0,42.0,60.0,0.0,0.0
55,60.0,11.0,30.0,0.0,0.0
56,59.0,7.0,20.0,0.0,0.0
57,60.0,10.0,20.0,0.0,0.0
58,59.0,10.0,20.0,0.0,0.0
59,60.0,10.0,20.0,0.0,0.0
60,56.0,9.0,30.0,0.0,0.0
61,59.0,1.0,20.0,0.0,0.0
62,60.0,10.0,20.0,0.0,0.0
63,59.0,10.0,20.0,0.0,0.0
64,54.0,9.0,30.0,0.0,0.0
65,60.0,1.0,20.0,0.0,0.0
66,59.0,10.0,20.0,0.0,0.0
67,60.0,10.0,20.0,0.0,0.0
68,56.0,3.0,60.0,0.0,0.0
69,59.0,10.0,20.0,0.0,0.0
70,60.0,10.0,20.0,0.0,0.0
71,59.0,7.0,20.0,0.0,0.0
72,60.0,10.0,20.0,0.0,0.0
73,59.0,10.0,20.0,0.0,0.0
74,60.0,10.0,20.0,0.0,0.0
75,52.0,13.0,60.0,0.0,0.0
76,59.0,10.0,20.0,0.0,0.0
77,60.0,10.0,20.0,0.0,0.0
78,59.0,5.0,20.0,0.0,0.0
79,57.0,2.0,20.0,0.0,0.0
80,59.0,47.0,20.0,0.0,0.0
81,57.0,60.0,60.0,0.0,0.0
