,note,step,duration,channel,velocity
0,51.0,0.0,90.0,3.0,0.0
1,51.0,68.0,90.0,1.0,0.0
2,46.0,0.0,60.0,3.0,0.0
3,46.0,60.0,60.0,1.0,0.0
4,51.0,0.0,60.0,1.0,0.0
5,51.0,112.0,60.0,3.0,0.0
6,53.0,68.0,90.0,3.0,0.0
7,53.0,0.0,90.0,1.0,0.0
8,46.0,60.0,60.0,3.0,0.0
9,46.0,0.0,60.0,1.0,0.0
10,53.0,0.0,60.0,1.0,0.0
11,53.0,60.0,60.0,3.0,0.0
12,54.0,0.0,60.0,1.0,0.0
13,54.0,60.0,60.0,3.0,0.0
14,58.0,0.0,60.0,1.0,0.0
15,58.0,60.0,60.0,3.0,0.0
16,54.0,0.0,60.0,3.0,0.0
17,54.0,60.0,60.0,1.0,0.0
18,51.0,0.0,60.0,3.0,0.0
19,51.0,60.0,60.0,1.0,0.0
20,50.0,0.0,60.0,3.0,0.0
21,50.0,60.0,60.0,1.0,0.0
22,53.0,0.0,60.0,3.0,0.0
23,53.0,60.0,60.0,1.0,0.0
24,50.0,60.0,60.0,3.0,0.0
25,50.0,0.0,60.0,1.0,0.0
26,46.0,60.0,60.0,1.0,0.0
27,46.0,0.0,60.0,3.0,0.0
28,51.0,60.0,60.0,1.0,0.0
29,51.0,0.0,60.0,3.0,0.0
30,54.0,60.0,60.0,1.0,0.0
31,54.0,0.0,60.0,3.0,0.0
32,51.0,0.0,60.0,1.0,0.0
33,51.0,60.0,60.0,3.0,0.0
34,46.0,0.0,60.0,1.0,0.0
35,46.0,60.0,60.0,3.0,0.0
36,47.0,60.0,60.0,1.0,0.0
37,47.0,0.0,60.0,3.0,0.0
38,46.0,0.0,60.0,3.0,0.0
39,46.0,60.0,60.0,1.0,0.0
40,47.0,60.0,60.0,1.0,0.0
41,47.0,0.0,60.0,3.0,0.0
42,44.0,60.0,60.0,3.0,0.0
43,44.0,0.0,60.0,1.0,0.0
44,49.0,0.0,60.0,3.0,0.0
45,49.0,60.0,60.0,1.0,0.0
46,53.0,60.0,60.0,3.0,0.0
47,53.0,0.0,60.0,1.0,0.0
48,49.0,0.0,60.0,3.0,0.0
49,49.0,60.0,60.0,1.0,0.0
50,44.0,0.0,60.0,3.0,0.0
51,44.0,60.0,60.0,1.0,0.0
52,46.0,0.0,60.0,3.0,0.0
53,46.0,60.0,60.0,1.0,0.0
54,44.0,0.0,60.0,3.0,0.0
55,44.0,60.0,60.0,1.0,0.0
56,46.0,60.0,60.0,1.0,0.0
57,46.0,0.0,60.0,3.0,0.0
58,42.0,60.0,60.0,3.0,0.0
59,42.0,0.0,60.0,1.0,0.0
60,47.0,60.0,60.0,3.0,0.0
61,47.0,0.0,60.0,1.0,0.0
62,51.0,60.0,60.0,3.0,0.0
63,51.0,0.0,60.0,1.0,0.0
64,47.0,0.0,60.0,1.0,0.0
65,47.0,60.0,60.0,3.0,0.0
66,42.0,60.0,60.0,1.0,0.0
67,42.0,0.0,60.0,3.0,0.0
68,44.0,0.0,60.0,1.0,0.0
69,44.0,60.0,60.0,3.0,0.0
70,42.0,0.0,60.0,1.0,0.0
71,42.0,60.0,60.0,3.0,0.0
72,44.0,60.0,60.0,1.0,0.0
73,44.0,0.0,60.0,3.0,0.0
74,41.0,0.0,60.0,3.0,0.0
75,41.0,112.0,60.0,1.0,0.0
76,42.0,0.0,90.0,3.0,0.0
77,42.0,68.0,90.0,1.0,0.0
78,39.0,60.0,60.0,1.0,0.0
79,39.0,0.0,60.0,3.0,0.0
80,42.0,0.0,60.0,1.0,0.0
81,42.0,112.0,60.0,3.0,0.0
82,46.0,120.0,90.0,1.0,0.0
83,46.0,0.0,90.0,3.0,0.0
84,34.0,0.0,90.0,1.0,0.0
85,34.0,120.0,90.0,3.0,0.0
86,63.0,0.0,90.0,2.0,0.0
87,63.0,0.0,90.0,0.0,0.0
88,39.0,68.0,90.0,3.0,0.0
89,39.0,0.0,90.0,1.0,0.0
90,58.0,0.0,60.0,0.0,0.0
91,42.0,8.0,90.0,3.0,0.0
92,42.0,0.0,90.0,1.0,0.0
93,58.0,52.0,60.0,2.0,0.0
94,63.0,60.0,60.0,2.0,0.0
95,63.0,0.0,60.0,0.0,0.0
96,46.0,12.0,90.0,3.0,0.0
97,62.0,0.0,60.0,2.0,0.0
98,46.0,0.0,90.0,1.0,0.0
99,62.0,34.0,60.0,0.0,0.0
100,63.0,0.0,30.0,2.0,0.0
101,63.0,18.0,30.0,0.0,0.0
102,65.0,0.0,30.0,0.0,0.0
103,65.0,56.0,30.0,2.0,0.0
104,50.0,8.0,90.0,3.0,0.0
105,50.0,0.0,90.0,1.0,0.0
106,58.0,0.0,60.0,2.0,0.0
107,58.0,52.0,60.0,0.0,0.0
108,65.0,112.0,60.0,2.0,0.0
109,65.0,0.0,60.0,0.0,0.0
110,66.0,0.0,90.0,0.0,0.0
111,51.0,0.0,90.0,1.0,0.0
112,51.0,68.0,90.0,3.0,0.0
113,66.0,0.0,90.0,2.0,0.0
114,46.0,52.0,60.0,3.0,0.0
115,63.0,8.0,90.0,0.0,0.0
116,63.0,0.0,90.0,2.0,0.0
117,46.0,0.0,60.0,1.0,0.0
118,51.0,0.0,60.0,1.0,0.0
119,51.0,112.0,60.0,3.0,0.0
120,53.0,0.0,90.0,1.0,0.0
121,53.0,68.0,90.0,3.0,0.0
122,46.0,0.0,60.0,3.0,0.0
123,46.0,60.0,60.0,1.0,0.0
124,53.0,0.0,60.0,1.0,0.0
125,53.0,34.0,60.0,3.0,0.0
126,54.0,4.0,60.0,1.0,0.0
127,54.0,0.0,60.0,3.0,0.0
128,63.0,26.0,30.0,0.0,0.0
129,63.0,0.0,30.0,2.0,0.0
130,62.0,0.0,30.0,2.0,0.0
131,62.0,56.0,30.0,0.0,0.0
132,63.0,8.0,90.0,2.0,0.0
133,63.0,0.0,90.0,0.0,0.0
134,58.0,0.0,60.0,1.0,0.0
135,58.0,52.0,60.0,3.0,0.0
136,54.0,60.0,60.0,1.0,0.0
137,54.0,0.0,60.0,3.0,0.0
138,51.0,0.0,60.0,1.0,0.0
139,65.0,0.0,60.0,2.0,0.0
140,65.0,20.0,60.0,0.0,0.0
141,51.0,0.0,60.0,3.0,0.0
142,50.0,0.0,60.0,3.0,0.0
143,65.0,16.0,15.0,0.0,0.0
144,65.0,0.0,15.0,2.0,0.0
145,50.0,6.0,60.0,1.0,0.0
146,66.0,14.0,15.0,2.0,0.0
147,66.0,0.0,15.0,0.0,0.0
148,65.0,10.0,15.0,2.0,0.0
149,65.0,0.0,15.0,0.0,0.0
150,66.0,0.0,15.0,2.0,0.0
151,66.0,14.0,15.0,0.0,0.0
152,53.0,6.0,60.0,3.0,0.0
153,65.0,0.0,15.0,0.0,0.0
154,65.0,16.0,15.0,2.0,0.0
155,53.0,0.0,60.0,1.0,0.0
156,66.0,0.0,15.0,2.0,0.0
157,66.0,14.0,15.0,0.0,0.0
158,65.0,0.0,15.0,2.0,0.0
159,65.0,10.0,15.0,0.0,0.0
160,66.0,54.0,15.0,2.0,0.0
161,66.0,0.0,15.0,0.0,0.0
162,65.0,30.0,60.0,0.0,0.0
163,50.0,4.0,60.0,1.0,0.0
164,65.0,0.0,60.0,2.0,0.0
165,50.0,0.0,60.0,3.0,0.0
166,63.0,0.0,30.0,2.0,0.0
167,46.0,0.0,60.0,1.0,0.0
168,63.0,26.0,30.0,0.0,0.0
169,46.0,4.0,60.0,3.0,0.0
170,65.0,108.0,30.0,0.0,0.0
171,65.0,0.0,30.0,2.0,0.0
172,66.0,0.0,90.0,2.0,0.0
173,66.0,0.0,90.0,0.0,0.0
174,51.0,0.0,90.0,1.0,0.0
175,51.0,68.0,90.0,3.0,0.0
176,39.0,0.0,90.0,1.0,0.0
177,39.0,8.0,90.0,3.0,0.0
178,63.0,0.0,60.0,0.0,0.0
179,63.0,52.0,60.0,2.0,0.0
180,71.0,60.0,60.0,0.0,0.0
181,71.0,0.0,60.0,2.0,0.0
182,67.0,0.0,60.0,2.0,0.0
183,67.0,34.0,60.0,0.0,0.0
184,68.0,30.0,30.0,0.0,0.0
185,68.0,0.0,30.0,2.0,0.0
186,70.0,0.0,30.0,2.0,0.0
187,70.0,56.0,30.0,0.0,0.0
188,63.0,52.0,60.0,0.0,0.0
189,63.0,0.0,60.0,2.0,0.0
190,49.0,8.0,90.0,1.0,0.0
191,49.0,0.0,90.0,3.0,0.0
192,67.0,0.0,60.0,2.0,0.0
193,67.0,20.0,60.0,0.0,0.0
194,47.0,0.0,60.0,3.0,0.0
195,68.0,0.0,15.0,2.0,0.0
196,68.0,16.0,15.0,0.0,0.0
197,47.0,60.0,60.0,1.0,0.0
198,66.0,24.0,15.0,0.0,0.0
199,66.0,0.0,15.0,2.0,0.0
200,68.0,0.0,120.0,2.0,0.0
201,68.0,8.0,120.0,0.0,0.0
202,51.0,0.0,60.0,1.0,0.0
203,51.0,52.0,60.0,3.0,0.0
204,47.0,0.0,60.0,3.0,0.0
205,47.0,60.0,60.0,1.0,0.0
206,42.0,20.0,60.0,1.0,0.0
207,70.0,0.0,60.0,2.0,0.0
208,70.0,0.0,60.0,0.0,0.0
209,42.0,0.0,60.0,3.0,0.0
210,66.0,0.0,15.0,0.0,0.0
211,44.0,0.0,60.0,3.0,0.0
212,66.0,16.0,15.0,2.0,0.0
213,44.0,6.0,60.0,1.0,0.0
214,68.0,14.0,15.0,2.0,0.0
215,68.0,0.0,15.0,0.0,0.0
216,66.0,10.0,15.0,0.0,0.0
217,66.0,0.0,15.0,2.0,0.0
218,68.0,14.0,15.0,0.0,0.0
219,68.0,0.0,15.0,2.0,0.0
220,66.0,16.0,15.0,0.0,0.0
221,42.0,0.0,60.0,3.0,0.0
222,42.0,6.0,60.0,1.0,0.0
223,66.0,0.0,15.0,2.0,0.0
224,68.0,0.0,15.0,2.0,0.0
225,68.0,14.0,15.0,0.0,0.0
226,66.0,10.0,15.0,0.0,0.0
227,66.0,0.0,15.0,2.0,0.0
228,68.0,0.0,15.0,2.0,0.0
229,68.0,54.0,15.0,0.0,0.0
230,44.0,4.0,60.0,1.0,0.0
231,44.0,0.0,60.0,3.0,0.0
232,66.0,0.0,60.0,2.0,0.0
233,66.0,30.0,60.0,0.0,0.0
234,41.0,4.0,60.0,1.0,0.0
235,65.0,26.0,30.0,2.0,0.0
236,41.0,0.0,60.0,3.0,0.0
237,65.0,0.0,30.0,0.0,0.0
238,66.0,0.0,30.0,0.0,0.0
239,66.0,108.0,30.0,2.0,0.0
240,65.0,0.0,90.0,2.0,0.0
241,46.0,0.0,90.0,1.0,0.0
242,46.0,0.0,90.0,3.0,0.0
243,65.0,68.0,90.0,0.0,0.0
244,58.0,0.0,60.0,0.0,0.0
245,58.0,8.0,90.0,3.0,0.0
246,58.0,0.0,90.0,1.0,0.0
247,58.0,52.0,60.0,2.0,0.0
248,75.0,0.0,60.0,2.0,0.0
249,75.0,60.0,60.0,0.0,0.0
250,56.0,0.0,90.0,1.0,0.0
251,56.0,12.0,90.0,3.0,0.0
252,74.0,0.0,60.0,2.0,0.0
253,74.0,34.0,60.0,0.0,0.0
254,75.0,18.0,30.0,2.0,0.0
255,75.0,0.0,30.0,0.0,0.0
256,77.0,0.0,30.0,0.0,0.0
257,77.0,56.0,30.0,2.0,0.0
258,54.0,8.0,90.0,3.0,0.0
259,54.0,0.0,90.0,1.0,0.0
260,70.0,52.0,60.0,0.0,0.0
261,70.0,0.0,60.0,2.0,0.0
262,75.0,60.0,60.0,0.0,0.0
263,75.0,0.0,60.0,2.0,0.0
264,68.0,0.0,60.0,2.0,0.0
265,53.0,12.0,90.0,3.0,0.0
266,68.0,34.0,60.0,0.0,0.0
267,53.0,0.0,90.0,1.0,0.0
268,70.0,18.0,30.0,2.0,0.0
269,70.0,0.0,30.0,0.0,0.0
270,71.0,56.0,30.0,0.0,0.0
271,71.0,0.0,30.0,2.0,0.0
272,62.0,0.0,60.0,0.0,0.0
273,62.0,0.0,60.0,2.0,0.0
274,46.0,0.0,60.0,1.0,0.0
275,46.0,60.0,60.0,3.0,0.0
276,50.0,0.0,60.0,1.0,0.0
277,70.0,20.0,60.0,2.0,0.0
278,50.0,0.0,60.0,3.0,0.0
279,70.0,0.0,60.0,0.0,0.0
280,51.0,0.0,90.0,3.0,0.0
281,66.0,0.0,15.0,2.0,0.0
282,66.0,16.0,15.0,0.0,0.0
283,51.0,14.0,90.0,1.0,0.0
284,68.0,0.0,15.0,2.0,0.0
285,68.0,14.0,15.0,0.0,0.0
286,66.0,16.0,15.0,2.0,0.0
287,66.0,0.0,15.0,0.0,0.0
288,68.0,14.0,15.0,2.0,0.0
