,note,step,duration,channel,velocity
0,43.0,60.0,120.0,1.0,64.0
1,67.0,60.0,60.0,0.0,64.0
2,66.0,120.0,60.0,0.0,64.0
3,67.0,0.0,120.0,0.0,64.0
4,46.0,120.0,120.0,1.0,64.0
5,62.0,30.0,120.0,0.0,64.0
6,63.0,30.0,30.0,0.0,64.0
7,48.0,0.0,120.0,1.0,64.0
8,65.0,60.0,30.0,0.0,64.0
9,63.0,120.0,60.0,0.0,64.0
10,62.0,120.0,120.0,0.0,64.0
11,46.0,120.0,120.0,1.0,64.0
12,67.0,0.0,120.0,0.0,64.0
13,62.0,30.0,120.0,0.0,64.0
14,62.0,30.0,30.0,0.0,64.0
15,45.0,0.0,120.0,1.0,64.0
16,63.0,60.0,30.0,0.0,64.0
17,62.0,120.0,60.0,0.0,64.0
18,60.0,120.0,120.0,0.0,64.0
19,69.0,0.0,120.0,0.0,64.0
20,42.0,120.0,120.0,1.0,64.0
21,60.0,30.0,120.0,0.0,64.0
22,43.0,0.0,120.0,1.0,64.0
23,60.0,30.0,30.0,0.0,64.0
24,62.0,60.0,30.0,0.0,64.0
25,60.0,60.0,60.0,0.0,64.0
26,58.0,60.0,60.0,0.0,64.0
27,57.0,60.0,60.0,0.0,64.0
28,39.0,0.0,120.0,1.0,64.0
29,58.0,60.0,60.0,0.0,64.0
30,60.0,60.0,60.0,0.0,64.0
31,62.0,60.0,60.0,0.0,64.0
32,60.0,30.0,60.0,0.0,64.0
33,62.0,30.0,30.0,0.0,64.0
34,38.0,60.0,120.0,1.0,64.0
35,60.0,60.0,30.0,0.0,64.0
36,62.0,60.0,120.0,0.0,64.0
37,50.0,0.0,60.0,1.0,64.0
38,49.0,120.0,60.0,1.0,64.0
39,50.0,0.0,120.0,1.0,64.0
40,65.0,60.0,60.0,0.0,64.0
41,64.0,60.0,60.0,0.0,64.0
42,45.0,0.0,120.0,1.0,64.0
43,65.0,30.0,60.0,0.0,64.0
44,67.0,60.0,60.0,0.0,64.0
45,46.0,30.0,30.0,1.0,64.0
46,48.0,0.0,30.0,1.0,64.0
47,69.0,0.0,60.0,0.0,64.0
48,46.0,60.0,60.0,1.0,64.0
49,67.0,60.0,60.0,0.0,64.0
50,45.0,0.0,120.0,1.0,64.0
51,64.0,60.0,60.0,0.0,64.0
52,50.0,0.0,120.0,1.0,64.0
53,65.0,60.0,60.0,0.0,64.0
54,67.0,60.0,60.0,0.0,64.0
55,65.0,60.0,60.0,0.0,64.0
56,62.0,30.0,60.0,0.0,64.0
57,45.0,0.0,15.0,1.0,64.0
58,64.0,60.0,60.0,0.0,64.0
59,46.0,0.0,30.0,1.0,64.0
60,45.0,60.0,60.0,1.0,64.0
61,65.0,0.0,60.0,0.0,64.0
62,64.0,60.0,60.0,0.0,64.0
63,43.0,60.0,120.0,1.0,64.0
64,62.0,0.0,60.0,0.0,64.0
65,61.0,60.0,60.0,0.0,64.0
66,52.0,0.0,120.0,1.0,64.0
67,64.0,60.0,60.0,0.0,64.0
68,62.0,60.0,60.0,0.0,64.0
69,61.0,30.0,60.0,0.0,64.0
70,43.0,0.0,15.0,1.0,64.0
71,69.0,60.0,120.0,0.0,64.0
72,45.0,60.0,30.0,1.0,64.0
73,43.0,0.0,60.0,1.0,64.0
74,62.0,0.0,60.0,0.0,64.0
75,41.0,60.0,60.0,1.0,64.0
76,61.0,0.0,60.0,0.0,64.0
77,40.0,60.0,60.0,1.0,64.0
78,62.0,60.0,60.0,0.0,64.0
79,41.0,60.0,120.0,1.0,64.0
80,65.0,0.0,60.0,0.0,64.0
81,64.0,60.0,60.0,0.0,64.0
82,43.0,60.0,120.0,1.0,64.0
83,67.0,0.0,60.0,0.0,64.0
84,45.0,60.0,120.0,1.0,64.0
85,65.0,60.0,60.0,0.0,64.0
86,67.0,0.0,60.0,0.0,64.0
87,43.0,0.0,120.0,1.0,64.0
88,69.0,60.0,60.0,0.0,64.0
89,70.0,30.0,60.0,0.0,64.0
90,45.0,60.0,120.0,1.0,64.0
91,64.0,30.0,30.0,0.0,64.0
92,65.0,60.0,30.0,0.0,64.0
93,64.0,60.0,120.0,0.0,64.0
94,33.0,0.0,120.0,1.0,64.0
95,62.0,120.0,60.0,0.0,64.0
96,38.0,60.0,180.0,1.0,64.0
97,62.0,60.0,120.0,0.0,64.0
98,74.0,0.0,60.0,0.0,64.0
99,40.0,60.0,60.0,1.0,64.0
100,73.0,0.0,60.0,0.0,64.0
101,74.0,0.0,120.0,0.0,64.0
102,41.0,60.0,60.0,1.0,64.0
103,43.0,60.0,60.0,1.0,64.0
104,40.0,60.0,60.0,1.0,64.0
105,69.0,0.0,120.0,0.0,64.0
106,41.0,30.0,60.0,1.0,64.0
107,43.0,60.0,60.0,1.0,64.0
108,70.0,30.0,30.0,0.0,64.0
109,72.0,0.0,30.0,0.0,64.0
110,45.0,0.0,60.0,1.0,64.0
111,70.0,60.0,60.0,0.0,64.0
112,69.0,60.0,120.0,0.0,64.0
113,43.0,60.0,60.0,1.0,64.0
114,40.0,0.0,60.0,1.0,64.0
115,74.0,60.0,120.0,0.0,64.0
116,41.0,60.0,60.0,1.0,64.0
117,43.0,0.0,60.0,1.0,64.0
118,69.0,30.0,120.0,0.0,64.0
119,41.0,60.0,60.0,1.0,64.0
120,38.0,0.0,60.0,1.0,64.0
121,40.0,0.0,60.0,1.0,64.0
122,69.0,30.0,30.0,0.0,64.0
123,70.0,60.0,30.0,0.0,64.0
124,41.0,60.0,60.0,1.0,64.0
125,69.0,0.0,60.0,0.0,64.0
126,67.0,0.0,120.0,0.0,64.0
127,40.0,60.0,60.0,1.0,64.0
128,38.0,60.0,60.0,1.0,64.0
129,76.0,0.0,120.0,0.0,64.0
130,37.0,60.0,60.0,1.0,64.0
131,40.0,60.0,60.0,1.0,64.0
132,67.0,0.0,120.0,0.0,64.0
133,38.0,60.0,60.0,1.0,64.0
134,37.0,30.0,60.0,1.0,64.0
135,67.0,30.0,30.0,0.0,64.0
136,38.0,0.0,120.0,1.0,64.0
137,69.0,60.0,30.0,0.0,64.0
138,67.0,60.0,60.0,0.0,64.0
139,50.0,0.0,60.0,1.0,64.0
140,65.0,60.0,60.0,0.0,64.0
141,64.0,0.0,60.0,0.0,64.0
142,49.0,60.0,60.0,1.0,64.0
143,65.0,60.0,60.0,0.0,64.0
144,50.0,60.0,120.0,1.0,64.0
145,67.0,0.0,60.0,0.0,64.0
146,45.0,0.0,120.0,1.0,64.0
147,65.0,60.0,60.0,0.0,64.0
148,61.0,120.0,60.0,0.0,64.0
149,62.0,60.0,120.0,0.0,64.0
150,46.0,0.0,120.0,1.0,64.0
151,74.0,0.0,60.0,0.0,64.0
152,58.0,60.0,60.0,1.0,64.0
153,57.0,60.0,60.0,1.0,64.0
154,72.0,0.0,60.0,0.0,64.0
155,74.0,60.0,120.0,0.0,64.0
156,58.0,60.0,60.0,1.0,64.0
157,60.0,0.0,60.0,1.0,64.0
158,58.0,60.0,60.0,1.0,64.0
159,69.0,0.0,120.0,0.0,64.0
160,54.0,60.0,60.0,1.0,64.0
161,55.0,0.0,120.0,1.0,64.0
162,70.0,60.0,60.0,0.0,64.0
163,72.0,60.0,60.0,0.0,64.0
164,53.0,0.0,120.0,1.0,64.0
165,70.0,60.0,60.0,0.0,64.0
166,67.0,60.0,60.0,0.0,64.0
167,51.0,60.0,120.0,1.0,64.0
168,72.0,60.0,60.0,0.0,64.0
169,67.0,0.0,60.0,0.0,64.0
170,74.0,60.0,60.0,0.0,64.0
171,50.0,0.0,120.0,1.0,64.0
172,67.0,60.0,60.0,0.0,64.0
173,75.0,60.0,60.0,0.0,64.0
174,48.0,60.0,120.0,1.0,64.0
175,77.0,0.0,60.0,0.0,64.0
176,36.0,0.0,120.0,1.0,64.0
177,75.0,60.0,60.0,0.0,64.0
178,72.0,60.0,60.0,0.0,64.0
179,77.0,60.0,60.0,0.0,64.0
180,38.0,0.0,120.0,1.0,64.0
181,72.0,60.0,60.0,0.0,64.0
182,39.0,60.0,120.0,1.0,64.0
183,79.0,60.0,60.0,0.0,64.0
184,70.0,0.0,60.0,0.0,64.0
185,41.0,0.0,120.0,1.0,64.0
186,69.0,60.0,60.0,0.0,64.0
187,70.0,60.0,60.0,0.0,64.0
188,69.0,60.0,60.0,0.0,64.0
189,51.0,0.0,120.0,1.0,64.0
190,65.0,60.0,60.0,0.0,64.0
191,50.0,0.0,120.0,1.0,64.0
192,70.0,60.0,60.0,0.0,64.0
193,65.0,60.0,60.0,0.0,64.0
194,48.0,0.0,120.0,1.0,64.0
195,72.0,60.0,60.0,0.0,64.0
196,65.0,60.0,60.0,0.0,64.0
197,46.0,60.0,120.0,1.0,64.0
198,74.0,60.0,60.0,0.0,64.0
199,75.0,0.0,60.0,0.0,64.0
200,74.0,60.0,60.0,0.0,64.0
201,34.0,60.0,120.0,1.0,64.0
202,70.0,0.0,60.0,0.0,64.0
203,36.0,0.0,120.0,1.0,64.0
204,75.0,60.0,60.0,0.0,64.0
205,70.0,60.0,60.0,0.0,64.0
206,77.0,60.0,60.0,0.0,64.0
207,38.0,60.0,120.0,1.0,64.0
208,70.0,0.0,60.0,0.0,64.0
209,79.0,60.0,60.0,0.0,64.0
210,39.0,0.0,120.0,1.0,64.0
211,80.0,60.0,60.0,0.0,64.0
212,79.0,60.0,60.0,0.0,64.0
213,51.0,60.0,120.0,1.0,64.0
214,72.0,0.0,60.0,0.0,64.0
215,77.0,60.0,60.0,0.0,64.0
216,50.0,60.0,120.0,1.0,64.0
217,79.0,0.0,60.0,0.0,64.0
218,77.0,60.0,60.0,0.0,64.0
219,55.0,60.0,120.0,1.0,64.0
220,70.0,0.0,60.0,0.0,64.0
221,48.0,0.0,120.0,1.0,64.0
222,75.0,60.0,60.0,0.0,64.0
223,77.0,60.0,60.0,0.0,64.0
224,53.0,0.0,120.0,1.0,64.0
225,75.0,60.0,60.0,0.0,64.0
226,69.0,60.0,60.0,0.0,64.0
227,46.0,0.0,120.0,1.0,64.0
228,74.0,60.0,60.0,0.0,64.0
229,75.0,60.0,60.0,0.0,64.0
230,58.0,60.0,180.0,1.0,64.0
231,74.0,60.0,60.0,0.0,64.0
232,70.0,60.0,60.0,0.0,64.0
233,72.0,20.0,120.0,0.0,64.0
234,60.0,0.0,60.0,1.0,64.0
235,58.0,0.0,60.0,1.0,64.0
236,63.0,20.0,20.0,0.0,64.0
237,65.0,20.0,20.0,0.0,64.0
238,63.0,60.0,20.0,0.0,64.0
239,55.0,60.0,60.0,1.0,64.0
240,62.0,0.0,60.0,0.0,64.0
241,63.0,60.0,120.0,0.0,64.0
242,57.0,60.0,60.0,1.0,64.0
243,58.0,0.0,60.0,1.0,64.0
244,57.0,60.0,60.0,1.0,64.0
245,72.0,60.0,120.0,0.0,64.0
246,53.0,0.0,60.0,1.0,64.0
247,62.0,0.0,120.0,0.0,64.0
248,58.0,60.0,60.0,1.0,64.0
249,57.0,60.0,60.0,1.0,64.0
250,55.0,60.0,60.0,1.0,64.0
251,70.0,60.0,120.0,0.0,64.0
252,53.0,0.0,60.0,1.0,64.0
253,51.0,60.0,60.0,1.0,64.0
254,60.0,0.0,120.0,0.0,64.0
255,50.0,60.0,60.0,1.0,64.0
256,69.0,120.0,120.0,0.0,64.0
257,51.0,60.0,60.0,1.0,64.0
258,53.0,0.0,60.0,1.0,64.0
259,46.0,0.0,120.0,1.0,64.0
260,70.0,60.0,120.0,0.0,64.0
261,58.0,60.0,60.0,1.0,64.0
262,57.0,120.0,60.0,1.0,64.0
263,58.0,60.0,120.0,1.0,64.0
264,62.0,0.0,60.0,0.0,64.0
265,60.0,60.0,60.0,0.0,64.0
266,53.0,30.0,120.0,1.0,64.0
267,62.0,0.0,60.0,0.0,64.0
268,63.0,0.0,60.0,0.0,64.0
269,55.0,30.0,30.0,1.0,64.0
270,57.0,60.0,30.0,1.0,64.0
271,55.0,60.0,60.0,1.0,64.0
272,65.0,0.0,60.0,0.0,64.0
273,63.0,60.0,60.0,0.0,64.0
274,53.0,60.0,120.0,1.0,64.0
275,60.0,0.0,60.0,0.0,64.0
276,62.0,60.0,60.0,0.0,64.0
277,58.0,60.0,120.0,1.0,64.0
278,63.0,0.0,60.0,0.0,64.0
279,62.0,60.0,60.0,0.0,64.0
280,58.0,0.0,60.0,0.0,64.0
281,53.0,30.0,15.0,1.0,64.0
282,60.0,0.0,60.0,0.0,64.0
283,55.0,60.0,30.0,1.0,64.0
284,62.0,0.0,60.0,0.0,64.0
285,53.0,60.0,60.0,1.0,64.0
286,60.0,60.0,60.0,0.0,64.0
287,51.0,60.0,120.0,1.0,64.0
288,58.0,0.0,60.0,0.0,64.0
289,57.0,60.0,60.0,0.0,64.0
290,60.0,0.0,120.0,1.0,64.0
291,60.0,60.0,60.0,0.0,64.0
292,58.0,60.0,60.0,0.0,64.0
293,57.0,0.0,60.0,0.0,64.0
294,51.0,30.0,15.0,1.0,64.0
295,58.0,60.0,120.0,0.0,64.0
