,note,step,duration,channel,velocity
0,66.0,0.0,1020.0,2.0,0.0
1,73.0,1024.0,1020.0,0.0,0.0
2,54.0,0.0,1020.0,7.0,0.0
3,70.0,0.0,1020.0,5.0,0.0
4,73.0,0.0,1020.0,5.0,0.0
5,66.0,0.0,1020.0,6.0,0.0
6,70.0,0.0,1020.0,1.0,0.0
7,54.0,0.0,1020.0,3.0,0.0
8,85.0,0.0,1020.0,4.0,0.0
9,90.0,512.0,510.0,4.0,0.0
10,88.0,0.0,510.0,4.0,0.0
11,59.0,0.0,1020.0,3.0,0.0
12,66.0,0.0,1020.0,6.0,0.0
13,86.0,512.0,1020.0,4.0,0.0
14,83.0,0.0,1020.0,4.0,0.0
15,59.0,0.0,1020.0,7.0,0.0
16,74.0,0.0,1020.0,5.0,0.0
17,71.0,0.0,1020.0,1.0,0.0
18,71.0,0.0,1020.0,5.0,0.0
19,66.0,0.0,1020.0,2.0,0.0
20,74.0,0.0,1020.0,0.0,0.0
21,76.0,0.0,1020.0,5.0,0.0
22,61.0,0.0,1020.0,7.0,0.0
23,64.0,0.0,1020.0,2.0,0.0
24,88.0,0.0,1020.0,4.0,0.0
25,76.0,0.0,1020.0,0.0,0.0
26,61.0,0.0,1020.0,3.0,0.0
27,93.0,512.0,510.0,4.0,0.0
28,64.0,0.0,1020.0,6.0,0.0
29,91.0,0.0,510.0,4.0,0.0
30,62.0,512.0,1020.0,2.0,0.0
31,69.0,0.0,15.0,1.0,0.0
32,78.0,0.0,1020.0,0.0,0.0
33,62.0,0.0,1020.0,7.0,0.0
34,78.0,0.0,1020.0,5.0,0.0
35,62.0,0.0,1020.0,6.0,0.0
36,62.0,0.0,1020.0,3.0,0.0
37,69.0,1024.0,15.0,5.0,0.0
38,66.0,0.0,1020.0,7.0,0.0
39,81.0,0.0,15.0,4.0,0.0
40,73.0,0.0,510.0,0.0,0.0
41,90.0,0.0,15.0,4.0,0.0
42,69.0,0.0,1020.0,6.0,0.0
43,69.0,0.0,1020.0,1.0,0.0
44,73.0,512.0,510.0,5.0,0.0
45,66.0,0.0,1020.0,3.0,0.0
46,69.0,0.0,1020.0,2.0,0.0
47,69.0,0.0,1020.0,5.0,0.0
48,75.0,0.0,510.0,5.0,0.0
49,75.0,512.0,510.0,0.0,0.0
50,83.0,256.0,510.0,4.0,0.0
51,71.0,0.0,2040.0,1.0,0.0
52,88.0,0.0,1020.0,4.0,0.0
53,64.0,0.0,2040.0,7.0,0.0
54,76.0,0.0,2040.0,5.0,0.0
55,71.0,0.0,2040.0,5.0,0.0
56,67.0,0.0,2040.0,6.0,0.0
57,64.0,0.0,2040.0,3.0,0.0
58,76.0,256.0,2040.0,0.0,0.0
59,67.0,0.0,2040.0,2.0,0.0
60,91.0,256.0,270.0,4.0,0.0
