,note,step,duration,channel,velocity
0,57.0,0.0,510.0,3.0,0.0
1,60.0,512.0,510.0,2.0,0.0
2,59.0,0.0,510.0,3.0,0.0
3,62.0,0.0,510.0,2.0,0.0
4,64.0,0.0,1020.0,2.0,0.0
5,60.0,0.0,1020.0,3.0,0.0
6,64.0,0.0,15.0,1.0,0.0
7,69.0,1024.0,15.0,0.0,0.0
8,66.0,512.0,510.0,1.0,0.0
9,62.0,0.0,1020.0,2.0,0.0
10,59.0,0.0,1020.0,3.0,0.0
11,71.0,0.0,1020.0,0.0,0.0
12,68.0,512.0,510.0,1.0,0.0
13,64.0,0.0,1020.0,2.0,0.0
14,57.0,0.0,1020.0,3.0,0.0
15,72.0,512.0,1020.0,0.0,0.0
16,69.0,512.0,510.0,1.0,0.0
17,68.0,0.0,510.0,1.0,0.0
18,69.0,512.0,510.0,1.0,0.0
19,53.0,0.0,1020.0,3.0,0.0
20,65.0,0.0,1020.0,2.0,0.0
21,74.0,0.0,1020.0,0.0,0.0
22,71.0,2048.0,510.0,1.0,0.0
23,52.0,1536.0,2040.0,3.0,0.0
24,76.0,0.0,2040.0,0.0,0.0
25,68.0,0.0,2040.0,1.0,0.0
26,59.0,0.0,2040.0,2.0,0.0
27,76.0,512.0,1020.0,0.0,0.0
28,67.0,0.0,1530.0,1.0,0.0
29,48.0,512.0,510.0,3.0,0.0
30,50.0,0.0,510.0,3.0,0.0
31,52.0,512.0,510.0,3.0,0.0
32,60.0,0.0,15.0,2.0,0.0
33,76.0,0.0,1530.0,0.0,0.0
34,69.0,0.0,510.0,1.0,0.0
35,53.0,512.0,510.0,3.0,0.0
36,59.0,0.0,1020.0,2.0,0.0
37,55.0,512.0,510.0,3.0,0.0
38,74.0,0.0,510.0,0.0,0.0
39,56.0,512.0,510.0,3.0,0.0
40,71.0,0.0,15.0,1.0,0.0
41,64.0,512.0,1020.0,2.0,0.0
42,72.0,0.0,1020.0,0.0,0.0
43,57.0,0.0,1020.0,3.0,0.0
44,69.0,0.0,510.0,1.0,0.0
45,65.0,2048.0,1020.0,2.0,0.0
46,68.0,512.0,510.0,1.0,0.0
47,50.0,0.0,1020.0,3.0,0.0
48,74.0,0.0,1020.0,0.0,0.0
49,69.0,0.0,510.0,1.0,0.0
50,64.0,2048.0,2040.0,2.0,0.0
51,52.0,0.0,2040.0,3.0,0.0
52,68.0,0.0,2040.0,1.0,0.0
53,71.0,0.0,2040.0,0.0,0.0
54,71.0,0.0,1020.0,0.0,0.0
55,52.0,512.0,1020.0,3.0,0.0
56,68.0,0.0,1020.0,1.0,0.0
57,72.0,0.0,1020.0,0.0,0.0
58,69.0,0.0,1020.0,1.0,0.0
59,64.0,0.0,15.0,2.0,0.0
60,57.0,0.0,1020.0,3.0,0.0
61,65.0,512.0,510.0,2.0,0.0
62,59.0,0.0,1020.0,3.0,0.0
63,67.0,0.0,1020.0,1.0,0.0
64,64.0,512.0,510.0,2.0,0.0
65,74.0,512.0,1020.0,0.0,0.0
66,62.0,0.0,510.0,2.0,0.0
67,60.0,0.0,1020.0,2.0,0.0
68,60.0,512.0,510.0,3.0,0.0
69,76.0,0.0,1020.0,0.0,0.0
70,67.0,0.0,1020.0,1.0,0.0
71,59.0,512.0,510.0,3.0,0.0
72,57.0,512.0,510.0,3.0,0.0
73,69.0,0.0,1020.0,1.0,0.0
74,76.0,0.0,1020.0,0.0,0.0
75,60.0,1024.0,2040.0,2.0,0.0
76,55.0,1024.0,510.0,3.0,0.0
77,74.0,0.0,2040.0,0.0,0.0
78,69.0,0.0,1020.0,1.0,0.0
79,53.0,0.0,1020.0,3.0,0.0
80,55.0,0.0,1020.0,3.0,0.0
