,note,step,duration,channel,velocity
0,81.0,1024.0,1020.0,0.0,0.0
1,83.0,1536.0,1020.0,0.0,0.0
2,85.0,512.0,1530.0,0.0,0.0
3,83.0,512.0,510.0,0.0,0.0
4,81.0,512.0,510.0,0.0,0.0
5,79.0,512.0,510.0,0.0,0.0
6,78.0,512.0,510.0,0.0,0.0
7,80.0,512.0,510.0,0.0,0.0
8,81.0,512.0,510.0,0.0,0.0
9,83.0,1229.0,510.0,0.0,0.0
10,85.0,819.0,1230.0,0.0,0.0
11,83.0,1024.0,1020.0,0.0,0.0
12,81.0,1536.0,1020.0,0.0,0.0
13,80.0,1024.0,1530.0,0.0,0.0
14,78.0,512.0,1020.0,0.0,0.0
15,76.0,512.0,510.0,0.0,0.0
16,85.0,512.0,510.0,0.0,0.0
17,81.0,512.0,510.0,0.0,0.0
18,78.0,1024.0,510.0,0.0,0.0
19,83.0,512.0,1020.0,0.0,0.0
20,80.0,512.0,510.0,0.0,0.0
21,76.0,1024.0,510.0,0.0,0.0
22,81.0,1024.0,1020.0,0.0,0.0
23,83.0,512.0,1020.0,0.0,0.0
24,85.0,512.0,510.0,0.0,0.0
25,74.0,1024.0,510.0,0.0,0.0
26,76.0,512.0,1020.0,0.0,0.0
27,78.0,512.0,510.0,0.0,0.0
28,71.0,512.0,510.0,0.0,0.0
29,73.0,512.0,510.0,0.0,0.0
30,74.0,512.0,510.0,0.0,0.0
31,76.0,1229.0,510.0,0.0,0.0
32,73.0,819.0,1230.0,0.0,0.0
33,81.0,1024.0,1020.0,0.0,0.0
34,83.0,1536.0,1020.0,0.0,0.0
35,85.0,512.0,1530.0,0.0,0.0
36,83.0,512.0,510.0,0.0,0.0
37,81.0,512.0,510.0,0.0,0.0
38,79.0,512.0,510.0,0.0,0.0
39,78.0,512.0,510.0,0.0,0.0
40,80.0,512.0,510.0,0.0,0.0
41,81.0,512.0,510.0,0.0,0.0
42,83.0,1229.0,510.0,0.0,0.0
43,85.0,819.0,1230.0,0.0,0.0
44,83.0,1024.0,1020.0,0.0,0.0
45,81.0,1536.0,1020.0,0.0,0.0
46,80.0,1024.0,1530.0,0.0,0.0
47,78.0,512.0,1020.0,0.0,0.0
48,76.0,512.0,510.0,0.0,0.0
49,85.0,512.0,510.0,0.0,0.0
50,81.0,512.0,510.0,0.0,0.0
51,78.0,1024.0,510.0,0.0,0.0
52,83.0,512.0,1020.0,0.0,0.0
53,80.0,512.0,510.0,0.0,0.0
54,76.0,1024.0,510.0,0.0,0.0
55,81.0,1024.0,1020.0,0.0,0.0
56,83.0,512.0,1020.0,0.0,0.0
57,85.0,512.0,510.0,0.0,0.0
58,74.0,1024.0,510.0,0.0,0.0
59,76.0,512.0,1020.0,0.0,0.0
60,78.0,512.0,510.0,0.0,0.0
61,71.0,512.0,510.0,0.0,0.0
62,73.0,512.0,510.0,0.0,0.0
63,74.0,512.0,510.0,0.0,0.0
64,76.0,1229.0,510.0,0.0,0.0
65,73.0,1331.0,1230.0,0.0,0.0
66,76.0,512.0,510.0,0.0,0.0
67,80.0,1536.0,510.0,0.0,0.0
68,83.0,256.0,1530.0,0.0,0.0
69,81.0,256.0,270.0,0.0,0.0
70,80.0,1536.0,270.0,0.0,0.0
71,81.0,256.0,1530.0,0.0,0.0
72,83.0,256.0,270.0,0.0,0.0
73,81.0,256.0,270.0,0.0,0.0
74,80.0,256.0,270.0,0.0,0.0
75,81.0,256.0,270.0,0.0,0.0
76,78.0,256.0,270.0,0.0,0.0
77,80.0,512.0,270.0,0.0,0.0
78,81.0,512.0,510.0,0.0,0.0
79,83.0,512.0,510.0,0.0,0.0
80,85.0,512.0,510.0,0.0,0.0
81,86.0,1024.0,510.0,0.0,0.0
82,88.0,512.0,1020.0,0.0,0.0
83,76.0,512.0,510.0,0.0,0.0
84,78.0,512.0,510.0,0.0,0.0
85,80.0,512.0,510.0,0.0,0.0
86,81.0,1536.0,510.0,0.0,0.0
87,83.0,256.0,1530.0,0.0,0.0
88,81.0,256.0,270.0,0.0,0.0
89,80.0,256.0,270.0,0.0,0.0
90,81.0,256.0,270.0,0.0,0.0
91,85.0,256.0,270.0,0.0,0.0
92,83.0,256.0,270.0,0.0,0.0
93,81.0,512.0,270.0,0.0,0.0
94,80.0,512.0,510.0,0.0,0.0
95,78.0,512.0,510.0,0.0,0.0
96,76.0,512.0,510.0,0.0,0.0
97,74.0,512.0,510.0,0.0,0.0
98,73.0,512.0,510.0,0.0,0.0
99,71.0,512.0,510.0,0.0,0.0
100,69.0,512.0,510.0,0.0,0.0
101,68.0,512.0,510.0,0.0,0.0
102,66.0,1024.0,510.0,0.0,0.0
103,74.0,256.0,1020.0,0.0,0.0
104,73.0,256.0,270.0,0.0,0.0
105,71.0,512.0,270.0,0.0,0.0
106,73.0,512.0,510.0,0.0,0.0
107,76.0,512.0,510.0,0.0,0.0
108,78.0,512.0,510.0,0.0,0.0
109,80.0,512.0,510.0,0.0,0.0
110,81.0,512.0,510.0,0.0,0.0
111,73.0,512.0,510.0,0.0,0.0
112,74.0,512.0,510.0,0.0,0.0
113,76.0,512.0,510.0,0.0,0.0
114,78.0,1024.0,510.0,0.0,0.0
115,86.0,1024.0,1020.0,0.0,0.0
116,85.0,1024.0,1020.0,0.0,0.0
117,83.0,1024.0,1020.0,0.0,0.0
118,81.0,256.0,1020.0,0.0,0.0
119,83.0,256.0,270.0,0.0,0.0
120,85.0,1024.0,270.0,0.0,0.0
121,80.0,1229.0,1020.0,0.0,0.0
122,81.0,0.0,1230.0,0.0,0.0
