,note,step,duration,channel,velocity
0,83.0,0.0,1530.0,0.0,0.0
1,75.0,0.0,1530.0,1.0,0.0
2,59.0,0.0,1530.0,3.0,0.0
3,73.0,0.0,1530.0,1.0,0.0
4,66.0,1536.0,15.0,2.0,0.0
5,82.0,1024.0,1530.0,0.0,0.0
6,66.0,0.0,1530.0,3.0,0.0
7,59.0,0.0,1020.0,3.0,0.0
8,80.0,0.0,1530.0,0.0,0.0
9,75.0,0.0,1020.0,1.0,0.0
10,66.0,0.0,15.0,2.0,0.0
11,61.0,0.0,510.0,3.0,0.0
12,73.0,0.0,510.0,1.0,0.0
13,65.0,1024.0,510.0,2.0,0.0
14,73.0,0.0,1530.0,1.0,0.0
15,66.0,512.0,1020.0,2.0,0.0
16,54.0,0.0,1530.0,3.0,0.0
17,82.0,1024.0,1530.0,0.0,0.0
18,71.0,0.0,1530.0,1.0,0.0
19,59.0,0.0,1530.0,3.0,0.0
20,64.0,0.0,15.0,2.0,0.0
21,78.0,1024.0,1530.0,0.0,0.0
22,52.0,0.0,1530.0,3.0,0.0
23,71.0,0.0,1020.0,1.0,0.0
24,63.0,0.0,15.0,2.0,0.0
25,80.0,0.0,1530.0,0.0,0.0
26,76.0,0.0,510.0,1.0,0.0
27,61.0,1024.0,510.0,2.0,0.0
28,54.0,0.0,1530.0,3.0,0.0
29,82.0,1536.0,1530.0,0.0,0.0
30,66.0,0.0,1530.0,2.0,0.0
31,75.0,512.0,1020.0,1.0,0.0
32,73.0,0.0,510.0,1.0,0.0
33,47.0,0.0,1530.0,3.0,0.0
34,83.0,0.0,1530.0,0.0,0.0
35,66.0,0.0,1530.0,2.0,0.0
36,59.0,512.0,1020.0,3.0,0.0
37,75.0,1024.0,15.0,1.0,0.0
38,66.0,0.0,1530.0,2.0,0.0
39,58.0,0.0,510.0,3.0,0.0
40,68.0,0.0,1530.0,2.0,0.0
41,75.0,0.0,15.0,1.0,0.0
42,83.0,1536.0,15.0,0.0,0.0
43,56.0,0.0,1530.0,3.0,0.0
44,78.0,1024.0,1530.0,0.0,0.0
45,75.0,0.0,15.0,1.0,0.0
46,63.0,0.0,1530.0,3.0,0.0
47,70.0,512.0,1020.0,2.0,0.0
48,71.0,0.0,510.0,2.0,0.0
49,78.0,512.0,1020.0,0.0,0.0
50,66.0,0.0,1530.0,2.0,0.0
51,73.0,0.0,1530.0,1.0,0.0
52,58.0,0.0,1530.0,3.0,0.0
53,76.0,1024.0,510.0,0.0,0.0
54,71.0,0.0,1530.0,1.0,0.0
55,75.0,512.0,1020.0,0.0,0.0
56,66.0,0.0,1020.0,2.0,0.0
57,59.0,0.0,1020.0,3.0,0.0
58,68.0,0.0,510.0,2.0,0.0
59,76.0,0.0,510.0,0.0,0.0
60,56.0,1024.0,510.0,3.0,0.0
61,78.0,0.0,1530.0,0.0,0.0
62,61.0,0.0,1020.0,2.0,0.0
63,73.0,0.0,1020.0,1.0,0.0
64,58.0,512.0,1020.0,3.0,0.0
65,63.0,768.0,510.0,2.0,0.0
66,60.0,0.0,510.0,3.0,0.0
67,76.0,0.0,1530.0,0.0,0.0
68,68.0,0.0,15.0,1.0,0.0
69,61.0,0.0,1530.0,3.0,0.0
70,64.0,256.0,780.0,2.0,0.0
71,68.0,0.0,270.0,2.0,0.0
72,71.0,512.0,270.0,1.0,0.0
73,67.0,0.0,510.0,2.0,0.0
74,70.0,1536.0,510.0,1.0,0.0
75,56.0,1024.0,1530.0,3.0,0.0
76,68.0,0.0,1530.0,2.0,0.0
77,71.0,0.0,15.0,1.0,0.0
78,75.0,0.0,15.0,0.0,0.0
79,56.0,512.0,1020.0,3.0,0.0
80,54.0,0.0,510.0,3.0,0.0
81,68.0,0.0,15.0,2.0,0.0
82,52.0,512.0,1020.0,3.0,0.0
83,66.0,0.0,510.0,2.0,0.0
84,54.0,0.0,510.0,3.0,0.0
85,71.0,1024.0,15.0,1.0,0.0
86,64.0,0.0,1530.0,2.0,0.0
87,80.0,0.0,15.0,0.0,0.0
88,56.0,0.0,1020.0,3.0,0.0
89,52.0,0.0,510.0,3.0,0.0
90,73.0,1024.0,510.0,1.0,0.0
91,75.0,512.0,1020.0,1.0,0.0
92,63.0,0.0,1020.0,2.0,0.0
93,59.0,0.0,1530.0,3.0,0.0
94,78.0,0.0,1020.0,0.0,0.0
95,65.0,0.0,510.0,2.0,0.0
96,80.0,1024.0,510.0,0.0,0.0
97,73.0,0.0,15.0,1.0,0.0
98,58.0,512.0,1020.0,3.0,0.0
99,82.0,1024.0,1530.0,0.0,0.0
100,66.0,0.0,1530.0,2.0,0.0
101,63.0,0.0,510.0,3.0,0.0
102,75.0,0.0,15.0,1.0,0.0
103,56.0,0.0,1020.0,3.0,0.0
104,59.0,512.0,1020.0,2.0,0.0
105,83.0,0.0,1020.0,0.0,0.0
106,58.0,1024.0,510.0,3.0,0.0
107,82.0,0.0,510.0,0.0,0.0
108,73.0,0.0,510.0,1.0,0.0
109,66.0,0.0,15.0,2.0,0.0
110,80.0,0.0,1530.0,0.0,0.0
111,59.0,0.0,1020.0,3.0,0.0
112,75.0,0.0,1020.0,1.0,0.0
113,61.0,0.0,510.0,3.0,0.0
114,65.0,0.0,510.0,2.0,0.0
115,70.0,0.0,1530.0,2.0,0.0
116,73.0,1536.0,15.0,1.0,0.0
117,78.0,0.0,1530.0,0.0,0.0
118,54.0,0.0,1530.0,3.0,0.0
119,56.0,512.0,1020.0,3.0,0.0
120,83.0,0.0,1530.0,0.0,0.0
121,68.0,1024.0,1530.0,2.0,0.0
122,75.0,0.0,1530.0,1.0,0.0
123,59.0,0.0,510.0,3.0,0.0
124,76.0,512.0,1020.0,1.0,0.0
125,82.0,0.0,1530.0,0.0,0.0
126,61.0,0.0,1020.0,3.0,0.0
127,68.0,0.0,1020.0,2.0,0.0
128,63.0,0.0,510.0,3.0,0.0
129,75.0,0.0,510.0,1.0,0.0
130,80.0,0.0,1530.0,0.0,0.0
131,66.0,1024.0,15.0,2.0,0.0
132,75.0,0.0,1020.0,1.0,0.0
133,59.0,0.0,1020.0,3.0,0.0
134,73.0,0.0,510.0,1.0,0.0
135,61.0,1024.0,510.0,3.0,0.0
136,64.0,0.0,15.0,2.0,0.0
137,78.0,0.0,1530.0,0.0,0.0
138,73.0,0.0,1020.0,1.0,0.0
139,58.0,0.0,1020.0,3.0,0.0
140,63.0,1024.0,510.0,2.0,0.0
