,note,step,duration,channel,velocity
0,58.0,0.0,240.0,8.0,0.0
1,58.0,0.0,240.0,6.0,0.0
2,58.0,0.0,240.0,13.0,0.0
3,58.0,0.0,240.0,7.0,0.0
4,58.0,240.0,240.0,3.0,0.0
5,51.0,120.0,480.0,13.0,0.0
6,51.0,0.0,480.0,8.0,0.0
7,59.0,240.0,240.0,7.0,0.0
8,59.0,0.0,240.0,6.0,0.0
9,59.0,0.0,240.0,3.0,0.0
10,57.0,120.0,360.0,3.0,0.0
11,57.0,0.0,360.0,6.0,0.0
12,57.0,0.0,360.0,7.0,0.0
13,49.0,0.0,240.0,13.0,0.0
14,49.0,0.0,240.0,8.0,0.0
15,58.0,0.0,120.0,6.0,0.0
16,58.0,120.0,120.0,7.0,0.0
17,58.0,0.0,120.0,3.0,0.0
18,60.0,0.0,120.0,6.0,0.0
19,60.0,120.0,120.0,7.0,0.0
20,60.0,0.0,120.0,3.0,0.0
21,51.0,0.0,360.0,13.0,0.0
22,51.0,120.0,360.0,8.0,0.0
23,58.0,120.0,120.0,3.0,0.0
24,58.0,0.0,120.0,7.0,0.0
25,58.0,0.0,120.0,6.0,0.0
26,60.0,0.0,120.0,7.0,0.0
27,60.0,0.0,120.0,6.0,0.0
28,60.0,0.0,120.0,3.0,0.0
29,61.0,120.0,120.0,3.0,0.0
30,61.0,0.0,120.0,6.0,0.0
31,53.0,0.0,120.0,13.0,0.0
32,61.0,0.0,120.0,7.0,0.0
33,53.0,0.0,120.0,8.0,0.0
34,54.0,120.0,120.0,13.0,0.0
35,63.0,120.0,240.0,6.0,0.0
36,63.0,0.0,240.0,7.0,0.0
37,54.0,0.0,120.0,8.0,0.0
38,63.0,0.0,240.0,3.0,0.0
39,53.0,0.0,120.0,8.0,0.0
40,53.0,0.0,120.0,13.0,0.0
41,61.0,0.0,120.0,7.0,0.0
42,54.0,0.0,120.0,8.0,0.0
43,54.0,0.0,120.0,13.0,0.0
44,61.0,120.0,120.0,3.0,0.0
45,61.0,0.0,120.0,6.0,0.0
46,51.0,0.0,120.0,8.0,0.0
47,60.0,0.0,120.0,3.0,0.0
48,60.0,0.0,120.0,6.0,0.0
49,60.0,120.0,120.0,7.0,0.0
50,51.0,0.0,120.0,13.0,0.0
51,61.0,120.0,240.0,3.0,0.0
52,61.0,0.0,240.0,7.0,0.0
53,53.0,120.0,120.0,8.0,0.0
54,61.0,0.0,240.0,6.0,0.0
55,53.0,0.0,120.0,13.0,0.0
56,58.0,120.0,240.0,13.0,0.0
57,58.0,0.0,240.0,8.0,0.0
58,60.0,0.0,240.0,7.0,0.0
59,60.0,0.0,240.0,6.0,0.0
60,60.0,60.0,240.0,3.0,0.0
61,57.0,0.0,120.0,13.0,0.0
62,57.0,0.0,120.0,8.0,0.0
63,58.0,0.0,240.0,3.0,0.0
64,58.0,0.0,240.0,6.0,0.0
65,58.0,60.0,60.0,13.0,0.0
66,58.0,0.0,240.0,7.0,0.0
67,65.0,120.0,240.0,12.0,0.0
68,58.0,0.0,60.0,8.0,0.0
69,65.0,0.0,240.0,2.0,0.0
70,65.0,0.0,240.0,7.0,0.0
71,60.0,0.0,60.0,8.0,0.0
72,60.0,120.0,60.0,13.0,0.0
73,61.0,60.0,240.0,8.0,0.0
74,61.0,0.0,240.0,13.0,0.0
75,58.0,0.0,360.0,3.0,0.0
76,66.0,0.0,240.0,2.0,0.0
77,58.0,0.0,360.0,6.0,0.0
78,66.0,0.0,240.0,12.0,0.0
79,58.0,120.0,360.0,7.0,0.0
80,66.0,0.0,240.0,7.0,0.0
81,60.0,60.0,60.0,8.0,0.0
82,60.0,0.0,60.0,13.0,0.0
83,58.0,0.0,60.0,8.0,0.0
84,58.0,120.0,60.0,13.0,0.0
85,64.0,0.0,360.0,12.0,0.0
86,64.0,120.0,360.0,7.0,0.0
87,64.0,0.0,360.0,2.0,0.0
88,60.0,120.0,720.0,13.0,0.0
89,60.0,0.0,720.0,8.0,0.0
90,55.0,120.0,120.0,7.0,0.0
91,55.0,0.0,120.0,3.0,0.0
92,55.0,0.0,120.0,6.0,0.0
93,56.0,0.0,120.0,7.0,0.0
94,56.0,0.0,120.0,6.0,0.0
95,56.0,0.0,120.0,3.0,0.0
96,65.0,0.0,120.0,12.0,0.0
97,53.0,120.0,120.0,6.0,0.0
98,53.0,0.0,120.0,3.0,0.0
99,65.0,0.0,120.0,2.0,0.0
100,53.0,0.0,120.0,7.0,0.0
101,65.0,0.0,120.0,7.0,0.0
102,52.0,120.0,360.0,3.0,0.0
103,67.0,120.0,120.0,2.0,0.0
104,67.0,0.0,120.0,12.0,0.0
105,67.0,0.0,120.0,7.0,0.0
106,52.0,0.0,360.0,7.0,0.0
107,52.0,0.0,360.0,6.0,0.0
108,65.0,0.0,120.0,12.0,0.0
109,65.0,0.0,120.0,2.0,0.0
110,65.0,0.0,120.0,7.0,0.0
111,58.0,0.0,120.0,8.0,0.0
112,67.0,0.0,120.0,7.0,0.0
113,67.0,0.0,120.0,12.0,0.0
114,67.0,0.0,120.0,2.0,0.0
115,58.0,0.0,120.0,13.0,0.0
116,56.0,0.0,120.0,8.0,0.0
117,68.0,0.0,120.0,2.0,0.0
118,56.0,0.0,120.0,13.0,0.0
119,68.0,240.0,120.0,7.0,0.0
120,68.0,0.0,120.0,12.0,0.0
121,61.0,0.0,240.0,13.0,0.0
122,53.0,0.0,15.0,6.0,0.0
123,53.0,0.0,15.0,7.0,0.0
124,70.0,0.0,240.0,12.0,0.0
125,70.0,0.0,240.0,7.0,0.0
126,70.0,0.0,240.0,2.0,0.0
127,61.0,0.0,240.0,8.0,0.0
128,53.0,0.0,15.0,3.0,0.0
129,58.0,0.0,240.0,8.0,0.0
130,68.0,120.0,120.0,2.0,0.0
131,68.0,0.0,120.0,12.0,0.0
132,65.0,0.0,480.0,7.0,0.0
133,68.0,0.0,120.0,7.0,0.0
134,58.0,0.0,240.0,13.0,0.0
135,65.0,120.0,480.0,3.0,0.0
136,65.0,0.0,480.0,6.0,0.0
137,67.0,0.0,120.0,7.0,0.0
138,67.0,240.0,120.0,12.0,0.0
139,67.0,0.0,120.0,2.0,0.0
140,60.0,0.0,360.0,8.0,0.0
141,60.0,120.0,360.0,13.0,0.0
142,68.0,0.0,240.0,7.0,0.0
143,68.0,0.0,240.0,12.0,0.0
144,68.0,0.0,240.0,2.0,0.0
145,64.0,0.0,240.0,7.0,0.0
146,67.0,0.0,240.0,2.0,0.0
147,67.0,0.0,240.0,12.0,0.0
148,67.0,0.0,240.0,7.0,0.0
149,64.0,120.0,240.0,6.0,0.0
150,64.0,0.0,240.0,3.0,0.0
151,58.0,0.0,120.0,8.0,0.0
152,58.0,0.0,120.0,13.0,0.0
153,65.0,0.0,360.0,7.0,0.0
154,56.0,120.0,120.0,13.0,0.0
155,65.0,120.0,240.0,2.0,0.0
156,65.0,0.0,360.0,3.0,0.0
157,65.0,120.0,360.0,6.0,0.0
158,65.0,0.0,240.0,12.0,0.0
159,56.0,0.0,120.0,8.0,0.0
160,55.0,0.0,120.0,13.0,0.0
161,55.0,0.0,120.0,8.0,0.0
162,53.0,0.0,120.0,13.0,0.0
163,68.0,120.0,480.0,7.0,0.0
164,68.0,0.0,480.0,12.0,0.0
165,68.0,0.0,480.0,2.0,0.0
166,53.0,0.0,120.0,8.0,0.0
167,51.0,0.0,120.0,13.0,0.0
168,51.0,0.0,120.0,8.0,0.0
169,60.0,0.0,120.0,3.0,0.0
170,60.0,0.0,120.0,7.0,0.0
171,60.0,120.0,120.0,6.0,0.0
172,65.0,0.0,120.0,6.0,0.0
173,65.0,0.0,120.0,3.0,0.0
174,50.0,0.0,120.0,8.0,0.0
175,50.0,120.0,120.0,13.0,0.0
176,65.0,0.0,120.0,7.0,0.0
177,53.0,0.0,120.0,13.0,0.0
178,53.0,0.0,120.0,8.0,0.0
179,62.0,0.0,120.0,7.0,0.0
180,62.0,0.0,120.0,3.0,0.0
181,62.0,0.0,120.0,6.0,0.0
182,66.0,0.0,120.0,7.0,0.0
183,63.0,0.0,120.0,3.0,0.0
184,46.0,0.0,240.0,8.0,0.0
185,63.0,0.0,120.0,7.0,0.0
186,66.0,0.0,120.0,2.0,0.0
187,66.0,120.0,120.0,12.0,0.0
188,63.0,0.0,120.0,6.0,0.0
189,46.0,0.0,240.0,13.0,0.0
190,65.0,0.0,120.0,2.0,0.0
191,65.0,0.0,120.0,3.0,0.0
192,65.0,0.0,120.0,7.0,0.0
193,65.0,240.0,120.0,6.0,0.0
194,65.0,0.0,120.0,12.0,0.0
195,66.0,0.0,240.0,3.0,0.0
196,63.0,0.0,240.0,2.0,0.0
197,58.0,120.0,360.0,8.0,0.0
198,66.0,0.0,240.0,7.0,0.0
199,63.0,0.0,240.0,7.0,0.0
200,66.0,0.0,240.0,6.0,0.0
201,63.0,120.0,240.0,12.0,0.0
