,note,step,duration,channel,velocity
0,61.0,11.0,60.0,1.0,0.0
1,58.0,0.0,60.0,2.0,0.0
2,66.0,0.0,120.0,0.0,0.0
3,54.0,24.0,60.0,5.0,0.0
4,54.0,60.0,120.0,4.0,0.0
5,54.0,25.0,40.0,2.0,0.0
6,58.0,0.0,40.0,1.0,0.0
7,58.0,35.0,60.0,1.0,0.0
8,78.0,15.0,120.0,0.0,0.0
9,54.0,0.0,60.0,2.0,0.0
10,56.0,0.0,40.0,2.0,0.0
11,59.0,25.0,40.0,1.0,0.0
12,77.0,0.0,120.0,0.0,0.0
13,61.0,0.0,15.0,1.0,0.0
14,58.0,15.0,15.0,2.0,0.0
15,56.0,15.0,15.0,2.0,0.0
16,59.0,0.0,15.0,1.0,0.0
17,61.0,0.0,15.0,1.0,0.0
18,58.0,15.0,15.0,2.0,0.0
19,59.0,30.0,15.0,1.0,0.0
20,56.0,0.0,15.0,2.0,0.0
21,58.0,30.0,30.0,1.0,0.0
22,54.0,0.0,30.0,2.0,0.0
23,56.0,0.0,30.0,2.0,0.0
24,59.0,60.0,30.0,1.0,0.0
25,61.0,0.0,60.0,1.0,0.0
26,58.0,30.0,60.0,2.0,0.0
27,78.0,0.0,120.0,0.0,0.0
28,56.0,0.0,30.0,2.0,0.0
29,59.0,30.0,30.0,1.0,0.0
30,58.0,0.0,30.0,2.0,0.0
31,61.0,60.0,30.0,1.0,0.0
32,66.0,35.0,240.0,0.0,0.0
33,42.0,0.0,120.0,4.0,0.0
34,63.0,11.0,60.0,1.0,0.0
35,42.0,49.0,60.0,5.0,0.0
36,59.0,0.0,60.0,2.0,0.0
37,61.0,0.0,60.0,1.0,0.0
38,58.0,60.0,60.0,2.0,0.0
39,54.0,25.0,150.0,4.0,0.0
40,59.0,0.0,60.0,1.0,0.0
41,54.0,0.0,150.0,5.0,0.0
42,56.0,60.0,60.0,2.0,0.0
43,58.0,0.0,60.0,1.0,0.0
44,54.0,0.0,60.0,2.0,0.0
45,61.0,35.0,120.0,0.0,0.0
46,56.0,0.0,60.0,2.0,0.0
47,59.0,18.0,60.0,1.0,0.0
48,56.0,5.0,30.0,4.0,0.0
49,56.0,12.0,20.0,5.0,0.0
50,53.0,0.0,40.0,2.0,0.0
51,56.0,13.0,40.0,1.0,0.0
52,54.0,12.0,20.0,5.0,0.0
53,54.0,0.0,30.0,4.0,0.0
54,56.0,35.0,60.0,1.0,0.0
55,53.0,0.0,60.0,2.0,0.0
56,53.0,0.0,40.0,5.0,0.0
57,53.0,25.0,40.0,4.0,0.0
58,71.0,15.0,120.0,0.0,0.0
59,54.0,0.0,40.0,2.0,0.0
60,58.0,0.0,40.0,1.0,0.0
61,49.0,0.0,40.0,5.0,0.0
62,49.0,25.0,40.0,4.0,0.0
63,61.0,0.0,150.0,4.0,0.0
64,59.0,15.0,15.0,1.0,0.0
65,56.0,0.0,15.0,2.0,0.0
66,61.0,25.0,150.0,5.0,0.0
67,70.0,0.0,120.0,0.0,0.0
68,54.0,0.0,15.0,2.0,0.0
69,58.0,15.0,15.0,1.0,0.0
70,56.0,15.0,15.0,2.0,0.0
71,59.0,0.0,15.0,1.0,0.0
72,58.0,0.0,15.0,1.0,0.0
73,54.0,30.0,15.0,2.0,0.0
74,56.0,0.0,30.0,1.0,0.0
75,53.0,30.0,30.0,2.0,0.0
76,54.0,35.0,30.0,2.0,0.0
77,58.0,0.0,30.0,1.0,0.0
78,59.0,18.0,60.0,1.0,0.0
79,68.0,0.0,120.0,0.0,0.0
80,56.0,0.0,60.0,2.0,0.0
81,58.0,0.0,30.0,1.0,0.0
82,49.0,0.0,30.0,4.0,0.0
83,49.0,12.0,20.0,5.0,0.0
84,54.0,18.0,30.0,2.0,0.0
85,59.0,35.0,30.0,1.0,0.0
86,47.0,0.0,30.0,4.0,0.0
87,47.0,12.0,20.0,5.0,0.0
88,56.0,0.0,30.0,2.0,0.0
89,61.0,0.0,240.0,0.0,0.0
90,46.0,0.0,40.0,5.0,0.0
91,46.0,25.0,40.0,4.0,0.0
92,61.0,35.0,60.0,1.0,0.0
93,58.0,0.0,60.0,2.0,0.0
94,47.0,25.0,40.0,5.0,0.0
