,note,step,duration,channel,velocity
0,73.0,0.0,270.0,10.0,0.0
1,54.0,0.0,270.0,4.0,0.0
2,73.0,0.0,270.0,5.0,0.0
3,70.0,0.0,270.0,6.0,0.0
4,73.0,0.0,270.0,2.0,0.0
5,73.0,256.0,270.0,13.0,0.0
6,54.0,0.0,270.0,15.0,0.0
7,70.0,0.0,270.0,11.0,0.0
8,54.0,256.0,510.0,1.0,0.0
9,66.0,0.0,270.0,0.0,0.0
10,73.0,0.0,270.0,3.0,0.0
11,70.0,0.0,270.0,3.0,0.0
12,54.0,0.0,270.0,8.0,0.0
13,66.0,0.0,270.0,7.0,0.0
14,66.0,0.0,270.0,12.0,0.0
15,54.0,0.0,270.0,14.0,0.0
16,73.0,0.0,270.0,0.0,0.0
17,70.0,0.0,270.0,0.0,0.0
18,78.0,0.0,270.0,3.0,0.0
19,73.0,0.0,270.0,3.0,0.0
20,78.0,0.0,270.0,2.0,0.0
21,58.0,0.0,270.0,14.0,0.0
22,78.0,0.0,270.0,10.0,0.0
23,54.0,256.0,510.0,1.0,0.0
24,66.0,0.0,270.0,0.0,0.0
25,70.0,0.0,270.0,13.0,0.0
26,73.0,256.0,270.0,6.0,0.0
27,73.0,0.0,270.0,11.0,0.0
28,78.0,0.0,270.0,0.0,0.0
29,58.0,0.0,270.0,4.0,0.0
30,58.0,0.0,270.0,15.0,0.0
31,78.0,0.0,270.0,5.0,0.0
32,66.0,0.0,270.0,7.0,0.0
33,73.0,0.0,270.0,0.0,0.0
34,66.0,0.0,270.0,12.0,0.0
35,58.0,0.0,270.0,8.0,0.0
36,61.0,0.0,270.0,12.0,0.0
37,80.0,0.0,270.0,5.0,0.0
38,61.0,0.0,270.0,15.0,0.0
39,80.0,0.0,270.0,0.0,0.0
40,73.0,0.0,270.0,0.0,0.0
41,80.0,0.0,270.0,10.0,0.0
42,61.0,0.0,270.0,14.0,0.0
43,77.0,0.0,270.0,3.0,0.0
44,80.0,0.0,270.0,3.0,0.0
45,61.0,0.0,270.0,8.0,0.0
46,49.0,256.0,510.0,1.0,0.0
47,68.0,0.0,270.0,13.0,0.0
48,77.0,256.0,270.0,11.0,0.0
49,77.0,0.0,270.0,6.0,0.0
50,80.0,0.0,270.0,2.0,0.0
51,73.0,0.0,270.0,7.0,0.0
52,61.0,0.0,270.0,4.0,0.0
53,66.0,0.0,930.0,13.0,0.0
54,66.0,0.0,1020.0,4.0,0.0
55,73.0,0.0,930.0,12.0,0.0
56,78.0,171.0,510.0,11.0,0.0
57,66.0,102.0,930.0,14.0,0.0
58,82.0,0.0,510.0,5.0,0.0
59,78.0,0.0,510.0,6.0,0.0
60,66.0,256.0,1020.0,15.0,0.0
61,66.0,0.0,1020.0,8.0,0.0
62,73.0,0.0,510.0,7.0,0.0
63,82.0,256.0,270.0,3.0,0.0
64,54.0,0.0,1020.0,1.0,0.0
65,82.0,0.0,510.0,10.0,0.0
66,82.0,0.0,270.0,2.0,0.0
67,82.0,0.0,270.0,0.0,0.0
68,66.0,0.0,1020.0,0.0,0.0
69,73.0,0.0,1020.0,0.0,0.0
70,78.0,0.0,270.0,3.0,0.0
71,83.0,0.0,180.0,3.0,0.0
72,80.0,0.0,180.0,6.0,0.0
73,80.0,0.0,180.0,3.0,0.0
74,83.0,0.0,180.0,5.0,0.0
75,83.0,0.0,180.0,2.0,0.0
76,80.0,0.0,180.0,11.0,0.0
77,83.0,0.0,180.0,0.0,0.0
78,75.0,0.0,180.0,7.0,0.0
79,83.0,0.0,180.0,10.0,0.0
80,73.0,0.0,180.0,7.0,0.0
81,78.0,0.0,180.0,6.0,0.0
82,82.0,0.0,180.0,5.0,0.0
83,82.0,0.0,180.0,10.0,0.0
84,78.0,0.0,180.0,11.0,0.0
85,82.0,0.0,180.0,3.0,0.0
86,78.0,0.0,180.0,3.0,0.0
87,82.0,0.0,180.0,0.0,0.0
88,82.0,0.0,180.0,2.0,0.0
89,80.0,0.0,180.0,10.0,0.0
90,77.0,0.0,180.0,11.0,0.0
91,77.0,0.0,180.0,3.0,0.0
92,80.0,0.0,180.0,3.0,0.0
93,77.0,0.0,180.0,6.0,0.0
94,80.0,0.0,180.0,0.0,0.0
95,80.0,0.0,180.0,2.0,0.0
96,71.0,0.0,180.0,7.0,0.0
97,80.0,0.0,180.0,5.0,0.0
98,82.0,0.0,270.0,0.0,0.0
99,73.0,0.0,270.0,7.0,0.0
100,78.0,512.0,270.0,6.0,0.0
101,82.0,0.0,270.0,3.0,0.0
102,66.0,0.0,270.0,14.0,0.0
103,78.0,0.0,270.0,3.0,0.0
104,82.0,0.0,270.0,5.0,0.0
105,82.0,0.0,270.0,10.0,0.0
106,78.0,0.0,270.0,11.0,0.0
107,73.0,0.0,270.0,12.0,0.0
108,66.0,0.0,270.0,13.0,0.0
109,82.0,0.0,270.0,2.0,0.0
110,59.0,0.0,510.0,14.0,0.0
111,87.0,0.0,270.0,3.0,0.0
112,66.0,256.0,1020.0,13.0,0.0
113,75.0,256.0,510.0,12.0,0.0
114,87.0,0.0,270.0,5.0,0.0
115,83.0,0.0,270.0,3.0,0.0
116,59.0,0.0,510.0,8.0,0.0
117,87.0,0.0,270.0,2.0,0.0
118,83.0,0.0,270.0,10.0,0.0
119,78.0,0.0,270.0,11.0,0.0
120,87.0,0.0,270.0,0.0,0.0
121,59.0,0.0,510.0,4.0,0.0
122,78.0,0.0,270.0,7.0,0.0
123,83.0,0.0,270.0,0.0,0.0
124,78.0,0.0,270.0,0.0,0.0
125,83.0,256.0,270.0,6.0,0.0
126,59.0,0.0,510.0,15.0,0.0
127,82.0,0.0,270.0,10.0,0.0
128,61.0,256.0,270.0,8.0,0.0
129,54.0,0.0,15.0,1.0,0.0
130,82.0,0.0,270.0,6.0,0.0
131,61.0,0.0,270.0,14.0,0.0
132,78.0,0.0,270.0,7.0,0.0
133,78.0,0.0,270.0,0.0,0.0
134,82.0,0.0,270.0,0.0,0.0
135,85.0,0.0,270.0,0.0,0.0
136,82.0,0.0,270.0,3.0,0.0
137,85.0,0.0,270.0,2.0,0.0
138,85.0,0.0,270.0,3.0,0.0
139,61.0,0.0,270.0,4.0,0.0
140,85.0,0.0,270.0,5.0,0.0
141,61.0,0.0,270.0,15.0,0.0
142,78.0,0.0,270.0,11.0,0.0
143,73.0,0.0,270.0,12.0,0.0
144,83.0,0.0,270.0,5.0,0.0
145,80.0,0.0,270.0,6.0,0.0
146,80.0,0.0,270.0,3.0,0.0
147,49.0,256.0,510.0,1.0,0.0
148,61.0,0.0,270.0,13.0,0.0
149,49.0,0.0,270.0,15.0,0.0
150,83.0,0.0,270.0,3.0,0.0
151,49.0,0.0,270.0,14.0,0.0
152,77.0,0.0,270.0,11.0,0.0
153,80.0,256.0,270.0,0.0,0.0
154,83.0,0.0,270.0,0.0,0.0
155,49.0,0.0,270.0,4.0,0.0
156,49.0,0.0,270.0,8.0,0.0
157,73.0,0.0,270.0,0.0,0.0
158,83.0,0.0,270.0,2.0,0.0
159,71.0,0.0,270.0,12.0,0.0
160,80.0,0.0,270.0,10.0,0.0
161,77.0,0.0,270.0,7.0,0.0
162,78.0,0.0,270.0,6.0,0.0
163,78.0,0.0,930.0,11.0,0.0
164,70.0,0.0,930.0,12.0,0.0
165,54.0,0.0,510.0,1.0,0.0
166,54.0,0.0,270.0,8.0,0.0
167,61.0,0.0,930.0,13.0,0.0
168,78.0,0.0,930.0,10.0,0.0
169,54.0,0.0,270.0,4.0,0.0
170,78.0,0.0,270.0,3.0,0.0
171,82.0,0.0,270.0,3.0,0.0
172,73.0,0.0,270.0,0.0,0.0
173,78.0,0.0,270.0,0.0,0.0
174,82.0,0.0,270.0,0.0,0.0
175,54.0,0.0,270.0,15.0,0.0
176,82.0,256.0,270.0,5.0,0.0
177,54.0,102.0,930.0,14.0,0.0
178,82.0,0.0,270.0,2.0,0.0
179,73.0,0.0,270.0,7.0,0.0
180,80.0,0.0,270.0,3.0,0.0
181,80.0,256.0,270.0,2.0,0.0
182,78.0,0.0,270.0,7.0,0.0
183,85.0,0.0,270.0,5.0,0.0
184,78.0,0.0,270.0,2.0,0.0
185,73.0,0.0,270.0,2.0,0.0
186,73.0,0.0,270.0,3.0,0.0
187,78.0,0.0,270.0,3.0,0.0
188,82.0,154.0,270.0,6.0,0.0
189,80.0,256.0,270.0,3.0,0.0
190,80.0,0.0,270.0,2.0,0.0
191,73.0,0.0,270.0,7.0,0.0
192,78.0,0.0,270.0,2.0,0.0
193,42.0,0.0,270.0,8.0,0.0
194,42.0,0.0,270.0,15.0,0.0
195,82.0,0.0,270.0,5.0,0.0
196,85.0,0.0,270.0,0.0,0.0
197,73.0,0.0,930.0,10.0,0.0
198,82.0,0.0,270.0,2.0,0.0
199,70.0,0.0,930.0,12.0,0.0
200,54.0,256.0,510.0,1.0,0.0
201,78.0,0.0,270.0,3.0,0.0
202,42.0,0.0,270.0,4.0,0.0
203,61.0,0.0,930.0,13.0,0.0
204,54.0,102.0,930.0,14.0,0.0
205,82.0,256.0,270.0,0.0,0.0
206,78.0,0.0,930.0,11.0,0.0
207,82.0,0.0,270.0,3.0,0.0
208,78.0,0.0,270.0,6.0,0.0
209,78.0,0.0,270.0,0.0,0.0
210,83.0,0.0,270.0,2.0,0.0
211,83.0,0.0,270.0,3.0,0.0
212,82.0,0.0,270.0,2.0,0.0
213,85.0,0.0,270.0,2.0,0.0
214,70.0,0.0,270.0,7.0,0.0
215,78.0,0.0,270.0,5.0,0.0
216,82.0,154.0,270.0,3.0,0.0
217,85.0,0.0,270.0,3.0,0.0
218,73.0,0.0,270.0,6.0,0.0
219,80.0,0.0,270.0,2.0,0.0
220,87.0,0.0,270.0,3.0,0.0
221,80.0,0.0,270.0,3.0,0.0
222,87.0,256.0,270.0,2.0,0.0
223,54.0,0.0,510.0,1.0,0.0
224,54.0,0.0,270.0,8.0,0.0
225,85.0,0.0,270.0,2.0,0.0
226,70.0,0.0,270.0,6.0,0.0
227,82.0,0.0,270.0,2.0,0.0
228,85.0,0.0,270.0,3.0,0.0
229,82.0,0.0,270.0,0.0,0.0
230,85.0,0.0,270.0,0.0,0.0
231,54.0,0.0,270.0,15.0,0.0
232,82.0,0.0,270.0,3.0,0.0
233,54.0,0.0,270.0,4.0,0.0
234,73.0,0.0,270.0,5.0,0.0
235,66.0,256.0,270.0,7.0,0.0
236,83.0,256.0,270.0,3.0,0.0
237,83.0,0.0,270.0,2.0,0.0
238,82.0,0.0,270.0,3.0,0.0
239,70.0,0.0,270.0,7.0,0.0
240,82.0,0.0,270.0,2.0,0.0
241,78.0,0.0,780.0,5.0,0.0
242,73.0,256.0,270.0,6.0,0.0
243,78.0,0.0,270.0,3.0,0.0
244,80.0,0.0,270.0,3.0,0.0
245,80.0,256.0,270.0,2.0,0.0
246,83.0,256.0,270.0,0.0,0.0
247,59.0,0.0,270.0,4.0,0.0
248,71.0,0.0,270.0,7.0,0.0
249,59.0,0.0,270.0,15.0,0.0
250,78.0,0.0,270.0,0.0,0.0
251,87.0,0.0,270.0,0.0,0.0
252,78.0,0.0,270.0,3.0,0.0
253,59.0,0.0,270.0,8.0,0.0
254,78.0,0.0,270.0,2.0,0.0
255,75.0,0.0,270.0,6.0,0.0
256,54.0,256.0,510.0,1.0,0.0
257,75.0,0.0,270.0,3.0,0.0
258,70.0,0.0,270.0,7.0,0.0
259,80.0,0.0,270.0,3.0,0.0
260,80.0,0.0,270.0,2.0,0.0
261,77.0,0.0,270.0,3.0,0.0
262,77.0,0.0,270.0,6.0,0.0
263,58.0,0.0,270.0,15.0,0.0
264,58.0,0.0,270.0,4.0,0.0
265,58.0,256.0,270.0,8.0,0.0
266,71.0,0.0,270.0,7.0,0.0
267,80.0,0.0,270.0,5.0,0.0
268,80.0,0.0,270.0,0.0,0.0
269,82.0,0.0,270.0,0.0,0.0
270,82.0,0.0,270.0,2.0,0.0
271,82.0,0.0,270.0,3.0,0.0
272,78.0,0.0,270.0,3.0,0.0
273,73.0,256.0,270.0,7.0,0.0
274,78.0,0.0,270.0,6.0,0.0
275,82.0,0.0,270.0,5.0,0.0
276,56.0,0.0,270.0,15.0,0.0
277,83.0,0.0,270.0,0.0,0.0
278,56.0,0.0,270.0,8.0,0.0
279,80.0,0.0,270.0,6.0,0.0
280,56.0,0.0,270.0,4.0,0.0
281,83.0,0.0,270.0,5.0,0.0
282,83.0,0.0,270.0,2.0,0.0
283,83.0,0.0,270.0,3.0,0.0
284,80.0,0.0,270.0,3.0,0.0
285,75.0,512.0,270.0,7.0,0.0
286,80.0,0.0,270.0,6.0,0.0
287,80.0,0.0,270.0,0.0,0.0
288,85.0,0.0,270.0,3.0,0.0
289,49.0,256.0,510.0,1.0,0.0
290,53.0,0.0,270.0,4.0,0.0
291,85.0,0.0,270.0,2.0,0.0
292,53.0,0.0,270.0,8.0,0.0
293,73.0,0.0,270.0,7.0,0.0
294,85.0,0.0,270.0,0.0,0.0
295,53.0,0.0,270.0,15.0,0.0
296,80.0,0.0,270.0,3.0,0.0
297,85.0,0.0,270.0,5.0,0.0
298,73.0,0.0,270.0,6.0,0.0
299,83.0,0.0,270.0,5.0,0.0
300,78.0,0.0,270.0,7.0,0.0
301,83.0,0.0,270.0,2.0,0.0
302,54.0,256.0,270.0,8.0,0.0
303,83.0,0.0,270.0,3.0,0.0
304,73.0,0.0,270.0,3.0,0.0
305,54.0,0.0,270.0,15.0,0.0
306,54.0,0.0,270.0,4.0,0.0
307,78.0,0.0,270.0,0.0,0.0
308,85.0,0.0,270.0,0.0,0.0
309,83.0,0.0,270.0,0.0,0.0
310,82.0,0.0,270.0,3.0,0.0
311,82.0,256.0,270.0,0.0,0.0
312,82.0,0.0,270.0,5.0,0.0
313,82.0,0.0,270.0,2.0,0.0
314,54.0,0.0,15.0,1.0,0.0
315,51.0,0.0,270.0,8.0,0.0
316,75.0,0.0,270.0,6.0,0.0
317,75.0,0.0,270.0,3.0,0.0
318,80.0,256.0,270.0,3.0,0.0
319,51.0,0.0,270.0,4.0,0.0
320,51.0,0.0,270.0,15.0,0.0
321,80.0,0.0,270.0,5.0,0.0
322,80.0,0.0,270.0,2.0,0.0
323,66.0,0.0,270.0,7.0,0.0
324,66.0,0.0,270.0,0.0,0.0
325,84.0,0.0,270.0,0.0,0.0
326,80.0,0.0,270.0,0.0,0.0
327,78.0,0.0,270.0,2.0,0.0
328,78.0,0.0,270.0,3.0,0.0
329,78.0,0.0,270.0,5.0,0.0
330,78.0,256.0,270.0,0.0,0.0
331,49.0,256.0,1020.0,1.0,0.0
332,77.0,0.0,1020.0,6.0,0.0
333,49.0,0.0,1020.0,15.0,0.0
334,49.0,0.0,1020.0,4.0,0.0
335,49.0,0.0,1020.0,8.0,0.0
336,73.0,0.0,1020.0,7.0,0.0
337,80.0,0.0,270.0,5.0,0.0
338,80.0,0.0,270.0,2.0,0.0
339,80.0,512.0,270.0,3.0,0.0
340,80.0,0.0,270.0,0.0,0.0
341,73.0,0.0,1020.0,0.0,0.0
342,73.0,0.0,270.0,5.0,0.0
343,82.0,0.0,270.0,0.0,0.0
344,73.0,0.0,270.0,2.0,0.0
345,73.0,256.0,270.0,3.0,0.0
346,83.0,0.0,270.0,0.0,0.0
347,77.0,0.0,270.0,5.0,0.0
348,77.0,0.0,270.0,2.0,0.0
349,77.0,0.0,15.0,3.0,0.0
350,85.0,0.0,15.0,0.0,0.0
351,83.0,256.0,270.0,0.0,0.0
352,80.0,0.0,270.0,5.0,0.0
353,61.0,0.0,270.0,15.0,0.0
354,61.0,0.0,270.0,4.0,0.0
355,77.0,0.0,270.0,6.0,0.0
356,61.0,256.0,270.0,8.0,0.0
357,85.0,0.0,270.0,0.0,0.0
358,80.0,0.0,270.0,2.0,0.0
359,73.0,0.0,270.0,7.0,0.0
360,77.0,0.0,270.0,3.0,0.0
361,80.0,0.0,270.0,3.0,0.0
362,73.0,0.0,15.0,0.0,0.0
363,59.0,0.0,270.0,8.0,0.0
364,59.0,0.0,270.0,15.0,0.0
365,49.0,0.0,15.0,1.0,0.0
366,87.0,0.0,270.0,0.0,0.0
367,59.0,256.0,270.0,4.0,0.0
368,73.0,0.0,270.0,0.0,0.0
369,85.0,0.0,270.0,3.0,0.0
370,73.0,0.0,270.0,7.0,0.0
371,58.0,0.0,270.0,4.0,0.0
372,49.0,0.0,15.0,1.0,0.0
373,78.0,0.0,270.0,3.0,0.0
374,58.0,0.0,270.0,8.0,0.0
375,58.0,0.0,270.0,15.0,0.0
376,85.0,0.0,270.0,0.0,0.0
377,73.0,0.0,270.0,0.0,0.0
378,78.0,0.0,270.0,6.0,0.0
379,85.0,0.0,270.0,2.0,0.0
380,85.0,0.0,270.0,5.0,0.0
381,83.0,256.0,270.0,5.0,0.0
382,83.0,0.0,270.0,0.0,0.0
383,83.0,0.0,270.0,3.0,0.0
384,83.0,0.0,270.0,2.0,0.0
385,82.0,0.0,270.0,2.0,0.0
386,82.0,0.0,270.0,0.0,0.0
387,61.0,0.0,270.0,8.0,0.0
388,73.0,0.0,270.0,0.0,0.0
389,49.0,0.0,15.0,1.0,0.0
390,61.0,0.0,270.0,4.0,0.0
391,61.0,0.0,270.0,15.0,0.0
392,73.0,0.0,270.0,7.0,0.0
393,77.0,0.0,270.0,6.0,0.0
394,82.0,0.0,270.0,3.0,0.0
395,77.0,256.0,270.0,3.0,0.0
396,82.0,0.0,270.0,5.0,0.0
397,80.0,0.0,270.0,0.0,0.0
398,80.0,0.0,270.0,2.0,0.0
399,80.0,0.0,270.0,5.0,0.0
400,80.0,0.0,270.0,3.0,0.0
401,82.0,0.0,270.0,0.0,0.0
402,54.0,171.0,510.0,1.0,0.0
403,54.0,0.0,270.0,15.0,0.0
404,73.0,0.0,270.0,7.0,0.0
405,78.0,0.0,270.0,3.0,0.0
406,82.0,0.0,270.0,5.0,0.0
407,54.0,0.0,270.0,4.0,0.0
408,82.0,0.0,270.0,2.0,0.0
409,82.0,0.0,270.0,3.0,0.0
410,54.0,0.0,270.0,8.0,0.0
411,78.0,0.0,270.0,6.0,0.0
412,73.0,0.0,270.0,0.0,0.0
413,80.0,0.0,180.0,6.0,0.0
414,83.0,0.0,180.0,5.0,0.0
415,83.0,0.0,180.0,2.0,0.0
416,61.0,85.0,270.0,15.0,0.0
417,83.0,0.0,180.0,0.0,0.0
418,61.0,0.0,270.0,4.0,0.0
419,80.0,0.0,180.0,3.0,0.0
420,73.0,0.0,270.0,7.0,0.0
421,83.0,85.0,180.0,3.0,0.0
422,49.0,0.0,510.0,1.0,0.0
423,61.0,0.0,270.0,8.0,0.0
