,note,step,duration,channel,velocity
0,66.0,0.0,870.0,8.0,0.0
1,82.0,26.0,870.0,3.0,0.0
2,85.0,0.0,690.0,5.0,0.0
3,70.0,0.0,330.0,13.0,0.0
4,78.0,0.0,870.0,3.0,0.0
5,66.0,0.0,870.0,7.0,0.0
6,82.0,171.0,330.0,0.0,0.0
7,78.0,0.0,870.0,11.0,0.0
8,73.0,0.0,870.0,12.0,0.0
9,66.0,0.0,870.0,15.0,0.0
10,78.0,0.0,690.0,6.0,0.0
11,73.0,0.0,870.0,3.0,0.0
12,82.0,0.0,870.0,10.0,0.0
13,66.0,0.0,870.0,4.0,0.0
14,66.0,0.0,330.0,14.0,0.0
15,78.0,0.0,330.0,1.0,0.0
16,73.0,0.0,870.0,1.0,0.0
17,54.0,128.0,510.0,2.0,0.0
18,68.0,0.0,330.0,14.0,0.0
19,83.0,0.0,330.0,0.0,0.0
20,80.0,0.0,330.0,1.0,0.0
21,71.0,85.0,330.0,13.0,0.0
22,54.0,43.0,15.0,2.0,0.0
23,73.0,0.0,330.0,13.0,0.0
24,82.0,683.0,330.0,1.0,0.0
25,82.0,0.0,330.0,5.0,0.0
26,78.0,0.0,330.0,5.0,0.0
27,85.0,0.0,330.0,0.0,0.0
28,73.0,0.0,330.0,6.0,0.0
29,54.0,102.0,15.0,2.0,0.0
30,73.0,0.0,870.0,3.0,0.0
31,78.0,0.0,870.0,3.0,0.0
32,54.0,0.0,870.0,15.0,0.0
33,54.0,0.0,870.0,8.0,0.0
34,82.0,0.0,15.0,5.0,0.0
35,85.0,0.0,690.0,5.0,0.0
36,70.0,0.0,870.0,3.0,0.0
37,54.0,0.0,15.0,2.0,0.0
38,78.0,187.0,690.0,6.0,0.0
39,54.0,0.0,870.0,4.0,0.0
40,70.0,0.0,15.0,14.0,0.0
41,70.0,0.0,870.0,12.0,0.0
42,73.0,0.0,870.0,11.0,0.0
43,82.0,0.0,870.0,1.0,0.0
44,78.0,0.0,870.0,1.0,0.0
45,54.0,0.0,870.0,7.0,0.0
46,78.0,0.0,870.0,10.0,0.0
47,73.0,0.0,870.0,13.0,0.0
48,85.0,0.0,870.0,0.0,0.0
49,73.0,0.0,330.0,6.0,0.0
50,78.0,0.0,330.0,5.0,0.0
51,73.0,342.0,330.0,11.0,0.0
52,78.0,0.0,330.0,10.0,0.0
53,82.0,0.0,15.0,5.0,0.0
54,85.0,0.0,690.0,5.0,0.0
55,70.0,0.0,330.0,12.0,0.0
56,78.0,341.0,690.0,6.0,0.0
57,68.0,0.0,330.0,12.0,0.0
58,71.0,0.0,330.0,11.0,0.0
59,77.0,0.0,330.0,10.0,0.0
60,73.0,0.0,330.0,11.0,0.0
61,70.0,341.0,330.0,6.0,0.0
62,78.0,0.0,330.0,5.0,0.0
63,70.0,0.0,330.0,12.0,0.0
64,73.0,0.0,330.0,5.0,0.0
65,78.0,0.0,330.0,10.0,0.0
66,80.0,342.0,330.0,10.0,0.0
67,77.0,0.0,330.0,11.0,0.0
68,71.0,0.0,690.0,5.0,0.0
69,77.0,0.0,690.0,5.0,0.0
70,68.0,341.0,690.0,6.0,0.0
71,71.0,0.0,330.0,12.0,0.0
72,75.0,0.0,330.0,11.0,0.0
73,70.0,0.0,330.0,12.0,0.0
74,78.0,0.0,330.0,10.0,0.0
75,71.0,0.0,330.0,12.0,0.0
76,77.0,0.0,330.0,11.0,0.0
77,77.0,341.0,330.0,6.0,0.0
78,83.0,0.0,330.0,5.0,0.0
79,80.0,0.0,330.0,5.0,0.0
80,80.0,0.0,330.0,10.0,0.0
81,70.0,0.0,330.0,13.0,0.0
82,54.0,128.0,510.0,2.0,0.0
83,73.0,0.0,690.0,6.0,0.0
84,73.0,0.0,870.0,12.0,0.0
85,66.0,26.0,870.0,8.0,0.0
86,78.0,0.0,870.0,11.0,0.0
87,66.0,0.0,870.0,4.0,0.0
88,85.0,0.0,870.0,3.0,0.0
89,82.0,0.0,870.0,3.0,0.0
90,78.0,0.0,870.0,3.0,0.0
91,82.0,0.0,690.0,5.0,0.0
92,66.0,171.0,330.0,14.0,0.0
93,73.0,0.0,870.0,1.0,0.0
