,note,step,duration,channel,velocity
0,66.0,0.0,1020.0,2.0,0.0
1,63.0,512.0,510.0,3.0,0.0
2,70.0,0.0,1020.0,1.0,0.0
3,61.0,0.0,510.0,3.0,0.0
4,75.0,512.0,15.0,0.0,0.0
5,59.0,512.0,1020.0,3.0,0.0
6,65.0,512.0,510.0,2.0,0.0
7,68.0,0.0,1020.0,1.0,0.0
8,63.0,0.0,510.0,2.0,0.0
9,65.0,512.0,1020.0,2.0,0.0
10,70.0,0.0,1020.0,1.0,0.0
11,73.0,0.0,1020.0,0.0,0.0
12,58.0,512.0,510.0,3.0,0.0
13,56.0,0.0,510.0,3.0,0.0
14,70.0,0.0,510.0,1.0,0.0
15,78.0,0.0,1020.0,0.0,0.0
16,63.0,0.0,1020.0,2.0,0.0
17,54.0,256.0,510.0,3.0,0.0
18,51.0,512.0,510.0,3.0,0.0
19,71.0,256.0,270.0,1.0,0.0
20,73.0,0.0,270.0,1.0,0.0
21,63.0,0.0,1530.0,2.0,0.0
22,71.0,0.0,510.0,1.0,0.0
23,56.0,512.0,510.0,3.0,0.0
24,77.0,0.0,510.0,0.0,0.0
25,54.0,0.0,510.0,3.0,0.0
26,70.0,0.0,510.0,1.0,0.0
27,75.0,512.0,510.0,0.0,0.0
28,68.0,0.0,1020.0,1.0,0.0
29,77.0,0.0,1020.0,0.0,0.0
30,56.0,512.0,510.0,3.0,0.0
31,62.0,0.0,510.0,2.0,0.0
32,58.0,2048.0,510.0,3.0,0.0
33,66.0,512.0,2040.0,1.0,0.0
34,75.0,0.0,2040.0,0.0,0.0
35,58.0,0.0,2040.0,2.0,0.0
36,70.0,0.0,1020.0,1.0,0.0
37,51.0,0.0,15.0,3.0,0.0
38,66.0,0.0,510.0,2.0,0.0
39,75.0,512.0,510.0,0.0,0.0
40,65.0,512.0,510.0,2.0,0.0
41,77.0,0.0,510.0,0.0,0.0
42,63.0,512.0,1020.0,3.0,0.0
43,78.0,0.0,1020.0,0.0,0.0
44,63.0,0.0,1020.0,2.0,0.0
45,70.0,512.0,510.0,1.0,0.0
46,72.0,0.0,510.0,1.0,0.0
47,65.0,0.0,1020.0,2.0,0.0
48,73.0,512.0,1020.0,1.0,0.0
49,61.0,512.0,510.0,3.0,0.0
50,80.0,0.0,1020.0,0.0,0.0
51,59.0,0.0,510.0,3.0,0.0
52,78.0,0.0,1020.0,0.0,0.0
53,58.0,0.0,1020.0,3.0,0.0
54,66.0,1024.0,1020.0,2.0,0.0
55,73.0,512.0,510.0,1.0,0.0
56,75.0,0.0,510.0,1.0,0.0
57,59.0,0.0,1020.0,2.0,0.0
58,56.0,0.0,1020.0,3.0,0.0
59,80.0,0.0,1020.0,0.0,0.0
60,77.0,512.0,1020.0,1.0,0.0
61,54.0,0.0,1020.0,3.0,0.0
62,78.0,0.0,510.0,1.0,0.0
63,82.0,0.0,1020.0,0.0,0.0
64,61.0,256.0,510.0,2.0,0.0
65,70.0,2048.0,510.0,1.0,0.0
66,63.0,256.0,270.0,2.0,0.0
67,64.0,0.0,270.0,2.0,0.0
68,63.0,0.0,2040.0,2.0,0.0
69,78.0,0.0,2040.0,0.0,0.0
70,59.0,0.0,2040.0,3.0,0.0
71,71.0,512.0,2040.0,1.0,0.0
72,61.0,0.0,1020.0,2.0,0.0
73,78.0,0.0,1020.0,0.0,0.0
74,58.0,512.0,510.0,3.0,0.0
75,56.0,512.0,510.0,3.0,0.0
76,73.0,0.0,15.0,1.0,0.0
77,80.0,512.0,1020.0,0.0,0.0
78,54.0,512.0,510.0,3.0,0.0
79,68.0,0.0,1020.0,2.0,0.0
80,53.0,0.0,510.0,3.0,0.0
81,54.0,512.0,1020.0,3.0,0.0
82,73.0,0.0,510.0,1.0,0.0
83,66.0,512.0,510.0,2.0,0.0
84,82.0,0.0,510.0,0.0,0.0
85,80.0,0.0,510.0,0.0,0.0
86,74.0,0.0,510.0,1.0,0.0
87,65.0,0.0,510.0,2.0,0.0
88,78.0,512.0,1020.0,0.0,0.0
89,63.0,0.0,1020.0,2.0,0.0
90,75.0,0.0,1020.0,1.0,0.0
91,59.0,512.0,510.0,3.0,0.0
92,58.0,0.0,510.0,3.0,0.0
93,77.0,0.0,510.0,1.0,0.0
94,71.0,0.0,1020.0,2.0,0.0
95,80.0,512.0,510.0,0.0,0.0
96,56.0,0.0,1020.0,3.0,0.0
97,78.0,0.0,510.0,0.0,0.0
98,75.0,512.0,510.0,1.0,0.0
99,58.0,2048.0,1020.0,3.0,0.0
100,74.0,0.0,1020.0,1.0,0.0
101,77.0,0.0,1020.0,0.0,0.0
102,65.0,512.0,510.0,2.0,0.0
103,70.0,0.0,510.0,2.0,0.0
104,51.0,0.0,2040.0,3.0,0.0
105,70.0,0.0,15.0,1.0,0.0
106,63.0,512.0,510.0,3.0,0.0
107,75.0,0.0,15.0,0.0,0.0
108,66.0,512.0,15.0,2.0,0.0
109,61.0,0.0,510.0,3.0,0.0
110,69.0,512.0,1020.0,1.0,0.0
111,75.0,0.0,15.0,0.0,0.0
112,60.0,0.0,1020.0,3.0,0.0
113,65.0,512.0,510.0,2.0,0.0
114,63.0,0.0,510.0,2.0,0.0
115,58.0,512.0,510.0,3.0,0.0
116,73.0,0.0,1020.0,0.0,0.0
117,65.0,512.0,1020.0,2.0,0.0
118,70.0,0.0,510.0,1.0,0.0
119,56.0,0.0,510.0,3.0,0.0
120,72.0,0.0,510.0,1.0,0.0
121,70.0,0.0,1020.0,2.0,0.0
122,58.0,0.0,510.0,3.0,0.0
123,78.0,512.0,1020.0,0.0,0.0
124,73.0,512.0,510.0,1.0,0.0
125,60.0,0.0,510.0,3.0,0.0
126,75.0,0.0,510.0,1.0,0.0
127,68.0,0.0,510.0,2.0,0.0
128,62.0,0.0,510.0,3.0,0.0
129,77.0,512.0,510.0,0.0,0.0
130,70.0,0.0,510.0,1.0,0.0
131,75.0,512.0,1020.0,1.0,0.0
132,66.0,0.0,510.0,2.0,0.0
133,63.0,0.0,510.0,3.0,0.0
134,75.0,256.0,510.0,0.0,0.0
135,65.0,256.0,270.0,2.0,0.0
136,58.0,0.0,1020.0,3.0,0.0
137,77.0,2048.0,1020.0,0.0,0.0
138,66.0,0.0,270.0,2.0,0.0
139,68.0,0.0,510.0,2.0,0.0
140,74.0,0.0,510.0,1.0,0.0
141,75.0,0.0,2040.0,0.0,0.0
142,51.0,0.0,2040.0,3.0,0.0
143,70.0,0.0,2040.0,1.0,0.0
144,67.0,0.0,2040.0,2.0,0.0
