,note,step,duration,channel,velocity
0,59.0,240.0,240.0,0.0,64.0
1,71.0,0.0,480.0,0.0,64.0
2,58.0,0.0,240.0,0.0,64.0
3,59.0,240.0,240.0,0.0,64.0
4,71.0,240.0,15.0,0.0,64.0
5,61.0,0.0,240.0,0.0,64.0
6,71.0,240.0,15.0,0.0,64.0
7,63.0,120.0,240.0,0.0,64.0
8,71.0,0.0,240.0,0.0,64.0
9,61.0,0.0,240.0,0.0,64.0
10,70.0,0.0,120.0,0.0,64.0
11,68.0,0.0,120.0,0.0,64.0
12,63.0,0.0,240.0,0.0,64.0
13,66.0,0.0,240.0,0.0,64.0
14,64.0,0.0,240.0,0.0,64.0
15,66.0,0.0,480.0,0.0,64.0
16,63.0,0.0,240.0,0.0,64.0
17,71.0,0.0,240.0,0.0,64.0
18,54.0,0.0,480.0,0.0,64.0
19,61.0,0.0,240.0,0.0,64.0
20,70.0,0.0,240.0,0.0,64.0
21,47.0,0.0,240.0,0.0,64.0
22,59.0,0.0,240.0,0.0,64.0
23,71.0,120.0,120.0,0.0,64.0
24,63.0,0.0,240.0,0.0,64.0
25,70.0,120.0,120.0,0.0,64.0
26,61.0,120.0,240.0,0.0,64.0
27,71.0,120.0,120.0,0.0,64.0
28,73.0,0.0,120.0,0.0,64.0
29,75.0,120.0,120.0,0.0,64.0
30,59.0,0.0,240.0,0.0,64.0
31,77.0,240.0,120.0,0.0,64.0
32,58.0,240.0,240.0,0.0,64.0
33,78.0,0.0,480.0,0.0,64.0
34,56.0,240.0,240.0,0.0,64.0
35,78.0,0.0,15.0,0.0,64.0
36,54.0,240.0,240.0,0.0,64.0
37,56.0,0.0,240.0,0.0,64.0
38,78.0,0.0,15.0,0.0,64.0
39,58.0,0.0,240.0,0.0,64.0
40,78.0,0.0,240.0,0.0,64.0
41,56.0,120.0,240.0,0.0,64.0
42,77.0,0.0,120.0,0.0,64.0
43,75.0,0.0,120.0,0.0,64.0
44,73.0,0.0,120.0,0.0,64.0
45,58.0,0.0,240.0,0.0,64.0
46,78.0,0.0,120.0,0.0,64.0
47,59.0,0.0,240.0,0.0,64.0
48,71.0,0.0,120.0,0.0,64.0
49,78.0,0.0,120.0,0.0,64.0
50,61.0,0.0,480.0,0.0,64.0
