,note,step,duration,channel,velocity
0,61.0,480.0,390.0,0.0,64.0
1,64.0,312.0,390.0,0.0,64.0
2,61.0,72.0,390.0,0.0,64.0
3,64.0,120.0,90.0,0.0,64.0
4,66.0,48.0,90.0,0.0,64.0
5,68.0,120.0,90.0,0.0,64.0
6,69.0,120.0,90.0,0.0,64.0
7,61.0,72.0,390.0,0.0,64.0
8,71.0,120.0,90.0,0.0,64.0
9,73.0,48.0,90.0,0.0,64.0
10,69.0,216.0,90.0,0.0,64.0
11,62.0,48.0,390.0,0.0,64.0
12,66.0,192.0,180.0,0.0,64.0
13,71.0,240.0,180.0,0.0,64.0
14,64.0,192.0,180.0,0.0,64.0
15,61.0,48.0,390.0,0.0,64.0
16,69.0,240.0,180.0,0.0,64.0
17,69.0,144.0,180.0,0.0,64.0
18,59.0,576.0,780.0,0.0,64.0
19,68.0,120.0,90.0,0.0,64.0
20,66.0,312.0,90.0,0.0,64.0
21,68.0,192.0,870.0,0.0,64.0
22,57.0,336.0,570.0,0.0,64.0
23,66.0,48.0,870.0,0.0,64.0
24,59.0,240.0,180.0,0.0,64.0
25,61.0,192.0,180.0,0.0,64.0
26,56.0,240.0,180.0,0.0,64.0
27,64.0,0.0,660.0,0.0,64.0
28,61.0,240.0,180.0,0.0,64.0
29,59.0,240.0,180.0,0.0,64.0
30,58.0,144.0,180.0,0.0,64.0
31,62.0,96.0,90.0,0.0,64.0
32,54.0,24.0,180.0,0.0,64.0
33,61.0,216.0,90.0,0.0,64.0
34,59.0,144.0,660.0,0.0,64.0
35,62.0,144.0,180.0,0.0,64.0
36,64.0,120.0,90.0,0.0,64.0
37,62.0,216.0,90.0,0.0,64.0
38,61.0,72.0,390.0,0.0,64.0
39,57.0,48.0,90.0,0.0,64.0
40,56.0,216.0,90.0,0.0,64.0
41,66.0,144.0,660.0,0.0,64.0
42,57.0,144.0,180.0,0.0,64.0
43,59.0,120.0,90.0,0.0,64.0
44,57.0,216.0,90.0,0.0,64.0
45,56.0,72.0,390.0,0.0,64.0
46,65.0,48.0,90.0,0.0,64.0
47,63.0,216.0,90.0,0.0,64.0
48,61.0,72.0,390.0,0.0,64.0
49,65.0,144.0,180.0,0.0,64.0
50,66.0,48.0,90.0,0.0,64.0
51,68.0,120.0,90.0,0.0,64.0
52,54.0,120.0,90.0,0.0,64.0
53,69.0,72.0,390.0,0.0,64.0
54,73.0,0.0,390.0,0.0,64.0
55,57.0,120.0,90.0,0.0,64.0
56,56.0,48.0,90.0,0.0,64.0
57,54.0,120.0,90.0,0.0,64.0
58,52.0,120.0,90.0,0.0,64.0
59,68.0,24.0,660.0,0.0,64.0
60,76.0,72.0,390.0,0.0,64.0
61,50.0,120.0,90.0,0.0,64.0
62,49.0,48.0,90.0,0.0,64.0
63,52.0,120.0,90.0,0.0,64.0
64,45.0,96.0,90.0,0.0,64.0
65,73.0,72.0,390.0,0.0,64.0
66,49.0,120.0,90.0,0.0,64.0
67,66.0,0.0,90.0,0.0,64.0
68,51.0,48.0,90.0,0.0,64.0
69,68.0,0.0,90.0,0.0,64.0
70,53.0,120.0,90.0,0.0,64.0
71,73.0,72.0,390.0,0.0,64.0
72,54.0,96.0,90.0,0.0,64.0
73,69.0,24.0,180.0,0.0,64.0
74,56.0,120.0,90.0,0.0,64.0
75,57.0,48.0,90.0,0.0,64.0
76,66.0,24.0,420.0,0.0,64.0
77,54.0,120.0,90.0,0.0,64.0
78,59.0,96.0,90.0,0.0,64.0
79,74.0,48.0,390.0,0.0,64.0
80,57.0,120.0,90.0,0.0,64.0
81,56.0,48.0,90.0,0.0,64.0
82,71.0,24.0,180.0,0.0,64.0
83,59.0,120.0,90.0,0.0,64.0
84,73.0,72.0,390.0,0.0,64.0
85,64.0,24.0,180.0,0.0,64.0
86,57.0,96.0,90.0,0.0,64.0
87,56.0,120.0,90.0,0.0,64.0
88,54.0,48.0,90.0,0.0,64.0
89,69.0,24.0,420.0,0.0,64.0
90,57.0,120.0,90.0,0.0,64.0
91,71.0,48.0,780.0,0.0,64.0
92,51.0,96.0,90.0,0.0,64.0
93,54.0,120.0,90.0,0.0,64.0
94,53.0,0.0,90.0,0.0,64.0
95,68.0,120.0,90.0,0.0,64.0
96,51.0,120.0,90.0,0.0,64.0
97,66.0,0.0,90.0,0.0,64.0
98,53.0,120.0,90.0,0.0,64.0
99,68.0,72.0,870.0,0.0,64.0
100,56.0,72.0,90.0,0.0,64.0
101,49.0,120.0,90.0,0.0,64.0
102,53.0,120.0,90.0,0.0,64.0
103,69.0,48.0,780.0,0.0,64.0
104,54.0,120.0,90.0,0.0,64.0
105,49.0,120.0,90.0,0.0,64.0
106,51.0,48.0,90.0,0.0,64.0
107,53.0,120.0,90.0,0.0,64.0
108,66.0,120.0,570.0,0.0,64.0
109,54.0,120.0,90.0,0.0,64.0
110,56.0,72.0,90.0,0.0,64.0
111,57.0,120.0,90.0,0.0,64.0
112,54.0,120.0,90.0,0.0,64.0
113,61.0,120.0,570.0,0.0,64.0
114,68.0,0.0,570.0,0.0,64.0
115,66.0,120.0,90.0,0.0,64.0
116,64.0,120.0,90.0,0.0,64.0
117,63.0,120.0,90.0,0.0,64.0
118,64.0,24.0,660.0,0.0,64.0
119,59.0,120.0,90.0,0.0,64.0
120,68.0,24.0,180.0,0.0,64.0
121,57.0,96.0,90.0,0.0,64.0
122,56.0,120.0,90.0,0.0,64.0
123,54.0,0.0,180.0,0.0,64.0
