,note,step,duration,channel,velocity
0,51.0,0.0,360.0,2.0,0.0
1,75.0,120.0,120.0,0.0,0.0
2,70.0,120.0,120.0,0.0,0.0
3,70.0,120.0,120.0,0.0,0.0
4,71.0,120.0,120.0,0.0,0.0
5,63.0,0.0,120.0,2.0,0.0
6,70.0,120.0,120.0,0.0,0.0
7,70.0,120.0,120.0,0.0,0.0
8,65.0,0.0,120.0,2.0,0.0
9,66.0,120.0,120.0,2.0,0.0
10,75.0,0.0,120.0,0.0,0.0
11,65.0,0.0,120.0,2.0,0.0
12,70.0,120.0,15.0,0.0,0.0
13,63.0,120.0,120.0,2.0,0.0
14,77.0,120.0,120.0,0.0,0.0
15,62.0,120.0,480.0,2.0,0.0
16,70.0,120.0,120.0,0.0,0.0
17,70.0,120.0,120.0,0.0,0.0
18,71.0,0.0,120.0,0.0,0.0
19,63.0,120.0,120.0,2.0,0.0
20,65.0,0.0,120.0,2.0,0.0
21,70.0,0.0,15.0,0.0,0.0
22,63.0,120.0,120.0,2.0,0.0
23,77.0,0.0,120.0,0.0,0.0
24,70.0,120.0,120.0,0.0,0.0
25,65.0,0.0,120.0,2.0,0.0
26,62.0,60.0,120.0,2.0,0.0
27,70.0,0.0,120.0,0.0,0.0
28,78.0,60.0,60.0,0.0,0.0
29,63.0,0.0,360.0,2.0,0.0
30,75.0,60.0,60.0,0.0,0.0
31,78.0,60.0,60.0,0.0,0.0
32,82.0,60.0,60.0,0.0,0.0
33,87.0,60.0,60.0,0.0,0.0
34,82.0,60.0,60.0,0.0,0.0
35,78.0,60.0,60.0,0.0,0.0
36,82.0,60.0,60.0,0.0,0.0
37,78.0,60.0,60.0,0.0,0.0
38,75.0,60.0,60.0,0.0,0.0
39,78.0,60.0,60.0,0.0,0.0
40,75.0,60.0,60.0,0.0,0.0
41,70.0,60.0,60.0,0.0,0.0
42,75.0,60.0,60.0,0.0,0.0
43,70.0,60.0,60.0,0.0,0.0
44,66.0,60.0,60.0,0.0,0.0
45,70.0,60.0,60.0,0.0,0.0
46,66.0,120.0,60.0,0.0,0.0
47,63.0,120.0,120.0,0.0,0.0
48,63.0,0.0,120.0,2.0,0.0
49,58.0,120.0,120.0,2.0,0.0
