,note,step,duration,channel,velocity
0,49.0,60.0,40.0,1.0,0.0
1,53.0,60.0,40.0,1.0,0.0
2,56.0,60.0,40.0,1.0,0.0
3,61.0,60.0,40.0,1.0,0.0
4,60.0,60.0,40.0,1.0,0.0
5,58.0,60.0,40.0,1.0,0.0
6,56.0,60.0,40.0,1.0,0.0
7,60.0,60.0,40.0,1.0,0.0
8,63.0,60.0,40.0,1.0,0.0
9,66.0,60.0,40.0,1.0,0.0
10,65.0,60.0,40.0,1.0,0.0
11,63.0,60.0,40.0,1.0,0.0
12,61.0,60.0,40.0,1.0,0.0
13,65.0,60.0,40.0,1.0,0.0
14,68.0,60.0,40.0,1.0,0.0
15,73.0,60.0,40.0,1.0,0.0
16,72.0,60.0,40.0,1.0,0.0
17,70.0,60.0,40.0,1.0,0.0
18,68.0,60.0,40.0,1.0,0.0
19,72.0,60.0,40.0,1.0,0.0
20,75.0,60.0,40.0,1.0,0.0
21,78.0,60.0,40.0,1.0,0.0
22,77.0,60.0,40.0,1.0,0.0
23,75.0,60.0,40.0,1.0,0.0
24,73.0,60.0,40.0,1.0,0.0
25,75.0,60.0,40.0,1.0,0.0
26,77.0,60.0,40.0,1.0,0.0
27,78.0,60.0,40.0,1.0,0.0
28,80.0,60.0,40.0,1.0,0.0
29,82.0,60.0,40.0,1.0,0.0
30,84.0,60.0,40.0,1.0,0.0
31,85.0,60.0,40.0,1.0,0.0
32,87.0,60.0,40.0,1.0,0.0
33,84.0,60.0,40.0,1.0,0.0
34,80.0,60.0,40.0,1.0,0.0
35,84.0,108.0,40.0,1.0,0.0
36,85.0,96.0,810.0,0.0,0.0
37,85.0,72.0,90.0,1.0,0.0
38,84.0,60.0,40.0,1.0,0.0
39,82.0,60.0,40.0,1.0,0.0
40,80.0,60.0,40.0,1.0,0.0
41,80.0,24.0,660.0,0.0,0.0
42,78.0,120.0,40.0,1.0,0.0
43,77.0,0.0,540.0,0.0,0.0
44,75.0,60.0,40.0,1.0,0.0
45,73.0,60.0,40.0,1.0,0.0
46,72.0,69.0,40.0,1.0,0.0
47,73.0,51.0,60.0,1.0,0.0
48,68.0,108.0,40.0,1.0,0.0
49,61.0,0.0,180.0,1.0,0.0
50,68.0,0.0,180.0,1.0,0.0
51,73.0,0.0,180.0,0.0,0.0
52,84.0,120.0,90.0,0.0,0.0
53,82.0,120.0,90.0,0.0,0.0
54,80.0,120.0,90.0,0.0,0.0
55,82.0,120.0,90.0,0.0,0.0
56,78.0,120.0,90.0,0.0,0.0
57,77.0,24.0,540.0,0.0,0.0
58,73.0,120.0,90.0,0.0,0.0
59,72.0,120.0,90.0,0.0,0.0
60,70.0,120.0,90.0,0.0,0.0
61,68.0,96.0,90.0,0.0,0.0
62,70.0,120.0,90.0,0.0,0.0
63,78.0,0.0,90.0,0.0,0.0
64,66.0,120.0,90.0,0.0,0.0
65,80.0,120.0,90.0,0.0,0.0
66,65.0,24.0,540.0,0.0,0.0
67,78.0,120.0,90.0,0.0,0.0
68,77.0,120.0,90.0,0.0,0.0
69,75.0,96.0,90.0,0.0,0.0
70,77.0,120.0,90.0,0.0,0.0
71,73.0,120.0,90.0,0.0,0.0
72,66.0,0.0,90.0,0.0,0.0
73,72.0,24.0,540.0,0.0,0.0
74,68.0,24.0,900.0,0.0,0.0
75,68.0,120.0,90.0,1.0,0.0
76,66.0,120.0,90.0,1.0,0.0
77,65.0,120.0,90.0,1.0,0.0
78,63.0,96.0,90.0,1.0,0.0
79,65.0,120.0,90.0,1.0,0.0
80,61.0,0.0,90.0,1.0,0.0
81,73.0,120.0,90.0,0.0,0.0
82,60.0,24.0,540.0,1.0,0.0
83,75.0,96.0,90.0,0.0,0.0
84,77.0,120.0,90.0,0.0,0.0
85,63.0,120.0,90.0,0.0,0.0
86,78.0,0.0,90.0,0.0,0.0
87,77.0,96.0,90.0,0.0,0.0
88,68.0,24.0,540.0,0.0,0.0
89,78.0,120.0,90.0,0.0,0.0
90,75.0,120.0,90.0,0.0,0.0
91,56.0,0.0,90.0,1.0,0.0
92,61.0,96.0,90.0,1.0,0.0
93,77.0,24.0,540.0,0.0,0.0
94,73.0,0.0,2010.0,0.0,0.0
95,60.0,120.0,90.0,1.0,0.0
96,58.0,120.0,90.0,1.0,0.0
97,56.0,96.0,90.0,1.0,0.0
98,58.0,120.0,90.0,1.0,0.0
99,78.0,0.0,90.0,0.0,0.0
100,54.0,120.0,90.0,1.0,0.0
101,80.0,120.0,90.0,0.0,0.0
102,53.0,24.0,540.0,1.0,0.0
103,82.0,120.0,90.0,0.0,0.0
104,56.0,0.0,90.0,1.0,0.0
105,83.0,120.0,90.0,0.0,0.0
106,82.0,96.0,90.0,0.0,0.0
107,61.0,96.0,450.0,1.0,0.0
108,83.0,120.0,90.0,0.0,0.0
