,note,step,duration,channel,velocity
0,75.0,48.0,40.0,0.0,0.0
1,75.0,18.0,150.0,0.0,0.0
2,59.0,30.0,150.0,3.0,0.0
3,59.0,48.0,40.0,2.0,0.0
4,63.0,48.0,40.0,2.0,0.0
5,66.0,0.0,40.0,2.0,0.0
6,76.0,24.0,40.0,0.0,0.0
7,71.0,0.0,90.0,2.0,0.0
8,61.0,6.0,150.0,3.0,0.0
9,78.0,24.0,20.0,0.0,0.0
10,76.0,24.0,20.0,0.0,0.0
11,71.0,0.0,40.0,2.0,0.0
12,78.0,24.0,20.0,0.0,0.0
13,76.0,24.0,20.0,0.0,0.0
14,78.0,24.0,20.0,0.0,0.0
15,70.0,0.0,40.0,2.0,0.0
16,76.0,18.0,20.0,0.0,0.0
17,75.0,24.0,20.0,0.0,0.0
18,68.0,96.0,40.0,2.0,0.0
19,76.0,0.0,20.0,0.0,0.0
20,78.0,18.0,240.0,0.0,0.0
21,63.0,30.0,270.0,3.0,0.0
22,66.0,48.0,40.0,2.0,0.0
23,70.0,96.0,40.0,2.0,0.0
24,71.0,30.0,510.0,2.0,0.0
25,75.0,30.0,150.0,1.0,0.0
26,78.0,48.0,40.0,0.0,0.0
27,63.0,0.0,90.0,3.0,0.0
28,82.0,18.0,40.0,0.0,0.0
29,83.0,48.0,40.0,0.0,0.0
30,64.0,48.0,90.0,3.0,0.0
31,80.0,48.0,40.0,0.0,0.0
32,83.0,0.0,40.0,0.0,0.0
33,78.0,48.0,40.0,0.0,0.0
34,63.0,0.0,90.0,3.0,0.0
35,83.0,48.0,40.0,0.0,0.0
36,61.0,30.0,150.0,3.0,0.0
37,76.0,18.0,40.0,0.0,0.0
38,75.0,48.0,40.0,0.0,0.0
39,70.0,48.0,90.0,2.0,0.0
40,76.0,18.0,40.0,0.0,0.0
41,85.0,0.0,40.0,0.0,0.0
42,59.0,48.0,240.0,3.0,0.0
43,76.0,48.0,40.0,0.0,0.0
44,75.0,48.0,40.0,0.0,0.0
45,73.0,48.0,40.0,0.0,0.0
46,63.0,48.0,90.0,2.0,0.0
47,71.0,0.0,40.0,0.0,0.0
48,75.0,48.0,240.0,0.0,0.0
49,66.0,48.0,90.0,1.0,0.0
50,58.0,0.0,40.0,3.0,0.0
51,71.0,48.0,90.0,1.0,0.0
52,56.0,48.0,40.0,3.0,0.0
53,54.0,0.0,40.0,3.0,0.0
54,53.0,30.0,270.0,3.0,0.0
55,68.0,30.0,150.0,1.0,0.0
56,80.0,48.0,40.0,0.0,0.0
57,73.0,18.0,40.0,0.0,0.0
58,56.0,0.0,90.0,2.0,0.0
59,80.0,48.0,40.0,0.0,0.0
60,71.0,18.0,40.0,0.0,0.0
61,61.0,30.0,150.0,2.0,0.0
62,70.0,48.0,40.0,0.0,0.0
63,71.0,18.0,40.0,0.0,0.0
64,53.0,48.0,90.0,3.0,0.0
65,80.0,0.0,40.0,0.0,0.0
66,71.0,48.0,40.0,0.0,0.0
67,54.0,30.0,270.0,3.0,0.0
68,70.0,48.0,40.0,0.0,0.0
69,58.0,0.0,90.0,2.0,0.0
70,68.0,48.0,40.0,0.0,0.0
71,66.0,48.0,40.0,0.0,0.0
72,68.0,18.0,40.0,0.0,0.0
73,61.0,30.0,150.0,2.0,0.0
74,70.0,48.0,40.0,0.0,0.0
75,52.0,0.0,90.0,3.0,0.0
76,71.0,18.0,40.0,0.0,0.0
77,70.0,48.0,40.0,0.0,0.0
78,54.0,0.0,90.0,2.0,0.0
79,51.0,30.0,150.0,3.0,0.0
80,71.0,48.0,40.0,0.0,0.0
81,73.0,48.0,40.0,0.0,0.0
82,59.0,96.0,300.0,2.0,0.0
83,71.0,18.0,40.0,0.0,0.0
84,73.0,24.0,40.0,0.0,0.0
85,75.0,24.0,20.0,0.0,0.0
86,49.0,6.0,150.0,3.0,0.0
87,73.0,24.0,20.0,0.0,0.0
88,75.0,24.0,20.0,0.0,0.0
89,73.0,24.0,20.0,0.0,0.0
90,75.0,24.0,20.0,0.0,0.0
91,73.0,18.0,20.0,0.0,0.0
92,71.0,24.0,20.0,0.0,0.0
93,73.0,0.0,20.0,0.0,0.0
94,59.0,30.0,150.0,2.0,0.0
95,75.0,48.0,240.0,0.0,0.0
96,47.0,48.0,40.0,3.0,0.0
97,51.0,18.0,40.0,3.0,0.0
98,54.0,48.0,40.0,3.0,0.0
99,59.0,48.0,90.0,3.0,0.0
100,75.0,0.0,40.0,0.0,0.0
101,61.0,48.0,40.0,3.0,0.0
102,80.0,0.0,40.0,0.0,0.0
103,63.0,0.0,40.0,3.0,0.0
104,79.0,48.0,40.0,0.0,0.0
105,80.0,48.0,40.0,0.0,0.0
106,64.0,48.0,90.0,3.0,0.0
107,82.0,0.0,40.0,0.0,0.0
108,59.0,24.0,90.0,3.0,0.0
109,68.0,6.0,150.0,2.0,0.0
110,80.0,48.0,40.0,0.0,0.0
111,82.0,0.0,40.0,0.0,0.0
112,83.0,24.0,20.0,0.0,0.0
113,61.0,24.0,90.0,3.0,0.0
114,82.0,18.0,20.0,0.0,0.0
115,83.0,24.0,20.0,0.0,0.0
116,82.0,0.0,20.0,0.0,0.0
117,63.0,0.0,90.0,3.0,0.0
118,83.0,24.0,20.0,0.0,0.0
119,67.0,48.0,90.0,2.0,0.0
120,82.0,24.0,20.0,0.0,0.0
121,80.0,24.0,20.0,0.0,0.0
122,82.0,0.0,20.0,0.0,0.0
123,68.0,30.0,150.0,2.0,0.0
124,68.0,48.0,40.0,3.0,0.0
125,83.0,48.0,240.0,0.0,0.0
126,63.0,48.0,40.0,3.0,0.0
127,59.0,18.0,40.0,3.0,0.0
128,63.0,48.0,40.0,3.0,0.0
129,56.0,48.0,90.0,3.0,0.0
130,82.0,0.0,40.0,0.0,0.0
131,80.0,48.0,40.0,0.0,0.0
132,59.0,48.0,90.0,3.0,0.0
133,78.0,0.0,40.0,0.0,0.0
134,61.0,30.0,270.0,3.0,0.0
135,77.0,48.0,40.0,0.0,0.0
136,80.0,48.0,40.0,0.0,0.0
137,63.0,0.0,90.0,2.0,0.0
138,75.0,48.0,40.0,0.0,0.0
139,80.0,48.0,40.0,0.0,0.0
140,73.0,18.0,40.0,0.0,0.0
141,65.0,30.0,150.0,2.0,0.0
142,83.0,48.0,40.0,0.0,0.0
143,61.0,0.0,90.0,3.0,0.0
144,82.0,18.0,40.0,0.0,0.0
145,80.0,48.0,40.0,0.0,0.0
146,54.0,48.0,90.0,3.0,0.0
147,66.0,48.0,480.0,2.0,0.0
148,82.0,48.0,40.0,0.0,0.0
149,85.0,0.0,40.0,0.0,0.0
150,56.0,0.0,90.0,3.0,0.0
151,80.0,48.0,40.0,0.0,0.0
152,85.0,48.0,40.0,0.0,0.0
153,78.0,48.0,40.0,0.0,0.0
154,58.0,48.0,90.0,3.0,0.0
155,76.0,0.0,40.0,0.0,0.0
156,75.0,48.0,40.0,0.0,0.0
157,54.0,48.0,90.0,3.0,0.0
158,73.0,0.0,40.0,0.0,0.0
159,59.0,0.0,480.0,3.0,0.0
