,note,step,duration,channel,velocity
0,42.0,0.0,40.0,5.0,0.0
1,30.0,0.0,40.0,6.0,0.0
2,42.0,30.0,40.0,8.0,0.0
3,85.0,0.0,20.0,0.0,0.0
4,81.0,0.0,20.0,1.0,0.0
5,85.0,0.0,20.0,2.0,0.0
6,81.0,18.0,20.0,3.0,0.0
7,66.0,0.0,40.0,4.0,0.0
8,54.0,0.0,40.0,5.0,0.0
9,42.0,0.0,40.0,6.0,0.0
10,78.0,0.0,40.0,7.0,0.0
11,73.0,0.0,40.0,7.0,0.0
12,69.0,0.0,40.0,7.0,0.0
13,54.0,3.0,40.0,8.0,0.0
14,86.0,0.0,20.0,0.0,0.0
15,83.0,0.0,20.0,1.0,0.0
16,86.0,0.0,20.0,2.0,0.0
17,83.0,27.0,20.0,3.0,0.0
18,85.0,0.0,20.0,0.0,0.0
19,81.0,0.0,20.0,1.0,0.0
20,85.0,0.0,20.0,2.0,0.0
21,81.0,18.0,20.0,3.0,0.0
22,69.0,0.0,40.0,4.0,0.0
23,66.0,0.0,90.0,5.0,0.0
24,54.0,0.0,90.0,6.0,0.0
25,78.0,0.0,40.0,7.0,0.0
26,73.0,0.0,40.0,7.0,0.0
27,69.0,3.0,40.0,7.0,0.0
28,66.0,6.0,90.0,8.0,0.0
29,86.0,0.0,20.0,0.0,0.0
30,83.0,0.0,20.0,1.0,0.0
31,86.0,0.0,20.0,2.0,0.0
32,83.0,27.0,20.0,3.0,0.0
33,83.0,0.0,20.0,0.0,0.0
34,80.0,0.0,20.0,1.0,0.0
35,83.0,0.0,20.0,2.0,0.0
36,80.0,12.0,20.0,3.0,0.0
37,74.0,0.0,40.0,4.0,0.0
38,80.0,0.0,40.0,7.0,0.0
39,74.0,0.0,40.0,7.0,0.0
40,71.0,3.0,40.0,7.0,0.0
41,81.0,0.0,20.0,0.0,0.0
42,78.0,0.0,20.0,1.0,0.0
43,81.0,0.0,20.0,2.0,0.0
44,78.0,9.0,20.0,3.0,0.0
45,83.0,0.0,20.0,0.0,0.0
46,80.0,0.0,20.0,1.0,0.0
47,83.0,0.0,20.0,2.0,0.0
48,80.0,0.0,20.0,3.0,0.0
49,68.0,0.0,40.0,4.0,0.0
50,65.0,0.0,90.0,5.0,0.0
51,53.0,0.0,90.0,6.0,0.0
52,81.0,6.0,15.0,7.0,0.0
53,73.0,0.0,90.0,7.0,0.0
54,68.0,0.0,90.0,7.0,0.0
55,65.0,6.0,90.0,8.0,0.0
56,80.0,6.0,15.0,7.0,0.0
57,81.0,6.0,15.0,7.0,0.0
58,80.0,6.0,15.0,7.0,0.0
59,86.0,0.0,20.0,0.0,0.0
60,83.0,0.0,20.0,1.0,0.0
61,86.0,0.0,20.0,2.0,0.0
62,83.0,3.0,20.0,3.0,0.0
63,81.0,6.0,15.0,7.0,0.0
64,80.0,6.0,15.0,7.0,0.0
65,81.0,3.0,15.0,7.0,0.0
66,80.0,6.0,15.0,7.0,0.0
67,85.0,0.0,20.0,0.0,0.0
68,81.0,0.0,20.0,1.0,0.0
69,85.0,0.0,20.0,2.0,0.0
70,81.0,0.0,20.0,3.0,0.0
71,73.0,3.0,40.0,4.0,0.0
72,81.0,6.0,15.0,7.0,0.0
73,80.0,6.0,15.0,7.0,0.0
74,81.0,6.0,15.0,7.0,0.0
75,80.0,6.0,15.0,7.0,0.0
76,83.0,0.0,20.0,0.0,0.0
77,80.0,0.0,20.0,1.0,0.0
78,83.0,0.0,20.0,2.0,0.0
79,80.0,1.0,20.0,3.0,0.0
80,81.0,6.0,15.0,7.0,0.0
81,80.0,44.0,15.0,7.0,0.0
82,81.0,0.0,40.0,0.0,0.0
83,78.0,0.0,40.0,1.0,0.0
84,81.0,0.0,40.0,2.0,0.0
85,78.0,0.0,40.0,3.0,0.0
86,73.0,0.0,40.0,4.0,0.0
87,66.0,0.0,40.0,5.0,0.0
88,54.0,0.0,40.0,6.0,0.0
89,81.0,0.0,40.0,7.0,0.0
90,78.0,0.0,40.0,7.0,0.0
91,73.0,0.0,40.0,7.0,0.0
92,66.0,27.0,40.0,8.0,0.0
93,85.0,0.0,20.0,7.0,0.0
94,81.0,21.0,20.0,7.0,0.0
95,66.0,3.0,40.0,8.0,0.0
96,86.0,0.0,20.0,7.0,0.0
97,83.0,24.0,20.0,7.0,0.0
98,85.0,0.0,20.0,7.0,0.0
99,81.0,24.0,20.0,7.0,0.0
100,78.0,9.0,90.0,8.0,0.0
101,86.0,0.0,20.0,7.0,0.0
102,83.0,24.0,20.0,7.0,0.0
103,83.0,15.0,20.0,7.0,0.0
104,80.0,3.0,60.0,7.0,0.0
105,81.0,9.0,20.0,7.0,0.0
106,83.0,3.0,20.0,7.0,0.0
107,77.0,6.0,15.0,8.0,0.0
108,78.0,3.0,15.0,8.0,0.0
109,77.0,3.0,15.0,8.0,0.0
110,78.0,6.0,15.0,8.0,0.0
111,86.0,0.0,20.0,7.0,0.0
