,note,step,duration,channel,velocity
0,70.0,0.0,90.0,5.0,0.0
1,70.0,0.0,90.0,4.0,0.0
2,66.0,120.0,90.0,11.0,0.0
3,70.0,0.0,90.0,10.0,0.0
4,71.0,240.0,90.0,4.0,0.0
5,71.0,0.0,90.0,10.0,0.0
6,71.0,0.0,90.0,5.0,0.0
7,68.0,0.0,90.0,11.0,0.0
8,73.0,0.0,210.0,5.0,0.0
9,73.0,0.0,210.0,10.0,0.0
10,73.0,0.0,210.0,4.0,0.0
11,70.0,120.0,210.0,11.0,0.0
12,73.0,0.0,210.0,11.0,0.0
13,78.0,0.0,210.0,4.0,0.0
14,70.0,0.0,90.0,12.0,0.0
15,78.0,0.0,210.0,10.0,0.0
16,66.0,15.0,90.0,14.0,0.0
17,70.0,0.0,210.0,1.0,0.0
18,78.0,0.0,210.0,5.0,0.0
19,66.0,0.0,90.0,13.0,0.0
20,73.0,15.0,210.0,0.0,0.0
21,66.0,0.0,210.0,2.0,0.0
22,54.0,105.0,120.0,3.0,0.0
23,65.0,0.0,90.0,13.0,0.0
24,65.0,0.0,90.0,14.0,0.0
25,54.0,225.0,120.0,3.0,0.0
26,68.0,0.0,90.0,12.0,0.0
27,66.0,0.0,240.0,14.0,0.0
28,70.0,15.0,210.0,11.0,0.0
29,73.0,0.0,240.0,1.0,0.0
30,66.0,0.0,240.0,13.0,0.0
31,70.0,0.0,240.0,2.0,0.0
32,73.0,0.0,240.0,4.0,0.0
33,54.0,0.0,240.0,3.0,0.0
34,70.0,0.0,240.0,12.0,0.0
35,73.0,0.0,240.0,10.0,0.0
36,73.0,225.0,240.0,5.0,0.0
37,78.0,0.0,240.0,0.0,0.0
38,71.0,0.0,240.0,4.0,0.0
39,65.0,15.0,210.0,11.0,0.0
40,71.0,0.0,240.0,10.0,0.0
41,71.0,225.0,240.0,5.0,0.0
42,70.0,0.0,210.0,5.0,0.0
43,70.0,0.0,210.0,10.0,0.0
44,70.0,0.0,210.0,4.0,0.0
45,66.0,120.0,210.0,11.0,0.0
46,70.0,0.0,210.0,1.0,0.0
47,78.0,0.0,210.0,5.0,0.0
48,78.0,0.0,210.0,10.0,0.0
49,54.0,105.0,120.0,3.0,0.0
50,65.0,0.0,90.0,14.0,0.0
51,65.0,15.0,90.0,13.0,0.0
52,73.0,0.0,90.0,12.0,0.0
53,78.0,0.0,210.0,4.0,0.0
54,73.0,0.0,210.0,0.0,0.0
55,66.0,0.0,210.0,2.0,0.0
56,70.0,15.0,210.0,11.0,0.0
57,63.0,0.0,90.0,14.0,0.0
58,71.0,0.0,90.0,12.0,0.0
59,63.0,0.0,90.0,13.0,0.0
60,54.0,225.0,120.0,3.0,0.0
61,78.0,0.0,240.0,0.0,0.0
62,73.0,225.0,240.0,1.0,0.0
63,70.0,0.0,240.0,10.0,0.0
64,70.0,0.0,240.0,4.0,0.0
65,65.0,0.0,240.0,13.0,0.0
66,65.0,0.0,240.0,14.0,0.0
67,66.0,15.0,210.0,11.0,0.0
68,73.0,0.0,240.0,12.0,0.0
69,70.0,0.0,240.0,5.0,0.0
70,54.0,0.0,240.0,3.0,0.0
71,70.0,0.0,240.0,2.0,0.0
72,68.0,225.0,240.0,10.0,0.0
73,68.0,0.0,240.0,4.0,0.0
74,62.0,15.0,210.0,11.0,0.0
75,68.0,0.0,240.0,5.0,0.0
76,66.0,0.0,210.0,4.0,0.0
77,66.0,120.0,210.0,10.0,0.0
78,66.0,0.0,210.0,5.0,0.0
79,63.0,0.0,210.0,11.0,0.0
80,70.0,0.0,210.0,2.0,0.0
81,82.0,0.0,90.0,0.0,0.0
82,63.0,15.0,90.0,13.0,0.0
83,63.0,0.0,90.0,14.0,0.0
84,78.0,0.0,90.0,1.0,0.0
85,70.0,0.0,90.0,4.0,0.0
86,66.0,0.0,90.0,12.0,0.0
87,70.0,0.0,90.0,10.0,0.0
88,54.0,105.0,120.0,3.0,0.0
89,66.0,0.0,90.0,11.0,0.0
90,70.0,0.0,90.0,5.0,0.0
91,65.0,0.0,90.0,14.0,0.0
92,68.0,0.0,90.0,12.0,0.0
93,54.0,225.0,120.0,3.0,0.0
94,68.0,0.0,90.0,10.0,0.0
95,65.0,0.0,90.0,11.0,0.0
96,65.0,0.0,90.0,13.0,0.0
97,80.0,15.0,90.0,0.0,0.0
98,68.0,0.0,90.0,5.0,0.0
99,77.0,0.0,90.0,1.0,0.0
100,68.0,0.0,90.0,4.0,0.0
101,78.0,0.0,210.0,1.0,0.0
102,70.0,0.0,210.0,5.0,0.0
