,note,step,duration,channel,velocity
0,59.0,0.0,480.0,3.0,0.0
1,47.0,480.0,480.0,2.0,0.0
2,58.0,480.0,480.0,3.0,0.0
3,54.0,0.0,480.0,2.0,0.0
4,52.0,480.0,480.0,2.0,0.0
5,56.0,0.0,480.0,3.0,0.0
6,51.0,0.0,480.0,2.0,0.0
7,54.0,480.0,480.0,3.0,0.0
8,51.0,0.0,480.0,3.0,0.0
9,54.0,480.0,480.0,2.0,0.0
10,56.0,480.0,480.0,2.0,0.0
11,52.0,0.0,480.0,3.0,0.0
12,54.0,0.0,480.0,3.0,0.0
13,58.0,480.0,480.0,2.0,0.0
14,47.0,0.0,480.0,3.0,0.0
15,59.0,480.0,480.0,2.0,0.0
16,59.0,0.0,480.0,3.0,0.0
17,47.0,480.0,480.0,2.0,0.0
18,54.0,480.0,480.0,2.0,0.0
19,58.0,0.0,480.0,3.0,0.0
20,52.0,0.0,480.0,2.0,0.0
21,56.0,480.0,480.0,3.0,0.0
22,51.0,480.0,480.0,2.0,0.0
23,54.0,0.0,480.0,3.0,0.0
24,51.0,480.0,480.0,3.0,0.0
25,54.0,0.0,480.0,2.0,0.0
26,56.0,0.0,480.0,2.0,0.0
27,52.0,480.0,480.0,3.0,0.0
28,54.0,0.0,480.0,3.0,0.0
29,58.0,960.0,480.0,2.0,0.0
30,47.0,0.0,960.0,3.0,0.0
31,59.0,960.0,960.0,2.0,0.0
32,54.0,0.0,480.0,3.0,0.0
33,66.0,480.0,480.0,2.0,0.0
34,56.0,480.0,480.0,3.0,0.0
35,59.0,0.0,480.0,2.0,0.0
36,61.0,480.0,480.0,2.0,0.0
37,58.0,0.0,480.0,3.0,0.0
38,59.0,0.0,480.0,3.0,0.0
39,63.0,480.0,480.0,2.0,0.0
40,63.0,480.0,480.0,3.0,0.0
41,59.0,0.0,480.0,2.0,0.0
42,58.0,480.0,480.0,2.0,0.0
43,61.0,0.0,480.0,3.0,0.0
44,59.0,0.0,480.0,3.0,0.0
45,56.0,480.0,480.0,2.0,0.0
46,66.0,0.0,480.0,3.0,0.0
47,54.0,480.0,480.0,2.0,0.0
48,66.0,480.0,480.0,2.0,0.0
49,54.0,0.0,480.0,3.0,0.0
50,56.0,0.0,480.0,3.0,0.0
51,59.0,480.0,480.0,2.0,0.0
52,61.0,0.0,480.0,2.0,0.0
53,58.0,480.0,480.0,3.0,0.0
54,63.0,0.0,480.0,2.0,0.0
55,59.0,480.0,480.0,3.0,0.0
56,59.0,480.0,480.0,2.0,0.0
57,63.0,0.0,480.0,3.0,0.0
58,61.0,0.0,480.0,3.0,0.0
59,58.0,480.0,480.0,2.0,0.0
60,59.0,960.0,480.0,3.0,0.0
61,56.0,0.0,480.0,2.0,0.0
62,66.0,960.0,960.0,3.0,0.0
63,54.0,0.0,960.0,2.0,0.0
64,59.0,480.0,480.0,2.0,0.0
65,58.0,480.0,480.0,2.0,0.0
66,56.0,480.0,480.0,2.0,0.0
67,54.0,480.0,480.0,2.0,0.0
68,51.0,480.0,480.0,2.0,0.0
69,66.0,0.0,480.0,1.0,0.0
70,68.0,480.0,480.0,1.0,0.0
71,52.0,0.0,480.0,2.0,0.0
72,54.0,480.0,480.0,2.0,0.0
73,70.0,0.0,480.0,1.0,0.0
74,71.0,480.0,480.0,1.0,0.0
75,47.0,0.0,480.0,2.0,0.0
76,75.0,0.0,480.0,1.0,0.0
77,59.0,480.0,480.0,2.0,0.0
78,58.0,480.0,480.0,2.0,0.0
79,73.0,0.0,480.0,1.0,0.0
80,56.0,0.0,480.0,2.0,0.0
81,71.0,480.0,480.0,1.0,0.0
82,78.0,480.0,480.0,1.0,0.0
83,54.0,0.0,480.0,2.0,0.0
84,51.0,0.0,480.0,2.0,0.0
85,66.0,480.0,480.0,1.0,0.0
86,68.0,480.0,480.0,1.0,0.0
87,52.0,0.0,480.0,2.0,0.0
88,70.0,0.0,480.0,1.0,0.0
89,54.0,480.0,480.0,2.0,0.0
90,71.0,0.0,480.0,1.0,0.0
91,47.0,480.0,480.0,2.0,0.0
92,75.0,480.0,480.0,1.0,0.0
93,59.0,0.0,480.0,2.0,0.0
94,73.0,0.0,480.0,1.0,0.0
95,58.0,480.0,480.0,2.0,0.0
96,71.0,0.0,480.0,1.0,0.0
97,56.0,480.0,480.0,2.0,0.0
98,78.0,0.0,480.0,1.0,0.0
99,54.0,480.0,480.0,2.0,0.0
100,51.0,480.0,480.0,2.0,0.0
101,66.0,0.0,480.0,1.0,0.0
102,68.0,480.0,480.0,1.0,0.0
103,52.0,0.0,480.0,2.0,0.0
104,70.0,0.0,480.0,1.0,0.0
105,54.0,960.0,480.0,2.0,0.0
106,71.0,0.0,960.0,1.0,0.0
107,47.0,960.0,960.0,2.0,0.0
108,54.0,480.0,480.0,2.0,0.0
109,56.0,480.0,480.0,2.0,0.0
110,58.0,480.0,480.0,2.0,0.0
111,59.0,480.0,480.0,2.0,0.0
112,63.0,480.0,480.0,2.0,0.0
113,71.0,0.0,480.0,1.0,0.0
114,61.0,480.0,480.0,2.0,0.0
115,70.0,0.0,480.0,1.0,0.0
116,59.0,480.0,480.0,2.0,0.0
117,68.0,0.0,480.0,1.0,0.0
118,66.0,0.0,480.0,1.0,0.0
119,66.0,480.0,480.0,2.0,0.0
120,63.0,0.0,480.0,1.0,0.0
121,54.0,480.0,480.0,2.0,0.0
122,64.0,480.0,480.0,1.0,0.0
123,56.0,0.0,480.0,2.0,0.0
124,58.0,480.0,480.0,2.0,0.0
125,66.0,0.0,480.0,1.0,0.0
126,59.0,480.0,480.0,1.0,0.0
127,59.0,0.0,480.0,2.0,0.0
128,71.0,0.0,480.0,1.0,0.0
129,63.0,480.0,480.0,2.0,0.0
130,70.0,480.0,480.0,1.0,0.0
131,61.0,0.0,480.0,2.0,0.0
132,68.0,480.0,480.0,1.0,0.0
133,59.0,0.0,480.0,2.0,0.0
134,66.0,0.0,480.0,2.0,0.0
135,66.0,480.0,480.0,1.0,0.0
136,54.0,480.0,480.0,2.0,0.0
137,63.0,0.0,480.0,1.0,0.0
138,64.0,480.0,480.0,1.0,0.0
139,56.0,0.0,480.0,2.0,0.0
140,66.0,960.0,480.0,1.0,0.0
141,58.0,0.0,480.0,2.0,0.0
142,59.0,360.0,960.0,1.0,0.0
143,59.0,0.0,960.0,2.0,0.0
144,71.0,120.0,120.0,1.0,0.0
145,70.0,120.0,120.0,1.0,0.0
146,71.0,120.0,120.0,1.0,0.0
147,59.0,0.0,480.0,3.0,0.0
148,73.0,120.0,120.0,1.0,0.0
149,75.0,120.0,120.0,1.0,0.0
150,76.0,120.0,120.0,1.0,0.0
151,78.0,120.0,120.0,1.0,0.0
152,58.0,0.0,480.0,3.0,0.0
153,73.0,120.0,120.0,1.0,0.0
154,70.0,120.0,120.0,1.0,0.0
155,66.0,120.0,120.0,1.0,0.0
156,56.0,0.0,480.0,3.0,0.0
157,68.0,120.0,120.0,1.0,0.0
158,70.0,120.0,120.0,1.0,0.0
159,71.0,120.0,120.0,1.0,0.0
160,73.0,240.0,120.0,1.0,0.0
161,54.0,0.0,480.0,3.0,0.0
162,75.0,120.0,240.0,1.0,0.0
163,70.0,120.0,240.0,1.0,0.0
164,78.0,120.0,120.0,0.0,0.0
165,80.0,0.0,120.0,0.0,0.0
166,78.0,120.0,120.0,0.0,0.0
167,54.0,0.0,480.0,2.0,0.0
168,71.0,0.0,600.0,1.0,0.0
169,51.0,0.0,480.0,3.0,0.0
170,76.0,120.0,120.0,0.0,0.0
171,75.0,120.0,120.0,0.0,0.0
172,73.0,120.0,120.0,0.0,0.0
173,71.0,60.0,120.0,0.0,0.0
174,52.0,120.0,480.0,3.0,0.0
175,56.0,0.0,480.0,2.0,0.0
176,76.0,0.0,120.0,0.0,0.0
177,73.0,60.0,60.0,1.0,0.0
178,75.0,120.0,60.0,1.0,0.0
179,76.0,120.0,120.0,1.0,0.0
180,80.0,0.0,120.0,0.0,0.0
181,83.0,0.0,120.0,0.0,0.0
182,75.0,0.0,120.0,1.0,0.0
183,54.0,0.0,480.0,3.0,0.0
184,58.0,0.0,480.0,2.0,0.0
185,82.0,0.0,120.0,0.0,0.0
186,73.0,120.0,120.0,1.0,0.0
187,80.0,0.0,120.0,0.0,0.0
