,note,step,duration,channel,velocity
0,56.0,60.0,120.0,1.0,64.0
1,80.0,60.0,120.0,0.0,64.0
2,58.0,60.0,120.0,1.0,64.0
3,79.0,60.0,120.0,0.0,64.0
4,60.0,60.0,120.0,1.0,64.0
5,78.0,60.0,120.0,0.0,64.0
6,61.0,60.0,120.0,1.0,64.0
7,77.0,60.0,120.0,0.0,64.0
8,63.0,60.0,120.0,1.0,64.0
9,75.0,60.0,120.0,0.0,64.0
10,65.0,60.0,120.0,1.0,64.0
11,73.0,60.0,120.0,0.0,64.0
12,67.0,60.0,120.0,1.0,64.0
13,72.0,0.0,120.0,0.0,64.0
14,68.0,60.0,60.0,1.0,64.0
15,67.0,60.0,60.0,1.0,64.0
16,70.0,30.0,120.0,0.0,64.0
17,65.0,0.0,60.0,1.0,64.0
18,63.0,60.0,60.0,1.0,64.0
19,72.0,30.0,30.0,0.0,64.0
20,73.0,0.0,30.0,0.0,64.0
21,72.0,30.0,60.0,0.0,64.0
22,68.0,60.0,120.0,1.0,64.0
23,75.0,30.0,30.0,0.0,64.0
24,73.0,0.0,30.0,0.0,64.0
25,56.0,60.0,120.0,1.0,64.0
26,75.0,30.0,60.0,0.0,64.0
27,72.0,30.0,30.0,0.0,64.0
28,70.0,0.0,30.0,0.0,64.0
29,72.0,30.0,60.0,0.0,64.0
30,68.0,30.0,30.0,0.0,64.0
31,67.0,120.0,30.0,0.0,64.0
32,68.0,60.0,120.0,0.0,64.0
33,56.0,60.0,120.0,1.0,64.0
34,70.0,60.0,120.0,0.0,64.0
35,55.0,60.0,120.0,1.0,64.0
36,72.0,60.0,120.0,0.0,64.0
37,54.0,60.0,120.0,1.0,64.0
38,73.0,60.0,120.0,0.0,64.0
39,53.0,60.0,120.0,1.0,64.0
40,75.0,60.0,120.0,0.0,64.0
41,51.0,60.0,120.0,1.0,64.0
42,77.0,60.0,120.0,0.0,64.0
43,49.0,60.0,120.0,1.0,64.0
44,79.0,60.0,120.0,0.0,64.0
45,48.0,60.0,120.0,1.0,64.0
46,80.0,0.0,60.0,0.0,64.0
47,46.0,0.0,120.0,1.0,64.0
48,79.0,60.0,60.0,0.0,64.0
49,77.0,30.0,60.0,0.0,64.0
50,48.0,30.0,30.0,1.0,64.0
51,75.0,60.0,60.0,0.0,64.0
52,49.0,0.0,30.0,1.0,64.0
53,80.0,0.0,120.0,0.0,64.0
54,48.0,30.0,60.0,1.0,64.0
55,51.0,30.0,30.0,1.0,64.0
56,49.0,60.0,30.0,1.0,64.0
57,68.0,0.0,120.0,0.0,64.0
58,51.0,30.0,60.0,1.0,64.0
59,48.0,30.0,30.0,1.0,64.0
60,46.0,60.0,30.0,1.0,64.0
61,48.0,30.0,60.0,1.0,64.0
62,44.0,30.0,30.0,1.0,64.0
63,43.0,120.0,30.0,1.0,64.0
64,44.0,60.0,120.0,1.0,64.0
65,84.0,60.0,120.0,0.0,64.0
66,53.0,60.0,120.0,1.0,64.0
67,80.0,60.0,120.0,0.0,64.0
68,56.0,60.0,120.0,1.0,64.0
69,77.0,30.0,120.0,0.0,64.0
70,58.0,60.0,120.0,1.0,64.0
71,80.0,30.0,30.0,0.0,64.0
72,79.0,0.0,30.0,0.0,64.0
73,80.0,60.0,60.0,0.0,64.0
74,62.0,0.0,120.0,1.0,64.0
75,77.0,60.0,60.0,0.0,64.0
76,65.0,60.0,120.0,1.0,64.0
77,74.0,60.0,60.0,0.0,64.0
78,70.0,60.0,120.0,0.0,64.0
79,43.0,60.0,120.0,1.0,64.0
80,82.0,60.0,120.0,0.0,64.0
81,51.0,60.0,120.0,1.0,64.0
82,79.0,60.0,120.0,0.0,64.0
83,55.0,60.0,120.0,1.0,64.0
84,75.0,30.0,120.0,0.0,64.0
85,56.0,60.0,120.0,1.0,64.0
86,79.0,30.0,30.0,0.0,64.0
87,77.0,0.0,30.0,0.0,64.0
88,79.0,60.0,60.0,0.0,64.0
89,60.0,0.0,120.0,1.0,64.0
90,75.0,60.0,60.0,0.0,64.0
91,72.0,60.0,60.0,0.0,64.0
92,63.0,60.0,120.0,1.0,64.0
93,68.0,60.0,120.0,0.0,64.0
94,41.0,60.0,120.0,1.0,64.0
95,80.0,60.0,120.0,0.0,64.0
96,53.0,60.0,120.0,1.0,64.0
97,77.0,60.0,120.0,0.0,64.0
98,56.0,60.0,120.0,1.0,64.0
99,74.0,60.0,120.0,0.0,64.0
100,58.0,60.0,120.0,1.0,64.0
101,84.0,60.0,120.0,0.0,64.0
102,60.0,60.0,120.0,1.0,64.0
103,82.0,60.0,120.0,0.0,64.0
104,62.0,60.0,120.0,1.0,64.0
105,80.0,60.0,120.0,0.0,64.0
106,63.0,60.0,120.0,1.0,64.0
107,79.0,60.0,120.0,0.0,64.0
108,56.0,60.0,120.0,1.0,64.0
109,77.0,60.0,120.0,0.0,64.0
110,60.0,60.0,120.0,1.0,64.0
111,75.0,0.0,60.0,0.0,64.0
112,74.0,0.0,60.0,0.0,64.0
113,58.0,30.0,60.0,1.0,64.0
114,65.0,60.0,60.0,1.0,64.0
115,68.0,30.0,30.0,0.0,64.0
116,67.0,0.0,30.0,0.0,64.0
117,62.0,30.0,60.0,1.0,64.0
118,68.0,0.0,60.0,0.0,64.0
119,74.0,30.0,30.0,0.0,64.0
120,65.0,60.0,60.0,1.0,64.0
121,72.0,0.0,30.0,0.0,64.0
122,74.0,0.0,60.0,0.0,64.0
123,56.0,30.0,60.0,1.0,64.0
124,75.0,30.0,30.0,0.0,64.0
125,65.0,0.0,60.0,1.0,64.0
126,74.0,60.0,30.0,0.0,64.0
127,75.0,60.0,60.0,0.0,64.0
128,55.0,0.0,120.0,1.0,64.0
129,67.0,60.0,60.0,0.0,64.0
130,56.0,60.0,120.0,1.0,64.0
131,65.0,60.0,60.0,0.0,64.0
132,75.0,0.0,60.0,0.0,64.0
133,58.0,60.0,120.0,1.0,64.0
134,65.0,60.0,60.0,0.0,64.0
135,74.0,0.0,60.0,0.0,64.0
136,51.0,30.0,60.0,1.0,64.0
137,75.0,60.0,120.0,0.0,64.0
138,63.0,30.0,30.0,1.0,64.0
139,62.0,0.0,30.0,1.0,64.0
140,63.0,30.0,60.0,1.0,64.0
141,58.0,30.0,30.0,1.0,64.0
142,75.0,60.0,60.0,0.0,64.0
143,56.0,0.0,30.0,1.0,64.0
144,79.0,0.0,60.0,0.0,64.0
145,58.0,30.0,60.0,1.0,64.0
146,55.0,30.0,30.0,1.0,64.0
147,82.0,60.0,60.0,0.0,64.0
148,53.0,0.0,30.0,1.0,64.0
149,55.0,30.0,60.0,1.0,64.0
150,87.0,0.0,120.0,0.0,64.0
151,58.0,30.0,30.0,1.0,64.0
152,56.0,60.0,30.0,1.0,64.0
153,58.0,30.0,60.0,1.0,64.0
154,87.0,0.0,60.0,0.0,64.0
155,55.0,30.0,30.0,1.0,64.0
156,53.0,60.0,30.0,1.0,64.0
157,55.0,30.0,60.0,1.0,64.0
158,82.0,0.0,60.0,0.0,64.0
159,51.0,30.0,30.0,1.0,64.0
160,79.0,60.0,60.0,0.0,64.0
161,50.0,0.0,30.0,1.0,64.0
162,51.0,120.0,240.0,1.0,64.0
163,75.0,60.0,60.0,0.0,64.0
164,70.0,60.0,60.0,0.0,64.0
165,67.0,60.0,60.0,0.0,64.0
166,63.0,0.0,60.0,0.0,64.0
167,39.0,120.0,120.0,1.0,64.0
168,56.0,60.0,120.0,1.0,64.0
169,80.0,60.0,120.0,0.0,64.0
170,58.0,60.0,120.0,1.0,64.0
171,79.0,60.0,120.0,0.0,64.0
172,60.0,60.0,120.0,1.0,64.0
173,78.0,60.0,120.0,0.0,64.0
174,61.0,60.0,120.0,1.0,64.0
175,77.0,60.0,120.0,0.0,64.0
176,63.0,60.0,120.0,1.0,64.0
177,75.0,60.0,120.0,0.0,64.0
178,65.0,60.0,120.0,1.0,64.0
179,73.0,60.0,120.0,0.0,64.0
180,67.0,60.0,120.0,1.0,64.0
181,72.0,60.0,120.0,0.0,64.0
182,68.0,0.0,60.0,1.0,64.0
183,67.0,60.0,60.0,1.0,64.0
184,70.0,30.0,120.0,0.0,64.0
185,65.0,0.0,60.0,1.0,64.0
186,63.0,60.0,60.0,1.0,64.0
187,72.0,30.0,30.0,0.0,64.0
188,73.0,0.0,30.0,0.0,64.0
189,72.0,30.0,60.0,0.0,64.0
190,68.0,0.0,120.0,1.0,64.0
191,75.0,30.0,30.0,0.0,64.0
192,73.0,60.0,30.0,0.0,64.0
193,56.0,0.0,120.0,1.0,64.0
194,75.0,30.0,60.0,0.0,64.0
195,72.0,30.0,30.0,0.0,64.0
196,70.0,60.0,30.0,0.0,64.0
197,72.0,30.0,60.0,0.0,64.0
198,68.0,30.0,30.0,0.0,64.0
199,67.0,120.0,30.0,0.0,64.0
200,68.0,60.0,120.0,0.0,64.0
201,56.0,60.0,120.0,1.0,64.0
202,70.0,60.0,120.0,0.0,64.0
203,55.0,60.0,120.0,1.0,64.0
204,72.0,60.0,120.0,0.0,64.0
205,54.0,60.0,120.0,1.0,64.0
206,73.0,60.0,120.0,0.0,64.0
207,53.0,60.0,120.0,1.0,64.0
208,75.0,60.0,120.0,0.0,64.0
209,51.0,60.0,120.0,1.0,64.0
210,77.0,60.0,120.0,0.0,64.0
211,49.0,60.0,120.0,1.0,64.0
212,79.0,60.0,120.0,0.0,64.0
213,48.0,0.0,120.0,1.0,64.0
214,80.0,60.0,60.0,0.0,64.0
215,46.0,0.0,120.0,1.0,64.0
216,79.0,60.0,60.0,0.0,64.0
217,77.0,30.0,60.0,0.0,64.0
218,48.0,30.0,30.0,1.0,64.0
219,75.0,60.0,60.0,0.0,64.0
220,49.0,0.0,30.0,1.0,64.0
221,48.0,30.0,60.0,1.0,64.0
222,80.0,60.0,120.0,0.0,64.0
223,51.0,30.0,30.0,1.0,64.0
224,49.0,0.0,30.0,1.0,64.0
225,51.0,30.0,60.0,1.0,64.0
226,68.0,60.0,120.0,0.0,64.0
227,48.0,30.0,30.0,1.0,64.0
228,46.0,0.0,30.0,1.0,64.0
229,48.0,30.0,60.0,1.0,64.0
230,44.0,30.0,30.0,1.0,64.0
231,43.0,120.0,30.0,1.0,64.0
232,44.0,60.0,120.0,1.0,64.0
233,84.0,60.0,120.0,0.0,64.0
234,53.0,60.0,120.0,1.0,64.0
235,80.0,60.0,120.0,0.0,64.0
236,56.0,60.0,120.0,1.0,64.0
237,77.0,30.0,120.0,0.0,64.0
238,58.0,60.0,120.0,1.0,64.0
239,80.0,30.0,30.0,0.0,64.0
240,79.0,0.0,30.0,0.0,64.0
241,62.0,60.0,120.0,1.0,64.0
242,80.0,60.0,60.0,0.0,64.0
243,77.0,0.0,60.0,0.0,64.0
244,65.0,60.0,120.0,1.0,64.0
245,74.0,60.0,60.0,0.0,64.0
246,70.0,60.0,120.0,0.0,64.0
247,43.0,60.0,120.0,1.0,64.0
248,82.0,60.0,120.0,0.0,64.0
249,51.0,60.0,120.0,1.0,64.0
250,79.0,60.0,120.0,0.0,64.0
251,55.0,60.0,120.0,1.0,64.0
252,75.0,30.0,120.0,0.0,64.0
253,56.0,0.0,120.0,1.0,64.0
254,79.0,30.0,30.0,0.0,64.0
255,77.0,60.0,30.0,0.0,64.0
256,60.0,60.0,120.0,1.0,64.0
257,79.0,60.0,60.0,0.0,64.0
258,75.0,0.0,60.0,0.0,64.0
259,72.0,60.0,60.0,0.0,64.0
260,63.0,60.0,120.0,1.0,64.0
261,68.0,60.0,120.0,0.0,64.0
262,41.0,60.0,120.0,1.0,64.0
263,80.0,60.0,120.0,0.0,64.0
264,53.0,60.0,120.0,1.0,64.0
265,77.0,60.0,120.0,0.0,64.0
266,56.0,60.0,120.0,1.0,64.0
267,74.0,60.0,120.0,0.0,64.0
268,58.0,60.0,120.0,1.0,64.0
269,84.0,60.0,120.0,0.0,64.0
270,60.0,60.0,120.0,1.0,64.0
271,82.0,60.0,120.0,0.0,64.0
272,62.0,60.0,120.0,1.0,64.0
273,80.0,60.0,120.0,0.0,64.0
274,63.0,60.0,120.0,1.0,64.0
275,79.0,60.0,120.0,0.0,64.0
276,56.0,60.0,120.0,1.0,64.0
277,77.0,60.0,120.0,0.0,64.0
278,60.0,60.0,120.0,1.0,64.0
279,75.0,0.0,60.0,0.0,64.0
280,74.0,0.0,60.0,0.0,64.0
281,58.0,30.0,60.0,1.0,64.0
282,65.0,0.0,60.0,1.0,64.0
283,68.0,30.0,30.0,0.0,64.0
284,67.0,60.0,30.0,0.0,64.0
285,62.0,0.0,60.0,1.0,64.0
286,68.0,30.0,60.0,0.0,64.0
287,74.0,30.0,30.0,0.0,64.0
288,65.0,60.0,60.0,1.0,64.0
289,72.0,0.0,30.0,0.0,64.0
290,56.0,30.0,60.0,1.0,64.0
291,74.0,0.0,60.0,0.0,64.0
292,75.0,30.0,30.0,0.0,64.0
293,65.0,60.0,60.0,1.0,64.0
294,74.0,0.0,30.0,0.0,64.0
295,75.0,60.0,60.0,0.0,64.0
296,55.0,0.0,120.0,1.0,64.0
297,67.0,60.0,60.0,0.0,64.0
298,65.0,60.0,60.0,0.0,64.0
299,56.0,60.0,120.0,1.0,64.0
300,75.0,0.0,60.0,0.0,64.0
301,58.0,60.0,120.0,1.0,64.0
302,65.0,60.0,60.0,0.0,64.0
303,74.0,0.0,60.0,0.0,64.0
304,51.0,30.0,60.0,1.0,64.0
305,75.0,60.0,120.0,0.0,64.0
306,63.0,30.0,30.0,1.0,64.0
307,62.0,0.0,30.0,1.0,64.0
308,63.0,30.0,60.0,1.0,64.0
309,58.0,30.0,30.0,1.0,64.0
310,75.0,60.0,60.0,0.0,64.0
311,56.0,0.0,30.0,1.0,64.0
312,79.0,0.0,60.0,0.0,64.0
313,58.0,30.0,60.0,1.0,64.0
314,82.0,60.0,60.0,0.0,64.0
315,55.0,30.0,30.0,1.0,64.0
316,53.0,0.0,30.0,1.0,64.0
317,55.0,30.0,60.0,1.0,64.0
318,87.0,60.0,120.0,0.0,64.0
319,58.0,30.0,30.0,1.0,64.0
320,56.0,0.0,30.0,1.0,64.0
321,58.0,30.0,60.0,1.0,64.0
322,87.0,0.0,60.0,0.0,64.0
323,55.0,30.0,30.0,1.0,64.0
324,53.0,60.0,30.0,1.0,64.0
325,82.0,30.0,60.0,0.0,64.0
326,55.0,0.0,60.0,1.0,64.0
327,51.0,30.0,30.0,1.0,64.0
328,79.0,60.0,60.0,0.0,64.0
329,50.0,0.0,30.0,1.0,64.0
330,51.0,120.0,240.0,1.0,64.0
331,75.0,60.0,60.0,0.0,64.0
332,70.0,60.0,60.0,0.0,64.0
333,67.0,60.0,60.0,0.0,64.0
334,63.0,0.0,60.0,0.0,64.0
335,39.0,60.0,120.0,1.0,64.0
336,63.0,120.0,60.0,0.0,64.0
337,63.0,60.0,120.0,1.0,64.0
338,65.0,60.0,120.0,0.0,64.0
339,62.0,60.0,120.0,1.0,64.0
340,67.0,60.0,120.0,0.0,64.0
341,61.0,60.0,120.0,1.0,64.0
342,68.0,60.0,120.0,0.0,64.0
