,note,step,duration,channel,velocity
0,71.0,360.0,240.0,0.0,64.0
1,76.0,60.0,120.0,0.0,64.0
2,52.0,0.0,240.0,0.0,64.0
3,71.0,0.0,240.0,0.0,64.0
4,67.0,0.0,240.0,0.0,64.0
5,78.0,60.0,60.0,0.0,64.0
6,79.0,240.0,60.0,0.0,64.0
7,71.0,0.0,240.0,0.0,64.0
8,51.0,120.0,240.0,0.0,64.0
9,78.0,0.0,240.0,0.0,64.0
10,47.0,0.0,240.0,0.0,64.0
11,75.0,0.0,240.0,0.0,64.0
12,66.0,0.0,15.0,0.0,64.0
13,71.0,0.0,240.0,0.0,64.0
14,79.0,60.0,60.0,0.0,64.0
15,81.0,0.0,60.0,0.0,64.0
16,52.0,0.0,240.0,0.0,64.0
17,67.0,0.0,240.0,0.0,64.0
18,71.0,0.0,240.0,0.0,64.0
19,79.0,120.0,120.0,0.0,64.0
20,78.0,0.0,120.0,0.0,64.0
21,76.0,120.0,15.0,0.0,64.0
22,71.0,0.0,240.0,0.0,64.0
23,69.0,120.0,240.0,0.0,64.0
24,54.0,0.0,240.0,0.0,64.0
25,75.0,0.0,120.0,0.0,64.0
26,67.0,0.0,480.0,0.0,64.0
27,76.0,120.0,120.0,0.0,64.0
28,55.0,120.0,240.0,0.0,64.0
29,83.0,0.0,120.0,0.0,64.0
30,79.0,120.0,120.0,0.0,64.0
31,52.0,120.0,240.0,0.0,64.0
32,76.0,0.0,120.0,0.0,64.0
33,71.0,0.0,15.0,0.0,64.0
34,66.0,0.0,480.0,0.0,64.0
35,75.0,120.0,120.0,0.0,64.0
36,59.0,120.0,240.0,0.0,64.0
37,71.0,0.0,120.0,0.0,64.0
38,57.0,0.0,240.0,0.0,64.0
39,75.0,120.0,120.0,0.0,64.0
40,78.0,0.0,120.0,0.0,64.0
41,67.0,0.0,480.0,0.0,64.0
42,55.0,0.0,240.0,0.0,64.0
43,76.0,120.0,120.0,0.0,64.0
44,71.0,0.0,480.0,0.0,64.0
45,75.0,120.0,120.0,0.0,64.0
46,76.0,120.0,120.0,0.0,64.0
47,52.0,120.0,240.0,0.0,64.0
48,79.0,0.0,120.0,0.0,64.0
49,78.0,120.0,120.0,0.0,64.0
50,66.0,0.0,480.0,0.0,64.0
51,59.0,0.0,240.0,0.0,64.0
52,76.0,120.0,120.0,0.0,64.0
53,75.0,120.0,120.0,0.0,64.0
54,47.0,0.0,240.0,0.0,64.0
55,73.0,120.0,120.0,0.0,64.0
56,71.0,0.0,15.0,0.0,64.0
57,78.0,120.0,120.0,0.0,64.0
58,59.0,0.0,240.0,0.0,64.0
59,67.0,120.0,240.0,0.0,64.0
60,79.0,120.0,120.0,0.0,64.0
61,75.0,0.0,120.0,0.0,64.0
62,60.0,0.0,240.0,0.0,64.0
63,67.0,120.0,480.0,0.0,64.0
64,76.0,120.0,120.0,0.0,64.0
65,79.0,0.0,480.0,0.0,64.0
66,75.0,120.0,120.0,0.0,64.0
67,59.0,0.0,240.0,0.0,64.0
68,76.0,120.0,120.0,0.0,64.0
69,84.0,0.0,120.0,0.0,64.0
70,84.0,120.0,120.0,0.0,64.0
71,72.0,0.0,480.0,0.0,64.0
72,76.0,0.0,480.0,0.0,64.0
73,57.0,0.0,240.0,0.0,64.0
74,83.0,120.0,120.0,0.0,64.0
75,54.0,0.0,240.0,0.0,64.0
76,84.0,120.0,120.0,0.0,64.0
77,59.0,0.0,240.0,0.0,64.0
78,78.0,0.0,15.0,0.0,64.0
79,74.0,120.0,15.0,0.0,64.0
80,74.0,120.0,120.0,0.0,64.0
81,73.0,120.0,120.0,0.0,64.0
82,57.0,120.0,240.0,0.0,64.0
83,74.0,120.0,120.0,0.0,64.0
84,83.0,0.0,120.0,0.0,64.0
85,76.0,0.0,480.0,0.0,64.0
86,74.0,0.0,15.0,0.0,64.0
87,71.0,0.0,15.0,0.0,64.0
88,56.0,0.0,240.0,0.0,64.0
89,83.0,120.0,120.0,0.0,64.0
90,82.0,120.0,120.0,0.0,64.0
91,52.0,0.0,240.0,0.0,64.0
92,83.0,120.0,120.0,0.0,64.0
93,76.0,0.0,480.0,0.0,64.0
94,57.0,0.0,240.0,0.0,64.0
95,72.0,0.0,15.0,0.0,64.0
96,71.0,120.0,120.0,0.0,64.0
97,72.0,120.0,120.0,0.0,64.0
98,55.0,0.0,240.0,0.0,64.0
99,81.0,0.0,120.0,0.0,64.0
100,54.0,120.0,240.0,0.0,64.0
101,69.0,120.0,15.0,0.0,64.0
102,81.0,120.0,120.0,0.0,64.0
103,80.0,0.0,120.0,0.0,64.0
104,81.0,120.0,120.0,0.0,64.0
105,52.0,0.0,240.0,0.0,64.0
106,72.0,0.0,120.0,0.0,64.0
107,51.0,120.0,120.0,0.0,64.0
108,78.0,120.0,15.0,0.0,64.0
109,69.0,0.0,15.0,0.0,64.0
110,72.0,120.0,240.0,0.0,64.0
111,47.0,0.0,120.0,0.0,64.0
112,51.0,120.0,120.0,0.0,64.0
113,71.0,0.0,240.0,0.0,64.0
114,54.0,120.0,120.0,0.0,64.0
115,78.0,120.0,240.0,0.0,64.0
116,75.0,0.0,240.0,0.0,64.0
117,69.0,0.0,240.0,0.0,64.0
118,59.0,120.0,120.0,0.0,64.0
119,55.0,0.0,120.0,0.0,64.0
120,57.0,120.0,120.0,0.0,64.0
121,75.0,0.0,240.0,0.0,64.0
122,66.0,0.0,240.0,0.0,64.0
123,78.0,0.0,240.0,0.0,64.0
124,54.0,0.0,120.0,0.0,64.0
125,71.0,60.0,15.0,0.0,64.0
126,55.0,0.0,240.0,0.0,64.0
127,84.0,60.0,60.0,0.0,64.0
128,83.0,60.0,60.0,0.0,64.0
129,84.0,60.0,60.0,0.0,64.0
130,83.0,0.0,60.0,0.0,64.0
131,60.0,0.0,240.0,0.0,64.0
132,67.0,60.0,15.0,0.0,64.0
133,76.0,0.0,15.0,0.0,64.0
134,84.0,60.0,60.0,0.0,64.0
135,83.0,60.0,60.0,0.0,64.0
136,81.0,60.0,60.0,0.0,64.0
137,79.0,0.0,60.0,0.0,64.0
138,83.0,60.0,60.0,0.0,64.0
139,76.0,0.0,15.0,0.0,64.0
140,72.0,60.0,15.0,0.0,64.0
141,54.0,60.0,240.0,0.0,64.0
142,81.0,60.0,60.0,0.0,64.0
143,83.0,60.0,60.0,0.0,64.0
144,81.0,0.0,60.0,0.0,64.0
