,note,step,duration,channel,velocity
0,79.0,0.0,480.0,0.0,64.0
1,55.0,0.0,480.0,0.0,64.0
2,74.0,0.0,240.0,0.0,64.0
3,71.0,0.0,240.0,0.0,64.0
4,76.0,480.0,240.0,0.0,64.0
5,72.0,0.0,240.0,0.0,64.0
6,71.0,0.0,240.0,0.0,64.0
7,43.0,0.0,480.0,0.0,64.0
8,77.0,0.0,240.0,0.0,64.0
9,74.0,0.0,240.0,0.0,64.0
10,67.0,0.0,240.0,0.0,64.0
11,72.0,0.0,120.0,0.0,64.0
12,67.0,0.0,240.0,0.0,64.0
13,76.0,120.0,120.0,0.0,64.0
14,65.0,0.0,15.0,0.0,64.0
15,74.0,120.0,15.0,0.0,64.0
16,64.0,240.0,120.0,0.0,64.0
17,72.0,0.0,120.0,0.0,64.0
18,74.0,0.0,240.0,0.0,64.0
19,43.0,120.0,240.0,0.0,64.0
20,71.0,0.0,120.0,0.0,64.0
21,72.0,240.0,480.0,0.0,64.0
22,71.0,0.0,15.0,0.0,64.0
23,67.0,0.0,15.0,0.0,64.0
24,55.0,0.0,480.0,0.0,64.0
25,66.0,0.0,120.0,0.0,64.0
26,69.0,240.0,15.0,0.0,64.0
27,78.0,0.0,240.0,0.0,64.0
28,79.0,480.0,240.0,0.0,64.0
29,71.0,0.0,240.0,0.0,64.0
30,81.0,0.0,480.0,0.0,64.0
31,43.0,0.0,480.0,0.0,64.0
32,66.0,120.0,240.0,0.0,64.0
33,69.0,0.0,240.0,0.0,64.0
34,72.0,0.0,240.0,0.0,64.0
35,62.0,0.0,15.0,0.0,64.0
36,67.0,120.0,240.0,0.0,64.0
37,79.0,120.0,120.0,0.0,64.0
38,71.0,0.0,120.0,0.0,64.0
39,76.0,0.0,120.0,0.0,64.0
40,72.0,0.0,15.0,0.0,64.0
41,76.0,0.0,120.0,0.0,64.0
42,74.0,0.0,120.0,0.0,64.0
43,71.0,240.0,120.0,0.0,64.0
44,69.0,0.0,240.0,0.0,64.0
45,43.0,120.0,240.0,0.0,64.0
46,72.0,0.0,120.0,0.0,64.0
47,66.0,0.0,120.0,0.0,64.0
48,62.0,0.0,15.0,0.0,64.0
49,66.0,0.0,120.0,0.0,64.0
50,72.0,120.0,120.0,0.0,64.0
51,55.0,0.0,240.0,0.0,64.0
52,67.0,0.0,120.0,0.0,64.0
53,71.0,0.0,120.0,0.0,64.0
54,62.0,240.0,240.0,0.0,64.0
55,64.0,480.0,240.0,0.0,64.0
56,65.0,120.0,480.0,0.0,64.0
57,68.0,0.0,720.0,0.0,64.0
58,74.0,0.0,720.0,0.0,64.0
59,80.0,0.0,720.0,0.0,64.0
60,64.0,120.0,120.0,0.0,64.0
61,62.0,120.0,15.0,0.0,64.0
62,71.0,0.0,15.0,0.0,64.0
63,64.0,240.0,15.0,0.0,64.0
64,56.0,0.0,240.0,0.0,64.0
65,74.0,0.0,120.0,0.0,64.0
