,note,step,duration,channel,velocity
0,59.0,0.0,480.0,2.0,0.0
1,62.0,60.0,480.0,1.0,0.0
2,78.0,15.0,120.0,0.0,0.0
3,79.0,45.0,15.0,0.0,0.0
4,78.0,60.0,40.0,0.0,0.0
5,77.0,120.0,60.0,0.0,0.0
6,78.0,0.0,120.0,0.0,0.0
7,78.0,240.0,60.0,0.0,0.0
8,86.0,60.0,240.0,0.0,0.0
9,66.0,0.0,240.0,1.0,0.0
10,85.0,60.0,60.0,0.0,0.0
11,83.0,60.0,60.0,0.0,0.0
12,81.0,120.0,60.0,0.0,0.0
13,64.0,120.0,240.0,1.0,0.0
14,59.0,0.0,15.0,2.0,0.0
15,79.0,120.0,120.0,0.0,0.0
16,78.0,120.0,240.0,0.0,0.0
17,59.0,0.0,15.0,2.0,0.0
18,62.0,120.0,240.0,1.0,0.0
19,77.0,120.0,240.0,0.0,0.0
20,59.0,0.0,15.0,2.0,0.0
21,61.0,0.0,480.0,1.0,0.0
22,76.0,15.0,120.0,0.0,0.0
23,78.0,45.0,15.0,0.0,0.0
24,58.0,0.0,240.0,2.0,0.0
25,76.0,60.0,40.0,0.0,0.0
26,75.0,120.0,60.0,0.0,0.0
27,76.0,60.0,120.0,0.0,0.0
28,76.0,240.0,60.0,0.0,0.0
29,84.0,60.0,240.0,0.0,0.0
30,64.0,0.0,240.0,1.0,0.0
31,57.0,0.0,240.0,2.0,0.0
32,83.0,60.0,60.0,0.0,0.0
33,81.0,60.0,60.0,0.0,0.0
34,79.0,120.0,60.0,0.0,0.0
35,62.0,120.0,240.0,1.0,0.0
36,77.0,120.0,120.0,0.0,0.0
37,57.0,0.0,240.0,2.0,0.0
38,76.0,120.0,240.0,0.0,0.0
39,60.0,0.0,240.0,1.0,0.0
40,75.0,120.0,240.0,0.0,0.0
41,57.0,120.0,15.0,2.0,0.0
42,59.0,0.0,480.0,1.0,0.0
43,74.0,15.0,120.0,0.0,0.0
44,56.0,120.0,240.0,2.0,0.0
45,76.0,45.0,15.0,0.0,0.0
46,74.0,60.0,40.0,0.0,0.0
47,73.0,120.0,60.0,0.0,0.0
48,74.0,0.0,120.0,0.0,0.0
49,82.0,240.0,120.0,0.0,0.0
50,83.0,120.0,240.0,0.0,0.0
51,62.0,120.0,240.0,1.0,0.0
52,77.0,120.0,240.0,0.0,0.0
53,55.0,0.0,15.0,2.0,0.0
54,61.0,120.0,240.0,1.0,0.0
55,78.0,120.0,240.0,0.0,0.0
56,55.0,120.0,240.0,2.0,0.0
57,59.0,120.0,480.0,1.0,0.0
58,54.0,0.0,480.0,2.0,0.0
59,71.0,0.0,15.0,0.0,0.0
60,73.0,60.0,60.0,0.0,0.0
61,74.0,0.0,60.0,0.0,0.0
62,58.0,120.0,120.0,1.0,0.0
63,73.0,120.0,240.0,0.0,0.0
64,56.0,0.0,120.0,1.0,0.0
65,58.0,240.0,120.0,1.0,0.0
66,61.0,120.0,240.0,1.0,0.0
67,55.0,120.0,240.0,2.0,0.0
68,64.0,120.0,240.0,1.0,0.0
69,54.0,120.0,240.0,2.0,0.0
70,58.0,120.0,240.0,1.0,0.0
71,52.0,120.0,240.0,2.0,0.0
72,61.0,120.0,240.0,1.0,0.0
73,50.0,0.0,480.0,2.0,0.0
74,58.0,0.0,120.0,1.0,0.0
75,66.0,15.0,120.0,0.0,0.0
76,67.0,45.0,15.0,0.0,0.0
77,59.0,60.0,240.0,1.0,0.0
78,66.0,60.0,40.0,0.0,0.0
79,65.0,120.0,60.0,0.0,0.0
80,66.0,0.0,15.0,0.0,0.0
81,78.0,60.0,240.0,0.0,0.0
82,50.0,60.0,240.0,2.0,0.0
83,59.0,0.0,240.0,1.0,0.0
84,76.0,60.0,60.0,0.0,0.0
85,74.0,60.0,60.0,0.0,0.0
86,73.0,0.0,60.0,0.0,0.0
87,71.0,60.0,60.0,0.0,0.0
88,54.0,0.0,120.0,1.0,0.0
89,69.0,120.0,60.0,0.0,0.0
90,57.0,60.0,120.0,1.0,0.0
91,72.0,60.0,180.0,0.0,0.0
92,51.0,0.0,15.0,2.0,0.0
93,59.0,120.0,120.0,1.0,0.0
94,66.0,0.0,60.0,0.0,0.0
95,69.0,120.0,240.0,0.0,0.0
96,51.0,0.0,15.0,2.0,0.0
97,60.0,120.0,15.0,1.0,0.0
98,67.0,15.0,120.0,0.0,0.0
99,69.0,45.0,15.0,0.0,0.0
100,52.0,60.0,240.0,2.0,0.0
101,59.0,0.0,240.0,1.0,0.0
102,67.0,60.0,40.0,0.0,0.0
103,66.0,120.0,60.0,0.0,0.0
104,67.0,0.0,15.0,0.0,0.0
105,79.0,60.0,240.0,0.0,0.0
106,61.0,60.0,240.0,1.0,0.0
107,52.0,0.0,240.0,2.0,0.0
108,78.0,60.0,60.0,0.0,0.0
109,76.0,60.0,60.0,0.0,0.0
110,74.0,0.0,60.0,0.0,0.0
111,73.0,60.0,60.0,0.0,0.0
112,56.0,120.0,120.0,1.0,0.0
113,71.0,0.0,60.0,0.0,0.0
114,74.0,60.0,180.0,0.0,0.0
115,59.0,60.0,120.0,1.0,0.0
116,53.0,0.0,15.0,2.0,0.0
117,61.0,120.0,120.0,1.0,0.0
118,68.0,0.0,60.0,0.0,0.0
119,71.0,120.0,240.0,0.0,0.0
120,62.0,120.0,15.0,1.0,0.0
121,53.0,0.0,240.0,2.0,0.0
122,70.0,15.0,120.0,0.0,0.0
123,61.0,0.0,240.0,1.0,0.0
124,54.0,0.0,240.0,2.0,0.0
125,71.0,45.0,15.0,0.0,0.0
126,70.0,60.0,40.0,0.0,0.0
127,68.0,120.0,60.0,0.0,0.0
128,70.0,80.0,120.0,0.0,0.0
129,75.0,80.0,90.0,0.0,0.0
130,76.0,80.0,90.0,0.0,0.0
131,79.0,80.0,90.0,0.0,0.0
132,77.0,80.0,90.0,0.0,0.0
133,54.0,0.0,240.0,2.0,0.0
134,61.0,0.0,240.0,1.0,0.0
135,78.0,80.0,90.0,0.0,0.0
136,70.0,80.0,90.0,0.0,0.0
137,59.0,0.0,240.0,1.0,0.0
138,74.0,80.0,90.0,0.0,0.0
139,73.0,80.0,90.0,0.0,0.0
140,66.0,0.0,90.0,0.0,0.0
141,58.0,0.0,480.0,1.0,0.0
142,54.0,80.0,15.0,2.0,0.0
143,67.0,80.0,90.0,0.0,0.0
144,63.0,80.0,90.0,0.0,0.0
145,64.0,60.0,210.0,0.0,0.0
146,47.0,120.0,480.0,2.0,0.0
147,62.0,60.0,60.0,0.0,0.0
148,61.0,120.0,60.0,0.0,0.0
149,59.0,120.0,120.0,1.0,0.0
150,62.0,0.0,240.0,0.0,0.0
151,58.0,0.0,120.0,1.0,0.0
152,59.0,240.0,120.0,1.0,0.0
153,54.0,120.0,240.0,1.0,0.0
154,47.0,60.0,240.0,2.0,0.0
155,55.0,60.0,180.0,1.0,0.0
156,50.0,60.0,240.0,2.0,0.0
157,54.0,120.0,60.0,1.0,0.0
158,59.0,60.0,180.0,1.0,0.0
