,note,step,duration,channel,velocity
0,47.0,13.0,480.0,0.0,0.0
1,71.0,41.0,15.0,0.0,0.0
2,66.0,19.0,30.0,0.0,0.0
3,69.0,60.0,15.0,0.0,0.0
4,67.0,19.0,150.0,0.0,0.0
5,62.0,41.0,15.0,0.0,0.0
6,61.0,19.0,30.0,0.0,0.0
7,64.0,41.0,15.0,0.0,0.0
8,58.0,0.0,240.0,0.0,0.0
9,67.0,41.0,15.0,0.0,0.0
10,66.0,19.0,30.0,0.0,0.0
11,64.0,41.0,15.0,0.0,0.0
12,73.0,19.0,30.0,0.0,0.0
13,64.0,41.0,15.0,0.0,0.0
14,62.0,6.0,30.0,0.0,0.0
15,61.0,54.0,15.0,0.0,0.0
16,59.0,0.0,480.0,0.0,0.0
17,62.0,6.0,60.0,0.0,0.0
18,78.0,41.0,15.0,0.0,0.0
19,64.0,6.0,60.0,0.0,0.0
20,73.0,13.0,30.0,0.0,0.0
21,76.0,41.0,15.0,0.0,0.0
22,74.0,19.0,150.0,0.0,0.0
23,66.0,19.0,30.0,0.0,0.0
24,69.0,41.0,15.0,0.0,0.0
25,68.0,19.0,30.0,0.0,0.0
26,71.0,41.0,15.0,0.0,0.0
27,65.0,13.0,240.0,0.0,0.0
28,74.0,41.0,15.0,0.0,0.0
29,73.0,19.0,30.0,0.0,0.0
30,71.0,41.0,15.0,0.0,0.0
31,80.0,19.0,30.0,0.0,0.0
32,71.0,41.0,15.0,0.0,0.0
33,70.0,6.0,30.0,0.0,0.0
34,68.0,41.0,15.0,0.0,0.0
35,66.0,27.0,90.0,0.0,0.0
36,54.0,8.0,450.0,0.0,0.0
37,70.0,19.0,30.0,0.0,0.0
38,71.0,33.0,15.0,0.0,0.0
39,73.0,19.0,90.0,0.0,0.0
40,64.0,41.0,15.0,0.0,0.0
41,62.0,13.0,120.0,0.0,0.0
42,66.0,41.0,15.0,0.0,0.0
43,71.0,6.0,30.0,0.0,0.0
44,74.0,41.0,15.0,0.0,0.0
45,76.0,6.0,150.0,0.0,0.0
46,61.0,13.0,180.0,0.0,0.0
47,71.0,41.0,15.0,0.0,0.0
48,70.0,19.0,30.0,0.0,0.0
49,68.0,41.0,15.0,0.0,0.0
50,70.0,13.0,120.0,0.0,0.0
51,78.0,33.0,15.0,0.0,0.0
52,73.0,6.0,30.0,0.0,0.0
53,66.0,14.0,150.0,0.0,0.0
54,76.0,0.0,15.0,0.0,0.0
55,55.0,41.0,15.0,0.0,0.0
56,71.0,0.0,120.0,0.0,0.0
57,75.0,19.0,30.0,0.0,0.0
58,57.0,13.0,120.0,0.0,0.0
59,76.0,33.0,15.0,0.0,0.0
60,78.0,13.0,90.0,0.0,0.0
61,63.0,41.0,15.0,0.0,0.0
62,55.0,7.0,120.0,0.0,0.0
63,59.0,6.0,60.0,0.0,0.0
64,71.0,41.0,15.0,0.0,0.0
65,67.0,6.0,60.0,0.0,0.0
66,76.0,6.0,30.0,0.0,0.0
67,79.0,41.0,15.0,0.0,0.0
68,81.0,13.0,150.0,0.0,0.0
69,54.0,7.0,120.0,0.0,0.0
70,60.0,6.0,60.0,0.0,0.0
71,76.0,41.0,15.0,0.0,0.0
72,57.0,6.0,60.0,0.0,0.0
73,75.0,6.0,30.0,0.0,0.0
74,73.0,41.0,15.0,0.0,0.0
75,75.0,7.0,120.0,0.0,0.0
76,59.0,6.0,60.0,0.0,0.0
77,83.0,41.0,15.0,0.0,0.0
78,47.0,6.0,60.0,0.0,0.0
79,78.0,6.0,30.0,0.0,0.0
80,81.0,60.0,15.0,0.0,0.0
81,52.0,13.0,480.0,0.0,0.0
82,79.0,0.0,120.0,0.0,0.0
83,76.0,41.0,15.0,0.0,0.0
84,71.0,6.0,30.0,0.0,0.0
85,74.0,60.0,15.0,0.0,0.0
86,72.0,19.0,150.0,0.0,0.0
87,67.0,41.0,15.0,0.0,0.0
88,66.0,19.0,30.0,0.0,0.0
89,69.0,41.0,15.0,0.0,0.0
90,63.0,0.0,240.0,0.0,0.0
91,72.0,41.0,15.0,0.0,0.0
92,71.0,19.0,30.0,0.0,0.0
93,69.0,60.0,15.0,0.0,0.0
94,78.0,52.0,120.0,0.0,0.0
95,69.0,41.0,15.0,0.0,0.0
96,67.0,6.0,30.0,0.0,0.0
97,66.0,2.0,15.0,0.0,0.0
98,67.0,6.0,60.0,0.0,0.0
99,64.0,13.0,150.0,0.0,0.0
100,83.0,2.0,15.0,0.0,0.0
101,75.0,0.0,60.0,0.0,0.0
102,78.0,13.0,30.0,0.0,0.0
103,69.0,6.0,60.0,0.0,0.0
104,81.0,41.0,15.0,0.0,0.0
105,71.0,6.0,60.0,0.0,0.0
106,79.0,13.0,150.0,0.0,0.0
107,62.0,41.0,15.0,0.0,0.0
108,61.0,19.0,30.0,0.0,0.0
109,70.0,0.0,30.0,0.0,0.0
110,64.0,41.0,15.0,0.0,0.0
111,71.0,0.0,15.0,0.0,0.0
112,73.0,6.0,60.0,0.0,0.0
113,58.0,13.0,240.0,0.0,0.0
114,79.0,41.0,15.0,0.0,0.0
115,78.0,19.0,30.0,0.0,0.0
116,61.0,13.0,120.0,0.0,0.0
117,76.0,41.0,15.0,0.0,0.0
118,85.0,13.0,150.0,0.0,0.0
119,76.0,41.0,15.0,0.0,0.0
120,66.0,6.0,120.0,0.0,0.0
121,74.0,6.0,30.0,0.0,0.0
122,73.0,41.0,15.0,0.0,0.0
123,74.0,7.0,240.0,0.0,0.0
124,59.0,19.0,270.0,0.0,0.0
125,83.0,41.0,15.0,0.0,0.0
126,71.0,13.0,90.0,0.0,0.0
127,78.0,19.0,30.0,0.0,0.0
128,81.0,41.0,15.0,0.0,0.0
129,79.0,6.0,60.0,0.0,0.0
130,71.0,41.0,15.0,0.0,0.0
131,83.0,6.0,60.0,0.0,0.0
132,66.0,6.0,30.0,0.0,0.0
133,69.0,41.0,15.0,0.0,0.0
134,73.0,13.0,270.0,0.0,0.0
