,note,step,duration,channel,velocity
0,78.0,30.0,30.0,0.0,0.0
1,75.0,30.0,30.0,0.0,0.0
2,78.0,30.0,30.0,0.0,0.0
3,83.0,30.0,30.0,0.0,0.0
4,78.0,30.0,30.0,0.0,0.0
5,75.0,30.0,30.0,0.0,0.0
6,78.0,30.0,30.0,0.0,0.0
7,71.0,30.0,30.0,0.0,0.0
8,78.0,30.0,30.0,0.0,0.0
9,75.0,30.0,30.0,0.0,0.0
10,78.0,30.0,30.0,0.0,0.0
11,80.0,30.0,30.0,0.0,0.0
12,76.0,30.0,30.0,0.0,0.0
13,73.0,30.0,30.0,0.0,0.0
14,76.0,30.0,30.0,0.0,0.0
15,70.0,30.0,30.0,0.0,0.0
16,73.0,30.0,30.0,0.0,0.0
17,78.0,30.0,30.0,0.0,0.0
18,75.0,30.0,30.0,0.0,0.0
19,71.0,30.0,30.0,0.0,0.0
20,75.0,30.0,30.0,0.0,0.0
21,68.0,30.0,30.0,0.0,0.0
22,71.0,30.0,30.0,0.0,0.0
23,76.0,30.0,30.0,0.0,0.0
24,73.0,30.0,30.0,0.0,0.0
25,70.0,30.0,30.0,0.0,0.0
26,73.0,30.0,30.0,0.0,0.0
27,66.0,30.0,30.0,0.0,0.0
28,70.0,30.0,30.0,0.0,0.0
29,75.0,30.0,30.0,0.0,0.0
30,73.0,30.0,30.0,0.0,0.0
31,71.0,30.0,30.0,0.0,0.0
32,73.0,30.0,30.0,0.0,0.0
33,75.0,30.0,30.0,0.0,0.0
34,76.0,30.0,30.0,0.0,0.0
35,78.0,30.0,30.0,0.0,0.0
36,73.0,30.0,30.0,0.0,0.0
37,75.0,30.0,30.0,0.0,0.0
38,77.0,30.0,30.0,0.0,0.0
39,78.0,30.0,30.0,0.0,0.0
40,80.0,30.0,30.0,0.0,0.0
41,82.0,30.0,30.0,0.0,0.0
42,80.0,30.0,30.0,0.0,0.0
43,71.0,0.0,30.0,0.0,0.0
44,78.0,0.0,30.0,0.0,0.0
45,70.0,30.0,30.0,0.0,0.0
46,73.0,0.0,30.0,0.0,0.0
47,80.0,30.0,30.0,0.0,0.0
48,82.0,0.0,30.0,0.0,0.0
49,78.0,30.0,30.0,0.0,0.0
50,83.0,30.0,30.0,0.0,0.0
51,73.0,0.0,30.0,0.0,0.0
52,85.0,4.0,60.0,0.0,0.0
53,70.0,26.0,30.0,0.0,0.0
54,73.0,30.0,30.0,0.0,0.0
55,66.0,30.0,30.0,0.0,0.0
56,73.0,30.0,30.0,0.0,0.0
57,85.0,4.0,60.0,0.0,0.0
58,70.0,26.0,30.0,0.0,0.0
59,73.0,30.0,30.0,0.0,0.0
60,75.0,26.0,30.0,0.0,0.0
61,78.0,4.0,60.0,0.0,0.0
62,71.0,28.0,30.0,0.0,0.0
63,83.0,2.0,20.0,0.0,0.0
64,68.0,13.0,30.0,0.0,0.0
65,82.0,17.0,20.0,0.0,0.0
66,83.0,27.0,150.0,0.0,0.0
67,71.0,30.0,30.0,0.0,0.0
68,65.0,30.0,30.0,0.0,0.0
69,68.0,30.0,30.0,0.0,0.0
70,73.0,30.0,30.0,0.0,0.0
71,70.0,3.0,30.0,0.0,0.0
72,82.0,4.0,60.0,0.0,0.0
73,66.0,26.0,30.0,0.0,0.0
74,70.0,30.0,30.0,0.0,0.0
75,63.0,26.0,30.0,0.0,0.0
76,78.0,4.0,60.0,0.0,0.0
77,66.0,30.0,30.0,0.0,0.0
78,75.0,4.0,60.0,0.0,0.0
79,71.0,26.0,30.0,0.0,0.0
80,68.0,23.0,30.0,0.0,0.0
81,80.0,7.0,20.0,0.0,0.0
