,note,step,duration,channel,velocity
0,45.0,60.0,120.0,1.0,64.0
1,76.0,60.0,60.0,0.0,64.0
2,74.0,0.0,60.0,0.0,64.0
3,72.0,60.0,60.0,0.0,64.0
4,57.0,60.0,180.0,1.0,64.0
5,71.0,60.0,60.0,0.0,64.0
6,72.0,60.0,120.0,0.0,64.0
7,59.0,0.0,60.0,1.0,64.0
8,69.0,60.0,120.0,0.0,64.0
9,60.0,60.0,60.0,1.0,64.0
10,59.0,0.0,60.0,1.0,64.0
11,57.0,60.0,60.0,1.0,64.0
12,77.0,70.0,300.0,0.0,64.0
13,55.0,60.0,60.0,1.0,64.0
14,53.0,60.0,60.0,1.0,64.0
15,52.0,50.0,60.0,1.0,64.0
16,50.0,0.0,120.0,1.0,64.0
17,76.0,60.0,60.0,0.0,64.0
18,59.0,60.0,180.0,1.0,64.0
19,74.0,60.0,60.0,0.0,64.0
20,73.0,60.0,60.0,0.0,64.0
21,74.0,60.0,120.0,0.0,64.0
22,60.0,0.0,60.0,1.0,64.0
23,62.0,60.0,60.0,1.0,64.0
24,71.0,60.0,120.0,0.0,64.0
25,60.0,0.0,60.0,1.0,64.0
26,59.0,60.0,60.0,1.0,64.0
27,80.0,10.0,300.0,0.0,64.0
28,57.0,60.0,60.0,1.0,64.0
29,56.0,60.0,60.0,1.0,64.0
30,54.0,50.0,60.0,1.0,64.0
31,52.0,60.0,60.0,1.0,64.0
32,81.0,0.0,60.0,0.0,64.0
33,54.0,60.0,60.0,1.0,64.0
34,83.0,60.0,60.0,0.0,64.0
35,56.0,0.0,60.0,1.0,64.0
36,57.0,0.0,60.0,1.0,64.0
37,84.0,60.0,60.0,0.0,64.0
38,59.0,60.0,60.0,1.0,64.0
39,86.0,0.0,120.0,0.0,64.0
40,60.0,60.0,60.0,1.0,64.0
41,62.0,0.0,60.0,1.0,64.0
42,83.0,60.0,60.0,0.0,64.0
43,59.0,0.0,60.0,1.0,64.0
44,80.0,60.0,60.0,0.0,64.0
45,57.0,60.0,60.0,1.0,64.0
46,77.0,60.0,120.0,0.0,64.0
47,56.0,0.0,60.0,1.0,64.0
48,76.0,60.0,120.0,0.0,64.0
49,57.0,60.0,60.0,1.0,64.0
50,56.0,0.0,60.0,1.0,64.0
51,57.0,10.0,300.0,1.0,64.0
52,74.0,60.0,60.0,0.0,64.0
53,72.0,60.0,60.0,0.0,64.0
54,71.0,60.0,60.0,0.0,64.0
55,72.0,50.0,60.0,0.0,64.0
56,74.0,60.0,60.0,0.0,64.0
57,77.0,60.0,60.0,0.0,64.0
58,52.0,0.0,60.0,1.0,64.0
59,54.0,60.0,60.0,1.0,64.0
60,76.0,0.0,60.0,0.0,64.0
61,74.0,0.0,60.0,0.0,64.0
62,56.0,60.0,60.0,1.0,64.0
63,72.0,60.0,60.0,0.0,64.0
64,57.0,0.0,60.0,1.0,64.0
65,59.0,60.0,60.0,1.0,64.0
66,71.0,0.0,60.0,0.0,64.0
67,60.0,0.0,60.0,1.0,64.0
68,69.0,60.0,60.0,0.0,64.0
69,62.0,60.0,60.0,1.0,64.0
70,68.0,0.0,60.0,0.0,64.0
71,72.0,0.0,120.0,0.0,64.0
72,64.0,60.0,60.0,1.0,64.0
73,62.0,60.0,60.0,1.0,64.0
74,81.0,60.0,180.0,0.0,64.0
75,60.0,60.0,60.0,1.0,64.0
76,59.0,60.0,60.0,1.0,64.0
77,60.0,0.0,120.0,1.0,64.0
78,83.0,60.0,60.0,0.0,64.0
79,84.0,60.0,60.0,0.0,64.0
80,57.0,60.0,120.0,1.0,64.0
81,83.0,0.0,60.0,0.0,64.0
82,65.0,70.0,300.0,1.0,64.0
83,81.0,60.0,60.0,0.0,64.0
84,79.0,60.0,60.0,0.0,64.0
85,77.0,60.0,60.0,0.0,64.0
86,76.0,50.0,60.0,0.0,64.0
87,74.0,60.0,120.0,0.0,64.0
88,64.0,0.0,60.0,1.0,64.0
89,83.0,60.0,180.0,0.0,64.0
90,62.0,60.0,60.0,1.0,64.0
91,61.0,60.0,60.0,1.0,64.0
92,62.0,60.0,120.0,1.0,64.0
93,84.0,0.0,60.0,0.0,64.0
