,note,step,duration,channel,velocity
0,47.0,60,120,1.0,64.0
1,71.0,60,60,0.0,64.0
2,70.0,120,60,0.0,64.0
3,71.0,0,120,0.0,64.0
4,50.0,120,120,1.0,64.0
5,66.0,30,120,0.0,64.0
6,67.0,30,30,0.0,64.0
7,52.0,0,120,1.0,64.0
8,69.0,60,30,0.0,64.0
9,67.0,120,60,0.0,64.0
10,66.0,120,120,0.0,64.0
11,50.0,120,120,1.0,64.0
12,71.0,0,120,0.0,64.0
13,66.0,30,120,0.0,64.0
14,66.0,30,30,0.0,64.0
15,49.0,0,120,1.0,64.0
16,67.0,60,30,0.0,64.0
17,66.0,120,60,0.0,64.0
18,64.0,120,120,0.0,64.0
19,73.0,0,120,0.0,64.0
20,46.0,120,120,1.0,64.0
21,64.0,30,120,0.0,64.0
22,47.0,0,120,1.0,64.0
23,64.0,30,30,0.0,64.0
24,66.0,60,30,0.0,64.0
25,64.0,60,60,0.0,64.0
26,62.0,60,60,0.0,64.0
27,61.0,60,60,0.0,64.0
28,43.0,0,120,1.0,64.0
29,62.0,60,60,0.0,64.0
30,64.0,60,60,0.0,64.0
31,66.0,60,60,0.0,64.0
32,64.0,30,60,0.0,64.0
33,66.0,30,30,0.0,64.0
34,42.0,60,120,1.0,64.0
35,64.0,60,30,0.0,64.0
36,66.0,60,120,0.0,64.0
37,54.0,0,60,1.0,64.0
38,53.0,120,60,1.0,64.0
39,54.0,0,120,1.0,64.0
40,69.0,60,60,0.0,64.0
41,68.0,60,60,0.0,64.0
42,49.0,0,120,1.0,64.0
43,69.0,30,60,0.0,64.0
44,71.0,60,60,0.0,64.0
45,50.0,30,30,1.0,64.0
46,52.0,0,30,1.0,64.0
47,73.0,0,60,0.0,64.0
48,50.0,60,60,1.0,64.0
49,71.0,60,60,0.0,64.0
50,49.0,0,120,1.0,64.0
51,68.0,60,60,0.0,64.0
52,54.0,0,120,1.0,64.0
53,69.0,60,60,0.0,64.0
54,71.0,60,60,0.0,64.0
55,69.0,60,60,0.0,64.0
56,66.0,30,60,0.0,64.0
57,49.0,0,15,1.0,64.0
58,68.0,60,60,0.0,64.0
59,50.0,0,30,1.0,64.0
60,49.0,60,60,1.0,64.0
61,69.0,0,60,0.0,64.0
62,68.0,60,60,0.0,64.0
63,47.0,60,120,1.0,64.0
64,66.0,0,60,0.0,64.0
65,65.0,60,60,0.0,64.0
66,56.0,0,120,1.0,64.0
67,68.0,60,60,0.0,64.0
68,66.0,60,60,0.0,64.0
69,65.0,30,60,0.0,64.0
70,47.0,0,15,1.0,64.0
71,73.0,60,120,0.0,64.0
72,49.0,60,30,1.0,64.0
73,47.0,0,60,1.0,64.0
74,66.0,0,60,0.0,64.0
75,45.0,60,60,1.0,64.0
76,65.0,0,60,0.0,64.0
77,44.0,60,60,1.0,64.0
78,66.0,60,60,0.0,64.0
79,45.0,60,120,1.0,64.0
80,69.0,0,60,0.0,64.0
81,68.0,60,60,0.0,64.0
82,47.0,60,120,1.0,64.0
83,71.0,0,60,0.0,64.0
84,49.0,60,120,1.0,64.0
85,69.0,60,60,0.0,64.0
86,71.0,0,60,0.0,64.0
87,47.0,0,120,1.0,64.0
88,73.0,60,60,0.0,64.0
89,74.0,30,60,0.0,64.0
90,49.0,60,120,1.0,64.0
91,68.0,30,30,0.0,64.0
92,69.0,60,30,0.0,64.0
93,68.0,60,120,0.0,64.0
94,37.0,0,120,1.0,64.0
95,66.0,120,60,0.0,64.0
96,42.0,60,180,1.0,64.0
97,66.0,60,120,0.0,64.0
98,78.0,0,60,0.0,64.0
99,44.0,60,60,1.0,64.0
100,77.0,0,60,0.0,64.0
101,78.0,0,120,0.0,64.0
102,45.0,60,60,1.0,64.0
103,47.0,60,60,1.0,64.0
104,44.0,60,60,1.0,64.0
105,73.0,0,120,0.0,64.0
106,45.0,30,60,1.0,64.0
107,47.0,60,60,1.0,64.0
108,74.0,30,30,0.0,64.0
109,76.0,0,30,0.0,64.0
110,49.0,0,60,1.0,64.0
111,74.0,60,60,0.0,64.0
112,73.0,60,120,0.0,64.0
113,47.0,60,60,1.0,64.0
114,44.0,0,60,1.0,64.0
115,78.0,60,120,0.0,64.0
116,45.0,60,60,1.0,64.0
117,47.0,0,60,1.0,64.0
118,73.0,30,120,0.0,64.0
119,45.0,60,60,1.0,64.0
120,42.0,0,60,1.0,64.0
121,44.0,0,60,1.0,64.0
122,73.0,30,30,0.0,64.0
123,74.0,60,30,0.0,64.0
124,45.0,60,60,1.0,64.0
125,73.0,0,60,0.0,64.0
126,71.0,0,120,0.0,64.0
127,44.0,60,60,1.0,64.0
128,42.0,60,60,1.0,64.0
129,80.0,0,120,0.0,64.0
130,41.0,60,60,1.0,64.0
131,44.0,60,60,1.0,64.0
132,71.0,0,120,0.0,64.0
133,42.0,60,60,1.0,64.0
134,41.0,30,60,1.0,64.0
135,71.0,30,30,0.0,64.0
136,42.0,0,120,1.0,64.0
137,73.0,60,30,0.0,64.0
138,71.0,60,60,0.0,64.0
139,54.0,0,60,1.0,64.0
140,69.0,60,60,0.0,64.0
141,68.0,0,60,0.0,64.0
142,53.0,60,60,1.0,64.0
143,69.0,60,60,0.0,64.0
144,54.0,60,120,1.0,64.0
145,71.0,0,60,0.0,64.0
146,49.0,0,120,1.0,64.0
147,69.0,60,60,0.0,64.0
148,65.0,120,60,0.0,64.0
149,66.0,60,120,0.0,64.0
150,50.0,0,120,1.0,64.0
151,78.0,0,60,0.0,64.0
152,62.0,60,60,1.0,64.0
153,61.0,60,60,1.0,64.0
154,76.0,0,60,0.0,64.0
155,78.0,60,120,0.0,64.0
156,62.0,60,60,1.0,64.0
157,64.0,0,60,1.0,64.0
158,62.0,60,60,1.0,64.0
159,73.0,0,120,0.0,64.0
160,58.0,60,60,1.0,64.0
161,59.0,0,120,1.0,64.0
162,74.0,60,60,0.0,64.0
163,76.0,60,60,0.0,64.0
164,57.0,0,120,1.0,64.0
165,74.0,60,60,0.0,64.0
166,71.0,60,60,0.0,64.0
167,55.0,60,120,1.0,64.0
168,76.0,60,60,0.0,64.0
169,71.0,0,60,0.0,64.0
170,78.0,60,60,0.0,64.0
171,54.0,0,120,1.0,64.0
172,71.0,60,60,0.0,64.0
173,79.0,60,60,0.0,64.0
174,52.0,60,120,1.0,64.0
175,81.0,0,60,0.0,64.0
176,40.0,0,120,1.0,64.0
177,79.0,60,60,0.0,64.0
178,76.0,60,60,0.0,64.0
179,81.0,60,60,0.0,64.0
180,42.0,0,120,1.0,64.0
181,76.0,60,60,0.0,64.0
182,43.0,60,120,1.0,64.0
183,83.0,60,60,0.0,64.0
184,74.0,0,60,0.0,64.0
185,45.0,0,120,1.0,64.0
186,73.0,60,60,0.0,64.0
187,74.0,60,60,0.0,64.0
188,73.0,60,60,0.0,64.0
189,55.0,0,120,1.0,64.0
190,69.0,60,60,0.0,64.0
191,54.0,0,120,1.0,64.0
192,74.0,60,60,0.0,64.0
193,69.0,60,60,0.0,64.0
194,52.0,0,120,1.0,64.0
195,76.0,60,60,0.0,64.0
196,69.0,60,60,0.0,64.0
197,50.0,60,120,1.0,64.0
198,78.0,60,60,0.0,64.0
199,79.0,0,60,0.0,64.0
200,78.0,60,60,0.0,64.0
201,38.0,60,120,1.0,64.0
202,74.0,0,60,0.0,64.0
203,40.0,0,120,1.0,64.0
204,79.0,60,60,0.0,64.0
205,74.0,60,60,0.0,64.0
206,81.0,60,60,0.0,64.0
207,42.0,60,120,1.0,64.0
208,74.0,0,60,0.0,64.0
209,83.0,60,60,0.0,64.0
210,43.0,0,120,1.0,64.0
211,84.0,60,60,0.0,64.0
212,83.0,60,60,0.0,64.0
213,55.0,60,120,1.0,64.0
214,76.0,0,60,0.0,64.0
215,81.0,60,60,0.0,64.0
216,54.0,60,120,1.0,64.0
217,83.0,0,60,0.0,64.0
218,81.0,60,60,0.0,64.0
219,59.0,60,120,1.0,64.0
220,74.0,0,60,0.0,64.0
221,52.0,0,120,1.0,64.0
222,79.0,60,60,0.0,64.0
223,81.0,60,60,0.0,64.0
224,57.0,0,120,1.0,64.0
225,79.0,60,60,0.0,64.0
226,73.0,60,60,0.0,64.0
227,50.0,0,120,1.0,64.0
228,78.0,60,60,0.0,64.0
229,79.0,60,60,0.0,64.0
230,62.0,60,180,1.0,64.0
231,78.0,60,60,0.0,64.0
232,74.0,60,60,0.0,64.0
233,76.0,20,120,0.0,64.0
234,64.0,0,60,1.0,64.0
235,62.0,0,60,1.0,64.0
236,67.0,20,20,0.0,64.0
237,69.0,20,20,0.0,64.0
238,67.0,60,20,0.0,64.0
239,59.0,60,60,1.0,64.0
240,66.0,0,60,0.0,64.0
241,67.0,60,120,0.0,64.0
242,61.0,60,60,1.0,64.0
243,62.0,0,60,1.0,64.0
244,61.0,60,60,1.0,64.0
245,76.0,60,120,0.0,64.0
246,57.0,0,60,1.0,64.0
247,66.0,0,120,0.0,64.0
248,62.0,60,60,1.0,64.0
249,61.0,60,60,1.0,64.0
250,59.0,60,60,1.0,64.0
251,74.0,60,120,0.0,64.0
252,57.0,0,60,1.0,64.0
253,55.0,60,60,1.0,64.0
254,64.0,0,120,0.0,64.0
255,54.0,60,60,1.0,64.0
256,73.0,120,120,0.0,64.0
257,55.0,60,60,1.0,64.0
258,57.0,0,60,1.0,64.0
259,50.0,0,120,1.0,64.0
260,74.0,60,120,0.0,64.0
261,62.0,60,60,1.0,64.0
262,61.0,120,60,1.0,64.0
263,62.0,60,120,1.0,64.0
264,66.0,0,60,0.0,64.0
265,64.0,60,60,0.0,64.0
266,57.0,30,120,1.0,64.0
267,66.0,0,60,0.0,64.0
268,67.0,0,60,0.0,64.0
269,59.0,30,30,1.0,64.0
270,61.0,60,30,1.0,64.0
271,59.0,60,60,1.0,64.0
272,69.0,0,60,0.0,64.0
273,67.0,60,60,0.0,64.0
274,57.0,60,120,1.0,64.0
275,64.0,0,60,0.0,64.0
276,66.0,60,60,0.0,64.0
277,62.0,60,120,1.0,64.0
278,67.0,0,60,0.0,64.0
279,66.0,60,60,0.0,64.0
280,62.0,0,60,0.0,64.0
281,57.0,30,15,1.0,64.0
282,64.0,0,60,0.0,64.0
283,59.0,60,30,1.0,64.0
284,66.0,0,60,0.0,64.0
285,57.0,60,60,1.0,64.0
286,64.0,60,60,0.0,64.0
287,55.0,60,120,1.0,64.0
288,62.0,0,60,0.0,64.0
289,61.0,60,60,0.0,64.0
290,64.0,0,120,1.0,64.0
291,64.0,60,60,0.0,64.0
292,62.0,60,60,0.0,64.0
293,61.0,0,60,0.0,64.0
294,55.0,30,15,1.0,64.0
295,62.0,60,120,0.0,64.0
296,57.0,60,30,1.0,64.0
297,55.0,0,60,1.0,64.0
298,69.0,60,120,0.0,64.0
299,54.0,60,60,1.0,64.0
300,52.0,0,60,1.0,64.0
301,54.0,60,60,1.0,64.0
302,74.0,0,60,0.0,64.0
303,73.0,60,60,0.0,64.0
304,56.0,0,60,1.0,64.0
305,71.0,60,60,0.0,64.0
306,57.0,0,60,1.0,64.0
307,56.0,0,60,1.0,64.0
308,74.0,60,60,0.0,64.0
309,73.0,60,60,0.0,64.0
310,57.0,60,120,1.0,64.0
311,71.0,0,60,0.0,64.0
312,69.0,60,60,0.0,64.0
313,52.0,60,120,1.0,64.0
314,68.0,0,60,0.0,64.0
315,69.0,0,120,0.0,64.0
316,50.0,60,60,1.0,64.0
317,49.0,60,60,1.0,64.0
318,47.0,60,60,1.0,64.0
319,64.0,30,120,0.0,64.0
320,45.0,0,60,1.0,64.0
321,50.0,0,60,1.0,64.0
322,66.0,30,30,0.0,64.0
323,67.0,60,30,0.0,64.0
324,52.0,60,60,1.0,64.0
325,66.0,0,60,0.0,64.0
326,50.0,60,60,1.0,64.0
327,64.0,60,120,0.0,64.0
328,47.0,0,60,1.0,64.0
329,49.0,60,60,1.0,64.0
330,69.0,60,120,0.0,64.0
331,50.0,0,60,1.0,64.0
332,49.0,60,60,1.0,64.0
333,45.0,0,60,1.0,64.0
334,47.0,0,60,1.0,64.0
