,note,step,duration,channel,velocity
0,64.0,115,60,3.0,0.0
1,52.0,0,60,4.0,0.0
2,64.0,0,60,2.0,0.0
3,52.0,0,60,5.0,0.0
4,40.0,0,60,6.0,0.0
5,55.0,0,15,4.0,0.0
6,67.0,0,15,2.0,0.0
7,43.0,27,15,6.0,0.0
8,55.0,0,15,5.0,0.0
9,67.0,0,15,3.0,0.0
10,54.0,33,20,5.0,0.0
11,66.0,0,20,2.0,0.0
12,66.0,0,20,3.0,0.0
13,54.0,0,20,4.0,0.0
14,42.0,0,20,6.0,0.0
15,43.0,35,15,6.0,0.0
16,67.0,0,15,2.0,0.0
17,55.0,0,15,4.0,0.0
18,67.0,0,15,3.0,0.0
19,55.0,0,15,5.0,0.0
20,64.0,0,30,3.0,0.0
21,64.0,0,30,2.0,0.0
22,40.0,60,30,6.0,0.0
23,52.0,0,30,4.0,0.0
24,52.0,0,30,5.0,0.0
25,59.0,0,30,2.0,0.0
26,47.0,45,30,5.0,0.0
27,35.0,0,30,6.0,0.0
28,59.0,0,30,4.0,0.0
29,59.0,0,30,3.0,0.0
30,50.0,0,15,5.0,0.0
31,62.0,10,15,4.0,0.0
32,62.0,0,15,3.0,0.0
33,38.0,0,15,6.0,0.0
34,62.0,0,15,2.0,0.0
35,36.0,0,15,6.0,0.0
36,48.0,0,15,5.0,0.0
37,60.0,0,15,2.0,0.0
38,60.0,30,15,4.0,0.0
39,60.0,0,15,3.0,0.0
40,47.0,0,15,5.0,0.0
41,59.0,0,15,4.0,0.0
42,35.0,0,15,6.0,0.0
43,59.0,0,15,3.0,0.0
44,59.0,27,15,2.0,0.0
45,48.0,0,20,5.0,0.0
46,60.0,33,20,2.0,0.0
47,60.0,0,20,3.0,0.0
48,36.0,0,20,6.0,0.0
49,60.0,0,20,4.0,0.0
50,48.0,0,15,5.0,0.0
51,60.0,0,15,4.0,0.0
52,60.0,0,15,3.0,0.0
53,36.0,0,15,6.0,0.0
54,60.0,125,15,2.0,0.0
55,60.0,0,120,2.0,0.0
56,60.0,0,120,3.0,0.0
57,60.0,0,120,4.0,0.0
58,48.0,82,120,5.0,0.0
59,36.0,0,120,6.0,0.0
60,72.0,0,20,4.0,0.0
61,60.0,0,20,5.0,0.0
62,48.0,0,20,6.0,0.0
63,72.0,33,20,3.0,0.0
64,72.0,0,20,2.0,0.0
65,71.0,0,15,4.0,0.0
66,71.0,0,15,3.0,0.0
67,59.0,0,15,5.0,0.0
68,71.0,0,15,2.0,0.0
69,47.0,27,15,6.0,0.0
70,57.0,33,20,5.0,0.0
71,69.0,0,20,4.0,0.0
72,69.0,0,20,2.0,0.0
73,69.0,0,20,3.0,0.0
74,45.0,0,20,6.0,0.0
75,43.0,27,15,6.0,0.0
76,67.0,0,15,2.0,0.0
77,55.0,0,15,5.0,0.0
78,67.0,0,15,3.0,0.0
79,67.0,0,15,4.0,0.0
80,54.0,0,20,5.0,0.0
81,42.0,0,20,6.0,0.0
82,66.0,0,20,4.0,0.0
83,66.0,33,20,3.0,0.0
84,66.0,0,20,2.0,0.0
85,67.0,0,15,4.0,0.0
86,43.0,35,15,6.0,0.0
87,55.0,0,15,5.0,0.0
88,67.0,0,15,3.0,0.0
89,67.0,0,15,2.0,0.0
90,57.0,60,30,5.0,0.0
91,69.0,0,30,4.0,0.0
92,69.0,0,30,2.0,0.0
93,45.0,0,30,6.0,0.0
94,69.0,0,30,3.0,0.0
95,36.0,0,30,6.0,0.0
96,60.0,0,30,4.0,0.0
97,48.0,0,30,5.0,0.0
98,60.0,0,30,3.0,0.0
99,60.0,60,30,2.0,0.0
100,59.0,0,30,4.0,0.0
101,35.0,0,30,6.0,0.0
102,47.0,330,30,5.0,0.0
103,59.0,0,30,2.0,0.0
104,59.0,0,30,3.0,0.0
105,62.0,0,120,1.0,0.0
106,71.0,0,15,1.0,0.0
107,59.0,0,15,1.0,0.0
108,57.0,0,120,1.0,0.0
109,75.0,0,120,1.0,0.0
110,66.0,120,15,1.0,0.0
111,64.0,0,180,1.0,0.0
112,76.0,0,180,1.0,0.0
113,55.0,60,180,1.0,0.0
114,59.0,0,180,1.0,0.0
115,71.0,0,180,1.0,0.0
116,56.0,120,60,1.0,0.0
117,59.0,0,60,1.0,0.0
118,71.0,0,60,1.0,0.0
119,74.0,0,60,1.0,0.0
120,64.0,0,15,1.0,0.0
121,57.0,90,120,1.0,0.0
122,60.0,0,120,1.0,0.0
123,69.0,0,120,1.0,0.0
124,72.0,0,120,1.0,0.0
125,66.0,240,120,1.0,0.0
126,57.0,0,120,1.0,0.0
127,50.0,0,120,1.0,0.0
128,74.0,30,90,1.0,0.0
129,69.0,0,120,1.0,0.0
130,72.0,0,30,1.0,0.0
131,59.0,0,240,1.0,0.0
132,67.0,120,240,1.0,0.0
133,55.0,0,240,1.0,0.0
134,71.0,0,240,1.0,0.0
135,62.0,0,240,1.0,0.0
136,54.0,0,120,1.0,0.0
137,63.0,0,120,1.0,0.0
138,57.0,90,120,1.0,0.0
139,69.0,0,120,1.0,0.0
140,47.0,0,120,1.0,0.0
141,54.0,0,120,1.0,0.0
142,66.0,30,120,1.0,0.0
143,63.0,0,120,1.0,0.0
144,71.0,30,90,1.0,0.0
145,69.0,0,30,1.0,0.0
146,52.0,90,120,1.0,0.0
147,59.0,0,120,1.0,0.0
148,69.0,30,30,1.0,0.0
149,55.0,0,120,1.0,0.0
150,64.0,0,120,1.0,0.0
151,67.0,30,30,1.0,0.0
152,66.0,30,30,1.0,0.0
153,67.0,0,30,1.0,0.0
154,45.0,0,120,1.0,0.0
155,48.0,0,120,1.0,0.0
156,60.0,0,120,1.0,0.0
157,69.0,30,90,1.0,0.0
158,66.0,60,30,1.0,0.0
159,47.0,0,120,1.0,0.0
160,55.0,0,120,1.0,0.0
161,64.0,15,60,1.0,0.0
162,59.0,90,120,1.0,0.0
163,66.0,15,15,1.0,0.0
164,64.0,15,15,1.0,0.0
165,63.0,15,15,1.0,0.0
166,64.0,0,15,1.0,0.0
167,35.0,1,120,1.0,0.0
168,57.0,0,120,1.0,0.0
169,67.0,29,90,1.0,0.0
170,63.0,0,120,1.0,0.0
171,66.0,60,30,1.0,0.0
172,47.0,0,15,1.0,0.0
173,64.0,0,60,1.0,0.0
174,55.0,0,60,1.0,0.0
175,40.0,240,60,1.0,0.0
176,52.0,0,60,1.0,0.0
177,52.0,0,60,4.0,0.0
178,64.0,0,60,3.0,0.0
179,64.0,0,60,2.0,0.0
180,40.0,0,60,6.0,0.0
181,52.0,115,60,5.0,0.0
182,55.0,0,15,5.0,0.0
183,43.0,27,15,6.0,0.0
184,67.0,0,15,3.0,0.0
185,67.0,0,15,2.0,0.0
186,55.0,0,15,4.0,0.0
187,42.0,0,20,6.0,0.0
188,54.0,33,20,5.0,0.0
189,54.0,0,20,4.0,0.0
190,66.0,0,20,3.0,0.0
191,66.0,0,20,2.0,0.0
192,55.0,0,15,4.0,0.0
193,67.0,0,15,2.0,0.0
194,67.0,0,15,3.0,0.0
195,55.0,0,15,5.0,0.0
196,43.0,35,15,6.0,0.0
197,64.0,0,30,2.0,0.0
198,52.0,60,30,5.0,0.0
199,52.0,0,30,4.0,0.0
