,note,step,duration,channel,velocity
0,56.0,128,128,0.0,0.0
1,37.0,4,1532,0.0,0.0
2,49.0,0,1532,0.0,0.0
3,61.0,128,128,0.0,0.0
4,64.0,128,128,0.0,0.0
5,56.0,128,128,0.0,0.0
6,61.0,128,128,0.0,0.0
7,64.0,128,128,0.0,0.0
8,56.0,128,128,0.0,0.0
9,61.0,128,128,0.0,0.0
10,64.0,128,128,0.0,0.0
11,56.0,128,128,0.0,0.0
12,61.0,124,128,0.0,0.0
13,64.0,128,128,0.0,0.0
14,47.0,4,1532,0.0,0.0
15,35.0,0,1532,0.0,0.0
16,56.0,132,128,0.0,0.0
17,61.0,120,132,0.0,0.0
18,64.0,132,128,0.0,0.0
19,56.0,128,128,0.0,0.0
20,61.0,128,128,0.0,0.0
21,64.0,128,128,0.0,0.0
22,56.0,128,128,0.0,0.0
23,61.0,128,128,0.0,0.0
24,64.0,128,128,0.0,0.0
25,56.0,128,128,0.0,0.0
26,61.0,124,128,0.0,0.0
27,64.0,128,128,0.0,0.0
28,57.0,128,128,0.0,0.0
29,33.0,4,764,0.0,0.0
30,45.0,0,764,0.0,0.0
31,61.0,128,128,0.0,0.0
32,64.0,128,128,0.0,0.0
33,57.0,128,128,0.0,0.0
34,61.0,124,128,0.0,0.0
35,64.0,248,128,0.0,0.0
36,42.0,4,764,0.0,0.0
37,30.0,0,764,0.0,0.0
38,57.0,8,248,0.0,0.0
39,62.0,128,128,0.0,0.0
40,66.0,128,128,0.0,0.0
41,57.0,128,128,0.0,0.0
42,62.0,124,128,0.0,0.0
43,66.0,128,128,0.0,0.0
44,44.0,4,764,0.0,0.0
45,56.0,128,128,0.0,0.0
46,32.0,0,764,0.0,0.0
47,60.0,128,128,0.0,0.0
48,66.0,128,128,0.0,0.0
49,56.0,128,128,0.0,0.0
50,61.0,124,128,0.0,0.0
51,64.0,128,128,0.0,0.0
52,32.0,0,380,0.0,0.0
53,56.0,128,128,0.0,0.0
54,44.0,4,380,0.0,0.0
55,61.0,124,128,0.0,0.0
56,63.0,128,128,0.0,0.0
57,54.0,128,128,0.0,0.0
58,60.0,128,128,0.0,0.0
59,63.0,128,128,0.0,0.0
60,49.0,0,1532,0.0,0.0
61,44.0,0,1532,0.0,0.0
62,37.0,4,1532,0.0,0.0
63,52.0,128,128,0.0,0.0
64,56.0,128,128,0.0,0.0
65,61.0,128,128,0.0,0.0
66,56.0,128,128,0.0,0.0
67,61.0,128,128,0.0,0.0
68,64.0,128,128,0.0,0.0
69,56.0,128,128,0.0,0.0
70,61.0,128,128,0.0,0.0
71,64.0,128,128,0.0,0.0
72,68.0,92,288,0.0,0.0
73,56.0,128,128,0.0,0.0
74,61.0,32,128,0.0,0.0
75,64.0,0,128,0.0,0.0
76,68.0,128,96,0.0,0.0
77,56.0,128,128,0.0,0.0
78,36.0,0,1532,0.0,0.0
79,44.0,4,1532,0.0,0.0
80,48.0,0,1532,0.0,0.0
81,68.0,4,1148,0.0,0.0
82,63.0,128,128,0.0,0.0
83,66.0,128,128,0.0,0.0
84,56.0,128,128,0.0,0.0
85,63.0,128,128,0.0,0.0
86,66.0,128,128,0.0,0.0
87,56.0,128,128,0.0,0.0
88,63.0,124,128,0.0,0.0
89,66.0,128,128,0.0,0.0
90,56.0,128,128,0.0,0.0
91,63.0,32,128,0.0,0.0
92,66.0,0,128,0.0,0.0
93,68.0,92,0,0.0,0.0
94,68.0,128,0,0.0,0.0
95,56.0,128,128,0.0,0.0
96,49.0,4,764,0.0,0.0
97,37.0,0,764,0.0,0.0
98,61.0,128,128,0.0,0.0
99,64.0,128,128,0.0,0.0
100,56.0,128,128,0.0,0.0
101,61.0,124,128,0.0,0.0
102,64.0,132,128,0.0,0.0
103,57.0,124,132,0.0,0.0
104,69.0,4,764,0.0,0.0
105,42.0,0,764,0.0,0.0
106,30.0,0,764,0.0,0.0
107,61.0,128,128,0.0,0.0
108,66.0,128,128,0.0,0.0
109,57.0,128,128,0.0,0.0
110,61.0,124,128,0.0,0.0
111,66.0,128,128,0.0,0.0
112,35.0,0,764,0.0,0.0
113,47.0,0,764,0.0,0.0
114,68.0,4,764,0.0,0.0
115,56.0,128,128,0.0,0.0
116,59.0,128,128,0.0,0.0
117,64.0,128,128,0.0,0.0
118,56.0,128,128,0.0,0.0
119,59.0,124,128,0.0,0.0
120,64.0,128,128,0.0,0.0
121,66.0,96,164,0.0,0.0
122,57.0,32,128,0.0,0.0
123,35.0,0,764,0.0,0.0
124,47.0,0,764,0.0,0.0
125,59.0,124,128,0.0,0.0
126,63.0,256,128,0.0,0.0
127,57.0,4,28,0.0,0.0
128,71.0,4,380,0.0,0.0
129,59.0,124,128,0.0,0.0
130,63.0,128,128,0.0,0.0
131,56.0,128,128,0.0,0.0
132,52.0,4,1532,0.0,0.0
133,40.0,0,1532,0.0,0.0
134,59.0,124,128,0.0,0.0
135,64.0,4,124,0.0,0.0
136,56.0,128,128,0.0,0.0
137,59.0,128,128,0.0,0.0
138,64.0,128,128,0.0,0.0
139,56.0,128,128,0.0,0.0
140,59.0,128,128,0.0,0.0
141,64.0,128,128,0.0,0.0
142,56.0,128,128,0.0,0.0
143,59.0,124,128,0.0,0.0
144,64.0,128,128,0.0,0.0
145,55.0,128,128,0.0,0.0
146,52.0,0,1532,0.0,0.0
147,40.0,4,1532,0.0,0.0
148,59.0,128,128,0.0,0.0
149,64.0,128,128,0.0,0.0
150,55.0,128,128,0.0,0.0
151,59.0,128,128,0.0,0.0
152,64.0,128,128,0.0,0.0
153,55.0,128,128,0.0,0.0
154,59.0,128,128,0.0,0.0
155,64.0,128,128,0.0,0.0
156,67.0,92,288,0.0,0.0
157,55.0,128,128,0.0,0.0
158,59.0,32,128,0.0,0.0
159,64.0,128,128,0.0,0.0
160,67.0,0,0,0.0,0.0
161,38.0,0,1532,0.0,0.0
162,55.0,128,128,0.0,0.0
163,50.0,4,1532,0.0,0.0
164,59.0,128,128,0.0,0.0
165,65.0,128,128,0.0,0.0
166,55.0,128,128,0.0,0.0
167,59.0,128,128,0.0,0.0
168,65.0,128,128,0.0,0.0
169,55.0,128,128,0.0,0.0
170,59.0,124,128,0.0,0.0
171,65.0,128,128,0.0,0.0
172,67.0,92,288,0.0,0.0
173,55.0,128,128,0.0,0.0
174,59.0,32,128,0.0,0.0
175,65.0,0,128,0.0,0.0
176,67.0,128,96,0.0,0.0
177,67.0,4,1148,0.0,0.0
178,36.0,0,380,0.0,0.0
179,48.0,4,380,0.0,0.0
180,55.0,128,128,0.0,0.0
181,60.0,124,128,0.0,0.0
182,64.0,128,128,0.0,0.0
183,35.0,0,380,0.0,0.0
184,55.0,128,128,0.0,0.0
185,47.0,4,380,0.0,0.0
186,59.0,124,128,0.0,0.0
187,64.0,128,128,0.0,0.0
188,55.0,128,128,0.0,0.0
189,34.0,4,764,0.0,0.0
190,46.0,0,764,0.0,0.0
191,61.0,124,128,0.0,0.0
192,64.0,128,128,0.0,0.0
193,66.0,0,380,0.0,0.0
194,54.0,128,128,0.0,0.0
195,61.0,124,128,0.0,0.0
196,64.0,128,128,0.0,0.0
197,66.0,4,764,0.0,0.0
198,47.0,0,764,0.0,0.0
199,54.0,128,128,0.0,0.0
200,35.0,0,764,0.0,0.0
201,59.0,128,128,0.0,0.0
202,62.0,128,128,0.0,0.0
203,54.0,128,128,0.0,0.0
204,59.0,124,128,0.0,0.0
205,62.0,128,128,0.0,0.0
206,67.0,4,380,0.0,0.0
207,55.0,128,128,0.0,0.0
208,40.0,0,380,0.0,0.0
209,59.0,124,128,0.0,0.0
210,61.0,128,128,0.0,0.0
211,64.0,4,380,0.0,0.0
212,43.0,128,128,0.0,0.0
213,52.0,0,380,0.0,0.0
214,59.0,124,128,0.0,0.0
215,61.0,128,128,0.0,0.0
216,42.0,0,764,0.0,0.0
217,66.0,4,764,0.0,0.0
218,54.0,128,128,0.0,0.0
219,59.0,128,128,0.0,0.0
220,62.0,256,128,0.0,0.0
221,54.0,0,380,0.0,0.0
222,59.0,124,128,0.0,0.0
223,62.0,128,128,0.0,0.0
224,30.0,0,764,0.0,0.0
225,54.0,128,128,0.0,0.0
226,42.0,8,764,0.0,0.0
227,66.0,0,772,0.0,64.0
228,58.0,128,128,0.0,0.0
229,61.0,128,128,0.0,0.0
230,54.0,128,128,0.0,0.0
231,58.0,124,128,0.0,0.0
232,61.0,124,132,0.0,64.0
233,35.0,4,1916,0.0,64.0
234,47.0,0,1916,0.0,64.0
235,59.0,128,128,0.0,0.0
236,62.0,128,128,0.0,0.0
237,66.0,128,128,0.0,0.0
238,59.0,128,128,0.0,0.0
239,62.0,128,128,0.0,0.0
240,66.0,128,128,0.0,0.0
241,59.0,128,128,0.0,0.0
242,63.0,128,128,0.0,0.0
243,66.0,128,128,0.0,0.0
244,59.0,128,128,0.0,0.0
245,71.0,4,380,0.0,0.0
246,63.0,124,128,0.0,0.0
247,66.0,124,128,0.0,0.0
248,59.0,132,156,0.0,64.0
249,72.0,0,1148,0.0,64.0
250,64.0,124,128,0.0,0.0
251,67.0,252,128,0.0,0.0
252,59.0,80,300,0.0,0.0
253,52.0,0,380,0.0,0.0
254,40.0,4,380,0.0,0.0
255,64.0,48,128,0.0,0.0
256,67.0,128,128,0.0,0.0
257,59.0,128,128,0.0,0.0
258,55.0,0,380,0.0,0.0
259,43.0,4,380,0.0,0.0
260,64.0,124,128,0.0,0.0
261,67.0,128,128,0.0,0.0
262,40.0,0,380,0.0,0.0
263,70.0,4,380,0.0,0.0
264,59.0,128,128,0.0,0.0
265,52.0,0,380,0.0,0.0
266,64.0,124,128,0.0,0.0
267,67.0,128,128,0.0,0.0
268,47.0,0,1664,0.0,64.0
269,35.0,0,1664,0.0,64.0
270,71.0,4,1148,0.0,0.0
271,59.0,128,128,0.0,0.0
272,63.0,128,128,0.0,0.0
273,66.0,128,128,0.0,0.0
274,59.0,128,128,0.0,0.0
275,63.0,128,128,0.0,0.0
276,66.0,128,128,0.0,0.0
277,59.0,128,128,0.0,0.0
278,63.0,124,128,0.0,0.0
279,66.0,128,128,0.0,0.0
280,59.0,152,128,0.0,0.0
281,71.0,132,380,0.0,0.0
282,63.0,48,152,0.0,0.0
283,66.0,52,72,0.0,0.0
284,59.0,128,160,0.0,64.0
285,72.0,0,1148,0.0,0.0
286,64.0,128,128,0.0,0.0
287,67.0,128,128,0.0,0.0
288,59.0,128,128,0.0,0.0
289,40.0,4,380,0.0,0.0
290,52.0,0,380,0.0,0.0
291,64.0,124,128,0.0,0.0
292,67.0,128,128,0.0,0.0
293,55.0,4,380,0.0,0.0
294,59.0,128,128,0.0,0.0
295,43.0,0,380,0.0,0.0
296,64.0,124,128,0.0,0.0
297,67.0,128,128,0.0,0.0
298,59.0,128,128,0.0,0.0
299,40.0,0,380,0.0,0.0
300,52.0,4,380,0.0,0.0
301,70.0,0,380,0.0,0.0
302,64.0,124,128,0.0,0.0
303,67.0,128,128,0.0,0.0
304,59.0,128,128,0.0,0.0
305,71.0,0,764,0.0,0.0
306,47.0,0,764,0.0,0.0
307,35.0,4,764,0.0,0.0
308,63.0,128,128,0.0,0.0
309,66.0,128,128,0.0,0.0
310,59.0,128,128,0.0,0.0
311,63.0,124,128,0.0,0.0
312,66.0,128,128,0.0,0.0
313,44.0,0,764,0.0,0.0
314,32.0,0,764,0.0,0.0
315,59.0,128,128,0.0,0.0
316,71.0,4,764,0.0,0.0
317,62.0,128,128,0.0,0.0
318,65.0,128,128,0.0,0.0
319,59.0,128,128,0.0,0.0
320,62.0,124,128,0.0,0.0
321,65.0,128,128,0.0,0.0
322,59.0,128,128,0.0,0.0
323,29.0,4,764,0.0,0.0
324,41.0,0,764,0.0,0.0
325,71.0,0,764,0.0,0.0
326,61.0,128,128,0.0,0.0
327,68.0,128,128,0.0,0.0
328,59.0,128,128,0.0,0.0
329,61.0,124,128,0.0,0.0
330,68.0,128,128,0.0,0.0
331,42.0,0,764,0.0,0.0
332,57.0,128,128,0.0,0.0
333,30.0,0,764,0.0,0.0
334,69.0,4,764,0.0,0.0
335,61.0,128,128,0.0,0.0
336,66.0,128,128,0.0,0.0
337,57.0,128,128,0.0,0.0
338,61.0,124,128,0.0,0.0
339,66.0,128,128,0.0,0.0
340,47.0,4,764,0.0,0.0
341,55.0,128,128,0.0,0.0
342,35.0,0,764,0.0,0.0
343,67.0,0,764,0.0,0.0
344,59.0,128,128,0.0,0.0
345,62.0,128,128,0.0,0.0
346,55.0,128,128,0.0,0.0
347,59.0,124,128,0.0,0.0
348,62.0,128,128,0.0,0.0
349,66.0,4,764,0.0,0.0
350,36.0,0,764,0.0,0.0
351,54.0,128,128,0.0,0.0
352,48.0,0,764,0.0,0.0
353,57.0,128,128,0.0,0.0
354,63.0,128,128,0.0,0.0
355,54.0,128,128,0.0,0.0
356,57.0,124,128,0.0,0.0
357,63.0,128,128,0.0,0.0
358,49.0,128,128,0.0,0.0
359,37.0,4,764,0.0,0.0
360,61.0,0,764,0.0,0.0
361,54.0,128,128,0.0,0.0
362,57.0,128,128,0.0,0.0
363,49.0,128,128,0.0,0.0
364,54.0,124,128,0.0,0.0
365,57.0,128,128,0.0,0.0
366,49.0,128,128,0.0,0.0
367,37.0,0,380,0.0,0.0
368,61.0,4,380,0.0,0.0
369,54.0,124,128,0.0,0.0
370,56.0,128,128,0.0,0.0
371,37.0,0,128,0.0,0.0
372,49.0,128,128,0.0,0.0
373,61.0,4,380,0.0,0.0
374,53.0,124,128,0.0,0.0
375,56.0,128,128,0.0,0.0
376,30.0,0,1532,0.0,0.0
377,37.0,4,1532,0.0,0.0
378,42.0,0,1532,0.0,0.0
379,54.0,128,128,0.0,0.0
380,57.0,128,128,0.0,0.0
381,61.0,128,128,0.0,0.0
382,57.0,128,128,0.0,0.0
383,61.0,128,128,0.0,0.0
384,66.0,128,128,0.0,0.0
385,61.0,128,128,0.0,0.0
386,66.0,128,128,0.0,0.0
387,69.0,128,128,0.0,0.0
388,61.0,128,128,0.0,0.0
389,73.0,92,288,0.0,0.0
390,66.0,32,128,0.0,0.0
391,69.0,0,128,0.0,0.0
392,49.0,0,1532,0.0,0.0
393,61.0,124,132,0.0,0.0
394,73.0,132,0,0.0,0.0
395,41.0,4,1532,0.0,0.0
396,53.0,0,1532,0.0,0.0
397,68.0,128,128,0.0,0.0
398,71.0,128,128,0.0,0.0
399,61.0,128,128,0.0,0.0
400,68.0,124,128,0.0,0.0
401,71.0,128,128,0.0,0.0
402,61.0,128,128,0.0,0.0
403,68.0,128,128,0.0,0.0
404,71.0,128,128,0.0,0.0
405,61.0,128,128,0.0,0.0
406,73.0,92,288,0.0,0.0
407,68.0,32,128,0.0,0.0
408,71.0,0,128,0.0,0.0
409,61.0,128,128,0.0,0.0
410,73.0,128,0,0.0,0.0
411,54.0,0,764,0.0,0.0
412,42.0,0,764,0.0,0.0
413,66.0,128,128,0.0,0.0
414,69.0,256,128,0.0,0.0
415,61.0,4,380,0.0,0.0
416,66.0,124,128,0.0,0.0
417,69.0,128,128,0.0,0.0
418,39.0,0,380,0.0,0.0
419,51.0,0,380,0.0,0.0
420,60.0,128,128,0.0,0.0
421,72.0,4,380,0.0,0.0
422,66.0,124,128,0.0,0.0
423,69.0,128,128,0.0,0.0
424,49.0,4,380,0.0,0.0
425,37.0,0,380,0.0,0.0
426,61.0,128,128,0.0,0.0
427,73.0,0,380,0.0,0.0
428,66.0,124,128,0.0,0.0
429,69.0,128,128,0.0,0.0
430,75.0,0,1148,0.0,64.0
431,63.0,128,128,0.0,64.0
432,48.0,0,1148,0.0,0.0
433,36.0,0,1148,0.0,0.0
434,44.0,4,1148,0.0,0.0
435,66.0,128,128,0.0,0.0
436,68.0,128,128,0.0,0.0
437,63.0,128,128,0.0,0.0
438,66.0,128,128,0.0,0.0
439,68.0,128,128,0.0,0.0
440,63.0,128,128,0.0,0.0
441,66.0,124,128,0.0,0.0
442,68.0,128,128,0.0,0.0
443,63.0,128,128,0.0,0.0
444,75.0,4,380,0.0,0.0
445,36.0,0,380,0.0,0.0
446,48.0,0,380,0.0,0.0
447,44.0,0,380,0.0,0.0
448,66.0,124,128,0.0,0.0
449,68.0,128,128,0.0,0.0
450,37.0,0,764,0.0,0.0
451,44.0,0,764,0.0,0.0
452,49.0,4,764,0.0,0.0
453,64.0,128,128,0.0,0.0
454,76.0,0,1148,0.0,0.0
455,68.0,128,128,0.0,0.0
456,73.0,128,128,0.0,0.0
457,64.0,128,128,0.0,0.0
458,68.0,124,128,0.0,0.0
459,73.0,128,128,0.0,0.0
460,42.0,4,380,0.0,0.0
461,63.0,128,128,0.0,0.0
462,75.0,0,380,0.0,0.0
463,30.0,0,380,0.0,0.0
464,66.0,124,128,0.0,0.0
465,69.0,128,128,0.0,0.0
466,61.0,128,128,0.0,0.0
467,43.0,0,380,0.0,0.0
468,31.0,0,380,0.0,0.0
469,73.0,4,380,0.0,0.0
470,64.0,124,128,0.0,0.0
471,70.0,256,128,0.0,0.0
472,32.0,0,1532,0.0,64.0
473,72.0,4,380,0.0,64.0
474,44.0,0,1532,0.0,0.0
475,60.0,124,128,0.0,0.0
476,63.0,256,128,0.0,0.0
477,68.0,4,380,0.0,0.0
478,60.0,124,128,0.0,0.0
479,63.0,252,128,0.0,0.0
480,69.0,4,380,0.0,0.0
481,60.0,128,128,0.0,0.0
482,63.0,252,128,0.0,0.0
483,66.0,4,380,0.0,0.0
484,60.0,128,128,0.0,0.0
485,63.0,256,128,0.0,0.0
