,note,step,duration,channel,velocity
0,72.0,26,60,0.0,0.0
1,64.0,8,90,0.0,0.0
2,36.0,0,60,0.0,0.0
3,43.0,0,60,0.0,0.0
4,67.0,82,30,0.0,0.0
5,36.0,0,90,0.0,0.0
6,67.0,3,180,0.0,0.0
7,64.0,0,90,0.0,0.0
8,43.0,87,90,0.0,0.0
9,65.0,0,90,0.0,0.0
10,38.0,0,90,0.0,0.0
11,43.0,64,90,0.0,0.0
12,43.0,0,90,0.0,0.0
13,74.0,26,60,0.0,0.0
14,62.0,0,90,0.0,0.0
15,35.0,8,90,0.0,0.0
16,67.0,82,30,0.0,0.0
17,35.0,87,90,0.0,0.0
18,62.0,0,90,0.0,0.0
19,43.0,0,90,0.0,0.0
20,67.0,3,180,0.0,0.0
21,43.0,0,90,0.0,0.0
22,36.0,90,90,0.0,0.0
23,64.0,0,90,0.0,0.0
24,43.0,0,90,0.0,0.0
25,38.0,0,90,0.0,0.0
26,65.0,90,90,0.0,0.0
27,67.0,0,90,0.0,0.0
28,43.0,0,90,0.0,0.0
29,67.0,90,90,0.0,0.0
30,40.0,0,90,0.0,0.0
31,43.0,0,90,0.0,0.0
32,64.0,0,90,0.0,0.0
33,36.0,90,90,0.0,0.0
34,76.0,0,90,0.0,0.0
35,43.0,0,90,0.0,0.0
36,40.0,0,90,0.0,0.0
37,72.0,0,90,0.0,0.0
38,67.0,90,90,0.0,0.0
39,64.0,0,90,0.0,0.0
40,72.0,87,90,0.0,0.0
41,31.0,0,90,0.0,0.0
42,62.0,0,90,0.0,0.0
43,71.0,64,90,0.0,0.0
44,43.0,0,90,0.0,0.0
45,62.0,0,90,0.0,0.0
46,67.0,8,90,0.0,0.0
47,71.0,0,90,0.0,0.0
48,31.0,26,60,0.0,0.0
49,43.0,0,60,0.0,0.0
50,29.0,82,30,0.0,0.0
51,41.0,0,30,0.0,0.0
52,67.0,0,180,0.0,0.0
53,28.0,3,180,0.0,0.0
54,40.0,0,180,0.0,0.0
