,note,step,duration,channel,velocity
0,50.0,5,35,4.0,0.0
1,86.0,44,40,0.0,0.0
2,62.0,0,35,3.0,0.0
3,74.0,0,35,2.0,0.0
4,86.0,0,35,1.0,0.0
5,74.0,0,12,1.0,0.0
6,50.0,0,12,3.0,0.0
7,38.0,9,12,4.0,0.0
8,62.0,0,12,2.0,0.0
9,74.0,27,18,0.0,0.0
10,38.0,17,24,4.0,0.0
11,62.0,0,24,2.0,0.0
12,74.0,0,24,1.0,0.0
13,50.0,0,24,3.0,0.0
14,74.0,186,38,0.0,0.0
15,81.0,3,35,1.0,0.0
16,69.0,0,35,2.0,0.0
17,57.0,0,35,3.0,0.0
18,45.0,0,35,4.0,0.0
19,81.0,46,35,0.0,0.0
20,45.0,0,12,3.0,0.0
21,69.0,3,12,1.0,0.0
22,57.0,0,12,2.0,0.0
23,33.0,0,12,4.0,0.0
24,69.0,33,12,0.0,0.0
25,69.0,0,24,1.0,0.0
26,57.0,0,24,2.0,0.0
27,45.0,0,24,3.0,0.0
28,33.0,3,24,4.0,0.0
29,69.0,233,24,0.0,0.0
30,53.0,26,68,9.0,0.0
31,41.0,47,22,9.0,0.0
32,41.0,27,45,9.0,0.0
33,62.0,0,35,11.0,0.0
34,38.0,0,35,4.0,0.0
35,74.0,0,35,1.0,0.0
36,62.0,3,35,2.0,0.0
37,50.0,11,24,8.0,0.0
38,86.0,0,35,5.0,0.0
39,62.0,0,35,10.0,0.0
40,50.0,0,35,3.0,0.0
41,74.0,0,35,6.0,0.0
42,74.0,0,35,7.0,0.0
43,86.0,0,35,6.0,0.0
44,74.0,46,35,0.0,0.0
45,50.0,0,12,11.0,0.0
46,50.0,0,12,2.0,0.0
47,62.0,0,12,1.0,0.0
48,26.0,0,12,4.0,0.0
49,74.0,0,12,6.0,0.0
50,62.0,0,12,6.0,0.0
51,74.0,0,12,5.0,0.0
52,38.0,0,12,8.0,0.0
53,62.0,0,12,7.0,0.0
54,50.0,3,12,10.0,0.0
55,38.0,0,12,3.0,0.0
56,62.0,33,12,0.0,0.0
57,26.0,0,24,4.0,0.0
58,62.0,0,24,1.0,0.0
59,50.0,0,24,2.0,0.0
60,74.0,0,24,6.0,0.0
61,62.0,0,24,6.0,0.0
62,50.0,0,24,11.0,0.0
63,50.0,0,24,10.0,0.0
64,38.0,0,24,3.0,0.0
65,74.0,0,24,5.0,0.0
66,38.0,0,24,8.0,0.0
67,62.0,3,24,7.0,0.0
68,62.0,333,24,0.0,0.0
69,81.0,49,35,1.0,0.0
70,81.0,11,24,6.0,0.0
71,69.0,36,12,1.0,0.0
72,69.0,48,24,1.0,0.0
73,74.0,0,24,1.0,0.0
74,74.0,48,24,6.0,0.0
75,76.0,48,24,1.0,0.0
76,77.0,48,24,1.0,0.0
77,76.0,48,24,1.0,0.0
78,76.0,0,24,6.0,0.0
79,77.0,48,24,1.0,0.0
80,79.0,48,24,1.0,0.0
81,77.0,48,24,6.0,0.0
82,77.0,0,24,1.0,0.0
83,76.0,48,24,1.0,0.0
84,74.0,48,24,1.0,0.0
85,77.0,0,24,1.0,0.0
86,74.0,37,35,2.0,0.0
87,77.0,11,24,6.0,0.0
88,74.0,0,24,7.0,0.0
89,76.0,12,24,1.0,0.0
90,62.0,36,12,2.0,0.0
91,74.0,0,24,1.0,0.0
92,62.0,48,24,2.0,0.0
93,69.0,0,24,2.0,0.0
94,72.0,0,24,1.0,0.0
95,69.0,48,24,7.0,0.0
96,72.0,0,24,6.0,0.0
97,71.0,0,24,1.0,0.0
98,71.0,48,24,2.0,0.0
99,72.0,0,24,2.0,0.0
100,69.0,48,24,1.0,0.0
101,71.0,0,24,2.0,0.0
102,68.0,0,24,1.0,0.0
103,71.0,0,24,7.0,0.0
104,68.0,48,24,6.0,0.0
105,69.0,48,24,1.0,0.0
106,72.0,0,24,2.0,0.0
107,74.0,0,24,2.0,0.0
108,71.0,48,24,1.0,0.0
109,72.0,0,24,7.0,0.0
110,72.0,48,24,2.0,0.0
111,69.0,0,24,6.0,0.0
112,69.0,0,24,1.0,0.0
113,71.0,48,24,2.0,0.0
114,68.0,0,24,1.0,0.0
115,69.0,0,24,2.0,0.0
116,69.0,48,24,1.0,0.0
117,67.0,0,24,1.0,0.0
118,67.0,0,24,6.0,0.0
119,69.0,0,24,10.0,0.0
120,70.0,11,24,2.0,0.0
121,69.0,37,35,3.0,0.0
122,70.0,0,24,7.0,0.0
123,69.0,0,24,8.0,0.0
124,65.0,12,24,1.0,0.0
125,69.0,0,24,2.0,0.0
126,57.0,36,12,3.0,0.0
127,57.0,0,24,3.0,0.0
128,67.0,0,24,2.0,0.0
129,64.0,48,24,1.0,0.0
130,62.0,0,24,8.0,0.0
131,62.0,0,24,1.0,0.0
132,65.0,0,24,7.0,0.0
133,65.0,48,24,2.0,0.0
134,62.0,0,24,10.0,0.0
135,50.0,0,24,3.0,0.0
136,62.0,0,24,6.0,0.0
137,67.0,48,24,1.0,0.0
138,64.0,0,24,2.0,0.0
139,52.0,0,24,3.0,0.0
140,69.0,0,24,1.0,0.0
141,53.0,48,24,3.0,0.0
