,note,step,duration,channel,velocity
0,53.0,0.0,360.0,1.0,0.0
1,57.0,0.0,360.0,1.0,0.0
2,38.0,0.0,360.0,2.0,0.0
3,45.0,0.0,360.0,2.0,0.0
4,50.0,0.0,360.0,2.0,0.0
5,41.0,0.0,360.0,2.0,0.0
6,62.0,240.0,15.0,1.0,0.0
7,62.0,113.0,15.0,0.0,0.0
8,62.0,240.0,15.0,0.0,0.0
9,62.0,7.0,360.0,1.0,0.0
10,62.0,240.0,120.0,0.0,0.0
11,62.0,7.0,360.0,1.0,0.0
12,62.0,113.0,15.0,0.0,0.0
13,63.0,0.0,240.0,1.0,0.0
14,62.0,120.0,240.0,1.0,0.0
15,63.0,0.0,360.0,0.0,0.0
16,62.0,240.0,120.0,1.0,0.0
17,63.0,0.0,15.0,1.0,0.0
18,62.0,0.0,15.0,1.0,0.0
19,63.0,120.0,15.0,1.0,0.0
20,63.0,0.0,15.0,0.0,0.0
21,60.0,120.0,240.0,1.0,0.0
22,63.0,0.0,240.0,1.0,0.0
23,63.0,0.0,15.0,0.0,0.0
24,63.0,0.0,120.0,1.0,0.0
25,60.0,0.0,120.0,1.0,0.0
26,68.0,0.0,240.0,0.0,0.0
27,68.0,0.0,240.0,1.0,0.0
28,63.0,0.0,240.0,1.0,0.0
29,60.0,120.0,240.0,1.0,0.0
30,48.0,0.0,15.0,2.0,0.0
31,51.0,0.0,15.0,2.0,0.0
32,60.0,0.0,120.0,1.0,0.0
33,63.0,0.0,120.0,1.0,0.0
34,67.0,240.0,120.0,0.0,0.0
35,67.0,0.0,15.0,1.0,0.0
36,48.0,0.0,15.0,2.0,0.0
37,60.0,0.0,240.0,1.0,0.0
38,63.0,0.0,240.0,1.0,0.0
39,67.0,0.0,240.0,0.0,0.0
40,64.0,0.0,120.0,1.0,0.0
41,65.0,0.0,120.0,1.0,0.0
42,45.0,0.0,15.0,2.0,0.0
43,48.0,120.0,15.0,2.0,0.0
44,51.0,0.0,15.0,2.0,0.0
45,60.0,0.0,120.0,1.0,0.0
46,66.0,0.0,120.0,0.0,0.0
47,45.0,0.0,15.0,2.0,0.0
48,48.0,240.0,15.0,2.0,0.0
49,51.0,0.0,240.0,2.0,0.0
50,54.0,0.0,120.0,1.0,0.0
51,48.0,0.0,15.0,2.0,0.0
52,45.0,0.0,15.0,2.0,0.0
53,66.0,120.0,15.0,1.0,0.0
54,66.0,0.0,15.0,0.0,0.0
55,54.0,0.0,120.0,1.0,0.0
56,48.0,0.0,15.0,2.0,0.0
57,45.0,240.0,15.0,2.0,0.0
58,51.0,0.0,15.0,2.0,0.0
59,54.0,0.0,240.0,2.0,0.0
60,72.0,0.0,240.0,1.0,0.0
61,60.0,0.0,240.0,1.0,0.0
62,72.0,0.0,240.0,0.0,0.0
63,74.0,0.0,120.0,1.0,0.0
64,62.0,0.0,120.0,1.0,0.0
65,74.0,0.0,120.0,0.0,0.0
66,54.0,0.0,120.0,2.0,0.0
67,48.0,0.0,120.0,2.0,0.0
68,45.0,120.0,15.0,2.0,0.0
69,75.0,0.0,240.0,0.0,0.0
70,63.0,0.0,240.0,1.0,0.0
71,75.0,0.0,240.0,1.0,0.0
72,45.0,240.0,15.0,2.0,0.0
73,51.0,0.0,15.0,2.0,0.0
74,54.0,0.0,240.0,2.0,0.0
75,48.0,0.0,15.0,2.0,0.0
76,45.0,0.0,15.0,2.0,0.0
77,54.0,0.0,120.0,1.0,0.0
78,66.0,240.0,120.0,1.0,0.0
79,51.0,0.0,120.0,2.0,0.0
80,66.0,0.0,15.0,0.0,0.0
81,46.0,0.0,240.0,2.0,0.0
