,note,step,duration,channel,velocity
0,32.0,42.0,300.0,2.0,64.0
1,44.0,0.0,300.0,2.0,64.0
2,51.0,0.0,300.0,0.0,64.0
3,56.0,0.0,300.0,0.0,64.0
4,39.0,0.0,300.0,2.0,64.0
5,35.0,0.0,300.0,2.0,64.0
6,47.0,0.0,300.0,0.0,64.0
7,51.0,0.0,20.0,0.0,64.0
8,56.0,0.0,20.0,0.0,64.0
9,47.0,87.0,20.0,2.0,64.0
10,55.0,0.0,90.0,0.0,64.0
11,46.0,33.0,90.0,2.0,64.0
12,58.0,0.0,90.0,0.0,64.0
13,51.0,0.0,90.0,0.0,64.0
14,44.0,0.0,20.0,2.0,64.0
15,56.0,0.0,20.0,0.0,64.0
16,59.0,246.0,20.0,0.0,64.0
17,51.0,0.0,20.0,0.0,64.0
18,50.0,0.0,240.0,2.0,64.0
19,53.0,96.0,240.0,0.0,64.0
20,56.0,0.0,240.0,0.0,64.0
21,59.0,0.0,240.0,0.0,64.0
22,55.0,0.0,90.0,0.0,64.0
23,51.0,132.0,90.0,2.0,64.0
24,58.0,0.0,90.0,0.0,64.0
25,40.0,324.0,20.0,2.0,64.0
26,52.0,0.0,300.0,2.0,64.0
27,55.0,0.0,300.0,0.0,64.0
28,61.0,42.0,300.0,0.0,64.0
29,58.0,0.0,300.0,0.0,64.0
30,61.0,0.0,20.0,0.0,64.0
31,55.0,0.0,20.0,0.0,64.0
32,52.0,87.0,20.0,2.0,64.0
33,58.0,0.0,20.0,0.0,64.0
34,63.0,0.0,90.0,0.0,64.0
35,58.0,33.0,90.0,0.0,64.0
36,51.0,0.0,90.0,2.0,64.0
37,55.0,0.0,90.0,0.0,64.0
38,55.0,0.0,20.0,0.0,64.0
39,64.0,246.0,20.0,0.0,64.0
40,58.0,0.0,20.0,0.0,64.0
41,49.0,0.0,20.0,2.0,64.0
42,55.0,0.0,240.0,0.0,64.0
43,64.0,96.0,240.0,0.0,64.0
44,58.0,0.0,240.0,0.0,64.0
45,47.0,132.0,330.0,2.0,64.0
46,56.0,0.0,90.0,0.0,64.0
47,63.0,0.0,90.0,0.0,64.0
48,59.0,0.0,90.0,0.0,64.0
49,47.0,324.0,20.0,2.0,64.0
50,59.0,0.0,300.0,2.0,64.0
51,68.0,0.0,300.0,0.0,64.0
52,65.0,42.0,300.0,0.0,64.0
53,62.0,0.0,300.0,0.0,64.0
54,65.0,0.0,20.0,0.0,64.0
