,note,step,duration,channel,velocity
0,74.0,0.0,1440.0,0.0,64.0
1,62.0,1440.0,720.0,0.0,64.0
2,50.0,0.0,1440.0,0.0,64.0
3,38.0,132.0,720.0,0.0,64.0
4,46.0,120.0,120.0,0.0,64.0
5,50.0,0.0,120.0,0.0,64.0
6,65.0,0.0,120.0,0.0,64.0
7,62.0,120.0,120.0,0.0,64.0
8,50.0,480.0,120.0,0.0,64.0
9,46.0,0.0,120.0,0.0,64.0
10,58.0,0.0,120.0,0.0,64.0
11,43.0,0.0,120.0,0.0,64.0
12,39.0,120.0,120.0,0.0,64.0
13,48.0,0.0,120.0,0.0,64.0
14,67.0,0.0,120.0,0.0,64.0
15,63.0,120.0,120.0,0.0,64.0
16,43.0,480.0,120.0,0.0,64.0
17,48.0,0.0,120.0,0.0,64.0
18,39.0,0.0,120.0,0.0,64.0
19,60.0,0.0,120.0,0.0,64.0
20,41.0,0.0,120.0,0.0,64.0
21,48.0,0.0,120.0,0.0,64.0
22,51.0,120.0,120.0,0.0,64.0
23,63.0,0.0,120.0,0.0,64.0
24,60.0,120.0,120.0,0.0,64.0
25,48.0,0.0,120.0,0.0,64.0
26,51.0,480.0,120.0,0.0,64.0
27,41.0,0.0,120.0,0.0,64.0
28,57.0,0.0,120.0,0.0,64.0
29,46.0,240.0,120.0,0.0,64.0
30,50.0,0.0,120.0,0.0,64.0
31,58.0,0.0,120.0,0.0,64.0
32,46.0,1788.0,120.0,0.0,64.0
33,50.0,0.0,120.0,0.0,64.0
34,58.0,0.0,120.0,0.0,64.0
35,77.0,0.0,1440.0,0.0,64.0
36,65.0,1440.0,720.0,0.0,64.0
37,53.0,0.0,1440.0,0.0,64.0
38,41.0,132.0,720.0,0.0,64.0
39,45.0,0.0,120.0,0.0,64.0
40,48.0,0.0,120.0,0.0,64.0
41,53.0,0.0,120.0,0.0,64.0
42,72.0,120.0,120.0,0.0,64.0
43,69.0,120.0,120.0,0.0,64.0
44,65.0,0.0,120.0,0.0,64.0
45,48.0,0.0,120.0,0.0,64.0
46,53.0,480.0,120.0,0.0,64.0
47,45.0,0.0,120.0,0.0,64.0
48,55.0,0.0,120.0,0.0,64.0
49,46.0,120.0,120.0,0.0,64.0
50,50.0,0.0,120.0,0.0,64.0
51,74.0,0.0,120.0,0.0,64.0
52,70.0,120.0,120.0,0.0,64.0
53,50.0,0.0,120.0,0.0,64.0
54,55.0,0.0,120.0,0.0,64.0
55,67.0,480.0,120.0,0.0,64.0
56,46.0,0.0,120.0,0.0,64.0
57,48.0,0.0,120.0,0.0,64.0
58,55.0,120.0,120.0,0.0,64.0
59,58.0,0.0,120.0,0.0,64.0
60,70.0,0.0,120.0,0.0,64.0
61,67.0,120.0,120.0,0.0,64.0
62,64.0,480.0,120.0,0.0,64.0
63,55.0,0.0,120.0,0.0,64.0
64,58.0,0.0,120.0,0.0,64.0
65,48.0,0.0,120.0,0.0,64.0
66,65.0,240.0,120.0,0.0,64.0
