,note,step,duration,channel,velocity
0,75.0,240.0,240.0,0.0,0.0
1,63.0,0.0,240.0,1.0,0.0
2,58.0,0.0,240.0,2.0,0.0
3,67.0,240.0,240.0,1.0,0.0
4,55.0,0.0,15.0,2.0,0.0
5,51.0,192.0,15.0,3.0,0.0
6,79.0,48.0,180.0,0.0,0.0
7,58.0,192.0,240.0,2.0,0.0
8,51.0,0.0,15.0,3.0,0.0
9,75.0,48.0,180.0,0.0,0.0
10,63.0,240.0,240.0,1.0,0.0
11,58.0,480.0,240.0,2.0,0.0
12,70.0,0.0,960.0,1.0,0.0
13,55.0,0.0,15.0,2.0,0.0
14,82.0,240.0,960.0,0.0,0.0
15,58.0,0.0,240.0,2.0,0.0
16,55.0,0.0,15.0,2.0,0.0
17,51.0,480.0,15.0,3.0,0.0
18,58.0,0.0,240.0,2.0,0.0
19,55.0,0.0,15.0,2.0,0.0
20,80.0,240.0,240.0,0.0,0.0
21,58.0,0.0,240.0,2.0,0.0
22,79.0,240.0,240.0,0.0,0.0
23,55.0,0.0,15.0,2.0,0.0
24,51.0,0.0,15.0,3.0,0.0
25,77.0,240.0,240.0,0.0,0.0
26,75.0,240.0,240.0,0.0,0.0
27,58.0,0.0,240.0,2.0,0.0
28,51.0,0.0,15.0,3.0,0.0
29,55.0,0.0,480.0,2.0,0.0
30,74.0,240.0,240.0,0.0,0.0
31,58.0,0.0,240.0,2.0,0.0
32,75.0,0.0,240.0,0.0,0.0
33,55.0,480.0,480.0,2.0,0.0
34,51.0,0.0,480.0,3.0,0.0
35,79.0,240.0,240.0,0.0,0.0
36,75.0,0.0,240.0,0.0,0.0
37,58.0,0.0,240.0,2.0,0.0
38,56.0,0.0,480.0,2.0,0.0
39,74.0,360.0,480.0,0.0,0.0
40,60.0,0.0,240.0,2.0,0.0
41,56.0,0.0,480.0,2.0,0.0
42,51.0,0.0,15.0,3.0,0.0
43,72.0,120.0,360.0,0.0,0.0
44,60.0,240.0,240.0,2.0,0.0
45,70.0,240.0,240.0,0.0,0.0
46,56.0,0.0,480.0,2.0,0.0
47,60.0,0.0,240.0,2.0,0.0
48,68.0,0.0,240.0,0.0,0.0
49,56.0,0.0,480.0,2.0,0.0
50,51.0,240.0,15.0,3.0,0.0
51,67.0,240.0,240.0,0.0,0.0
52,65.0,0.0,240.0,0.0,0.0
53,60.0,240.0,240.0,2.0,0.0
54,56.0,240.0,480.0,2.0,0.0
55,51.0,0.0,15.0,3.0,0.0
56,64.0,240.0,240.0,0.0,0.0
57,65.0,0.0,240.0,0.0,0.0
58,60.0,0.0,240.0,2.0,0.0
59,68.0,240.0,240.0,0.0,0.0
60,51.0,0.0,480.0,3.0,0.0
61,56.0,0.0,480.0,2.0,0.0
62,65.0,0.0,240.0,0.0,0.0
63,60.0,480.0,240.0,2.0,0.0
64,62.0,0.0,960.0,0.0,0.0
65,56.0,480.0,480.0,2.0,0.0
66,53.0,0.0,480.0,2.0,0.0
67,58.0,0.0,240.0,2.0,0.0
68,51.0,0.0,15.0,3.0,0.0
69,56.0,0.0,480.0,2.0,0.0
70,53.0,0.0,480.0,2.0,0.0
71,58.0,240.0,240.0,2.0,0.0
72,51.0,0.0,15.0,3.0,0.0
73,65.0,240.0,240.0,0.0,0.0
74,56.0,0.0,480.0,2.0,0.0
75,58.0,0.0,240.0,2.0,0.0
76,53.0,0.0,15.0,2.0,0.0
77,51.0,192.0,15.0,3.0,0.0
