,note,step,duration,channel,velocity
0,44.0,0.0,480.0,2.0,0.0
1,68.0,480.0,480.0,0.0,0.0
2,60.0,0.0,480.0,1.0,0.0
3,63.0,0.0,480.0,1.0,0.0
4,48.0,0.0,480.0,2.0,0.0
5,68.0,480.0,480.0,0.0,0.0
6,65.0,0.0,480.0,1.0,0.0
7,49.0,0.0,480.0,2.0,0.0
8,70.0,720.0,480.0,0.0,0.0
9,67.0,0.0,720.0,0.0,0.0
10,58.0,240.0,720.0,1.0,0.0
11,51.0,0.0,720.0,2.0,0.0
12,68.0,0.0,240.0,0.0,0.0
13,53.0,0.0,240.0,2.0,0.0
14,63.0,420.0,15.0,1.0,0.0
15,70.0,7.0,420.0,0.0,0.0
16,55.0,0.0,420.0,2.0,0.0
17,56.0,480.0,480.0,2.0,0.0
18,72.0,0.0,480.0,0.0,0.0
19,63.0,0.0,480.0,1.0,0.0
20,72.0,480.0,480.0,0.0,0.0
21,68.0,0.0,15.0,1.0,0.0
22,53.0,0.0,480.0,2.0,0.0
23,65.0,0.0,15.0,1.0,0.0
24,70.0,0.0,480.0,1.0,0.0
25,49.0,480.0,480.0,2.0,0.0
26,73.0,0.0,480.0,0.0,0.0
27,72.0,240.0,720.0,0.0,0.0
28,68.0,240.0,480.0,1.0,0.0
29,63.0,0.0,480.0,1.0,0.0
30,51.0,0.0,480.0,2.0,0.0
31,52.0,0.0,480.0,2.0,0.0
32,61.0,420.0,480.0,2.0,0.0
33,67.0,0.0,480.0,1.0,0.0
34,70.0,0.0,240.0,0.0,0.0
35,68.0,8.0,420.0,0.0,0.0
36,65.0,7.0,420.0,1.0,0.0
37,53.0,285.0,420.0,2.0,0.0
38,60.0,0.0,420.0,2.0,0.0
39,49.0,480.0,480.0,2.0,0.0
40,72.0,240.0,240.0,0.0,0.0
41,65.0,0.0,480.0,1.0,0.0
42,61.0,0.0,480.0,1.0,0.0
43,70.0,0.0,240.0,0.0,0.0
44,63.0,0.0,480.0,1.0,0.0
45,68.0,0.0,480.0,0.0,0.0
46,51.0,480.0,480.0,2.0,0.0
47,60.0,0.0,480.0,1.0,0.0
48,58.0,0.0,480.0,1.0,0.0
49,67.0,310.0,480.0,0.0,0.0
50,39.0,0.0,480.0,2.0,0.0
51,60.0,0.0,570.0,1.0,0.0
52,63.0,0.0,15.0,1.0,0.0
53,68.0,227.0,570.0,0.0,0.0
54,44.0,265.0,300.0,2.0,0.0
55,39.0,352.0,330.0,2.0,0.0
56,32.0,766.0,180.0,2.0,0.0
57,60.0,480.0,480.0,1.0,0.0
58,44.0,0.0,480.0,2.0,0.0
59,68.0,0.0,480.0,0.0,0.0
60,63.0,0.0,480.0,1.0,0.0
61,48.0,0.0,480.0,2.0,0.0
62,68.0,480.0,480.0,0.0,0.0
63,49.0,0.0,480.0,2.0,0.0
64,65.0,0.0,480.0,1.0,0.0
65,70.0,720.0,480.0,0.0,0.0
66,67.0,0.0,720.0,0.0,0.0
67,58.0,240.0,720.0,1.0,0.0
68,51.0,0.0,720.0,2.0,0.0
69,53.0,0.0,240.0,2.0,0.0
70,63.0,0.0,240.0,1.0,0.0
71,68.0,420.0,240.0,0.0,0.0
72,55.0,0.0,420.0,2.0,0.0
73,63.0,533.0,420.0,1.0,0.0
74,70.0,7.0,420.0,0.0,0.0
75,63.0,480.0,480.0,1.0,0.0
76,56.0,0.0,480.0,2.0,0.0
77,68.0,0.0,480.0,1.0,0.0
78,72.0,0.0,480.0,0.0,0.0
79,72.0,0.0,480.0,0.0,0.0
80,53.0,0.0,480.0,2.0,0.0
81,65.0,480.0,480.0,1.0,0.0
82,68.0,0.0,480.0,1.0,0.0
83,49.0,0.0,480.0,2.0,0.0
84,73.0,0.0,480.0,0.0,0.0
85,70.0,480.0,480.0,1.0,0.0
86,65.0,0.0,480.0,1.0,0.0
87,51.0,240.0,480.0,2.0,0.0
88,63.0,0.0,480.0,1.0,0.0
89,68.0,0.0,480.0,1.0,0.0
90,72.0,240.0,720.0,0.0,0.0
91,52.0,0.0,480.0,2.0,0.0
92,61.0,420.0,480.0,2.0,0.0
93,67.0,0.0,480.0,1.0,0.0
94,70.0,0.0,240.0,0.0,0.0
95,65.0,7.0,420.0,1.0,0.0
96,68.0,0.0,420.0,0.0,0.0
97,60.0,8.0,420.0,2.0,0.0
98,53.0,285.0,420.0,2.0,0.0
99,65.0,0.0,480.0,1.0,0.0
100,61.0,0.0,480.0,1.0,0.0
101,49.0,0.0,480.0,2.0,0.0
102,72.0,240.0,240.0,0.0,0.0
103,70.0,480.0,240.0,0.0,0.0
104,51.0,480.0,480.0,2.0,0.0
105,60.0,0.0,480.0,1.0,0.0
106,68.0,0.0,480.0,0.0,0.0
107,67.0,0.0,480.0,0.0,0.0
108,63.0,0.0,15.0,1.0,0.0
109,58.0,0.0,480.0,1.0,0.0
110,39.0,310.0,480.0,2.0,0.0
111,68.0,0.0,570.0,0.0,0.0
112,44.0,265.0,300.0,2.0,0.0
113,60.0,215.0,570.0,1.0,0.0
114,63.0,0.0,570.0,1.0,0.0
115,32.0,170.0,300.0,2.0,0.0
116,70.0,240.0,240.0,0.0,0.0
117,72.0,240.0,240.0,0.0,0.0
118,73.0,480.0,240.0,0.0,0.0
119,75.0,480.0,480.0,0.0,0.0
120,72.0,0.0,480.0,1.0,0.0
121,44.0,0.0,480.0,2.0,0.0
122,48.0,0.0,480.0,2.0,0.0
123,63.0,0.0,15.0,1.0,0.0
124,75.0,0.0,480.0,0.0,0.0
125,72.0,0.0,480.0,1.0,0.0
126,51.0,0.0,480.0,2.0,0.0
127,63.0,480.0,15.0,1.0,0.0
128,75.0,0.0,15.0,0.0,0.0
129,72.0,480.0,15.0,1.0,0.0
130,56.0,240.0,480.0,2.0,0.0
131,44.0,0.0,480.0,2.0,0.0
132,70.0,0.0,240.0,1.0,0.0
133,63.0,240.0,15.0,1.0,0.0
134,73.0,0.0,240.0,0.0,0.0
135,63.0,420.0,15.0,1.0,0.0
136,72.0,0.0,420.0,0.0,0.0
137,68.0,15.0,420.0,1.0,0.0
138,39.0,0.0,480.0,2.0,0.0
139,70.0,0.0,15.0,1.0,0.0
140,63.0,480.0,15.0,1.0,0.0
141,73.0,0.0,15.0,0.0,0.0
142,43.0,0.0,480.0,2.0,0.0
143,73.0,0.0,15.0,0.0,0.0
144,63.0,480.0,15.0,1.0,0.0
145,46.0,0.0,480.0,2.0,0.0
146,73.0,0.0,15.0,0.0,0.0
147,63.0,480.0,15.0,1.0,0.0
148,70.0,0.0,15.0,1.0,0.0
149,51.0,240.0,480.0,2.0,0.0
150,39.0,420.0,480.0,2.0,0.0
151,68.0,0.0,240.0,1.0,0.0
152,63.0,0.0,15.0,1.0,0.0
153,72.0,0.0,240.0,0.0,0.0
154,70.0,533.0,420.0,0.0,0.0
155,63.0,7.0,420.0,1.0,0.0
156,67.0,0.0,420.0,1.0,0.0
157,72.0,0.0,480.0,0.0,0.0
158,68.0,0.0,480.0,1.0,0.0
159,63.0,0.0,480.0,1.0,0.0
160,44.0,240.0,480.0,2.0,0.0
161,65.0,240.0,240.0,1.0,0.0
162,73.0,0.0,240.0,0.0,0.0
163,63.0,240.0,240.0,1.0,0.0
164,72.0,0.0,240.0,0.0,0.0
165,56.0,0.0,15.0,2.0,0.0
166,61.0,240.0,240.0,1.0,0.0
167,70.0,0.0,240.0,0.0,0.0
168,60.0,720.0,240.0,1.0,0.0
169,68.0,0.0,240.0,0.0,0.0
170,72.0,0.0,720.0,0.0,0.0
171,56.0,240.0,720.0,2.0,0.0
172,63.0,0.0,720.0,1.0,0.0
173,73.0,0.0,240.0,0.0,0.0
174,68.0,0.0,15.0,1.0,0.0
175,61.0,0.0,240.0,1.0,0.0
176,53.0,420.0,240.0,2.0,0.0
177,75.0,7.0,420.0,0.0,0.0
178,63.0,8.0,420.0,1.0,0.0
179,68.0,0.0,15.0,1.0,0.0
180,48.0,160.0,480.0,2.0,0.0
181,49.0,80.0,240.0,2.0,0.0
182,77.0,80.0,150.0,0.0,0.0
183,75.0,160.0,150.0,0.0,0.0
184,46.0,480.0,240.0,2.0,0.0
185,73.0,0.0,150.0,0.0,0.0
186,68.0,0.0,480.0,1.0,0.0
187,63.0,480.0,480.0,1.0,0.0
188,72.0,0.0,480.0,0.0,0.0
189,51.0,0.0,480.0,2.0,0.0
190,70.0,0.0,480.0,0.0,0.0
191,39.0,0.0,480.0,2.0,0.0
192,67.0,310.0,480.0,1.0,0.0
193,61.0,0.0,480.0,1.0,0.0
194,68.0,310.0,480.0,0.0,0.0
195,63.0,0.0,480.0,1.0,0.0
196,44.0,170.0,300.0,2.0,0.0
197,60.0,0.0,480.0,1.0,0.0
198,39.0,314.0,300.0,2.0,0.0
199,32.0,576.0,150.0,2.0,0.0
200,68.0,240.0,240.0,0.0,0.0
201,67.0,240.0,240.0,0.0,0.0
202,68.0,0.0,480.0,0.0,0.0
203,60.0,240.0,240.0,1.0,0.0
204,53.0,0.0,480.0,2.0,0.0
205,65.0,240.0,240.0,1.0,0.0
206,61.0,240.0,240.0,1.0,0.0
