,note,step,duration,channel,velocity
0,74.0,1.0,60.0,10.0,0.0
1,86.0,1.0,60.0,0.0,0.0
2,62.0,10.0,60.0,11.0,0.0
3,74.0,0.0,60.0,1.0,0.0
4,62.0,48.0,60.0,3.0,0.0
5,75.0,1.0,60.0,10.0,0.0
6,87.0,1.0,60.0,0.0,0.0
7,63.0,0.0,60.0,11.0,0.0
8,75.0,10.0,60.0,1.0,0.0
9,63.0,158.0,60.0,3.0,0.0
10,57.0,1.0,60.0,10.0,0.0
11,69.0,1.0,60.0,0.0,0.0
12,57.0,0.0,60.0,11.0,0.0
13,69.0,4.0,60.0,1.0,0.0
14,57.0,5.0,60.0,12.0,0.0
15,45.0,1.0,60.0,13.0,0.0
16,45.0,2.0,60.0,3.0,0.0
17,33.0,13.0,60.0,14.0,0.0
18,58.0,2.0,20.0,10.0,0.0
19,70.0,3.0,15.0,0.0,0.0
20,58.0,1.0,30.0,11.0,0.0
21,70.0,4.0,20.0,1.0,0.0
22,58.0,6.0,20.0,12.0,0.0
23,46.0,1.0,30.0,13.0,0.0
24,46.0,4.0,30.0,3.0,0.0
25,34.0,6.0,40.0,14.0,0.0
26,69.0,7.0,15.0,0.0,0.0
27,57.0,1.0,20.0,10.0,0.0
28,69.0,0.0,20.0,1.0,0.0
29,57.0,3.0,20.0,12.0,0.0
30,57.0,0.0,30.0,11.0,0.0
31,70.0,5.0,15.0,0.0,0.0
32,58.0,2.0,20.0,10.0,0.0
33,45.0,1.0,30.0,13.0,0.0
34,45.0,8.0,30.0,3.0,0.0
35,70.0,3.0,20.0,1.0,0.0
36,58.0,5.0,20.0,12.0,0.0
37,69.0,1.0,15.0,0.0,0.0
38,33.0,3.0,40.0,14.0,0.0
39,57.0,1.0,20.0,10.0,0.0
40,58.0,2.0,30.0,11.0,0.0
41,69.0,4.0,20.0,1.0,0.0
42,70.0,1.0,15.0,0.0,0.0
43,57.0,6.0,20.0,12.0,0.0
44,46.0,1.0,30.0,13.0,0.0
45,46.0,4.0,30.0,3.0,0.0
46,58.0,1.0,20.0,10.0,0.0
47,69.0,3.0,15.0,0.0,0.0
48,70.0,0.0,20.0,1.0,0.0
49,58.0,7.0,20.0,12.0,0.0
50,57.0,4.0,30.0,11.0,0.0
51,34.0,6.0,40.0,14.0,0.0
52,70.0,7.0,15.0,0.0,0.0
53,57.0,2.0,20.0,10.0,0.0
54,45.0,1.0,30.0,13.0,0.0
55,69.0,0.0,20.0,1.0,0.0
56,45.0,2.0,30.0,3.0,0.0
57,57.0,3.0,20.0,12.0,0.0
58,69.0,2.0,15.0,0.0,0.0
59,58.0,2.0,20.0,10.0,0.0
60,70.0,3.0,20.0,1.0,0.0
61,58.0,8.0,30.0,11.0,0.0
62,58.0,6.0,20.0,12.0,0.0
63,70.0,1.0,15.0,0.0,0.0
64,46.0,0.0,30.0,13.0,0.0
65,46.0,0.0,30.0,3.0,0.0
66,33.0,6.0,40.0,14.0,0.0
67,57.0,1.0,20.0,10.0,0.0
68,69.0,4.0,20.0,1.0,0.0
69,69.0,1.0,15.0,0.0,0.0
70,57.0,8.0,20.0,12.0,0.0
71,57.0,0.0,30.0,11.0,0.0
72,58.0,1.0,20.0,10.0,0.0
73,45.0,1.0,30.0,13.0,0.0
74,70.0,1.0,20.0,0.0,0.0
75,45.0,18.0,30.0,3.0,0.0
76,70.0,2.0,20.0,1.0,0.0
77,58.0,5.0,20.0,12.0,0.0
78,33.0,2.0,15.0,14.0,0.0
79,55.0,1.0,30.0,10.0,0.0
80,67.0,1.0,30.0,0.0,0.0
81,67.0,4.0,30.0,1.0,0.0
82,55.0,0.0,30.0,11.0,0.0
83,55.0,5.0,30.0,12.0,0.0
84,43.0,1.0,30.0,13.0,0.0
85,43.0,2.0,30.0,3.0,0.0
86,31.0,16.0,30.0,14.0,0.0
87,57.0,1.0,30.0,10.0,0.0
88,69.0,1.0,30.0,0.0,0.0
89,57.0,4.0,30.0,11.0,0.0
90,69.0,0.0,30.0,1.0,0.0
91,57.0,5.0,30.0,12.0,0.0
92,45.0,1.0,30.0,13.0,0.0
93,45.0,2.0,30.0,3.0,0.0
94,33.0,46.0,30.0,14.0,0.0
95,60.0,1.0,60.0,10.0,0.0
96,72.0,1.0,60.0,0.0,0.0
97,60.0,0.0,60.0,11.0,0.0
98,72.0,4.0,60.0,1.0,0.0
