,note,step,duration,channel,velocity
0,60.0,0.0,2400.0,12.0,0.0
1,48.0,460.0,2880.0,5.0,0.0
2,60.0,0.0,2400.0,5.0,0.0
3,65.0,0.0,2400.0,12.0,0.0
4,72.0,0.0,2400.0,11.0,0.0
5,53.0,220.0,2400.0,13.0,0.0
6,72.0,0.0,2400.0,10.0,0.0
7,68.0,0.0,2400.0,10.0,0.0
8,56.0,0.0,2400.0,13.0,0.0
9,68.0,0.0,2400.0,11.0,0.0
10,29.0,0.0,450.0,4.0,0.0
11,48.0,20.0,450.0,2.0,0.0
12,44.0,0.0,450.0,3.0,0.0
13,44.0,240.0,210.0,3.0,0.0
14,29.0,0.0,210.0,4.0,0.0
15,48.0,0.0,210.0,2.0,0.0
16,48.0,0.0,210.0,2.0,0.0
17,29.0,20.0,210.0,4.0,0.0
18,44.0,0.0,210.0,3.0,0.0
19,48.0,0.0,450.0,2.0,0.0
20,43.0,480.0,450.0,3.0,0.0
21,28.0,0.0,450.0,4.0,0.0
22,28.0,480.0,450.0,4.0,0.0
23,43.0,0.0,450.0,3.0,0.0
24,48.0,0.0,450.0,2.0,0.0
25,43.0,240.0,450.0,3.0,0.0
26,48.0,0.0,450.0,2.0,0.0
27,24.0,0.0,450.0,4.0,0.0
28,24.0,240.0,210.0,4.0,0.0
29,43.0,0.0,210.0,3.0,0.0
30,48.0,0.0,210.0,2.0,0.0
31,48.0,0.0,210.0,2.0,0.0
32,43.0,480.0,210.0,3.0,0.0
33,24.0,0.0,210.0,4.0,0.0
34,44.0,0.0,450.0,3.0,0.0
35,48.0,0.0,450.0,2.0,0.0
36,29.0,480.0,450.0,4.0,0.0
37,48.0,0.0,450.0,2.0,0.0
38,29.0,0.0,450.0,4.0,0.0
39,44.0,480.0,450.0,3.0,0.0
40,44.0,0.0,450.0,3.0,0.0
41,48.0,240.0,450.0,2.0,0.0
42,29.0,0.0,450.0,4.0,0.0
43,44.0,240.0,210.0,3.0,0.0
44,29.0,0.0,210.0,4.0,0.0
45,48.0,0.0,210.0,2.0,0.0
46,46.0,0.0,210.0,2.0,0.0
47,50.0,0.0,210.0,2.0,0.0
48,29.0,0.0,210.0,4.0,0.0
49,44.0,480.0,210.0,3.0,0.0
50,27.0,0.0,450.0,4.0,0.0
51,51.0,0.0,450.0,2.0,0.0
52,48.0,480.0,450.0,2.0,0.0
53,44.0,0.0,450.0,3.0,0.0
54,48.0,0.0,450.0,2.0,0.0
55,44.0,0.0,450.0,3.0,0.0
56,27.0,480.0,450.0,4.0,0.0
57,51.0,0.0,450.0,2.0,0.0
58,51.0,0.0,450.0,2.0,0.0
59,46.0,0.0,450.0,2.0,0.0
60,27.0,240.0,450.0,4.0,0.0
61,43.0,0.0,450.0,3.0,0.0
62,27.0,0.0,210.0,4.0,0.0
63,41.0,0.0,210.0,3.0,0.0
64,44.0,240.0,210.0,2.0,0.0
65,51.0,0.0,210.0,2.0,0.0
66,51.0,0.0,210.0,2.0,0.0
67,27.0,0.0,210.0,4.0,0.0
68,43.0,0.0,210.0,3.0,0.0
69,46.0,480.0,210.0,2.0,0.0
70,51.0,0.0,450.0,2.0,0.0
71,48.0,0.0,450.0,2.0,0.0
72,44.0,0.0,450.0,3.0,0.0
73,32.0,960.0,450.0,4.0,0.0
74,48.0,0.0,450.0,3.0,0.0
75,51.0,0.0,450.0,2.0,0.0
76,32.0,240.0,450.0,4.0,0.0
77,51.0,0.0,210.0,2.0,0.0
78,48.0,0.0,210.0,3.0,0.0
79,32.0,240.0,210.0,4.0,0.0
80,32.0,0.0,210.0,4.0,0.0
81,48.0,0.0,210.0,3.0,0.0
82,53.0,480.0,210.0,2.0,0.0
83,31.0,480.0,450.0,4.0,0.0
84,55.0,0.0,450.0,2.0,0.0
85,47.0,0.0,450.0,3.0,0.0
86,55.0,0.0,450.0,2.0,0.0
87,47.0,480.0,450.0,3.0,0.0
88,31.0,0.0,450.0,4.0,0.0
89,50.0,0.0,450.0,2.0,0.0
90,31.0,0.0,450.0,4.0,0.0
91,46.0,240.0,450.0,3.0,0.0
92,31.0,240.0,210.0,4.0,0.0
93,46.0,0.0,210.0,3.0,0.0
94,50.0,0.0,210.0,2.0,0.0
95,31.0,480.0,210.0,4.0,0.0
96,52.0,0.0,210.0,2.0,0.0
97,46.0,0.0,210.0,3.0,0.0
98,45.0,480.0,450.0,3.0,0.0
99,29.0,0.0,450.0,4.0,0.0
100,53.0,0.0,450.0,2.0,0.0
101,53.0,0.0,450.0,2.0,0.0
102,29.0,0.0,450.0,4.0,0.0
103,44.0,480.0,450.0,3.0,0.0
104,29.0,0.0,450.0,4.0,0.0
105,48.0,0.0,450.0,2.0,0.0
106,44.0,240.0,450.0,3.0,0.0
107,44.0,0.0,210.0,3.0,0.0
108,48.0,0.0,210.0,2.0,0.0
109,29.0,240.0,210.0,4.0,0.0
110,44.0,0.0,210.0,3.0,0.0
111,48.0,0.0,210.0,2.0,0.0
112,29.0,480.0,210.0,4.0,0.0
113,43.0,0.0,450.0,3.0,0.0
114,28.0,0.0,450.0,4.0,0.0
115,48.0,480.0,450.0,2.0,0.0
116,44.0,0.0,450.0,3.0,0.0
117,29.0,0.0,450.0,4.0,0.0
118,48.0,480.0,450.0,2.0,0.0
119,24.0,0.0,450.0,4.0,0.0
120,43.0,0.0,450.0,3.0,0.0
121,48.0,240.0,450.0,2.0,0.0
122,50.0,0.0,210.0,2.0,0.0
123,43.0,240.0,210.0,3.0,0.0
