,note,step,duration,channel,velocity
0,40.0,120.0,480.0,14.0,64.0
1,64.0,0.0,480.0,10.0,64.0
2,59.0,0.0,480.0,11.0,64.0
3,56.0,0.0,480.0,12.0,64.0
4,76.0,0.0,120.0,10.0,64.0
5,71.0,0.0,120.0,11.0,64.0
6,68.0,0.0,120.0,12.0,64.0
7,52.0,0.0,15.0,13.0,64.0
8,40.0,0.0,120.0,14.0,64.0
9,52.0,240.0,120.0,13.0,64.0
10,71.0,0.0,120.0,11.0,64.0
11,76.0,0.0,120.0,10.0,64.0
12,40.0,0.0,120.0,14.0,64.0
13,68.0,0.0,120.0,12.0,64.0
14,76.0,480.0,120.0,10.0,64.0
15,40.0,0.0,120.0,14.0,64.0
16,52.0,0.0,120.0,13.0,64.0
17,71.0,0.0,120.0,11.0,64.0
18,68.0,0.0,120.0,12.0,64.0
19,64.0,60.0,60.0,10.0,64.0
20,66.0,60.0,60.0,10.0,64.0
21,68.0,60.0,60.0,10.0,64.0
22,69.0,60.0,60.0,10.0,64.0
23,71.0,60.0,60.0,10.0,64.0
24,73.0,60.0,60.0,10.0,64.0
25,75.0,120.0,60.0,10.0,64.0
26,52.0,0.0,120.0,14.0,64.0
27,64.0,0.0,120.0,13.0,64.0
28,68.0,0.0,120.0,11.0,64.0
29,76.0,0.0,120.0,10.0,64.0
30,71.0,240.0,120.0,12.0,64.0
31,71.0,240.0,120.0,11.0,64.0
32,51.0,0.0,120.0,14.0,64.0
33,71.0,0.0,120.0,12.0,64.0
34,63.0,0.0,120.0,13.0,64.0
35,78.0,0.0,120.0,10.0,64.0
36,52.0,240.0,120.0,14.0,64.0
37,64.0,0.0,120.0,13.0,64.0
38,71.0,0.0,120.0,11.0,64.0
39,71.0,0.0,120.0,12.0,64.0
40,80.0,0.0,120.0,10.0,64.0
41,81.0,0.0,120.0,10.0,64.0
42,78.0,240.0,120.0,11.0,64.0
43,59.0,0.0,120.0,13.0,64.0
44,47.0,0.0,120.0,14.0,64.0
45,71.0,0.0,120.0,12.0,64.0
46,76.0,0.0,120.0,11.0,64.0
47,80.0,0.0,120.0,10.0,64.0
48,40.0,240.0,120.0,14.0,64.0
49,52.0,0.0,120.0,13.0,64.0
50,71.0,0.0,120.0,12.0,64.0
51,75.0,0.0,120.0,11.0,64.0
52,71.0,0.0,120.0,12.0,64.0
53,59.0,0.0,120.0,13.0,64.0
54,78.0,0.0,120.0,10.0,64.0
55,47.0,1080.0,120.0,14.0,64.0
56,63.0,0.0,480.0,11.0,64.0
57,59.0,0.0,480.0,12.0,64.0
