,note,step,duration,channel,velocity
0,85.0,0.0,120.0,0.0,0.0
1,61.0,360.0,120.0,3.0,0.0
2,73.0,0.0,120.0,0.0,0.0
3,56.0,0.0,240.0,3.0,0.0
4,68.0,0.0,240.0,0.0,0.0
5,80.0,540.0,240.0,0.0,0.0
6,68.0,60.0,60.0,0.0,0.0
7,56.0,0.0,60.0,3.0,0.0
8,54.0,0.0,60.0,3.0,0.0
9,66.0,60.0,60.0,0.0,0.0
10,53.0,60.0,60.0,3.0,0.0
11,65.0,0.0,60.0,0.0,0.0
12,51.0,0.0,60.0,3.0,0.0
13,63.0,240.0,60.0,0.0,0.0
14,49.0,0.0,240.0,3.0,0.0
15,61.0,600.0,240.0,0.0,0.0
16,73.0,360.0,120.0,0.0,0.0
17,61.0,0.0,120.0,3.0,0.0
18,85.0,0.0,120.0,0.0,0.0
19,58.0,540.0,240.0,3.0,0.0
20,70.0,0.0,240.0,0.0,0.0
21,82.0,0.0,240.0,0.0,0.0
22,58.0,60.0,60.0,3.0,0.0
23,70.0,0.0,60.0,0.0,0.0
24,68.0,0.0,60.0,0.0,0.0
25,56.0,60.0,60.0,3.0,0.0
26,54.0,0.0,60.0,3.0,0.0
27,66.0,60.0,60.0,0.0,0.0
28,53.0,0.0,60.0,3.0,0.0
29,65.0,240.0,60.0,0.0,0.0
30,51.0,0.0,240.0,3.0,0.0
31,63.0,600.0,240.0,0.0,0.0
32,78.0,360.0,120.0,0.0,0.0
33,66.0,0.0,120.0,3.0,0.0
34,90.0,0.0,120.0,0.0,0.0
35,63.0,0.0,240.0,3.0,0.0
36,75.0,0.0,240.0,0.0,0.0
37,87.0,480.0,240.0,0.0,0.0
38,72.0,480.0,240.0,0.0,0.0
39,84.0,0.0,240.0,0.0,0.0
40,60.0,0.0,240.0,3.0,0.0
41,56.0,480.0,240.0,3.0,0.0
42,68.0,0.0,240.0,0.0,0.0
43,80.0,0.0,240.0,0.0,0.0
44,66.0,0.0,240.0,0.0,0.0
45,78.0,0.0,240.0,0.0,0.0
46,54.0,480.0,240.0,3.0,0.0
47,75.0,480.0,240.0,0.0,0.0
48,63.0,0.0,240.0,0.0,0.0
49,51.0,0.0,240.0,3.0,0.0
50,48.0,0.0,240.0,3.0,0.0
51,72.0,0.0,240.0,0.0,0.0
52,60.0,480.0,240.0,0.0,0.0
53,56.0,0.0,240.0,0.0,0.0
54,68.0,0.0,240.0,0.0,0.0
55,44.0,400.0,240.0,3.0,0.0
56,61.0,80.0,90.0,0.0,0.0
57,65.0,80.0,90.0,0.0,0.0
58,68.0,300.0,90.0,0.0,0.0
59,49.0,195.0,360.0,3.0,0.0
60,53.0,35.0,300.0,3.0,0.0
61,56.0,5.0,240.0,3.0,0.0
62,61.0,15.0,180.0,3.0,0.0
63,73.0,5.0,150.0,0.0,0.0
64,75.0,240.0,150.0,0.0,0.0
65,77.0,240.0,150.0,0.0,0.0
66,78.0,240.0,150.0,0.0,0.0
67,80.0,240.0,150.0,0.0,0.0
68,82.0,240.0,150.0,0.0,0.0
69,84.0,240.0,150.0,0.0,0.0
70,85.0,565.0,150.0,0.0,0.0
71,80.0,0.0,720.0,0.0,0.0
72,72.0,0.0,240.0,1.0,0.0
73,56.0,240.0,240.0,3.0,0.0
74,58.0,0.0,240.0,3.0,0.0
75,73.0,240.0,240.0,1.0,0.0
76,75.0,0.0,240.0,1.0,0.0
77,78.0,0.0,240.0,0.0,0.0
78,60.0,190.0,240.0,3.0,0.0
79,68.0,290.0,180.0,1.0,0.0
80,77.0,0.0,180.0,0.0,0.0
81,61.0,0.0,180.0,3.0,0.0
82,49.0,240.0,240.0,3.0,0.0
83,53.0,240.0,240.0,3.0,0.0
84,54.0,480.0,240.0,3.0,0.0
85,56.0,0.0,720.0,3.0,0.0
86,60.0,0.0,240.0,1.0,0.0
87,68.0,240.0,240.0,0.0,0.0
88,61.0,0.0,240.0,1.0,0.0
89,70.0,240.0,240.0,0.0,0.0
90,54.0,190.0,240.0,3.0,0.0
91,72.0,0.0,240.0,0.0,0.0
92,63.0,0.0,240.0,1.0,0.0
93,73.0,0.0,180.0,0.0,0.0
94,65.0,50.0,180.0,1.0,0.0
95,53.0,240.0,240.0,3.0,0.0
96,68.0,0.0,240.0,0.0,0.0
97,56.0,240.0,240.0,3.0,0.0
98,73.0,240.0,240.0,0.0,0.0
99,53.0,0.0,240.0,3.0,0.0
100,77.0,0.0,240.0,0.0,0.0
101,49.0,190.0,240.0,3.0,0.0
102,48.0,190.0,240.0,3.0,0.0
103,75.0,50.0,180.0,1.0,0.0
104,80.0,190.0,720.0,0.0,0.0
105,72.0,50.0,180.0,1.0,0.0
106,44.0,190.0,240.0,3.0,0.0
107,46.0,0.0,240.0,3.0,0.0
108,73.0,50.0,180.0,1.0,0.0
109,48.0,0.0,240.0,3.0,0.0
110,78.0,240.0,240.0,0.0,0.0
111,75.0,50.0,180.0,1.0,0.0
112,77.0,0.0,240.0,0.0,0.0
113,49.0,240.0,240.0,3.0,0.0
114,68.0,145.0,570.0,1.0,0.0
115,75.0,95.0,240.0,0.0,0.0
116,48.0,0.0,240.0,3.0,0.0
117,73.0,0.0,240.0,0.0,0.0
118,46.0,190.0,240.0,3.0,0.0
119,75.0,190.0,240.0,0.0,0.0
120,51.0,0.0,240.0,3.0,0.0
121,67.0,50.0,180.0,1.0,0.0
122,72.0,50.0,180.0,0.0,0.0
123,56.0,145.0,240.0,3.0,0.0
124,63.0,95.0,390.0,1.0,0.0
125,51.0,0.0,240.0,3.0,0.0
126,68.0,240.0,240.0,0.0,0.0
127,72.0,145.0,240.0,0.0,0.0
128,58.0,0.0,240.0,3.0,0.0
129,61.0,95.0,390.0,1.0,0.0
130,51.0,190.0,240.0,3.0,0.0
131,75.0,0.0,240.0,0.0,0.0
132,72.0,50.0,180.0,0.0,0.0
133,44.0,0.0,15.0,3.0,0.0
134,63.0,95.0,390.0,1.0,0.0
135,56.0,145.0,240.0,3.0,0.0
136,51.0,240.0,240.0,3.0,0.0
137,68.0,0.0,240.0,0.0,0.0
138,67.0,0.0,390.0,1.0,0.0
139,61.0,95.0,390.0,1.0,0.0
140,58.0,145.0,240.0,3.0,0.0
141,72.0,0.0,240.0,0.0,0.0
142,51.0,240.0,240.0,3.0,0.0
143,75.0,0.0,240.0,0.0,0.0
144,72.0,0.0,240.0,0.0,0.0
145,56.0,0.0,240.0,3.0,0.0
146,44.0,432.0,240.0,3.0,0.0
147,63.0,0.0,180.0,1.0,0.0
148,44.0,0.0,180.0,3.0,0.0
149,68.0,0.0,180.0,0.0,0.0
150,60.0,480.0,180.0,1.0,0.0
151,44.0,0.0,180.0,3.0,0.0
152,63.0,0.0,180.0,1.0,0.0
153,60.0,0.0,180.0,1.0,0.0
154,68.0,648.0,180.0,0.0,0.0
155,85.0,0.0,120.0,0.0,0.0
156,73.0,0.0,120.0,0.0,0.0
157,61.0,360.0,120.0,3.0,0.0
158,68.0,0.0,240.0,0.0,0.0
159,80.0,0.0,240.0,0.0,0.0
160,56.0,540.0,240.0,3.0,0.0
161,56.0,0.0,60.0,3.0,0.0
162,68.0,60.0,60.0,0.0,0.0
163,54.0,0.0,60.0,3.0,0.0
164,66.0,60.0,60.0,0.0,0.0
165,53.0,0.0,60.0,3.0,0.0
166,65.0,60.0,60.0,0.0,0.0
167,63.0,180.0,120.0,0.0,0.0
168,51.0,60.0,60.0,3.0,0.0
169,49.0,560.0,240.0,3.0,0.0
170,61.0,0.0,240.0,0.0,0.0
171,37.0,80.0,90.0,3.0,0.0
