,note,step,duration,channel,velocity
0,59.0,28.0,30.0,0.0,0.0
1,52.0,109.0,30.0,0.0,0.0
2,64.0,3.0,30.0,0.0,0.0
3,59.0,16.0,15.0,0.0,0.0
4,56.0,7.0,30.0,0.0,0.0
5,63.0,2.0,30.0,0.0,0.0
6,54.0,4.0,30.0,0.0,0.0
7,57.0,122.0,30.0,0.0,0.0
8,59.0,4.0,30.0,0.0,0.0
9,64.0,121.0,30.0,0.0,0.0
10,56.0,4.0,30.0,0.0,0.0
11,59.0,5.0,20.0,0.0,0.0
12,59.0,120.0,30.0,0.0,0.0
13,51.0,2.0,30.0,0.0,0.0
14,66.0,1.0,30.0,0.0,0.0
15,68.0,121.0,30.0,0.0,0.0
16,59.0,0.0,30.0,0.0,0.0
17,64.0,1.0,30.0,0.0,0.0
18,52.0,4.0,30.0,0.0,0.0
19,61.0,5.0,30.0,0.0,0.0
20,45.0,243.0,30.0,0.0,0.0
21,69.0,1.0,30.0,0.0,0.0
22,66.0,4.0,20.0,0.0,0.0
23,47.0,97.0,150.0,0.0,0.0
24,63.0,0.0,240.0,0.0,0.0
25,66.0,1.0,240.0,0.0,0.0
26,59.0,32.0,90.0,0.0,0.0
27,57.0,19.0,30.0,0.0,0.0
28,71.0,3.0,30.0,0.0,0.0
29,64.0,6.0,20.0,0.0,0.0
30,56.0,113.0,30.0,0.0,0.0
31,71.0,3.0,20.0,0.0,0.0
32,54.0,122.0,30.0,0.0,0.0
33,63.0,4.0,20.0,0.0,0.0
34,69.0,0.0,20.0,0.0,0.0
35,52.0,3.0,30.0,0.0,0.0
36,71.0,120.0,30.0,0.0,0.0
37,68.0,4.0,20.0,0.0,0.0
38,64.0,1.0,20.0,0.0,0.0
39,51.0,118.0,30.0,0.0,0.0
40,72.0,2.0,20.0,0.0,0.0
41,68.0,2.0,20.0,0.0,0.0
42,66.0,3.0,20.0,0.0,0.0
43,64.0,1.0,30.0,0.0,0.0
44,73.0,1.0,30.0,0.0,0.0
45,49.0,122.0,30.0,0.0,0.0
46,68.0,4.0,20.0,0.0,0.0
47,73.0,1.0,30.0,0.0,0.0
48,45.0,309.0,30.0,0.0,0.0
49,64.0,4.0,30.0,0.0,0.0
50,69.0,1.0,20.0,0.0,0.0
51,63.0,25.0,210.0,0.0,0.0
52,66.0,13.0,240.0,0.0,0.0
53,47.0,32.0,270.0,0.0,0.0
54,59.0,12.0,20.0,0.0,0.0
55,52.0,120.0,30.0,0.0,0.0
56,64.0,2.0,30.0,0.0,0.0
57,59.0,3.0,20.0,0.0,0.0
58,56.0,6.0,30.0,0.0,0.0
59,57.0,0.0,30.0,0.0,0.0
60,54.0,125.0,30.0,0.0,0.0
61,59.0,2.0,30.0,0.0,0.0
62,63.0,0.0,30.0,0.0,0.0
63,64.0,127.0,30.0,0.0,0.0
64,56.0,6.0,30.0,0.0,0.0
65,59.0,1.0,30.0,0.0,0.0
66,66.0,0.0,30.0,0.0,0.0
67,59.0,117.0,30.0,0.0,0.0
68,51.0,1.0,30.0,0.0,0.0
69,68.0,115.0,30.0,0.0,0.0
70,59.0,7.0,20.0,0.0,0.0
71,52.0,1.0,30.0,0.0,0.0
72,49.0,1.0,20.0,0.0,0.0
73,70.0,3.0,20.0,0.0,0.0
74,64.0,2.0,15.0,0.0,0.0
75,54.0,297.0,20.0,0.0,0.0
76,71.0,61.0,210.0,0.0,0.0
77,54.0,3.0,180.0,0.0,0.0
78,51.0,4.0,180.0,0.0,0.0
79,66.0,1.0,180.0,0.0,0.0
80,68.0,5.0,20.0,0.0,0.0
81,59.0,1.0,30.0,0.0,0.0
82,52.0,119.0,30.0,0.0,0.0
83,73.0,3.0,30.0,0.0,0.0
84,68.0,1.0,20.0,0.0,0.0
85,74.0,2.0,20.0,0.0,0.0
86,59.0,308.0,30.0,0.0,0.0
87,53.0,4.0,20.0,0.0,0.0
88,59.0,7.0,210.0,0.0,0.0
89,75.0,1.0,210.0,0.0,0.0
90,54.0,14.0,210.0,0.0,0.0
91,66.0,45.0,240.0,0.0,0.0
92,76.0,2.0,30.0,0.0,0.0
93,61.0,137.0,30.0,0.0,0.0
94,54.0,1.0,20.0,0.0,0.0
95,70.0,3.0,20.0,0.0,0.0
96,64.0,4.0,30.0,0.0,0.0
97,73.0,4.0,30.0,0.0,0.0
98,54.0,188.0,30.0,0.0,0.0
99,70.0,4.0,30.0,0.0,0.0
100,59.0,0.0,120.0,0.0,0.0
101,63.0,262.0,120.0,0.0,0.0
102,71.0,9.0,90.0,0.0,0.0
103,71.0,4.0,150.0,0.0,0.0
104,68.0,1.0,120.0,0.0,0.0
105,83.0,0.0,120.0,0.0,0.0
106,76.0,111.0,120.0,0.0,0.0
107,75.0,9.0,90.0,0.0,0.0
108,81.0,0.0,120.0,0.0,0.0
109,71.0,113.0,120.0,0.0,0.0
110,66.0,7.0,90.0,0.0,0.0
111,71.0,2.0,120.0,0.0,0.0
112,76.0,3.0,90.0,0.0,0.0
113,64.0,5.0,90.0,0.0,0.0
114,80.0,50.0,90.0,0.0,0.0
115,71.0,5.0,90.0,0.0,0.0
116,62.0,5.0,90.0,0.0,0.0
117,76.0,126.0,240.0,0.0,0.0
118,80.0,16.0,15.0,0.0,0.0
119,81.0,14.0,15.0,0.0,0.0
120,80.0,14.0,15.0,0.0,0.0
121,81.0,21.0,15.0,0.0,0.0
122,80.0,6.0,20.0,0.0,0.0
123,78.0,23.0,20.0,0.0,0.0
124,80.0,114.0,30.0,0.0,0.0
125,69.0,2.0,120.0,0.0,0.0
126,61.0,1.0,120.0,0.0,0.0
127,88.0,3.0,120.0,0.0,0.0
128,68.0,1.0,120.0,0.0,0.0
129,59.0,2.0,120.0,0.0,0.0
130,76.0,238.0,120.0,0.0,0.0
131,86.0,1.0,120.0,0.0,0.0
132,85.0,19.0,210.0,0.0,0.0
133,69.0,16.0,240.0,0.0,0.0
134,57.0,13.0,240.0,0.0,0.0
135,76.0,3.0,240.0,0.0,0.0
136,73.0,110.0,20.0,0.0,0.0
137,64.0,12.0,90.0,0.0,0.0
138,57.0,2.0,120.0,0.0,0.0
139,73.0,2.0,120.0,0.0,0.0
140,85.0,122.0,120.0,0.0,0.0
141,73.0,2.0,120.0,0.0,0.0
142,83.0,7.0,120.0,0.0,0.0
143,65.0,1.0,90.0,0.0,0.0
144,56.0,113.0,120.0,0.0,0.0
145,54.0,5.0,120.0,0.0,0.0
