,note,step,duration,channel,velocity
0,55.0,295.0,180.0,2.0,0.0
1,67.0,5.0,180.0,0.0,0.0
2,55.0,156.0,240.0,2.0,0.0
3,67.0,0.0,240.0,0.0,0.0
4,48.0,6.0,630.0,3.0,0.0
5,64.0,120.0,720.0,1.0,0.0
6,72.0,0.0,150.0,0.0,0.0
7,60.0,234.0,150.0,2.0,0.0
8,72.0,0.0,150.0,0.0,0.0
9,60.0,84.0,150.0,2.0,0.0
10,72.0,120.0,120.0,0.0,0.0
11,55.0,4.0,660.0,2.0,0.0
12,60.0,0.0,120.0,2.0,0.0
13,50.0,0.0,660.0,3.0,0.0
14,67.0,60.0,660.0,1.0,0.0
15,65.0,480.0,720.0,1.0,0.0
16,59.0,0.0,15.0,2.0,0.0
17,71.0,180.0,15.0,0.0,0.0
18,69.0,0.0,60.0,0.0,0.0
19,57.0,176.0,60.0,2.0,0.0
20,71.0,0.0,180.0,0.0,0.0
21,59.0,0.0,180.0,2.0,0.0
22,67.0,0.0,60.0,0.0,0.0
23,55.0,0.0,60.0,2.0,0.0
24,60.0,0.0,480.0,2.0,0.0
25,72.0,0.0,480.0,0.0,0.0
26,52.0,0.0,240.0,3.0,0.0
27,67.0,240.0,15.0,1.0,0.0
28,74.0,0.0,240.0,0.0,0.0
29,47.0,0.0,240.0,3.0,0.0
30,55.0,0.0,240.0,2.0,0.0
31,62.0,0.0,240.0,1.0,0.0
32,77.0,60.0,180.0,0.0,0.0
33,64.0,0.0,240.0,1.0,0.0
34,48.0,0.0,240.0,3.0,0.0
35,72.0,0.0,240.0,1.0,0.0
36,67.0,180.0,15.0,1.0,0.0
37,76.0,0.0,60.0,0.0,0.0
38,55.0,120.0,15.0,2.0,0.0
39,74.0,0.0,120.0,0.0,0.0
40,71.0,0.0,120.0,1.0,0.0
41,67.0,117.0,120.0,1.0,0.0
42,62.0,3.0,120.0,1.0,0.0
43,43.0,0.0,120.0,3.0,0.0
44,76.0,60.0,30.0,0.0,0.0
45,74.0,60.0,60.0,0.0,0.0
46,73.0,60.0,60.0,0.0,0.0
47,74.0,60.0,60.0,0.0,0.0
48,76.0,240.0,60.0,0.0,0.0
49,72.0,0.0,480.0,1.0,0.0
50,77.0,240.0,480.0,0.0,0.0
51,57.0,240.0,240.0,3.0,0.0
52,69.0,0.0,240.0,3.0,0.0
53,72.0,0.0,240.0,1.0,0.0
54,67.0,240.0,240.0,3.0,0.0
55,76.0,0.0,240.0,0.0,0.0
56,72.0,240.0,240.0,1.0,0.0
57,74.0,0.0,240.0,1.0,0.0
58,81.0,0.0,240.0,0.0,0.0
59,66.0,0.0,240.0,3.0,0.0
60,65.0,0.0,240.0,3.0,0.0
61,74.0,0.0,240.0,0.0,0.0
62,71.0,240.0,240.0,1.0,0.0
63,64.0,0.0,240.0,3.0,0.0
64,72.0,240.0,240.0,1.0,0.0
65,79.0,0.0,240.0,0.0,0.0
66,57.0,0.0,240.0,3.0,0.0
67,72.0,0.0,240.0,0.0,0.0
68,69.0,240.0,240.0,1.0,0.0
69,59.0,0.0,240.0,3.0,0.0
70,77.0,0.0,240.0,0.0,0.0
71,68.0,0.0,240.0,1.0,0.0
72,74.0,240.0,240.0,1.0,0.0
73,60.0,0.0,240.0,3.0,0.0
74,76.0,240.0,240.0,0.0,0.0
75,67.0,0.0,240.0,1.0,0.0
76,72.0,0.0,240.0,1.0,0.0
77,70.0,0.0,240.0,1.0,0.0
78,67.0,0.0,360.0,1.0,0.0
79,55.0,275.0,360.0,3.0,0.0
80,73.0,120.0,240.0,0.0,0.0
81,71.0,0.0,120.0,1.0,0.0
82,74.0,0.0,120.0,0.0,0.0
83,55.0,58.0,180.0,2.0,0.0
84,67.0,15.0,150.0,0.0,0.0
85,55.0,132.0,60.0,2.0,0.0
86,67.0,0.0,60.0,0.0,0.0
87,55.0,78.0,120.0,2.0,0.0
88,64.0,160.0,690.0,1.0,0.0
89,48.0,18.0,660.0,3.0,0.0
90,67.0,0.0,120.0,0.0,0.0
91,72.0,0.0,90.0,0.0,0.0
92,60.0,120.0,90.0,2.0,0.0
93,72.0,120.0,90.0,0.0,0.0
94,60.0,0.0,90.0,2.0,0.0
95,72.0,120.0,90.0,0.0,0.0
96,60.0,0.0,90.0,2.0,0.0
97,60.0,0.0,90.0,2.0,0.0
98,72.0,102.0,90.0,0.0,0.0
99,72.0,0.0,90.0,0.0,0.0
100,60.0,2.0,90.0,2.0,0.0
101,60.0,0.0,120.0,2.0,0.0
102,55.0,0.0,600.0,2.0,0.0
103,65.0,0.0,600.0,1.0,0.0
104,50.0,53.0,600.0,3.0,0.0
105,72.0,120.0,120.0,0.0,0.0
106,67.0,4.0,600.0,1.0,0.0
107,71.0,180.0,120.0,0.0,0.0
108,59.0,0.0,15.0,2.0,0.0
109,71.0,60.0,180.0,0.0,0.0
110,69.0,0.0,60.0,0.0,0.0
111,57.0,123.0,60.0,2.0,0.0
112,71.0,60.0,180.0,0.0,0.0
113,59.0,0.0,120.0,2.0,0.0
114,67.0,0.0,60.0,0.0,0.0
115,55.0,480.0,60.0,2.0,0.0
116,72.0,0.0,480.0,0.0,0.0
117,60.0,0.0,480.0,2.0,0.0
118,52.0,240.0,240.0,3.0,0.0
119,62.0,0.0,240.0,1.0,0.0
120,67.0,0.0,15.0,1.0,0.0
121,74.0,180.0,240.0,0.0,0.0
122,47.0,0.0,240.0,3.0,0.0
123,77.0,60.0,180.0,0.0,0.0
124,64.0,123.0,240.0,1.0,0.0
125,48.0,0.0,240.0,3.0,0.0
126,72.0,0.0,240.0,1.0,0.0
127,55.0,0.0,15.0,2.0,0.0
128,67.0,0.0,240.0,1.0,0.0
129,76.0,0.0,60.0,0.0,0.0
130,43.0,0.0,120.0,3.0,0.0
131,71.0,113.0,120.0,1.0,0.0
132,67.0,0.0,120.0,1.0,0.0
133,62.0,0.0,120.0,1.0,0.0
134,55.0,4.0,120.0,2.0,0.0
135,74.0,0.0,120.0,0.0,0.0
136,76.0,60.0,30.0,0.0,0.0
137,74.0,60.0,60.0,0.0,0.0
138,73.0,60.0,60.0,0.0,0.0
139,74.0,60.0,60.0,0.0,0.0
140,76.0,240.0,60.0,0.0,0.0
141,77.0,0.0,480.0,0.0,0.0
142,57.0,240.0,240.0,3.0,0.0
143,69.0,0.0,240.0,3.0,0.0
144,72.0,240.0,15.0,1.0,0.0
145,67.0,0.0,240.0,3.0,0.0
146,76.0,240.0,240.0,0.0,0.0
147,74.0,0.0,240.0,1.0,0.0
148,72.0,0.0,15.0,1.0,0.0
149,66.0,0.0,240.0,3.0,0.0
150,81.0,240.0,240.0,0.0,0.0
151,65.0,0.0,240.0,3.0,0.0
152,74.0,175.0,240.0,0.0,0.0
153,71.0,0.0,240.0,1.0,0.0
154,64.0,0.0,240.0,3.0,0.0
155,72.0,0.0,180.0,1.0,0.0
156,79.0,65.0,180.0,0.0,0.0
157,74.0,60.0,30.0,0.0,0.0
158,72.0,60.0,60.0,0.0,0.0
159,71.0,60.0,60.0,0.0,0.0
160,72.0,60.0,60.0,0.0,0.0
161,74.0,240.0,60.0,0.0,0.0
162,72.0,240.0,240.0,1.0,0.0
163,76.0,0.0,240.0,0.0,0.0
164,67.0,0.0,240.0,1.0,0.0
165,55.0,0.0,240.0,3.0,0.0
166,65.0,0.0,240.0,1.0,0.0
167,71.0,0.0,240.0,1.0,0.0
